Date,Difference,Predicted_Price,Lower_Confidence_Interval,Upper_Confidence_Interval,borough
2022-01-31,-100477.35744072952,324522.6425592705,266065.7228868895,382979.5622316515,UB1
2022-02-28,-86333.03811485601,338666.961885144,362799.34366975294,515489.2949819941,UB1
2022-03-31,-85647.82471274972,339352.1752872503,349339.240434971,502031.1863692416,UB1
2022-04-30,-84504.42285988244,340495.57714011753,349554.3534020501,502732.45030368445,UB1
2022-05-31,-82310.74955782304,342689.25044217694,350391.4348759022,503995.91172821657,UB1
2022-06-30,-81201.47680626322,343798.5231937368,349132.3686653152,503086.1768378045,UB1
2022-07-31,-79142.46016264276,345857.53983735724,349966.27373982297,504151.759547418,UB1
2022-08-31,-77896.90035057873,347103.0996494213,349058.4871696931,503432.632454435,UB1
2022-09-30,-75956.95062535489,349043.0493746451,349692.8179439815,504187.0815064662,UB1
2022-10-31,-74609.44761045501,350390.552389545,349049.37399830966,503645.6320314901,UB1
2022-11-30,-72756.51458877753,352243.48541122244,349523.9052814511,504181.96076190384,UB1
2022-12-31,-71334.7704123986,353665.2295876014,349064.9105540072,503778.57779875066,UB1
2022-01-31,-46326.027025438496,467963.8063078948,425770.68544378586,510156.9271720037,EN1
2022-02-28,-45082.81032344848,469207.0230098848,462929.2761473291,568136.8239233176,EN1
2022-03-31,-43839.593621458465,470450.23971187486,462929.2761473275,568136.8239233192,EN1
2022-04-30,-42596.37691946845,471693.45641386486,462929.2761473259,568136.8239233207,EN1
2022-05-31,-41353.160217478435,472936.6731158549,462929.27614732424,568136.8239233224,EN1
2022-06-30,-40109.94351548842,474179.8898178449,462929.2761473226,568136.823923324,EN1
2022-07-31,-38866.7268134984,475423.1065198349,462929.27614732104,568136.8239233256,EN1
2022-08-31,-37623.51011150839,476666.32322182495,462929.2761473194,568136.8239233273,EN1
2022-09-30,-36380.293409518374,477909.53992381494,462929.2761473178,568136.8239233289,EN1
2022-10-31,-35137.07670752836,479152.75662580493,462929.2761473162,568136.8239233305,EN1
2022-11-30,-33893.86000553834,480395.973327795,462929.2761473146,568136.823923332,EN1
2022-12-31,-32650.643303548328,481639.190029785,462929.27614731295,568136.8239233337,EN1
2022-01-31,17193.750894280798,494273.7508942808,454973.4161900192,533574.0855985424,UB6
2022-02-28,5741.058941026953,482821.058941027,416357.2868427567,514897.3292507357,UB6
2022-03-31,16491.665376780707,493571.66537678073,438559.2920773952,537101.9207941123,UB6
2022-04-30,13819.767274289929,490899.7672742899,425076.4476262493,523739.75616876915,UB6
2022-05-31,14043.97173014157,491123.9717301415,427808.0095192653,526800.399392438,UB6
2022-06-30,21636.39008104726,498716.39008104726,434911.42554459744,534433.411157214,UB6
2022-07-31,13653.036926315212,490733.0369263152,419095.32766121224,519097.9660293237,UB6
2022-08-31,26096.706355640403,503176.7063556404,439349.9575569724,539697.381301678,UB6
2022-09-30,17229.19913252436,494309.1991325244,417981.56616327947,518443.4193904885,UB6
2022-10-31,26725.22356728132,503805.2235672813,436340.47507134726,536811.5737981667,UB6
2022-11-30,23834.52449092068,500914.52449092065,423935.18151716224,524443.4203301165,UB6
2022-12-31,25603.634960251817,502683.6349602518,428523.37953473814,529174.8414039242,UB6
2022-01-31,-147736.64932988878,896309.3877071483,717097.3755554527,1075521.399858844,SW15
2022-02-28,-133524.54129271928,910521.4957443178,809078.4667417116,1307437.8234067014,SW15
2022-03-31,-130711.25300188024,913334.7840351568,797358.5434915926,1296360.1071641596,SW15
2022-04-30,-127897.9647110412,916148.072325996,797358.4671307156,1296360.1835250366,SW15
2022-05-31,-125084.67642020214,918961.360616835,797358.390769862,1296360.2598858904,SW15
2022-06-30,-122271.3881293631,921774.648907674,797358.3144090318,1296360.3362467205,SW15
2022-07-31,-119458.09983852404,924587.9371985132,797358.2380482248,1296360.4126075276,SW15
2022-08-31,-116644.811547685,927401.225489352,797358.1616874413,1296360.488968311,SW15
2022-09-30,-113831.52325684596,930214.5137801912,797358.0853266811,1296360.5653290711,SW15
2022-10-31,-111018.23496600692,933027.80207103,797358.0089659443,1296360.641689808,SW15
2022-11-30,-108204.94667516788,935841.0903618692,797357.932605231,1296360.718050521,SW15
2022-12-31,-105391.65838432882,938654.3786527084,797357.8562445408,1296360.7944112115,SW15
2022-01-31,156242.57110552798,966276.211105528,795130.538482285,1137421.883728771,SW12
2022-02-28,159250.10514405626,969283.7451440564,583172.2968504614,1042910.0512265952,SW12
2022-03-31,162257.6391825845,972291.2791825844,583172.2439114021,1042910.1041656546,SW12
2022-04-30,165265.1732211128,975298.8132211128,583172.1909723548,1042910.1571047016,SW12
2022-05-31,168272.7072596411,978306.3472596412,583172.1380333197,1042910.2100437368,SW12
2022-06-30,171280.24129816936,981313.8812981694,583172.085094297,1042910.2629827596,SW12
2022-07-31,174287.77533669764,984321.4153366976,583172.0321552863,1042910.3159217702,SW12
2022-08-31,177295.30937522592,987328.949375226,583171.9792162878,1042910.3688607689,SW12
2022-09-30,180302.8434137542,990336.4834137544,583171.9262773016,1042910.421799755,SW12
2022-10-31,183310.37745228247,993344.0174522824,583171.8733383276,1042910.474738729,SW12
2022-11-30,186317.91149081071,996351.5514908108,583171.8203993657,1042910.5276776908,SW12
2022-12-31,189325.44552933905,999359.085529339,583171.7674604161,1042910.5806166404,SW12
2022-01-31,-26078.466578960215,518940.2865074596,491270.8272976188,546609.7457173003,E17
2022-02-28,-13289.255234984112,531729.4978514357,524970.3455527194,590645.5833080723,E17
2022-03-31,-12664.5295083659,532354.2235780539,512805.1213512601,578481.8362748158,E17
2022-04-30,-7761.0343656564655,537257.7187207633,516538.0586214627,583306.4378367957,E17
2022-05-31,-16218.791551830658,528799.9615345891,503048.4237176519,570073.5680828393,E17
2022-06-30,-2134.6473169526143,542884.1057694672,525583.8108460808,592621.9837965149,E17
2022-07-31,-11071.35214522236,533947.4009411974,502537.44880376133,569626.6477125387,E17
2022-08-31,-3495.16171064473,541523.591375775,519049.9613877044,586139.9256542905,E17
2022-09-30,-3701.328781561304,541317.4243048584,511242.9329054511,578382.2391255553,E17
2022-10-31,-4403.544019213856,540615.2090672059,510707.4741055064,577925.601592028,E17
2022-11-30,2734.5838955944655,547753.3369820142,518525.8343740135,585787.9276284428,E17
2022-12-31,-4299.694508794222,540719.0585776255,504341.5671311559,571627.3822329063,E17
2022-01-31,-152905.6005710166,651017.4763520602,541206.8419352147,760828.1107689058,SE27
2022-02-28,-163128.4879377369,640794.58898534,656028.985266513,931371.3938462002,SE27
2022-03-31,-147196.3324456756,656726.7444774013,682109.6694299806,957600.795400296,SE27
