RMSE,MAE,borough
59070.75571000077,47143.35381254497,IG9
112935.60126917396,93375.33798019472,E5
74560.54190150222,62297.714740390875,KT4
74989.79458350338,54699.992123748394,N13
66228.18741129343,57733.16813491448,CR0
346720.37859168224,248207.35431855675,SW13
527415.6988442175,437490.27595662,NW8
220708.140092021,171868.1429472991,W12
296235.01262293337,217122.47304379463,NW11
88599.4038781392,72432.58020110834,N21
79418.90405166183,64318.20773454023,SE3
132478.3244600371,118804.3614644662,SW9
40848.67108190816,30224.882718438606,UB8
48590.90879525096,36931.74198462954,RM12
1305057.6542021418,619656.654577266,EC3
41128.520844066545,31532.718841018977,RM9
74813.19671266072,62035.90721723264,HA2
284588.99871044647,221887.07564912908,W6
78194.40992375,64158.433921198455,TW5
41973.59071675103,32343.842912040265,DA17
114267.95940935735,86955.37329832294,SE24
126905.47988422052,84713.69963063704,BR7
192712.68271774377,163079.869650694,N3
365927.1879790351,239989.57694187833,NW1
92949.502892022,77215.25661127591,TW13
178525.5560709965,144854.74814800147,UB1
84014.37064647608,64216.402917260275,SE16
108031.29579624392,91401.09277631146,E17
100847.10728971672,77173.8592925103,KT8
136145.72279729907,107598.31912113629,SE21
73452.62870627419,55251.16261016538,IG5
85448.80276352394,68891.56079565927,W3
98863.11027745312,81482.13652642863,E9
128804.18066467176,106709.20810077609,HA7
102632.2162580438,78416.60857030966,E12
52520.58090659576,38403.639383194924,UB4
480717.3017206981,371169.3602977484,SW5
106911.71770899202,90711.06367267684,SE13
101559.41695335794,86499.58606358859,SM2
35129.38456720677,30647.81525118967,WD3
108511.1046568838,77627.28626975606,NW4
394997.80483125336,340066.80069734924,N6
52978.42299732715,39650.7376577147,BR2
57789.410433994024,43165.802144550784,SE28
94371.44022664936,82299.52016910898,CR5
68074.24913684846,53814.965452568824,DA6
109211.39663587546,89148.68279307568,N16
133242.11444795743,99328.29014012605,KT1
57676.41350307425,45784.71966354064,RM5
104179.83696879393,78202.66127167964,TW9
194546.6630334021,173914.83528008976,SE6
96095.64485858376,78199.94863298321,EN5
125254.57579427108,109071.31393087348,SW16
184952.5827709477,149338.0025482761,SW15
423183.07085642504,349849.6355424168,W14
63175.50351182649,47539.012409568546,UB10
118787.6188573663,86061.5580099678,RM14
142137.85636933582,124359.81074101495,E18
144047.89243074192,125804.81090609502,SE5
64341.47120757813,53665.56649923035,SE19
