Borough,ARIMA_Params
E6,"(3, 1, 2)"
E1,"(4, 1, 2)"
IG8,"(0, 1, 1)"
N15,"(1, 1, 2)"
SW9,"(3, 1, 2)"
N12,"(2, 1, 1)"
KT6,"(0, 1, 2)"
W7,"(0, 1, 1)"
KT1,"(2, 1, 2)"
N9,"(1, 1, 2)"
DA17,"(1, 1, 2)"
DA6,"(4, 1, 0)"
SW1Y,"(1, 1, 1)"
RM7,"(4, 1, 2)"
BR4,"(1, 1, 2)"
SE18,"(4, 1, 2)"
EC4,"(0, 1, 1)"
DA1,"(3, 1, 2)"
BR3,"(0, 1, 1)"
SE8,"(0, 1, 2)"
EC3,"(4, 1, 2)"
TW9,"(0, 1, 2)"
SW1A,"(0, 1, 1)"
CR5,"(0, 1, 1)"
SM6,"(4, 1, 2)"
EN8,"(0, 1, 1)"
RM12,"(0, 1, 1)"
CR2,"(4, 1, 2)"
SM1,"(4, 1, 0)"
UB8,"(4, 1, 2)"
DA16,"(0, 1, 2)"
N8,"(1, 1, 2)"
W6,"(4, 1, 2)"
W1,"(3, 1, 2)"
SE9,"(1, 1, 1)"
EC2,"(3, 1, 1)"
BR2,"(3, 1, 2)"
RM1,"(0, 1, 1)"
SE19,"(1, 1, 2)"
SW1X,"(0, 1, 2)"
DA7,"(2, 1, 2)"
RM6,"(3, 1, 1)"
E7,"(2, 1, 2)"
N13,"(0, 1, 1)"
SW8,"(2, 1, 1)"
N14,"(0, 1, 2)"
IG9,"(0, 1, 1)"
WC1,"(0, 1, 1)"
UB9,"(1, 1, 2)"
N22,"(1, 1, 2)"
RM14,"(4, 1, 2)"
RM13,"(1, 1, 2)"
CR4,"(0, 1, 1)"
TW8,"(4, 1, 2)"
SE28,"(3, 1, 2)"
E18,"(1, 1, 2)"
TW5,"(0, 1, 2)"
E12,"(0, 1, 2)"
SE22,"(3, 1, 2)"
TW2,"(1, 1, 2)"
E15,"(1, 1, 1)"
SE25,"(0, 1, 1)"
SW10,"(4, 1, 2)"
NW11,"(1, 1, 2)"
SW17,"(4, 1, 0)"
EN3,"(2, 1, 1)"
UB4,"(0, 1, 2)"
EN4,"(1, 1, 2)"
UB3,"(4, 1, 1)"
W11,"(0, 1, 1)"
E1W,"(0, 1, 1)"
IG3,"(0, 1, 1)"
SW2,"(1, 1, 2)"
IG4,"(4, 1, 2)"
N1C,"(3, 1, 0)"
N19,"(4, 1, 1)"
SW5,"(4, 1, 2)"
N5,"(0, 1, 1)"
N2,"(4, 1, 1)"
NW1,"(1, 1, 1)"
HA6,"(4, 1, 2)"
TW11,"(0, 1, 1)"
SE13,"(0, 1, 1)"
SE4,"(0, 1, 2)"
NW6,"(4, 1, 2)"
HA1,"(2, 1, 1)"
SE3,"(2, 1, 1)"
SE14,"(4, 1, 0)"
SW16,"(3, 1, 0)"
NW10,"(0, 1, 1)"
SW11,"(1, 1, 2)"
UB2,"(3, 1, 1)"
EN5,"(0, 1, 1)"
CR8,"(0, 1, 1)"
UB5,"(0, 1, 1)"
EN2,"(1, 1, 2)"
SE24,"(4, 1, 1)"
E14,"(0, 1, 1)"
TW3,"(4, 1, 2)"
SE23,"(3, 1, 0)"
E13,"(3, 1, 2)"
TW4,"(0, 1, 1)"
N3,"(2, 1, 2)"
N4,"(0, 1, 1)"
SE15,"(0, 1, 1)"
SE2,"(4, 1, 2)"
