ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2A289E9C-E067-CDC8-E050-A8C063054829},46500,1995-01-04 00:00,BR3 1TU,F,,L,"BOUVERIE LODGE, 4",7,RECTORY ROAD,,BECKENHAM,BROMLEY,GREATER LONDON,1010.86956521739,2.0,46.0,70.0,1975.0,BR3,1995
{5B6916B5-1413-4935-A0EF-0F47ED04F2DC},70000,1995-01-05 00:00,BR3 3PN,F,,F,9,,FAVERSHAM ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,1014.49275362319,3.0,69.0,58.0,1929.0,BR3,1995
{5966ABD0-5D6E-484A-9BC4-D499BAC315D3},58000,1995-01-06 00:00,BR3 1RY,F,,L,49,,HACKINGTON CRESCENT,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,811.188811188811,3.0,71.5,83.0,1966.0,BR3,1995
{1647B38B-5A93-45A8-8415-DD1A03B3F42B},80000,1995-01-06 00:00,BR3 6LL,F,,L,"FAIRLEAS, 11",FLAT 1,COURT DOWNS ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,975.609756097561,3.0,82.0,54.0,1975.0,BR3,1995
{7FE13EE5-85BE-4347-8CF3-EA56D66B9259},69000,1995-01-06 00:00,BR3 4HS,T,,F,28,,GOWLAND PLACE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,718.75,6.0,96.0,52.0,1900.0,BR3,1995
{36FC645B-A2D5-4F21-87D8-BF98A9785EDA},129000,1995-01-09 00:00,BR3 6UN,F,,L,SAMUEL COURT,FLAT 7,KELSEY PARK AVENUE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,1121.73913043478,4.0,115.0,78.0,1982.0,BR3,1995
{1F149212-20E0-45C4-BA33-3D026033336D},144000,1995-01-09 00:00,BR3 4JW,T,,F,4,,QUEENS ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,620.689655172414,8.0,232.0,40.0,1929.0,BR3,1995
{4F8DCF35-C60A-4B58-8FAC-EB14DC3726EA},82500,1995-01-11 00:00,BR3 3PY,T,,F,47,,BIRCHWOOD AVENUE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,953.536754507628,4.0,86.52,65.0,1949.0,BR3,1995
{C06ACC94-94E7-4FCE-93D9-622A11046CAF},242500,1995-01-11 00:00,BR3 6XX,S,,F,4,,HANNAH CLOSE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,1339.77900552486,7.0,181.0,64.0,1995.0,BR3,1995
{C51ABCE1-D618-43BA-8F37-9F922D92CB28},128000,1995-01-11 00:00,BR3 5DZ,S,,F,8,,LANKTON CLOSE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,1057.85123966942,5.0,121.0,56.0,1975.0,BR3,1995
{AA63E064-36EF-449D-A97F-43717E569FBA},92000,1995-01-12 00:00,BR3 4DT,S,,F,29,,GWYDOR ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,760.330578512397,7.0,121.0,51.0,1900.0,BR3,1995
{9E1296A5-EED4-4DFE-AFF9-B7AECEBA40B3},58995,1995-01-13 00:00,BR3 5TU,F,,L,40,,APEX CLOSE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,800.90958457779,3.0,73.66,61.0,1975.0,BR3,1995
{2A289E9C-E16A-CDC8-E050-A8C063054829},36250,1995-01-13 00:00,BR3 6UA,F,,L,3,,ST BARNABAS CLOSE,,BECKENHAM,BROMLEY,GREATER LONDON,901.741293532338,2.0,40.2,71.0,1975.0,BR3,1995
{2A289E9C-E183-CDC8-E050-A8C063054829},41500,1995-01-13 00:00,BR3 5HR,F,,L,"NORTHVIEW, 56",FLAT 4,ALBEMARLE ROAD,,BECKENHAM,BROMLEY,GREATER LONDON,897.491349480969,2.0,46.24,58.0,1975.0,BR3,1995
{40DB8E8B-530E-4A86-BDEE-895B5C79C509},56500,1995-01-13 00:00,BR3 5TU,T,,L,38,,APEX CLOSE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,784.722222222222,3.0,72.0,66.0,1975.0,BR3,1995
{2533F943-FDEC-46A7-BFC3-59EFD2A69358},59750,1995-01-16 00:00,BR3 1RG,F,,L,"CHESTNUT COURT, 10",FLAT 3,BRACKLEY ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,756.329113924051,4.0,79.0,69.0,1975.0,BR3,1995
{6E182328-6E7E-4C78-A239-E2D68FACD844},51000,1995-01-17 00:00,BR3 1QX,F,,L,"BRACKENDALE COURT, 54",2,PARK ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,1062.5,2.0,48.0,54.0,1975.0,BR3,1995
{3D9BC4BD-85C8-41B3-8D27-8C9A5913785B},85000,1995-01-18 00:00,BR3 4HW,T,,F,25,,BELMONT ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,720.338983050847,6.0,118.0,60.0,1929.0,BR3,1995
{2A289E9C-E45C-CDC8-E050-A8C063054829},40000,1995-01-18 00:00,BR3 4XD,F,,L,"ASHTON COURT, 4",FLAT 8,HAYNE ROAD,,BECKENHAM,BROMLEY,GREATER LONDON,865.800865800866,2.0,46.2,43.0,1975.0,BR3,1995
{2A289E9C-E166-CDC8-E050-A8C063054829},50000,1995-01-19 00:00,BR3 5HR,F,,L,"NORTHVIEW, 56",FLAT 5,ALBEMARLE ROAD,,BECKENHAM,BROMLEY,GREATER LONDON,1020.40816326531,2.0,49.0,75.0,1975.0,BR3,1995
{E4E8E898-FC36-484A-8E29-A50B1348908F},90000,1995-01-20 00:00,BR3 4SE,T,,F,179,,MACKENZIE ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,638.297872340426,6.0,141.0,39.0,1900.0,BR3,1995
{4D2D4BEF-6B55-4299-8CDA-0815F071FF34},72000,1995-01-20 00:00,BR3 4NR,T,,F,12,,VILLIERS ROAD,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,970.873786407767,5.0,74.16,42.0,1929.0,BR3,1995
{1BA0EA94-0F9D-42A6-AB91-117B8C80ED29},74950,1995-01-20 00:00,BR3 4PB,S,,F,5,,CARLYS CLOSE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,1406.71921921922,3.0,53.28,70.0,1995.0,BR3,1995
{2A289E9C-E2BE-CDC8-E050-A8C063054829},41500,1995-01-20 00:00,BR3 4DA,F,,L,"DUKES COURT, 250",FLAT 8,CROYDON ROAD,,BECKENHAM,BROMLEY,GREATER LONDON,1886.36363636364,2.0,22.0,72.0,1990.0,BR3,1995
{2A289E9C-E25C-CDC8-E050-A8C063054829},47000,1995-01-20 00:00,BR3 4NG,F,,L,135,,BLANDFORD ROAD,,BECKENHAM,BROMLEY,GREATER LONDON,809.368004132943,3.0,58.07,72.0,1929.0,BR3,1995
{E2FE4AFA-EA84-447C-8BCC-306C4C3C7042},52250,1995-01-25 00:00,BR3 6UA,F,,L,17,,ST BARNABAS CLOSE,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,1187.5,2.0,44.0,73.0,1982.0,BR3,1995
{142DBA51-6951-4212-AC05-0B9ABF912262},70000,1995-01-25 00:00,BR3 4HX,F,,L,55,,RECTORY GREEN,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,864.197530864198,3.0,81.0,71.0,1982.0,BR3,1995
{CAFAD54D-6480-47D4-A3C6-75AA6B3FDB32},65500,1995-01-26 00:00,BR3 1HF,F,,L,25,,EMBASSY GARDENS,BECKENHAM,BECKENHAM,BROMLEY,GREATER LONDON,853.309015112038,4.0,76.76,50.0,1975.0,BR3,1995
