ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2A289E9C-E0AB-CDC8-E050-A8C063054829},22500,1995-01-05 00:00,CR2 6LW,F,L,9,FLAT 15,BRAMLEY HILL,,SOUTH CROYDON,CROYDON,GREATER LONDON,329.912023460411,3.0,68.2,44.0,1975.0,CR2,1995
{42C0A105-DEF7-40C4-9C56-0C51F1A4540C},75700,1995-01-05 00:00,CR2 0PR,D,F,50,,BYNES ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1009.33333333333,5.0,75.0,39.0,1929.0,CR2,1995
{05C28BD8-B0D5-4586-9F17-7CD28BB03ABD},97500,1995-01-06 00:00,CR2 0BR,D,F,7,,CROHAM MOUNT,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1174.69879518072,4.0,83.0,55.0,1949.0,CR2,1995
{2A289E9C-E1AB-CDC8-E050-A8C063054829},48500,1995-01-12 00:00,CR2 0BJ,F,L,71,FLAT 1,MAYFIELD ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,754.511512134412,3.0,64.28,36.0,1929.0,CR2,1995
{F99CCCC0-B781-4D49-BD06-D96BA419A3FB},67000,1995-01-13 00:00,CR2 8NU,S,F,60,,BENHURST GARDENS,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,676.767676767677,6.0,99.0,56.0,1949.0,CR2,1995
{2A289E9C-E19C-CDC8-E050-A8C063054829},45000,1995-01-13 00:00,CR2 7DH,F,L,4,,DOVETON ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,861.573808156232,2.0,52.23,75.0,1975.0,CR2,1995
{04BBE6E7-A532-405C-A26F-9CAE7A96CDB8},59995,1995-01-16 00:00,CR2 6NN,F,L,"MAYBURY COURT, 131 - 133",FLAT 2,HALING PARK ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1052.54385964912,3.0,57.0,75.0,1990.0,CR2,1995
{3F7038D8-D963-4548-924E-8493C4D25B56},51000,1995-01-18 00:00,CR2 8LE,F,L,GREENLANDS,4,ADDINGTON ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,850.0,3.0,60.0,66.0,1966.0,CR2,1995
{95D206B1-971A-445B-9284-F18F16721088},58500,1995-01-19 00:00,CR2 7DE,T,F,54,,ST PETERS STREET,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,842.696629213483,4.0,69.42,44.0,1929.0,CR2,1995
{F88CB4A0-BE2E-453D-94EA-180CB1B2D544},167000,1995-01-19 00:00,CR2 9JR,D,F,55,,RECTORY PARK,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,772.21862572829,7.0,216.26,65.0,1966.0,CR2,1995
