ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{0A796A1A-DA0E-4960-A78A-7F7AED1B666E},89000,1997-07-18 00:00,CR4 2HP,T,Y,L,25,,ELMHURST AVENUE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1070.74109720885,1997.0,1997-07-18,T,L,89000.0,CR4 2HP,E09000024,{0A796A1A-DA0E-4960-A78A-7F7AED1B666E},20818920.0,83.12,4.0,11.0,69.0,74.0,England and Wales: 1983-1990,1070.74109720885,4.0,83.12,69.0,England and Wales: 1983-1990,CR4
{DE5134B2-7B08-46B6-AC49-8CFC9DA95407},76500,1997-12-22 00:00,CR4 3DX,S,N,F,39,,BOROUGH ROAD,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1020.0,1997.0,1997-12-22,S,F,76500.0,CR4 3DX,E09000024,{DE5134B2-7B08-46B6-AC49-8CFC9DA95407},20866848.0,75.0,3.0,11.0,63.0,85.0,England and Wales: 1950-1966,1020.0,3.0,75.0,63.0,England and Wales: 1950-1966,CR4
{7C679C8A-79CB-4C54-8199-8CFCD7E7BBE5},52995,1997-05-16 00:00,CR4 4FD,F,Y,L,82,,MULLARDS CLOSE,MITCHAM,MITCHAM,SUTTON,GREATER LONDON,1309.16501976285,1997.0,1997-05-16,F,L,52995.0,CR4 4FD,E09000029,{7C679C8A-79CB-4C54-8199-8CFCD7E7BBE5},21332155.0,40.48,2.0,11.0,72.0,77.0,England and Wales: 1996-2002,1309.16501976285,2.0,40.48,72.0,England and Wales: 1996-2002,CR4
{CD0904E3-B542-4C50-B4A4-3028D7143738},83250,1997-10-17 00:00,CR4 3WZ,T,N,F,13,,VARLEY WAY,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1003.01204819277,1997.0,1997-10-17,T,F,83250.0,CR4 3WZ,E09000024,{CD0904E3-B542-4C50-B4A4-3028D7143738},20810726.0,83.0,5.0,12.0,57.0,78.0,England and Wales: 1983-1990,1003.01204819277,5.0,83.0,57.0,England and Wales: 1983-1990,CR4
{BDE11E08-E715-4AE6-AC0B-7F9045B045B5},57000,1997-07-14 00:00,CR4 2BT,F,N,L,26A,,INGLEMERE ROAD,MITCHAM,MITCHAM,MERTON,GREATER LONDON,581.751377832211,1997.0,1997-07-14,F,L,57000.0,CR4 2BT,E09000024,{BDE11E08-E715-4AE6-AC0B-7F9045B045B5},20829545.0,97.98,5.0,11.0,65.0,68.0,England and Wales: 1900-1929,581.751377832211,5.0,97.98,65.0,England and Wales: 1900-1929,CR4
{F97DDD12-23B2-4BDC-9F43-33BADC666827},70965,1997-05-23 00:00,CR4 4DH,T,N,F,37,,MORDEN GARDENS,MITCHAM,MITCHAM,MERTON,GREATER LONDON,958.986486486486,1997.0,1997-05-23,T,F,70965.0,CR4 4DH,E09000024,{F97DDD12-23B2-4BDC-9F43-33BADC666827},20872979.0,74.0,5.0,11.0,69.0,74.0,England and Wales: 1930-1949,958.986486486486,5.0,74.0,69.0,England and Wales: 1930-1949,CR4
{D68582AC-17B6-44A7-9523-290DDE600E56},51000,1997-09-17 00:00,CR4 1XG,T,N,F,20,,GLAMORGAN CLOSE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,504.950495049505,1997.0,1997-09-17,T,F,51000.0,CR4 1XG,E09000024,{D68582AC-17B6-44A7-9523-290DDE600E56},20819496.0,101.0,5.0,12.0,48.0,75.0,England and Wales: 1967-1975,504.950495049505,5.0,101.0,48.0,England and Wales: 1967-1975,CR4
{2DAD29CC-5DAB-4564-866E-303266AD7943},115995,1997-07-25 00:00,CR4 4FD,T,Y,F,58,,MULLARDS CLOSE,MITCHAM,MITCHAM,SUTTON,GREATER LONDON,935.443548387097,1997.0,1997-07-25,T,F,115995.0,CR4 4FD,E09000029,{2DAD29CC-5DAB-4564-866E-303266AD7943},21358738.0,124.0,6.0,11.0,63.0,83.0,England and Wales: 1991-1995,935.443548387097,6.0,124.0,63.0,England and Wales: 1991-1995,CR4
{FAF06FF7-8F66-48C4-861C-4AB62BC2F919},56950,1997-06-13 00:00,CR4 4EW,F,N,L,HEATHERDENE COURT,FLAT 1,HEATHERDENE CLOSE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,965.254237288136,1997.0,1997-06-13,F,L,56950.0,CR4 4EW,E09000024,{FAF06FF7-8F66-48C4-861C-4AB62BC2F919},20828156.0,59.0,3.0,11.0,75.0,77.0,England and Wales: 1950-1966,965.254237288136,3.0,59.0,75.0,England and Wales: 1950-1966,CR4
{4A730439-1C7D-4D58-8ED0-400CD71794B8},139950,1997-08-14 00:00,CR4 3SQ,S,N,F,4,,SILBURY AVENUE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1166.25,1997.0,1997-08-14,S,F,139950.0,CR4 3SQ,E09000024,{4A730439-1C7D-4D58-8ED0-400CD71794B8},20838152.0,120.0,5.0,11.0,78.0,86.0,England and Wales: 1991-1995,1166.25,5.0,120.0,78.0,England and Wales: 1991-1995,CR4
