ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{2A289E9E-9F7B-CDC8-E050-A8C063054829},45500,1995-01-05,CR4 3SH,F,L,41,,CAMERON SQUARE,,MITCHAM,MERTON,GREATER LONDON,1197.36842105263,2.0,38.0,64.0,1990.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{BDB51A36-233A-4A60-80B7-F631B0CEDCEA},57000,1995-01-05,CR4 4BU,S,F,56,,RIVERSIDE DRIVE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,793.209017534094,5.0,71.86,62.0,1949.0,CR4,1995,12131,3,Mitcham,0.218737,50200,4,2,8.87004967062465,0.0
{721DB3E5-AE20-409D-B829-171D1FB13300},55950,1995-01-08,CR4 3RZ,F,L,"REGIS COURT, 12",FLAT 23,LONGFIELD DRIVE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1017.27272727273,3.0,55.0,47.0,1975.0,CR4,1995,22329,3,Colliers Wood,0.632332,58100,7,1b,2.71779089553179,0.0
{20C9BC33-4F23-4DD6-AB7D-3AAA7827146C},65500,1995-01-09,CR4 1RL,T,F,14,,NORTHUMBERLAND GARDENS,MITCHAM,MITCHAM,MERTON,GREATER LONDON,770.588235294118,4.0,85.0,59.0,1966.0,CR4,1995,4161,3,Beddington Lane,0.942853,48000,2,2,5.79513536872847,0.0
{2A289E9E-9FFE-CDC8-E050-A8C063054829},34450,1995-01-10,CR4 3SG,F,L,53,,SILBURY AVENUE,,MITCHAM,MERTON,GREATER LONDON,984.285714285714,1.0,35.0,57.0,1995.0,CR4,1995,22329,3,Colliers Wood,0.805762,58100,7,1a,2.43351407367611,0.0
{5C289F27-2857-41E8-A124-1ED59532414E},56500,1995-01-11,CR4 3SH,F,L,33,,CAMERON SQUARE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1255.55555555556,2.0,45.0,74.0,1990.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{2A289E9E-9F7F-CDC8-E050-A8C063054829},46000,1995-01-11,CR4 3SH,F,L,50,,CAMERON SQUARE,,MITCHAM,MERTON,GREATER LONDON,1092.63657957245,2.0,42.1,76.0,1995.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{2A289E9E-9F83-CDC8-E050-A8C063054829},46000,1995-01-11,CR4 3SH,F,L,54,,CAMERON SQUARE,,MITCHAM,MERTON,GREATER LONDON,1243.24324324324,2.0,37.0,55.0,1990.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{D2BB4775-2437-4CFE-A047-6896094DA4D7},74000,1995-01-12,CR4 1NL,T,F,1,,LEXDEN ROAD,MITCHAM,MITCHAM,MERTON,GREATER LONDON,704.761904761905,5.0,105.0,64.0,1949.0,CR4,1995,21055,3,Beddington Lane,1.22424,59200,7,2,6.56482211632777,0.0
{2A289E9E-9F86-CDC8-E050-A8C063054829},45750,1995-01-12,CR4 3SH,F,L,56,,CAMERON SQUARE,,MITCHAM,MERTON,GREATER LONDON,1159.98985801217,2.0,39.44,66.0,1995.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{1E68B7E8-ED23-4E53-8C3D-EAEE24E645C0},121500,1995-01-13,CR4 3SH,T,F,60,,CAMERON SQUARE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1076.17360496014,5.0,112.9,56.0,1982.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{2A289E9C-E184-CDC8-E050-A8C063054829},24000,1995-01-16,CR4 1ER,F,L,32,,IMPERIAL GARDENS,,MITCHAM,MERTON,GREATER LONDON,666.666666666667,1.0,36.0,63.0,1975.0,CR4,1995,7930,3,Mitcham Eastfields,0.567709,52600,3,2,8.63114864437099,0.0
{2A289E9C-E1DF-CDC8-E050-A8C063054829},27000,1995-01-17,CR4 3AZ,F,L,43,,DE'ARN GARDENS,,MITCHAM,MERTON,GREATER LONDON,627.906976744186,2.0,43.0,73.0,1929.0,CR4,1995,7481,3,Belgrave Walk,0.755764,49300,3,3,12.0522378908362,0.0
{2A289E9E-9F85-CDC8-E050-A8C063054829},45750,1995-01-19,CR4 3SH,F,L,53,,CAMERON SQUARE,,MITCHAM,MERTON,GREATER LONDON,1203.94736842105,2.0,38.0,63.0,1990.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{FA40588F-9B2A-4D4C-8B8A-58046C6E6093},73500,1995-01-19,CR4 1DA,T,F,80,,TAMWORTH LANE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,907.407407407407,6.0,81.0,63.0,1949.0,CR4,1995,7930,3,Mitcham Eastfields,0.18713,52600,3,2,9.94185079939708,0.0
{45B4D94F-19B9-4994-84C3-8E2EA8395DDD},77000,1995-01-20,CR4 1LA,S,F,8,,DAHLIA GARDENS,MITCHAM,MITCHAM,MERTON,GREATER LONDON,669.565217391304,5.0,115.0,62.0,1949.0,CR4,1995,19712,3,Beddington Lane,1.11578,48000,7,1b,4.97399682112301,0.0
{7DC55431-8735-4D9D-B5FF-6B6F9D456A57},60000,1995-01-20,CR4 3HS,T,F,24,,MORTIMER ROAD,MITCHAM,MITCHAM,MERTON,GREATER LONDON,697.674418604651,5.0,86.0,57.0,1949.0,CR4,1995,10386,3,Mitcham Eastfields,0.902263,49300,4,2,9.61426746447687,0.0
{2A289E9C-E3F0-CDC8-E050-A8C063054829},43000,1995-01-20,CR4 2DR,F,L,204,,ASHBOURNE ROAD,,MITCHAM,MERTON,GREATER LONDON,1185.22601984564,2.0,36.28,79.0,1990.0,CR4,1995,19838,3,Tooting,0.711145,63800,7,2,8.3305061498968,0.0
{2A289E9E-9F91-CDC8-E050-A8C063054829},46000,1995-01-20,CR4 3SH,F,L,35,,CAMERON SQUARE,,MITCHAM,MERTON,GREATER LONDON,1210.52631578947,2.0,38.0,58.0,1990.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{2E4ED00B-B168-402F-B2E7-5D55025D78BA},57000,1995-01-20,CR4 3HZ,T,F,50,,GOODWIN CLOSE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,861.027190332326,4.0,66.2,55.0,1982.0,CR4,1995,6620,3,Phipps Bridge,0.342168,49300,3,2,7.37638527959428,0.0
{E6F2D0DC-14A0-4075-99C1-CD00D740C637},70000,1995-01-20,CR4 3RF,T,F,68,,FAIRFIELD CLOSE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1029.41176470588,4.0,68.0,48.0,0.0,CR4,1995,12088,3,Colliers Wood,0.560629,58100,4,1b,3.00932837278746,0.0
{E05373C7-12D2-4328-9504-CB29058F8C8E},131500,1995-01-26,CR4 2ET,S,F,18,,RIDGE ROAD,MITCHAM,MITCHAM,MERTON,GREATER LONDON,745.126926563917,8.0,176.48,36.0,1900.0,CR4,1995,18705,3,Tooting,0.868717,63800,6,2,5.68966443825133,0.0
{97DAFE6B-34AC-42C2-9EF7-89FD95A5FAF3},58250,1995-01-27,CR4 3JG,T,F,56,,HAWKES ROAD,MITCHAM,MITCHAM,MERTON,GREATER LONDON,820.422535211268,5.0,71.0,58.0,1929.0,CR4,1995,12088,3,Tooting,0.734613,58100,4,1a,2.33537970509908,0.0
{E073429D-1E04-4F0B-BB5C-8D0DDDD6EB84},60000,1995-01-27,CR4 3SH,T,F,63,,CAMERON SQUARE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,1052.63157894737,2.0,57.0,62.0,1995.0,CR4,1995,22329,3,Colliers Wood,0.703042,58100,7,1a,2.26654981708149,0.0
{1B7BFB50-B5AE-4559-BACD-76B615F69456},70000,1995-01-27,CR4 1DA,T,F,58,,TAMWORTH LANE,MITCHAM,MITCHAM,MERTON,GREATER LONDON,612.959719789842,5.0,114.2,51.0,1929.0,CR4,1995,7930,3,Mitcham Eastfields,0.18713,52600,3,2,9.94185079939708,0.0
{2A289E9C-E2E2-CDC8-E050-A8C063054829},23000,1995-01-27,CR4 4HY,F,L,24,FLAT 9,MILL GREEN ROAD,,MITCHAM,SUTTON,GREATER LONDON,662.061024755325,1.0,34.74,72.0,1990.0,CR4,1995,3424,4,Mitcham Junction,0.742821,45700,2,1b,3.81275095046325,0.0
{2A289E9C-E347-CDC8-E050-A8C063054829},41000,1995-01-30,CR4 1XP,T,F,58,,KENT CLOSE,,MITCHAM,MERTON,GREATER LONDON,392.344497607656,4.0,104.5,68.0,1975.0,CR4,1995,7614,3,Norbury,1.30302,48000,3,2,5.5529147665817,0.0
{2A289E9F-1E4C-CDC8-E050-A8C063054829},39000,1995-01-31,CR4 3NF,F,L,GLEBE COURT,FLAT 63,LONDON ROAD,,MITCHAM,MERTON,GREATER LONDON,486.89138576779,4.0,80.1,78.0,1949.0,CR4,1995,7481,3,Mitcham,0.806879,49300,3,3,14.553064112,0.0
