ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{1052EC5F-EA2F-4A10-A937-CAC71BA7D6B1},87500,1995-01-06 00:00,CR5 2LB,S,F,100,,COULSDON ROAD,COULSDON,COULSDON,CROYDON,GREATER LONDON,972.222222222222,4.0,90.0,58.0,1966.0,CR5,1995,19580,6,Coulsdon South,0.835187,59100,6,1b,3.51129519429425
{5DEDC5BF-AD4D-4F90-8776-45AF496EF175},92000,1995-01-06 00:00,CR5 2SP,S,F,28,,CORDREY GARDENS,COULSDON,COULSDON,CROYDON,GREATER LONDON,786.324786324786,6.0,117.0,58.0,1975.0,CR5,1995,19580,6,Coulsdon Town,0.272735,59100,6,2,9.5143649547536
{9803DF41-54D8-48BA-8BE5-0B8A8AE5A8E3},124000,1995-01-11 00:00,CR5 1EJ,T,F,189,,COULSDON ROAD,COULSDON,COULSDON,CROYDON,GREATER LONDON,961.240310077519,5.0,129.0,53.0,1949.0,CR5,1995,26497,6,Coulsdon South,2.01853,56400,9,2,5.11827880782326
{A7950E38-2323-48F8-BEF3-F7908E0BDB04},115000,1995-01-23 00:00,CR5 2ED,S,F,23,,DUNSFOLD RISE,COULSDON,COULSDON,CROYDON,GREATER LONDON,950.413223140496,5.0,121.0,57.0,1949.0,CR5,1995,29249,6,Coulsdon Town,0.848586,68900,9,1a,2.2870694325155
{18B72389-01F3-40F4-877B-7DE2B9C533B4},70000,1995-01-27 00:00,CR5 2SQ,S,F,58,,CORDREY GARDENS,COULSDON,COULSDON,CROYDON,GREATER LONDON,592.86863724909,6.0,118.07,55.0,1975.0,CR5,1995,19580,6,Coulsdon Town,0.26907,59100,6,2,9.5143649547536
{C928ABDB-F5E5-484B-B35E-24192B98AAEE},105000,1995-01-27 00:00,CR5 1BB,S,F,64,,TOLLERS LANE,COULSDON,COULSDON,CROYDON,GREATER LONDON,1179.77528089888,5.0,89.0,68.0,1949.0,CR5,1995,5720,6,Coulsdon South,1.60842,56400,2,1b,4.66103875233915
{E48C418E-7D83-48AD-80F4-6346A1FF07B4},176000,1995-01-27 00:00,CR5 2LS,D,F,10,,LARKIN CLOSE,COULSDON,COULSDON,CROYDON,GREATER LONDON,1086.41975308642,8.0,162.0,68.0,1995.0,CR5,1995,30069,6,Coulsdon South,0.963081,56400,10,1b,3.20678201627493
{7C0FF5BA-48E8-4B96-8D9D-86BAB77405DA},81000,1995-02-14 00:00,CR5 3AG,S,F,54,,WOODLANDS GROVE,COULSDON,COULSDON,CROYDON,GREATER LONDON,723.214285714286,7.0,112.0,62.0,1929.0,CR5,1995,21373,6,Woodmansterne,0.443403,66900,7,1a,1.70334743772213
{AB95E07E-9D0B-4C70-B665-CC1F9DAB9279},210000,1995-02-17 00:00,CR5 1HB,D,F,14,,CANONS HILL,COULSDON,COULSDON,CROYDON,GREATER LONDON,1071.42857142857,6.0,196.0,49.0,1949.0,CR5,1995,28945,6,Coulsdon South,1.57082,56400,9,1b,3.92776611912565
{8DEA60F3-783F-4449-94BC-A04A781091AD},82500,1995-02-24 00:00,CR5 1EG,S,F,161,,COULSDON ROAD,COULSDON,COULSDON,CROYDON,GREATER LONDON,771.028037383178,5.0,107.0,66.0,1949.0,CR5,1995,28945,6,Coulsdon South,1.92222,56400,9,2,6.10121671666957
{844B4834-6269-46D6-A86A-8C4D0181A2DF},165000,1995-02-24 00:00,CR5 2LN,D,F,12,,STANLEY CLOSE,COULSDON,COULSDON,CROYDON,GREATER LONDON,1309.52380952381,7.0,126.0,74.0,0.0,CR5,1995,30069,6,Coulsdon South,1.06488,56400,10,1b,3.20678201627493
