ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{4EA3C858-F9EF-4425-A0EF-AE8EE25F8C58},63000,1995-01-04 00:00,CR8 5NY,S,0,F,11,,OAKS ROAD,KENLEY,KENLEY,CROYDON,GREATER LONDON,504.0,6.0,125.0,45.0,1929,CR8,1995
{FC7A25B6-E3FE-4F1E-8461-068FA55A2AFD},77000,1995-01-06 00:00,CR8 4AP,S,0,F,268,,OLD LODGE LANE,PURLEY,PURLEY,CROYDON,GREATER LONDON,846.712117879921,5.0,90.94,51.0,1949,CR8,1995
{2A289E9C-E2E8-CDC8-E050-A8C063054829},19000,1995-01-10 00:00,CR8 2JA,F,0,L,26,FLAT 3,RUSSELL HILL,,PURLEY,CROYDON,GREATER LONDON,239.808153477218,4.0,79.23,61.0,1929,CR8,1995
{305EB558-59F3-474C-8715-6F6E488DD0B3},95000,1995-01-13 00:00,CR8 2NL,F,0,L,PARKVIEW,15,CHRISTCHURCH ROAD,PURLEY,PURLEY,CROYDON,GREATER LONDON,959.59595959596,4.0,99.0,76.0,1975,CR8,1995
{75F7CBA0-5647-4FA0-9FFF-DB4668296CD7},185000,1995-01-16 00:00,CR8 3PX,D,0,F,7,,BADGERS WALK,PURLEY,PURLEY,CROYDON,GREATER LONDON,1594.8275862069,5.0,116.0,61.0,1995,CR8,1995
{FA038810-2F7F-4BFE-B7C4-7EA8CF531D88},59500,1995-01-18 00:00,CR8 2PA,T,0,F,14,,LANSDOWNE ROAD,PURLEY,PURLEY,CROYDON,GREATER LONDON,743.75,4.0,80.0,54.0,1929,CR8,1995
{E2D26667-E7FA-4FC6-A00A-18B5515BCBFE},69500,1995-01-20 00:00,CR8 2DS,T,0,F,9,,CROSS ROAD,PURLEY,PURLEY,CROYDON,GREATER LONDON,847.560975609756,5.0,82.0,68.0,1929,CR8,1995
{DE070307-A0AC-4140-B95D-88049C37295A},200000,1995-01-20 00:00,CR8 5JR,D,0,F,55,,HAYES LANE,KENLEY,KENLEY,CROYDON,GREATER LONDON,581.395348837209,12.0,344.0,39.0,1929,CR8,1995
{2A289E9C-E19E-CDC8-E050-A8C063054829},47699,1995-01-23 00:00,CR8 2BY,F,0,L,20,FLAT 1,CHRISTCHURCH ROAD,,PURLEY,CROYDON,GREATER LONDON,660.376574830403,3.0,72.23,72.0,1929,CR8,1995
{D9BA0689-33DE-426E-A56C-E9894B7451D5},177500,1995-01-25 00:00,CR8 3QA,D,0,F,2,,PLOUGH LANE,PURLEY,PURLEY,CROYDON,GREATER LONDON,1069.27710843373,6.0,166.0,41.0,1949,CR8,1995
