ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{AFC3979B-4EA5-4566-BD62-7EF3D8AB2009},86000,1998-08-26 00:00,DA14 6LG,T,N,F,7,,SUSSEX ROAD,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,1131.57894736842,1998.0,1998-08-26,T,F,86000.0,DA14 6LG,E09000004,{AFC3979B-4EA5-4566-BD62-7EF3D8AB2009},18734791.0,76.0,4.0,11.0,61.0,88.0,England and Wales: 1900-1929,1131.57894736842,4.0,76.0,61.0,England and Wales: 1900-1929,DA14
{88272732-7ECD-472B-B847-F46A13BAF246},135000,1998-04-28 00:00,DA14 4QN,D,N,F,31,,RECTORY LANE,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,579.399141630901,1998.0,1998-04-28,D,F,135000.0,DA14 4QN,E09000004,{88272732-7ECD-472B-B847-F46A13BAF246},18726458.0,233.0,8.0,11.0,59.0,75.0,England and Wales: 1930-1949,579.399141630901,8.0,233.0,59.0,England and Wales: 1930-1949,DA14
{4EAED1ED-0FFE-453E-96AD-27D4A4AACA31},75995,1998-11-27 00:00,DA14 5LA,T,N,F,58,,ELLENBOROUGH ROAD,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,1134.25373134328,1998.0,1998-11-27,T,F,75995.0,DA14 5LA,E09000004,{4EAED1ED-0FFE-453E-96AD-27D4A4AACA31},18706049.0,67.0,3.0,12.0,63.0,85.0,England and Wales: 1950-1966,1134.25373134328,3.0,67.0,63.0,England and Wales: 1950-1966,DA14
{95B9BF6F-489A-42A2-AC08-91D6C0083881},83995,1998-08-12 00:00,DA14 6BA,T,N,F,35,,FELTON LEA,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,1272.65151515152,1998.0,1998-08-12,T,F,83995.0,DA14 6BA,E09000004,{95B9BF6F-489A-42A2-AC08-91D6C0083881},18732492.0,66.0,3.0,11.0,71.0,90.0,England and Wales: 1967-1975,1272.65151515152,3.0,66.0,71.0,England and Wales: 1967-1975,DA14
{C0705BEA-BE90-4421-9825-2F093D19AA6A},70000,1998-04-15 00:00,DA14 6BD,F,N,L,"WHITE GATES, 9",FLAT 4,CHISLEHURST ROAD,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,897.435897435897,1998.0,1998-04-15,F,L,70000.0,DA14 6BD,E09000004,{C0705BEA-BE90-4421-9825-2F093D19AA6A},18722857.0,78.0,3.0,12.0,67.0,78.0,England and Wales: 1967-1975,897.435897435897,3.0,78.0,67.0,England and Wales: 1967-1975,DA14
{2972CEE1-802F-41C3-98CF-36354CA613C3},250000,1998-05-27 00:00,DA14 6BU,D,N,F,14,,CHURCH AVENUE,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,1506.02409638554,1998.0,1998-05-27,D,F,250000.0,DA14 6BU,E09000004,{2972CEE1-802F-41C3-98CF-36354CA613C3},18744155.0,166.0,7.0,11.0,47.0,75.0,England and Wales: 1900-1929,1506.02409638554,7.0,166.0,47.0,England and Wales: 1900-1929,DA14
{1384DF5C-C099-40B3-A7F3-2B7DC6F554DC},51500,1998-08-17 00:00,DA14 6JA,F,N,L,"TEMPLEMORE, 73",FLAT 7,SIDCUP HILL,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,1042.51012145749,1998.0,1998-08-17,F,L,51500.0,DA14 6JA,E09000004,{1384DF5C-C099-40B3-A7F3-2B7DC6F554DC},18670647.0,49.4,2.0,11.0,78.0,84.0,England and Wales: 1967-1975,1042.51012145749,2.0,49.4,78.0,England and Wales: 1967-1975,DA14
{B073E41F-8D31-4907-A83C-E89C1D925FAE},153000,1998-11-10 00:00,DA14 4HG,S,N,F,46,,THE DRIVE,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,1638.11563169165,1998.0,1998-11-10,S,F,153000.0,DA14 4HG,E09000004,{B073E41F-8D31-4907-A83C-E89C1D925FAE},18706302.0,93.4,5.0,12.0,73.0,75.0,England and Wales: 1967-1975,1638.11563169165,5.0,93.4,73.0,England and Wales: 1967-1975,DA14
{9ADC377F-A1AF-443D-B739-28164CE3AE94},60000,1998-10-02 00:00,DA14 4HB,F,N,L,"CHERRY COURT, 2A",FLAT 5,ST JOHNS ROAD,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,1162.79069767442,1998.0,1998-10-02,F,L,60000.0,DA14 4HB,E09000004,{9ADC377F-A1AF-443D-B739-28164CE3AE94},18703986.0,51.6,2.0,12.0,76.0,83.0,England and Wales: 1991-1995,1162.79069767442,2.0,51.6,76.0,England and Wales: 1991-1995,DA14
{1E001D29-ED3D-41FE-9BDD-875F729D21BF},111220,1998-10-30 00:00,DA14 4DJ,S,N,F,87,,BIRKBECK ROAD,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,1308.47058823529,1998.0,1998-10-30,S,F,111220.0,DA14 4DJ,E09000004,{1E001D29-ED3D-41FE-9BDD-875F729D21BF},18703011.0,85.0,6.0,11.0,53.0,81.0,England and Wales: before 1900,1308.47058823529,6.0,85.0,53.0,England and Wales: before 1900,DA14
