ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{2A289E9F-7342-CDC8-E050-A8C063054829},40000,1995-01-03,DA17 6DZ,T,F,92A,,LOWER ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,930.232558139535,3.0,43.0,28.0,1929.0,DA17,1995,11511,5,Belvedere,0.729245,46300,4,2,5.24505078813887,0.0
{2A289E9C-E0CC-CDC8-E050-A8C063054829},17750,1995-01-06,DA17 5AF,T,F,101,,UPPER ABBEY ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,290.983606557377,3.0,61.0,56.0,1929.0,DA17,1995,14747,5,Belvedere,0.629882,48900,5,2,7.15487323178689,0.0
{C3191645-B926-4BDB-8403-93393FEB174A},57000,1995-01-09,DA17 5JY,D,F,98,,GROSVENOR ROAD,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,624.452234881683,4.0,91.28,41.0,1929.0,DA17,1995,10270,5,Belvedere,1.32805,48900,4,1b,4.74911617210116,0.0
{195D91DE-43F1-4EBB-9538-6B6619EFC1A5},56500,1995-01-12,DA17 5AB,T,F,3,,PAROMA ROAD,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,594.736842105263,5.0,95.0,58.0,1929.0,DA17,1995,7373,5,Belvedere,0.375318,48900,3,3,8.89270143567415,0.0
{2A289E9C-E21F-CDC8-E050-A8C063054829},50000,1995-01-13,DA17 5AH,T,F,14,,RIPLEY ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,581.395348837209,4.0,86.0,55.0,1929.0,DA17,1995,14747,5,Belvedere,0.497066,48900,5,2,8.0661436657601,0.0
{BA19C0BE-09FF-4CD4-A218-3181AFA38DAA},96000,1995-01-20,DA17 5NR,S,F,5,,OSBORNE ROAD,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,1000.0,5.0,96.0,55.0,1949.0,DA17,1995,23155,5,Belvedere,1.55566,53800,8,1b,4.55709131559908,0.0
{40B15233-3AE4-4B80-A39A-ED220A905A89},51750,1995-01-20,DA17 6HJ,T,F,19,,UPPER HOLLY HILL ROAD,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,588.068181818182,5.0,88.0,55.0,1929.0,DA17,1995,11661,5,Belvedere,0.935708,49400,4,1b,3.05398640201489,0.0
{2A289E9C-D923-CDC8-E050-A8C063054829},38495,1995-01-23,DA17 5QY,F,L,91,,SHORTLANDS CLOSE,,BELVEDERE,BEXLEY,GREATER LONDON,987.051282051282,2.0,39.0,69.0,1990.0,DA17,1995,7373,5,Belvedere,0.843715,48900,3,2,5.23507110013031,0.0
{2A289E9C-D91F-CDC8-E050-A8C063054829},37995,1995-01-23,DA17 5QY,F,L,90,,SHORTLANDS CLOSE,,BELVEDERE,BEXLEY,GREATER LONDON,926.707317073171,2.0,41.0,74.0,1995.0,DA17,1995,7373,5,Belvedere,0.843715,48900,3,2,5.23507110013031,0.0
{2A289E9C-D983-CDC8-E050-A8C063054829},38495,1995-01-23,DA17 5QY,F,L,93,,SHORTLANDS CLOSE,,BELVEDERE,BEXLEY,GREATER LONDON,1007.19518576661,2.0,38.22,59.0,1990.0,DA17,1995,7373,5,Belvedere,0.843715,48900,3,2,5.23507110013031,0.0
{2A289E9C-D926-CDC8-E050-A8C063054829},38495,1995-01-23,DA17 5QY,F,L,92,,SHORTLANDS CLOSE,,BELVEDERE,BEXLEY,GREATER LONDON,1013.02631578947,2.0,38.0,70.0,1995.0,DA17,1995,7373,5,Belvedere,0.843715,48900,3,2,5.23507110013031,0.0
{2A289E9C-E226-CDC8-E050-A8C063054829},39000,1995-01-25,DA17 6LE,F,L,"PARKSIDE LODGE, 101",FLAT 52,ERITH ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,975.0,2.0,40.0,76.0,1990.0,DA17,1995,11865,5,Belvedere,0.932546,49400,4,1b,3.32516766394924,0.0
{2A289E9C-E282-CDC8-E050-A8C063054829},49500,1995-01-30,DA17 5EF,F,L,"CAMDEN COURT, 1",2,WOOLWICH ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,853.448275862069,3.0,58.0,49.0,1975.0,DA17,1995,10270,5,Belvedere,0.976548,48900,4,1b,4.37085210289679,0.0
{2A289E9C-D924-CDC8-E050-A8C063054829},37495,1995-01-30,DA17 5QY,F,L,88,,SHORTLANDS CLOSE,,BELVEDERE,BEXLEY,GREATER LONDON,918.319862845947,2.0,40.83,45.0,1995.0,DA17,1995,7373,5,Belvedere,0.843715,48900,3,2,5.23507110013031,0.0
{D1B60632-DAC6-470E-9C38-62D77138BF05},61500,1995-01-31,DA17 5HU,T,F,10,,HATTERSFIELD CLOSE,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,878.571428571429,4.0,70.0,60.0,1990.0,DA17,1995,14747,5,Belvedere,0.808321,48900,5,1b,4.87531889691107,0.0
{2A289E9C-E3AC-CDC8-E050-A8C063054829},44500,1995-01-31,DA17 6LE,F,L,"PARKSIDE LODGE, 101",FLAT 37,ERITH ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,1062.55969436485,2.0,41.88,75.0,1990.0,DA17,1995,11865,5,Belvedere,0.932546,49400,4,1b,3.32516766394924,0.0
{2A289E9D-E2C8-CDC8-E050-A8C063054829},40500,1995-01-31,DA17 5RS,T,F,1,,HALIFIELD DRIVE,,BELVEDERE,BEXLEY,GREATER LONDON,1012.5,2.0,40.0,62.0,1990.0,DA17,1995,15526,4,Abbey Wood,0.928121,42400,5,1b,4.43964293754132,0.0
{4FA5B6E7-EE71-4BC0-A1AA-031ED3EDA237},51000,1995-02-03,DA17 5EA,F,L,1,,BERKHAMPSTEAD ROAD,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,980.769230769231,3.0,52.0,59.0,1975.0,DA17,1995,17857,5,Belvedere,0.77502,49400,6,2,7.11073547227485,-141.714938012895
{2A289E9C-D958-CDC8-E050-A8C063054829},48495,1995-02-06,DA17 5QY,F,L,86,,SHORTLANDS CLOSE,,BELVEDERE,BEXLEY,GREATER LONDON,932.596153846154,3.0,52.0,71.0,1995.0,DA17,1995,7373,5,Belvedere,0.843715,48900,3,2,5.23507110013031,-141.714938012895
{2A289E9E-67C8-CDC8-E050-A8C063054829},42500,1995-02-10,DA17 5LJ,F,L,16B,,ALBERT ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,597.74964838256,4.0,71.1,70.0,1975.0,DA17,1995,10270,5,Belvedere,1.25624,48900,4,2,6.26472889087898,-141.714938012895
{955F2401-66BC-4B8F-B43C-3EEF01ECADE3},60000,1995-02-10,DA17 5HL,T,F,6,,BRAESYDE CLOSE,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,765.990042129452,4.0,78.33,73.0,1975.0,DA17,1995,14747,5,Belvedere,0.801422,48900,5,1b,3.32610534907058,-141.714938012895
{2A289E9F-A635-CDC8-E050-A8C063054829},48000,1995-02-10,DA17 5AQ,S,F,72,,UPPER ABBEY ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,631.578947368421,4.0,76.0,70.0,1975.0,DA17,1995,7373,5,Belvedere,0.565389,48900,3,2,7.65843666284865,-141.714938012895
{2A289E9E-41DF-CDC8-E050-A8C063054829},30000,1995-02-15,DA17 5RS,F,L,43,,HALIFIELD DRIVE,,BELVEDERE,BEXLEY,GREATER LONDON,769.230769230769,2.0,39.0,56.0,1990.0,DA17,1995,15526,4,Abbey Wood,0.928121,42400,5,1b,4.43964293754132,-141.714938012895
{2A289E9E-C3E7-CDC8-E050-A8C063054829},40000,1995-02-16,DA17 5RL,F,L,50,,COPTEFIELD DRIVE,,BELVEDERE,BEXLEY,GREATER LONDON,747.384155455904,3.0,53.52,64.0,1990.0,DA17,1995,15526,4,Abbey Wood,0.737357,42400,5,1b,3.489192480324,-141.714938012895
{2A289E9F-5919-CDC8-E050-A8C063054829},39000,1995-02-16,DA17 6EB,T,F,26,,STANMORE ROAD,,BELVEDERE,BEXLEY,GREATER LONDON,433.333333333333,4.0,90.0,59.0,1929.0,DA17,1995,11511,5,Belvedere,0.926877,46300,4,1b,4.06346633772883,-141.714938012895
{2A289E9C-D959-CDC8-E050-A8C063054829},35995,1995-02-24,DA17 5QY,F,L,79,,SHORTLANDS CLOSE,,BELVEDERE,BEXLEY,GREATER LONDON,999.861111111111,2.0,36.0,76.0,1995.0,DA17,1995,7373,5,Belvedere,0.843715,48900,3,2,5.23507110013031,-141.714938012895
{5F84A8AC-C813-4F4E-B33A-217D21591F1F},71000,1995-02-24,DA17 5EW,S,F,12A,,WOOLWICH ROAD,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,731.958762886598,4.0,97.0,62.0,1966.0,DA17,1995,10270,5,Belvedere,0.927505,48900,4,1b,4.37085210289679,-141.714938012895
{AE84125B-6853-4411-9035-33BCDE5429CA},65500,1995-02-27,DA17 5JX,S,F,97,,NUXLEY ROAD,BELVEDERE,BELVEDERE,BEXLEY,GREATER LONDON,818.75,4.0,80.0,65.0,1975.0,DA17,1995,10270,5,Belvedere,1.42598,48900,4,2,6.90989840959872,-141.714938012895
{2A289E9C-D984-CDC8-E050-A8C063054829},34495,1995-02-27,DA17 5QY,F,L,83,,SHORTLANDS CLOSE,,BELVEDERE,BEXLEY,GREATER LONDON,1189.48275862069,2.0,29.0,44.0,1990.0,DA17,1995,7373,5,Belvedere,0.843715,48900,3,2,5.23507110013031,-141.714938012895
