ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2A289E9C-E087-CDC8-E050-A8C063054829},33500,1995-01-06 00:00,DA1 4HG,F,N,L,36A,,CRAYFORD HIGH STREET,CRAYFORD,DARTFORD,BEXLEY,GREATER LONDON,385.057471264368,1995.0,1995-01-06,F,L,33500.0,DA1 4HG,E09000004,{2A289E9C-E087-CDC8-E050-A8C063054829},18701437.0,87.0,4.0,11.0,61.0,73.0,England and Wales: 1950-1966,385.057471264368,4.0,87.0,61.0,England and Wales: 1950-1966,DA1,1995
{2A289E9C-E280-CDC8-E050-A8C063054829},29995,1995-01-06 00:00,DA1 4SX,F,N,L,7,,ASHURST CLOSE,CRAYFORD,DARTFORD,BEXLEY,GREATER LONDON,857.0,1995.0,1995-01-06,F,L,29995.0,DA1 4SX,E09000004,{2A289E9C-E280-CDC8-E050-A8C063054829},18680874.0,35.0,2.0,12.0,74.0,80.0,England and Wales: 1976-1982,857.0,2.0,35.0,74.0,England and Wales: 1976-1982,DA1,1995
{2A289E9C-E28F-CDC8-E050-A8C063054829},23500,1995-01-13 00:00,DA1 4RB,F,N,L,43,,PERRY STREET,CRAYFORD,DARTFORD,BEXLEY,GREATER LONDON,469.53046953047,1995.0,1995-01-13,F,L,23500.0,DA1 4RB,E09000004,{2A289E9C-E28F-CDC8-E050-A8C063054829},18696633.0,50.05,3.0,12.0,67.0,70.0,England and Wales: 1930-1949,469.53046953047,3.0,50.05,67.0,England and Wales: 1930-1949,DA1,1995
{2A289E9F-DC96-CDC8-E050-A8C063054829},49500,1995-01-20 00:00,DA1 4TH,S,N,F,84,,SHEARWOOD CRESCENT,CRAYFORD,DARTFORD,BEXLEY,GREATER LONDON,859.972202918693,1995.0,1995-01-20,S,F,49500.0,DA1 4TH,E09000004,{2A289E9F-DC96-CDC8-E050-A8C063054829},18667810.0,57.56,4.0,12.0,39.0,70.0,England and Wales: 1983-1990,859.972202918693,4.0,57.56,39.0,England and Wales: 1983-1990,DA1,1995
{7759DA7F-01F3-4621-A8BA-1AB2B68A3D46},57950,1995-01-26 00:00,DA1 4AA,T,N,F,46,,WHITEHILL ROAD,DARTFORD,DARTFORD,BEXLEY,GREATER LONDON,651.123595505618,1995.0,1995-01-26,T,F,57950.0,DA1 4AA,E09000004,{7759DA7F-01F3-4621-A8BA-1AB2B68A3D46},18669271.0,89.0,5.0,12.0,41.0,76.0,England and Wales: 1930-1949,651.123595505618,5.0,89.0,41.0,England and Wales: 1930-1949,DA1,1995
{4C39EAD8-40F3-4C34-B5D3-C8A1F9475094},60000,1995-01-26 00:00,DA1 4TJ,T,N,F,175,,SHEARWOOD CRESCENT,DARTFORD,DARTFORD,BEXLEY,GREATER LONDON,769.230769230769,1995.0,1995-01-26,T,F,60000.0,DA1 4TJ,E09000004,{4C39EAD8-40F3-4C34-B5D3-C8A1F9475094},18684685.0,78.0,4.0,11.0,72.0,85.0,England and Wales: 1991-1995,769.230769230769,4.0,78.0,72.0,England and Wales: 1991-1995,DA1,1995
{2A289E9C-E273-CDC8-E050-A8C063054829},45000,1995-01-27 00:00,DA1 4PJ,T,N,F,21,,STOUR ROAD,CRAYFORD,DARTFORD,BEXLEY,GREATER LONDON,576.923076923077,1995.0,1995-01-27,T,F,45000.0,DA1 4PJ,E09000004,{2A289E9C-E273-CDC8-E050-A8C063054829},18690238.0,78.0,4.0,11.0,43.0,84.0,England and Wales: 1950-1966,576.923076923077,4.0,78.0,43.0,England and Wales: 1950-1966,DA1,1995
{9CF731D2-6ED8-4459-8865-FED0B5E3034B},55000,1995-02-13 00:00,DA1 4JR,S,N,F,9,,GREEN PLACE,DARTFORD,DARTFORD,BEXLEY,GREATER LONDON,696.20253164557,1995.0,1995-02-13,S,F,55000.0,DA1 4JR,E09000004,{9CF731D2-6ED8-4459-8865-FED0B5E3034B},18695764.0,79.0,5.0,11.0,60.0,85.0,England and Wales: 1900-1929,696.20253164557,5.0,79.0,60.0,England and Wales: 1900-1929,DA1,1995
{A775296D-9958-4B2D-A97E-70320C75FEA9},64950,1995-02-16 00:00,DA1 3QG,D,N,L,104,,STATION ROAD,CRAYFORD,DARTFORD,BEXLEY,GREATER LONDON,690.957446808511,1995.0,1995-02-16,D,L,64950.0,DA1 3QG,E09000004,{A775296D-9958-4B2D-A97E-70320C75FEA9},18696807.0,94.0,3.0,11.0,64.0,78.0,England and Wales: 1950-1966,690.957446808511,3.0,94.0,64.0,England and Wales: 1950-1966,DA1,1995
{2A289E9F-371D-CDC8-E050-A8C063054829},39000,1995-02-23 00:00,DA1 4TR,F,N,L,108,,WOODFALL DRIVE,CRAYFORD,DARTFORD,BEXLEY,GREATER LONDON,715.202640748212,1995.0,1995-02-23,F,L,39000.0,DA1 4TR,E09000004,{2A289E9F-371D-CDC8-E050-A8C063054829},18691741.0,54.53,2.0,11.0,82.0,82.0,England and Wales: 1983-1990,715.202640748212,2.0,54.53,82.0,England and Wales: 1983-1990,DA1,1995
