ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{C724F3D4-11DC-4194-BABB-5E65194596F5},79000,1995-01-05 00:00,DA7 5SE,T,0,F,310,,BRAMPTON ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,473.053892215569,8.0,167.0,59.0,1949,DA7,1995
{2A289E9C-E13F-CDC8-E050-A8C063054829},29950,1995-01-06 00:00,DA7 6EB,S,0,L,2A,,CHIEVELEY PARADE,,BEXLEYHEATH,BEXLEY,GREATER LONDON,637.234042553191,3.0,47.0,53.0,1929,DA7,1995
{62033EF8-2A15-47FF-9D79-6E95F85CBEA2},77995,1995-01-06 00:00,DA7 6NL,S,0,F,104,,PARKSIDE AVENUE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,677.628149435274,5.0,115.1,61.0,1949,DA7,1995
{9ABC5634-D072-43F1-93C1-00949597336D},84000,1995-01-09 00:00,DA7 4DZ,S,0,F,8,,PERCY ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,583.333333333333,8.0,144.0,75.0,1949,DA7,1995
{4D0140C0-DBDA-44F2-B096-3298E0769F4D},61000,1995-01-10 00:00,DA7 4JL,S,0,F,73,,MAYPLACE ROAD WEST,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,897.058823529412,3.0,68.0,56.0,1929,DA7,1995
{68103775-20D7-429D-BECA-8A3957ECDFE8},73750,1995-01-12 00:00,DA7 5BG,T,0,F,18,,HEVERSHAM ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,905.352320157132,4.0,81.46,60.0,1949,DA7,1995
{B9298E65-9CCF-4E44-8755-7B6DA860F4D3},62500,1995-01-13 00:00,DA7 5QD,S,0,F,2,,IRIS CRESCENT,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,833.333333333333,4.0,75.0,49.0,1949,DA7,1995
{BA7E9A30-B0A3-40DE-B24D-F45F9080BE22},71995,1995-01-16 00:00,DA7 5ED,S,0,F,39,,BIRCHINGTON CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,899.9375,4.0,80.0,66.0,1975,DA7,1995
{603C86E7-44EE-4F61-AF55-8356089BDB18},83000,1995-01-16 00:00,DA7 6DF,S,0,F,12,,LYNDHURST ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,423.469387755102,8.0,196.0,69.0,1949,DA7,1995
{FB55ABAF-8DB5-4BCF-9ED9-858409F4A1CF},102000,1995-01-20 00:00,DA7 6JG,S,0,F,54,,BEVERLEY ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,766.917293233083,7.0,133.0,60.0,1949,DA7,1995
{6BDDA220-8C26-464A-87F1-1EAF6DB608DD},51000,1995-01-24 00:00,DA7 6NP,T,0,F,201,,PARKSIDE AVENUE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,836.065573770492,4.0,61.0,72.0,1949,DA7,1995
{2A289E9C-E2CC-CDC8-E050-A8C063054829},44000,1995-01-27 00:00,DA7 6AS,F,0,L,35,,BRAEMAR AVENUE,,BEXLEYHEATH,BEXLEY,GREATER LONDON,864.440078585462,3.0,50.9,59.0,1949,DA7,1995
