ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{2A289E9C-E139-CDC8-E050-A8C063054829},21000,1995-01-04 00:00,E15 2RS,F,0,L,BRITTEN COURT,FLAT 8,ABBEY LANE,,LONDON,NEWHAM,GREATER LONDON,704.225352112676,2.0,29.82,63.0,1995.0,E15,1995,6075,3,Abbey Road,0.484548,68800,2,6a,27.1721023094143
{2A289E9F-3459-CDC8-E050-A8C063054829},35000,1995-01-05 00:00,E15 4QB,F,0,L,61,,PAUL STREET,,LONDON,NEWHAM,GREATER LONDON,514.705882352941,3.0,68.0,64.0,1975.0,E15,1995,7499,3,Stratford High Street,0.336338,47000,3,3,14.1673961510696
{2A289E9C-E3DA-CDC8-E050-A8C063054829},42000,1995-01-05 00:00,E15 1RN,T,0,F,66,,ST JAMES ROAD,STRATFORD,LONDON,NEWHAM,GREATER LONDON,465.373961218837,5.0,90.25,53.0,1900.0,E15,1995,9504,3,Maryland,0.689452,50900,3,2,6.95195549971262
{47F78987-446A-406B-A60D-95B0BC853959},53000,1995-01-05 00:00,E15 4NW,T,0,F,66,,LOUISE ROAD,LONDON,LONDON,NEWHAM,GREATER LONDON,701.150945892314,3.0,75.59,52.0,1929.0,E15,1995,13767,3,Maryland,0.285438,52700,5,4,19.3885969162801
{C2F9531B-6F54-4596-AEE3-A1812F990AAF},55000,1995-01-05 00:00,E15 2TR,T,0,F,19,,DOWNSELL ROAD,LONDON,LONDON,WALTHAM FOREST,GREATER LONDON,780.03120124805,4.0,70.51,74.0,1929.0,E15,1995,10118,3,Leyton,0.614079,49200,4,5,20.1737572742436
{2A289E9C-E0B8-CDC8-E050-A8C063054829},38000,1995-01-06 00:00,E15 4HG,S,0,F,95A,,VICARAGE LANE,STRATFORD,LONDON,NEWHAM,GREATER LONDON,883.720930232558,2.0,43.0,50.0,1929.0,E15,1995,10995,3,Maryland,0.686042,51900,4,3,13.7606909917531
{2A289E9D-92E5-CDC8-E050-A8C063054829},50000,1995-01-06 00:00,E15 2BZ,T,0,F,28,,WESTDOWN ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON,581.395348837209,5.0,86.0,44.0,1929.0,E15,1995,11164,3,Leyton,0.340653,50500,4,6a,26.4313479237226
{D31223AE-ECC5-4048-9688-9677CB290D5D},60000,1995-01-16 00:00,E15 2TR,T,0,F,13,,DOWNSELL ROAD,LONDON,LONDON,WALTHAM FOREST,GREATER LONDON,495.826791174283,6.0,121.01,66.0,1900.0,E15,1995,10118,3,Leyton,0.614079,49200,4,5,20.1737572742436
{2A289E9C-E15D-CDC8-E050-A8C063054829},23000,1995-01-17 00:00,E15 2RS,F,0,L,BRITTEN COURT,FLAT 9,ABBEY LANE,,LONDON,NEWHAM,GREATER LONDON,581.101566447701,1.0,39.58,69.0,1995.0,E15,1995,6075,3,Abbey Road,0.484548,68800,2,6a,27.1721023094143
{2A289E9C-E15C-CDC8-E050-A8C063054829},37000,1995-01-19 00:00,E15 4NW,T,0,F,60,,LOUISE ROAD,,LONDON,NEWHAM,GREATER LONDON,474.358974358974,4.0,78.0,54.0,1929.0,E15,1995,13767,3,Maryland,0.285438,52700,5,4,19.3885969162801
