ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{8AA6B1FC-A37D-41A7-9C7E-3A4C81AF46C9},175000,1995-07-28 00:00,E1W 2JJ,T,N,F,130,,KENNET STREET,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1337.818209617,1995.0,1995-07-28,T,F,175000.0,E1W 2JJ,E09000030,{8AA6B1FC-A37D-41A7-9C7E-3A4C81AF46C9},21461033.0,130.81,6.0,12.0,70.0,74.0,England and Wales: 1991-1995,1337.818209617,6.0,130.81,70.0,England and Wales: 1991-1995,E1W
{15969607-9735-437B-B44E-450E7F0E4A7B},108000,1995-11-17 00:00,E1W 3TS,F,N,L,4,FLAT 35,NEW CRANE PLACE,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1806.62428905989,1995.0,1995-11-17,F,L,108000.0,E1W 3TS,E09000030,{15969607-9735-437B-B44E-450E7F0E4A7B},21450233.0,59.78,2.0,12.0,78.0,85.0,England and Wales: 1983-1990,1806.62428905989,2.0,59.78,78.0,England and Wales: 1983-1990,E1W
{D5BA9FAE-8897-4129-ADBA-5A393A8E4897},125000,1995-04-28 00:00,E1W 2NH,F,N,L,130,FLAT 36,WAPPING HIGH STREET,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1373.62637362637,1995.0,1995-04-28,F,L,125000.0,E1W 2NH,E09000030,{D5BA9FAE-8897-4129-ADBA-5A393A8E4897},21499050.0,91.0,2.0,11.0,42.0,82.0,England and Wales: 1900-1929,1373.62637362637,2.0,91.0,42.0,England and Wales: 1900-1929,E1W
{45060428-8010-416A-82AC-8EAEF4C34120},91000,1995-12-13 00:00,E1W 1UB,F,N,L,"NIGHTINGALE HOUSE, 50",FLAT 61,THOMAS MORE STREET,LONDON,LONDON,ENFIELD,GREATER LONDON,1831.35439726303,1995.0,1995-12-13,F,L,91000.0,E1W 1UB,E09000030,{45060428-8010-416A-82AC-8EAEF4C34120},21409345.0,49.69,2.0,11.0,75.0,83.0,England and Wales: 1983-1990,1831.35439726303,2.0,49.69,75.0,England and Wales: 1983-1990,E1W
{ED9E5E7C-D402-401E-AC7C-41C237EA65B6},140000,1995-06-27 00:00,E1W 2JL,T,N,F,25,,WAVENEY CLOSE,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1217.39130434783,1995.0,1995-06-27,T,F,140000.0,E1W 2JL,E09000030,{ED9E5E7C-D402-401E-AC7C-41C237EA65B6},21408278.0,115.0,5.0,11.0,73.0,85.0,England and Wales: 1983-1990,1217.39130434783,5.0,115.0,73.0,England and Wales: 1983-1990,E1W
{F1C78F98-3B7B-4594-AFE3-87AC69857EC0},230000,1995-08-02 00:00,E1W 2PJ,F,N,L,"OLIVERS WHARF, 64",FLAT 2D,WAPPING HIGH STREET,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1210.52631578947,1995.0,1995-08-02,F,L,230000.0,E1W 2PJ,E09000030,{F1C78F98-3B7B-4594-AFE3-87AC69857EC0},21491460.0,190.0,4.0,11.0,78.0,81.0,England and Wales: before 1900,1210.52631578947,4.0,190.0,78.0,England and Wales: before 1900,E1W
{8A9CC671-1043-476A-882D-7376D7A76A15},122500,1995-06-30 00:00,E1W 3TF,F,N,L,TRAFALGAR COURT,FLAT 32,WAPPING WALL,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,2684.63730002192,1995.0,1995-06-30,F,L,122500.0,E1W 3TF,E09000030,{8A9CC671-1043-476A-882D-7376D7A76A15},21467752.0,45.63,2.0,12.0,70.0,81.0,England and Wales: 1991-1995,2684.63730002192,2.0,45.63,70.0,England and Wales: 1991-1995,E1W
{9FEECF05-C177-4E03-8728-54E49A913D40},142500,1995-12-18 00:00,E1W 2JN,T,N,F,20,,RODING MEWS,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1639.43856419696,1995.0,1995-12-18,T,F,142500.0,E1W 2JN,E09000030,{9FEECF05-C177-4E03-8728-54E49A913D40},21422140.0,86.92,6.0,11.0,79.0,82.0,England and Wales: 1996-2002,1639.43856419696,6.0,86.92,79.0,England and Wales: 1996-2002,E1W
{2632FAD8-16D5-4AAB-B931-550CACDDA48D},185000,1995-02-28 00:00,E1W 2JY,F,N,L,LEEWARD COURT,FLAT 38,ASHER WAY,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1932.11488250653,1995.0,1995-02-28,F,L,185000.0,E1W 2JY,E09000030,{2632FAD8-16D5-4AAB-B931-550CACDDA48D},21409337.0,95.75,3.0,12.0,70.0,78.0,England and Wales: 1983-1990,1932.11488250653,3.0,95.75,70.0,England and Wales: 1983-1990,E1W
{C7CECC6F-9691-47FA-8F1E-45ABB4E10F0D},55000,1995-03-29 00:00,E1W 1NB,F,N,L,31,,BURR CLOSE,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1307.03422053232,1995.0,1995-03-29,F,L,55000.0,E1W 1NB,E09000030,{C7CECC6F-9691-47FA-8F1E-45ABB4E10F0D},21422231.0,42.08,2.0,11.0,67.0,68.0,England and Wales: 1967-1975,1307.03422053232,2.0,42.08,67.0,England and Wales: 1967-1975,E1W
{2E20B84F-FDF7-4884-9981-C46BFEFD923E},325000,1995-06-09 00:00,E1W 1UR,F,N,L,"TOWER BRIDGE WHARF, 86",FLAT 33,ST KATHARINES WAY,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,2939.04865255923,1995.0,1995-06-09,F,L,325000.0,E1W 1UR,E09000030,{2E20B84F-FDF7-4884-9981-C46BFEFD923E},21472805.0,110.58,4.0,12.0,80.0,83.0,England and Wales: 1983-1990,2939.04865255923,4.0,110.58,80.0,England and Wales: 1983-1990,E1W
{3B84F759-C8F4-4B6C-9FBE-C0F11C4E036D},74000,1995-08-31 00:00,E1W 2JW,F,N,L,25,,WELLAND MEWS,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1541.66666666667,1995.0,1995-08-31,F,L,74000.0,E1W 2JW,E09000030,{3B84F759-C8F4-4B6C-9FBE-C0F11C4E036D},21497622.0,48.0,3.0,11.0,63.0,75.0,England and Wales: 1991-1995,1541.66666666667,3.0,48.0,63.0,England and Wales: 1991-1995,E1W
{3BE3D1F0-E6CC-4C7A-9728-D1ADADF20845},90000,1995-03-21 00:00,E1W 2JD,F,N,L,SPICE COURT,FLAT 10,ASHER WAY,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1730.76923076923,1995.0,1995-03-21,F,L,90000.0,E1W 2JD,E09000030,{3BE3D1F0-E6CC-4C7A-9728-D1ADADF20845},21389512.0,52.0,2.0,11.0,76.0,80.0,England and Wales: 1991-1995,1730.76923076923,2.0,52.0,76.0,England and Wales: 1991-1995,E1W
{E4CC32D0-A9AC-4B76-983F-BD7A6ADA48F6},159000,1995-06-30 00:00,E1W 1UR,F,N,L,"TOWER BRIDGE WHARF, 86",FLAT 24,ST KATHARINES WAY,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,2741.37931034483,1995.0,1995-06-30,F,L,159000.0,E1W 1UR,E09000030,{E4CC32D0-A9AC-4B76-983F-BD7A6ADA48F6},21419895.0,58.0,2.0,11.0,75.0,80.0,England and Wales: 1983-1990,2741.37931034483,2.0,58.0,75.0,England and Wales: 1983-1990,E1W
