ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{6D662BF4-01DE-403F-8A33-6192E795D289},57000,1995-01-05 00:00,E2 0JH,S,F,30,,GAWBER STREET,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,721.518987341772,5.0,79.0,62.0,1929.0,E2,1995,9652,2,Bethnal Green,0.374942,53600,3,6a,29.1850899733671
{2A289E9D-928A-CDC8-E050-A8C063054829},43000,1995-01-11 00:00,E2 6NR,F,L,"FLAMINGO HOUSE, 163",FLAT 3,GOSSET STREET,,LONDON,TOWER HAMLETS,GREATER LONDON,1050.06105006105,2.0,40.95,80.0,0.0,E2,1995,6274,2,Bethnal Green Rail,0.571882,56500,2,6a,25.7693857019478
{90DECCFB-CD64-42D7-8EFE-4ED24AA94948},53500,1995-01-13 00:00,E2 9JL,F,L,KEMP HOUSE,FLAT 10,SEWARDSTONE ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,753.521126760563,4.0,71.0,74.0,1966.0,E2,1995,10249,2,Cambridge Heath,0.663572,50800,4,2,9.52020791932605
{2A289E9C-E412-CDC8-E050-A8C063054829},40500,1995-01-17 00:00,E2 9BJ,F,L,BESFORD HOUSE,FLAT 51,PRITCHARDS ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON,1008.71731008717,3.0,40.15,57.0,1929.0,E2,1995,10499,2,Cambridge Heath,0.387817,56500,4,4,19.8517568700075
{2A289E9C-E12A-CDC8-E050-A8C063054829},29950,1995-01-17 00:00,E2 7QQ,F,L,JAMES BRINE HOUSE,FLAT 23,RAVENSCROFT STREET,BETHNAL GREEN,LONDON,TOWER HAMLETS,GREATER LONDON,365.243902439024,4.0,82.0,64.0,1966.0,E2,1995,4644,1,Hoxton,0.321171,51900,2,5,21.0719994284241
{031B081B-5DB5-49A3-A9B5-3A4F951FB865},68000,1995-01-19 00:00,E2 0BU,F,L,143,,WILMOT STREET,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,778.032036613272,3.0,87.4,34.0,1929.0,E2,1995,7276,2,Bethnal Green Rail,0.222072,51400,3,6a,34.7941353031813
{7A72005E-8B85-46E7-9C81-0C0E5A56C1CF},69995,1995-01-23 00:00,E2 7NB,F,L,6,,AUSTIN STREET,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1186.35593220339,3.0,59.0,68.0,0.0,E2,1995,4644,1,Shoreditch High Street,0.418001,51900,2,6b,44.0698502054624
{2A289E9C-E1D3-CDC8-E050-A8C063054829},40000,1995-01-25 00:00,E2 7SH,F,L,17,,RAVENSCROFT STREET,BETHNAL GREEN,LONDON,TOWER HAMLETS,GREATER LONDON,487.80487804878,4.0,82.0,73.0,1975.0,E2,1995,5572,1,Hoxton,0.327737,51900,2,3,14.9674674981437
{2A289E9C-E1FF-CDC8-E050-A8C063054829},43000,1995-01-26 00:00,E2 7AA,F,L,40,,NELSON GARDENS,,LONDON,TOWER HAMLETS,GREATER LONDON,589.041095890411,3.0,73.0,66.0,1975.0,E2,1995,6274,2,Cambridge Heath,0.543859,56500,2,3,12.7739386588407
{487CFEB2-54E1-4FF2-A95F-D57716DDAFC3},69500,1995-01-27 00:00,E2 9PB,F,L,6,,VICTORIA PARK SQUARE,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,681.372549019608,6.0,102.0,60.0,1975.0,E2,1995,10040,2,Bethnal Green,0.177416,53600,4,6a,33.3220080813065
