ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{EC3594E8-88F3-41C6-8C32-40FBD3BB2205},64995,1995-01-06 00:00,E3 4XE,F,L,"BENTLEY HOUSE, 21",FLAT 8,WELLINGTON WAY,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1002.23592906708,3.0,64.85,82.0,1995.0,E3,1995
{D292432D-6B6E-4024-94B8-6BD1E4F2DDDA},200000,1995-01-06 00:00,E3 5AA,T,F,19,,MORGAN STREET,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1067.00810926163,6.0,187.44,45.0,1900.0,E3,1995
{47053D96-2CAB-4963-AC89-674F67D496FB},66995,1995-01-13 00:00,E3 4XE,F,L,"BENTLEY HOUSE, 21",FLAT 7,WELLINGTON WAY,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1063.4126984127,3.0,63.0,73.0,1995.0,E3,1995
{9B5CB1CE-6423-4B05-A472-DE2A7E193121},79500,1995-01-13 00:00,E3 4BP,T,F,155,,KNAPP ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,836.842105263158,6.0,95.0,59.0,1900.0,E3,1995
{C2643501-BED8-4906-A9E3-6B12BCFA1639},56995,1995-01-16 00:00,E3 5NQ,F,L,235,FLAT 16,OLD FORD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1295.34090909091,2.0,44.0,74.0,0.0,E3,1995
{172B1CCD-D485-40D1-B937-A052829B9A1C},81000,1995-01-18 00:00,E3 2UH,F,L,LEXINGTON BUILDING,FLAT 201,FAIRFIELD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,964.285714285714,4.0,84.0,66.0,1990.0,E3,1995
{79F558E5-472C-4784-B26E-44D8B12A7CD0},54995,1995-01-19 00:00,E3 4XS,F,L,"LAGONDA HOUSE, 20",FLAT 9,TIDWORTH ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1341.34146341463,2.0,41.0,77.0,1995.0,E3,1995
{A148A8E8-F649-4E2D-A61D-62697858636B},60000,1995-01-20 00:00,E3 2UE,F,L,LEXINGTON BUILDING,FLAT 308,FAIRFIELD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,866.551126516465,2.0,69.24,68.0,1995.0,E3,1995
{2A289E9C-E28E-CDC8-E050-A8C063054829},39500,1995-01-23 00:00,E3 3HW,F,L,71,,REGENT SQUARE,,LONDON,TOWER HAMLETS,GREATER LONDON,908.045977011494,2.0,43.5,59.0,1975.0,E3,1995
{63786AE9-400D-4C07-B029-549F5A2640B1},92000,1995-01-23 00:00,E3 5DB,T,F,68,,STRAHAN ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,884.615384615385,5.0,104.0,71.0,1900.0,E3,1995
{2A289E9C-E242-CDC8-E050-A8C063054829},36000,1995-01-24 00:00,E3 3HE,T,F,31,,ARROW ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON,620.689655172414,3.0,58.0,65.0,1990.0,E3,1995
{C97C0F10-7F12-44C1-92D8-0159A5D31851},64495,1995-01-27 00:00,E3 4XE,F,L,"BENTLEY HOUSE, 21",FLAT 5,WELLINGTON WAY,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1289.9,3.0,50.0,73.0,1995.0,E3,1995
{807C1C7F-55D9-4102-AB80-49E46BEBD161},54000,1995-02-01 00:00,E3 5NF,F,L,42,,DRIFFIELD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,462.328767123288,6.0,116.8,59.0,1982.0,E3,1995
{FC083F48-54BC-4406-BC02-8265861A337D},55500,1995-02-03 00:00,E3 5AT,F,L,11A,,LICHFIELD ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON,840.909090909091,3.0,66.0,57.0,1929.0,E3,1995
{6205E558-0EE0-4F4B-ADFF-7EA6003EC806},55495,1995-02-07 00:00,E3 4XE,F,L,"BENTLEY HOUSE, 21",FLAT 12,WELLINGTON WAY,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,1387.375,2.0,40.0,79.0,1995.0,E3,1995
{2A289E9D-0D85-CDC8-E050-A8C063054829},34000,1995-02-08 00:00,E3 2DW,F,L,18,,HEYLYN SQUARE,,LONDON,TOWER HAMLETS,GREATER LONDON,714.285714285714,2.0,47.6,80.0,1982.0,E3,1995
{2A289E9C-E485-CDC8-E050-A8C063054829},40000,1995-02-10 00:00,E3 2QB,F,L,24,FLAT 3,FAIRFIELD ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON,500.0,4.0,80.0,67.0,1966.0,E3,1995
