ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{318E3C8C-F40F-423A-8C02-0C6551A2EE5D},375000,2000-03-15 00:00,EC1M 4BU,F,Y,L,28,FLAT 6,ST JOHNS LANE,,LONDON,ISLINGTON,GREATER LONDON,3854.45575084798,2000.0,2000-03-15,F,L,375000.0,EC1M 4BU,E09000019,{318E3C8C-F40F-423A-8C02-0C6551A2EE5D},20345499.0,97.29,3.0,11.0,82.0,85.0,England and Wales: 1996-2002,3854.45575084798,3.0,97.29,82.0,England and Wales: 1996-2002,EC1M
{7E95F64B-213A-407F-9548-64553511DF26},255000,2000-01-06 00:00,EC1M 3LL,F,N,L,81 - 89,FLAT 8,FARRINGDON ROAD,,LONDON,CAMDEN,GREATER LONDON,2805.28052805281,2000.0,2000-01-06,F,L,255000.0,EC1M 3LL,E09000007,{7E95F64B-213A-407F-9548-64553511DF26},18991150.0,90.9,4.0,12.0,54.0,56.0,England and Wales: 1967-1975,2805.28052805281,4.0,90.9,54.0,England and Wales: 1967-1975,EC1M
{DEB0AFD1-C63A-4027-B44E-091C492E3082},248500,2000-06-30 00:00,EC1M 3HA,F,N,L,25 - 27,FLAT 7,FARRINGDON ROAD,,LONDON,CAMDEN,GREATER LONDON,3036.78357570573,2000.0,2000-06-30,F,L,248500.0,EC1M 3HA,E09000007,{DEB0AFD1-C63A-4027-B44E-091C492E3082},19071733.0,81.83,3.0,11.0,82.0,84.0,England and Wales: 1900-1929,3036.78357570573,3.0,81.83,82.0,England and Wales: 1900-1929,EC1M
{EB55F936-BE34-4E06-B2F8-6BB7E05CC546},610000,2000-03-21 00:00,EC1M 5NR,F,N,L,1,FLAT 4,BRISET STREET,,LONDON,ISLINGTON,GREATER LONDON,4803.14960629921,2000.0,2000-03-21,F,L,610000.0,EC1M 5NR,E09000019,{EB55F936-BE34-4E06-B2F8-6BB7E05CC546},20333313.0,127.0,,11.0,65.0,67.0,England and Wales: 2007 onwards,4803.14960629921,,127.0,65.0,England and Wales: 2007 onwards,EC1M
{0534569C-D450-46B2-A3E4-A222882905A7},320000,2000-08-23 00:00,EC1M 5PS,F,N,L,36 - 42,FLAT 1,CLERKENWELL ROAD,,LONDON,ISLINGTON,GREATER LONDON,2077.92207792208,2000.0,2000-08-23,F,L,320000.0,EC1M 5PS,E09000019,{0534569C-D450-46B2-A3E4-A222882905A7},20367528.0,154.0,3.0,11.0,71.0,76.0,England and Wales: 1900-1929,2077.92207792208,3.0,154.0,71.0,England and Wales: 1900-1929,EC1M
{CF422316-D944-4359-BA26-A226CBD686A6},210000,2000-11-22 00:00,EC1M 5UT,F,N,L,58,FLAT 2,BRITTON STREET,,LONDON,ISLINGTON,GREATER LONDON,4038.46153846154,2000.0,2000-11-22,F,L,210000.0,EC1M 5UT,E09000019,{CF422316-D944-4359-BA26-A226CBD686A6},20283621.0,52.0,2.0,11.0,74.0,80.0,England and Wales: before 1900,4038.46153846154,2.0,52.0,74.0,England and Wales: before 1900,EC1M
{9E6616ED-6378-4403-85F0-7A78B79B8E8F},202500,2000-03-15 00:00,EC1M 5NW,F,N,L,"MILLENNIUM HEIGHTS, 1",FLAT 9,BRITTON STREET,,LONDON,ISLINGTON,GREATER LONDON,5192.30769230769,2000.0,2000-03-15,F,L,202500.0,EC1M 5NW,E09000019,{9E6616ED-6378-4403-85F0-7A78B79B8E8F},20283889.0,39.0,2.0,11.0,74.0,80.0,England and Wales: 1996-2002,5192.30769230769,2.0,39.0,74.0,England and Wales: 1996-2002,EC1M
{CD25B5FE-C948-4AAA-B945-27E79F4BD39B},180000,2000-03-31 00:00,EC1M 5SY,F,Y,L,"THACKERY COURT, 75",FLAT 25,TURNMILL STREET,,LONDON,ISLINGTON,GREATER LONDON,3750.0,2000.0,2000-03-31,F,L,180000.0,EC1M 5SY,E09000019,{CD25B5FE-C948-4AAA-B945-27E79F4BD39B},20278681.0,48.0,2.0,12.0,85.0,87.0,England and Wales: 2007 onwards,3750.0,2.0,48.0,85.0,England and Wales: 2007 onwards,EC1M
{8D84D762-D0BF-4AD2-AC18-BF7AFC4A38CC},190000,2000-03-30 00:00,EC1M 5RS,F,N,L,45 - 47,FLAT 3,CLERKENWELL ROAD,,LONDON,ISLINGTON,GREATER LONDON,2261.90476190476,2000.0,2000-03-30,F,L,190000.0,EC1M 5RS,E09000019,{8D84D762-D0BF-4AD2-AC18-BF7AFC4A38CC},20363521.0,84.0,2.0,11.0,79.0,79.0,England and Wales: 1996-2002,2261.90476190476,2.0,84.0,79.0,England and Wales: 1996-2002,EC1M
{EB32B063-900B-4354-BABB-8FE3B2765A61},248500,2000-06-29 00:00,EC1M 3HA,F,N,L,25 - 27,FLAT 21,FARRINGDON ROAD,,LONDON,CAMDEN,GREATER LONDON,2275.43265268748,2000.0,2000-06-29,F,L,248500.0,EC1M 3HA,E09000007,{EB32B063-900B-4354-BABB-8FE3B2765A61},18998484.0,109.21,3.0,12.0,80.0,83.0,England and Wales: before 1900,2275.43265268748,3.0,109.21,80.0,England and Wales: before 1900,EC1M
