ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{D09E376F-4282-4AAC-8650-3A870C9F5867},52000,1995-10-25 00:00,EC1M 6ET,F,N,L,"FLORIN COURT, 6 - 9",FLAT 1,CHARTERHOUSE SQUARE,LONDON,LONDON,ISLINGTON,GREATER LONDON,1312.13726974514,1995.0,1995-10-25,F,L,52000.0,EC1M 6ET,E09000019,{D09E376F-4282-4AAC-8650-3A870C9F5867},20353832.0,39.63,2.0,11.0,64.0,65.0,England and Wales: 1930-1949,1312.13726974514,2.0,39.63,64.0,England and Wales: 1930-1949,EC1M,1995
{98AB5E69-CA6B-4A0D-8252-D4FE186DA7CB},52000,1995-10-25 00:00,EC1M 6ET,F,N,L,"FLORIN COURT, 6 - 9",FLAT 24,CHARTERHOUSE SQUARE,LONDON,LONDON,ISLINGTON,GREATER LONDON,1575.75757575758,1995.0,1995-10-25,F,L,52000.0,EC1M 6ET,E09000019,{98AB5E69-CA6B-4A0D-8252-D4FE186DA7CB},20283773.0,33.0,2.0,11.0,73.0,77.0,England and Wales: 1930-1949,1575.75757575758,2.0,33.0,73.0,England and Wales: 1930-1949,EC1M,1995
{C86A4AC0-AEE9-417D-9F42-B77BA386F8C0},79500,1995-03-31 00:00,EC1M 6EX,F,N,L,"FLORIN COURT, 6 - 9",FLAT 76,CHARTERHOUSE SQUARE,LONDON,LONDON,ISLINGTON,GREATER LONDON,1939.0243902439,1995.0,1995-03-31,F,L,79500.0,EC1M 6EX,E09000019,{C86A4AC0-AEE9-417D-9F42-B77BA386F8C0},20362039.0,41.0,2.0,11.0,72.0,79.0,England and Wales: 1930-1949,1939.0243902439,2.0,41.0,72.0,England and Wales: 1930-1949,EC1M,1995
{44EED495-CF17-4C00-979D-144FE6572BF6},54000,1995-05-05 00:00,EC1M 6EY,F,N,L,"FLORIN COURT, 6 - 9",FLAT 100,CHARTERHOUSE SQUARE,LONDON,LONDON,ISLINGTON,GREATER LONDON,2560.45519203414,1995.0,1995-05-05,F,L,54000.0,EC1M 6EY,E09000019,{44EED495-CF17-4C00-979D-144FE6572BF6},20353368.0,21.09,1.0,11.0,83.0,84.0,England and Wales: 1900-1929,2560.45519203414,1.0,21.09,83.0,England and Wales: 1900-1929,EC1M,1995
{AF72AC61-F689-49CE-A683-63725897EE97},67500,1995-12-15 00:00,EC1M 6EU,F,N,L,"FLORIN COURT, 6 - 9",FLAT 46,CHARTERHOUSE SQUARE,LONDON,LONDON,ISLINGTON,GREATER LONDON,2628.5046728972,1995.0,1995-12-15,F,L,67500.0,EC1M 6EU,E09000019,{AF72AC61-F689-49CE-A683-63725897EE97},20286935.0,25.68,1.0,11.0,73.0,74.0,England and Wales: 1950-1966,2628.5046728972,1.0,25.68,73.0,England and Wales: 1950-1966,EC1M,1995
{DD7A8BD5-3056-4E93-BC96-42B2B0E7A420},59750,1995-08-09 00:00,EC1M 5NY,F,N,L,"MOUNTFORD HOUSE, 25",FLAT 3,BRITTON STREET,LONDON,LONDON,ISLINGTON,GREATER LONDON,2291.90640583046,1995.0,1995-08-09,F,L,59750.0,EC1M 5NY,E09000019,{DD7A8BD5-3056-4E93-BC96-42B2B0E7A420},20331399.0,26.07,2.0,12.0,76.0,77.0,England and Wales: before 1900,2291.90640583046,2.0,26.07,76.0,England and Wales: before 1900,EC1M,1995
{17A3570C-C6C9-464D-9765-211EB92437CC},90000,1995-05-10 00:00,EC1M 6EX,F,N,L,"FLORIN COURT, 6 - 9",FLAT 75,CHARTERHOUSE SQUARE,LONDON,LONDON,ISLINGTON,GREATER LONDON,2334.02489626556,1995.0,1995-05-10,F,L,90000.0,EC1M 6EX,E09000019,{17A3570C-C6C9-464D-9765-211EB92437CC},20293306.0,38.56,2.0,11.0,66.0,67.0,England and Wales: 1930-1949,2334.02489626556,2.0,38.56,66.0,England and Wales: 1930-1949,EC1M,1995
{3CE01DE1-7597-4901-9831-FCC8C6106C9A},74000,1995-10-25 00:00,EC1M 6EU,F,N,L,"FLORIN COURT, 6 - 9",FLAT 51,CHARTERHOUSE SQUARE,LONDON,LONDON,ISLINGTON,GREATER LONDON,1370.37037037037,1995.0,1995-10-25,F,L,74000.0,EC1M 6EU,E09000019,{3CE01DE1-7597-4901-9831-FCC8C6106C9A},20328226.0,54.0,3.0,11.0,69.0,74.0,England and Wales: 1930-1949,1370.37037037037,3.0,54.0,69.0,England and Wales: 1930-1949,EC1M,1995
{B1252737-D929-47A1-8EF1-EEF7F02E03E6},115000,1995-11-15 00:00,EC1M 5RS,F,N,L,"THE RED HOUSE, 49 - 53",FLAT 14,CLERKENWELL ROAD,LONDON,LONDON,ISLINGTON,GREATER LONDON,1854.24056755885,1995.0,1995-11-15,F,L,115000.0,EC1M 5RS,E09000019,{B1252737-D929-47A1-8EF1-EEF7F02E03E6},20315892.0,62.02,2.0,11.0,66.0,73.0,England and Wales: before 1900,1854.24056755885,2.0,62.02,66.0,England and Wales: before 1900,EC1M,1995
{9E37076B-F10F-4248-9FCF-E5458B7B95F0},150000,1995-08-30 00:00,EC1M 5NY,F,N,L,"MOUNTFORD HOUSE, 25",FLAT 20,BRITTON STREET,LONDON,LONDON,ISLINGTON,GREATER LONDON,1744.18604651163,1995.0,1995-08-30,F,L,150000.0,EC1M 5NY,E09000019,{9E37076B-F10F-4248-9FCF-E5458B7B95F0},20305284.0,86.0,3.0,11.0,70.0,72.0,England and Wales: 1983-1990,1744.18604651163,3.0,86.0,70.0,England and Wales: 1983-1990,EC1M,1995
{CA58BED6-0A52-4393-BCF0-B2C9BF9EB822},57500,1995-04-28 00:00,EC1M 6EY,F,N,L,"FLORIN COURT, 6 - 9",FLAT 118,CHARTERHOUSE SQUARE,LONDON,LONDON,ISLINGTON,GREATER LONDON,3194.44444444444,1995.0,1995-04-28,F,L,57500.0,EC1M 6EY,E09000019,{CA58BED6-0A52-4393-BCF0-B2C9BF9EB822},20304160.0,18.0,1.0,11.0,64.0,77.0,England and Wales: 1900-1929,3194.44444444444,1.0,18.0,64.0,England and Wales: 1900-1929,EC1M,1995
{2A289E9C-E5DB-CDC8-E050-A8C063054829},29000,1995-10-25 00:00,EC1M 6ET,F,N,L,"FLORIN COURT, 6 - 9",FLAT 15,CHARTERHOUSE SQUARE,,LONDON,ISLINGTON,GREATER LONDON,1318.18181818182,1995.0,1995-10-25,F,L,29000.0,EC1M 6ET,E09000019,{2A289E9C-E5DB-CDC8-E050-A8C063054829},20306903.0,22.0,1.0,11.0,73.0,79.0,England and Wales: 1930-1949,1318.18181818182,1.0,22.0,73.0,England and Wales: 1930-1949,EC1M,1995
{2A289E9C-E5DC-CDC8-E050-A8C063054829},29000,1995-10-25 00:00,EC1M 6ET,F,N,L,"FLORIN COURT, 6 - 9",FLAT 6,CHARTERHOUSE SQUARE,,LONDON,ISLINGTON,GREATER LONDON,1450.0,1995.0,1995-10-25,F,L,29000.0,EC1M 6ET,E09000019,{2A289E9C-E5DC-CDC8-E050-A8C063054829},20308527.0,20.0,1.0,11.0,44.0,48.0,England and Wales: 1950-1966,1450.0,1.0,20.0,44.0,England and Wales: 1950-1966,EC1M,1995
{2A289E9C-E5DD-CDC8-E050-A8C063054829},35500,1995-10-25 00:00,EC1M 6EU,F,N,L,"FLORIN COURT, 6 - 9",FLAT 34,CHARTERHOUSE SQUARE,,LONDON,ISLINGTON,GREATER LONDON,1543.47826086957,1995.0,1995-10-25,F,L,35500.0,EC1M 6EU,E09000019,{2A289E9C-E5DD-CDC8-E050-A8C063054829},20334721.0,23.0,2.0,11.0,64.0,67.0,England and Wales: 1930-1949,1543.47826086957,2.0,23.0,64.0,England and Wales: 1930-1949,EC1M,1995
{2A289E9C-E5DE-CDC8-E050-A8C063054829},35500,1995-10-25 00:00,EC1M 6EU,F,N,L,"FLORIN COURT, 6 - 9",FLAT 47,CHARTERHOUSE SQUARE,,LONDON,ISLINGTON,GREATER LONDON,1300.84279956028,1995.0,1995-10-25,F,L,35500.0,EC1M 6EU,E09000019,{2A289E9C-E5DE-CDC8-E050-A8C063054829},20298412.0,27.29,2.0,12.0,72.0,73.0,England and Wales: 1930-1949,1300.84279956028,2.0,27.29,72.0,England and Wales: 1930-1949,EC1M,1995
{2A289E9C-E5DF-CDC8-E050-A8C063054829},29000,1995-10-25 00:00,EC1M 6EX,F,N,L,"FLORIN COURT, 6 - 9",FLAT 80,CHARTERHOUSE SQUARE,,LONDON,ISLINGTON,GREATER LONDON,1318.18181818182,1995.0,1995-10-25,F,L,29000.0,EC1M 6EX,E09000019,{2A289E9C-E5DF-CDC8-E050-A8C063054829},20296734.0,22.0,1.0,11.0,72.0,79.0,England and Wales: 1930-1949,1318.18181818182,1.0,22.0,72.0,England and Wales: 1930-1949,EC1M,1995
{2A289E9C-E5E0-CDC8-E050-A8C063054829},35750,1995-10-25 00:00,EC1M 6EX,F,N,L,"FLORIN COURT, 6 - 9",FLAT 85,CHARTERHOUSE SQUARE,,LONDON,ISLINGTON,GREATER LONDON,1375.0,1995.0,1995-10-25,F,L,35750.0,EC1M 6EX,E09000019,{2A289E9C-E5E0-CDC8-E050-A8C063054829},20289101.0,26.0,2.0,12.0,62.0,66.0,England and Wales: 1930-1949,1375.0,2.0,26.0,62.0,England and Wales: 1930-1949,EC1M,1995
{2A289E9C-E5E1-CDC8-E050-A8C063054829},35750,1995-10-25 00:00,EC1M 6EX,F,N,L,"FLORIN COURT, 6 - 9",FLAT 86,CHARTERHOUSE SQUARE,,LONDON,ISLINGTON,GREATER LONDON,1489.58333333333,1995.0,1995-10-25,F,L,35750.0,EC1M 6EX,E09000019,{2A289E9C-E5E1-CDC8-E050-A8C063054829},20308212.0,24.0,2.0,11.0,62.0,66.0,England and Wales: 1930-1949,1489.58333333333,2.0,24.0,62.0,England and Wales: 1930-1949,EC1M,1995
