ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{73CEF5F8-8AA9-4FE3-8FFA-3685D14D78B3},180000,1998-08-04 00:00,EC1N 8QX,F,N,L,"ZIGGURAT BUILDING, 60 - 66",FLAT 6.6,SAFFRON HILL,LONDON,LONDON,CAMDEN,GREATER LONDON,2836.87943262411,1998.0,1998-08-04,F,L,180000.0,EC1N 8QX,E09000007,{73CEF5F8-8AA9-4FE3-8FFA-3685D14D78B3},19023831.0,63.45,2.0,11.0,60.0,60.0,England and Wales: 1950-1966,2836.87943262411,2.0,63.45,60.0,England and Wales: 1950-1966,EC1N
{C124D908-0078-49F9-868D-81743C5A1E4E},90000,1998-06-15 00:00,EC1N 7RE,F,N,L,"VESAGE COURT, 8A",FLAT 12,LEATHER LANE,LONDON,LONDON,CAMDEN,GREATER LONDON,1944.68452895419,1998.0,1998-06-15,F,L,90000.0,EC1N 7RE,E09000007,{C124D908-0078-49F9-868D-81743C5A1E4E},19033325.0,46.28,3.0,11.0,66.0,69.0,England and Wales: 1983-1990,1944.68452895419,3.0,46.28,66.0,England and Wales: 1983-1990,EC1N
{5D341B33-C0F3-472B-A4CA-4C642A6158ED},115000,1998-10-12 00:00,EC1N 8LB,F,N,L,"JEYGROVE COURT, 101",FLAT 4,HATTON GARDEN,LONDON,LONDON,CAMDEN,GREATER LONDON,1729.32330827068,1998.0,1998-10-12,F,L,115000.0,EC1N 8LB,E09000007,{5D341B33-C0F3-472B-A4CA-4C642A6158ED},18983693.0,66.5,4.0,12.0,70.0,79.0,England and Wales: 1930-1949,1729.32330827068,4.0,66.5,70.0,England and Wales: 1930-1949,EC1N
{798905E8-F4FB-413C-A09E-8D55DD844789},227000,1998-02-13 00:00,EC1N 8UN,F,N,L,"MUNRO HOUSE, 14",FLAT 1,ST CROSS STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,3035.97699612144,1998.0,1998-02-13,F,L,227000.0,EC1N 8UN,E09000007,{798905E8-F4FB-413C-A09E-8D55DD844789},18982579.0,74.77,3.0,12.0,55.0,79.0,England and Wales: 1967-1975,3035.97699612144,3.0,74.77,55.0,England and Wales: 1967-1975,EC1N
{640649CC-6E4C-4978-9EE9-913991469632},269500,1998-02-13 00:00,EC1N 8UN,F,N,L,"MUNRO HOUSE, 14",FLAT 4,ST CROSS STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,3445.85091420534,1998.0,1998-02-13,F,L,269500.0,EC1N 8UN,E09000007,{640649CC-6E4C-4978-9EE9-913991469632},19069423.0,78.21,3.0,12.0,68.0,78.0,England and Wales: 1983-1990,3445.85091420534,3.0,78.21,68.0,England and Wales: 1983-1990,EC1N
{3C8C6232-B00E-486A-9073-C11503122332},235000,1998-11-20 00:00,EC1N 8EX,F,N,L,47B,,HATTON GARDEN,LONDON,LONDON,CAMDEN,GREATER LONDON,3175.67567567568,1998.0,1998-11-20,F,L,235000.0,EC1N 8EX,E09000007,{3C8C6232-B00E-486A-9073-C11503122332},18981417.0,74.0,3.0,11.0,45.0,87.0,England and Wales: 1967-1975,3175.67567567568,3.0,74.0,45.0,England and Wales: 1967-1975,EC1N
{1ED12407-B65D-40B8-B296-BDB67CF90690},370000,1998-05-20 00:00,EC1N 8QX,F,N,L,"ZIGGURAT BUILDING, 60 - 66",FLAT 6.5,SAFFRON HILL,LONDON,LONDON,CAMDEN,GREATER LONDON,2888.36846213895,1998.0,1998-05-20,F,L,370000.0,EC1N 8QX,E09000007,{1ED12407-B65D-40B8-B296-BDB67CF90690},19007351.0,128.1,3.0,12.0,70.0,73.0,England and Wales: 1996-2002,2888.36846213895,3.0,128.1,70.0,England and Wales: 1996-2002,EC1N
{896C0602-8C0D-4160-BA6F-A355D07D5A93},195000,1998-01-27 00:00,EC1N 8QX,F,N,L,"ZIGGURAT BUILDING, 60 - 66",FLAT 4.4,SAFFRON HILL,LONDON,LONDON,CAMDEN,GREATER LONDON,1930.69306930693,1998.0,1998-01-27,F,L,195000.0,EC1N 8QX,E09000007,{896C0602-8C0D-4160-BA6F-A355D07D5A93},19071845.0,101.0,2.0,12.0,49.0,70.0,England and Wales: 1900-1929,1930.69306930693,2.0,101.0,49.0,England and Wales: 1900-1929,EC1N
{520C96C5-E219-4EC5-A94D-612F92C5DE28},235000,1998-12-24 00:00,EC1N 8HP,F,N,L,55,FLAT C,HATTON GARDEN,LONDON,LONDON,CAMDEN,GREATER LONDON,2079.64601769911,1998.0,1998-12-24,F,L,235000.0,EC1N 8HP,E09000007,{520C96C5-E219-4EC5-A94D-612F92C5DE28},19022628.0,113.0,4.0,11.0,66.0,78.0,England and Wales: 1900-1929,2079.64601769911,4.0,113.0,66.0,England and Wales: 1900-1929,EC1N
{27AE1AC5-E261-405B-9273-60A0E3662A85},199500,1998-10-21 00:00,EC1N 8EX,F,N,L,"SIENNA BUILDINGS, 47",FLAT 1,HATTON GARDEN,LONDON,LONDON,CAMDEN,GREATER LONDON,2369.35866983373,1998.0,1998-10-21,F,L,199500.0,EC1N 8EX,E09000007,{27AE1AC5-E261-405B-9273-60A0E3662A85},19062255.0,84.2,3.0,12.0,47.0,69.0,England and Wales: 1996-2002,2369.35866983373,3.0,84.2,47.0,England and Wales: 1996-2002,EC1N
