ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{5B56F138-0CF5-4654-9C40-2C8A48EA8975},215000,1997-12-18 00:00,EC1R 4UP,F,Y,L,"NEW RIVER HEAD, 173",APARTMENT 86,ROSEBERY AVENUE,LONDON,LONDON,ISLINGTON,GREATER LONDON,3094.4156591825,1997.0,1997-12-18,F,L,215000.0,EC1R 4UP,E09000019,{5B56F138-0CF5-4654-9C40-2C8A48EA8975},20333146.0,69.48,3.0,12.0,67.0,69.0,England and Wales: 1900-1929,3094.4156591825,3.0,69.48,67.0,England and Wales: 1900-1929,EC1R
{321637E8-5604-4B7A-A8D9-A0774E1CD795},170000,1997-09-16 00:00,EC1R 4UN,F,Y,L,"NEW RIVER HEAD, 173",APARTMENT 66,ROSEBERY AVENUE,LONDON,LONDON,ISLINGTON,GREATER LONDON,2894.10963568267,1997.0,1997-09-16,F,L,170000.0,EC1R 4UN,E09000019,{321637E8-5604-4B7A-A8D9-A0774E1CD795},20268762.0,58.74,4.0,11.0,82.0,83.0,England and Wales: before 1900,2894.10963568267,4.0,58.74,82.0,England and Wales: before 1900,EC1R
{C82129F3-FEEC-4C46-B2F1-89CE13CD3101},337500,1997-12-18 00:00,EC1R 4UP,F,Y,L,"NEW RIVER HEAD, 173",APARTMENT 98,ROSEBERY AVENUE,LONDON,LONDON,ISLINGTON,GREATER LONDON,1437.39352640545,1997.0,1997-12-18,F,L,337500.0,EC1R 4UP,E09000019,{C82129F3-FEEC-4C46-B2F1-89CE13CD3101},20343382.0,234.8,6.0,11.0,68.0,71.0,England and Wales: 1996-2002,1437.39352640545,6.0,234.8,68.0,England and Wales: 1996-2002,EC1R
{53DAD725-3FDC-4555-8E94-4EBC152B1348},115000,1997-06-06 00:00,EC1R 5XB,F,N,L,"HERBAL HILL GARDENS, 9",FLAT B12,HERBAL HILL,LONDON,LONDON,ISLINGTON,GREATER LONDON,1642.85714285714,1997.0,1997-06-06,F,L,115000.0,EC1R 5XB,E09000019,{53DAD725-3FDC-4555-8E94-4EBC152B1348},20361295.0,70.0,2.0,11.0,74.0,74.0,England and Wales: 2003-2006,1642.85714285714,2.0,70.0,74.0,England and Wales: 2003-2006,EC1R
{A475655F-FD63-4360-8C20-96315828F4E7},192500,1997-07-11 00:00,EC1R 4UL,F,Y,L,"NEW RIVER HEAD, 173",APARTMENT 21,ROSEBERY AVENUE,LONDON,LONDON,ISLINGTON,GREATER LONDON,2171.70577617329,1997.0,1997-07-11,F,L,192500.0,EC1R 4UL,E09000019,{A475655F-FD63-4360-8C20-96315828F4E7},20351579.0,88.64,3.0,12.0,37.0,49.0,England and Wales: before 1900,2171.70577617329,3.0,88.64,37.0,England and Wales: before 1900,EC1R
{24DCDE9D-7CDD-4AD1-9606-525676454373},192500,1997-12-18 00:00,EC1R 4UP,F,Y,L,"NEW RIVER HEAD, 173",APARTMENT 84,ROSEBERY AVENUE,LONDON,LONDON,ISLINGTON,GREATER LONDON,3632.07547169811,1997.0,1997-12-18,F,L,192500.0,EC1R 4UP,E09000019,{24DCDE9D-7CDD-4AD1-9606-525676454373},20298189.0,53.0,2.0,11.0,65.0,74.0,England and Wales: 1950-1966,3632.07547169811,2.0,53.0,65.0,England and Wales: 1950-1966,EC1R
{055F3AB0-5E7B-4027-ADC1-A2236DA137AE},86000,1997-10-24 00:00,EC1R 1UB,F,N,L,33,,JOSEPH TROTTER CLOSE,LONDON,LONDON,ISLINGTON,GREATER LONDON,851.485148514852,1997.0,1997-10-24,F,L,86000.0,EC1R 1UB,E09000019,{055F3AB0-5E7B-4027-ADC1-A2236DA137AE},20305539.0,101.0,5.0,11.0,76.0,82.0,England and Wales: 1950-1966,851.485148514852,5.0,101.0,76.0,England and Wales: 1950-1966,EC1R
{B8D71DD2-249E-468B-B59F-AC17DCAFA47B},175000,1997-12-16 00:00,EC1R 4UP,F,Y,L,"NEW RIVER HEAD, 173",APARTMENT 75,ROSEBERY AVENUE,LONDON,LONDON,ISLINGTON,GREATER LONDON,2263.90685640362,1997.0,1997-12-16,F,L,175000.0,EC1R 4UP,E09000019,{B8D71DD2-249E-468B-B59F-AC17DCAFA47B},20340127.0,77.3,2.0,12.0,72.0,75.0,England and Wales: 1996-2002,2263.90685640362,2.0,77.3,72.0,England and Wales: 1996-2002,EC1R
{D4D42646-1194-27F6-E053-6C04A8C0A572},215000,1997-06-30 00:00,EC1R 3DP,F,N,L,2 - 3,FLAT 3,CRAWFORD PASSAGE,,LONDON,ISLINGTON,GREATER LONDON,2687.5,1997.0,1997-06-30,F,L,215000.0,EC1R 3DP,E09000019,{D4D42646-1194-27F6-E053-6C04A8C0A572},20331761.0,80.0,3.0,11.0,57.0,80.0,England and Wales: 1900-1929,2687.5,3.0,80.0,57.0,England and Wales: 1900-1929,EC1R
{B49318EA-19CA-46C5-8729-52FC29E4BFEB},56000,1997-07-21 00:00,EC1R 4TT,F,N,L,TUNBRIDGE HOUSE,FLAT 25,ST JOHN STREET,LONDON,LONDON,ISLINGTON,GREATER LONDON,949.152542372881,1997.0,1997-07-21,F,L,56000.0,EC1R 4TT,E09000019,{B49318EA-19CA-46C5-8729-52FC29E4BFEB},20329796.0,59.0,3.0,11.0,71.0,78.0,England and Wales: 1950-1966,949.152542372881,3.0,59.0,71.0,England and Wales: 1950-1966,EC1R
