ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{9CD55103-311B-4DEA-B33B-A8CB8D45CAC8},217970,1996-12-06 00:00,EC1Y 8PQ,F,N,L,1,FLAT A,DUFFERIN AVENUE,,LONDON,ISLINGTON,GREATER LONDON,1542.49522326799,1996.0,1996-12-06,F,L,217970.0,EC1Y 8PQ,E09000019,{9CD55103-311B-4DEA-B33B-A8CB8D45CAC8},20277962.0,141.31,3.0,11.0,68.0,73.0,England and Wales: before 1900,1542.49522326799,3.0,141.31,68.0,England and Wales: before 1900,EC1Y
{A020FDDA-6607-46EF-8C06-00896F3669CA},58583,1996-05-22 00:00,EC1Y 8QB,F,N,L,QUAKER COURT,FLAT 58,BANNER STREET,LONDON,LONDON,ISLINGTON,GREATER LONDON,765.991108786611,1996.0,1996-05-22,F,L,58583.0,EC1Y 8QB,E09000019,{A020FDDA-6607-46EF-8C06-00896F3669CA},20274415.0,76.48,5.0,12.0,62.0,78.0,England and Wales: 1967-1975,765.991108786611,5.0,76.48,62.0,England and Wales: 1967-1975,EC1Y
{C3CC4955-A5FD-4004-9FC4-0C0E1FF0EAE4},162500,1996-07-01 00:00,EC1Y 8JU,F,N,L,"BANNER BUILDINGS, 74 - 84",FLAT 9,BANNER STREET,,LONDON,ISLINGTON,GREATER LONDON,998.218563793845,1996.0,1996-07-01,F,L,162500.0,EC1Y 8JU,E09000019,{C3CC4955-A5FD-4004-9FC4-0C0E1FF0EAE4},20348600.0,162.79,3.0,12.0,72.0,78.0,England and Wales: 1900-1929,998.218563793845,3.0,162.79,72.0,England and Wales: 1900-1929,EC1Y
{2A289E9C-E684-CDC8-E050-A8C063054829},30360,1996-04-01 00:00,EC1Y 0SL,F,Y,L,CRESCENT HOUSE,FLAT 240,GOLDEN LANE ESTATE,,LONDON,CITY OF LONDON,GREATER LONDON,791.243158717748,1996.0,1996-04-01,F,L,30360.0,EC1Y 0SL,E09000001,{2A289E9C-E684-CDC8-E050-A8C063054829},18437877.0,38.37,2.0,12.0,80.0,83.0,England and Wales: 1967-1975,791.243158717748,2.0,38.37,80.0,England and Wales: 1967-1975,EC1Y
{0E06A11E-75D6-4465-B261-4115D98301A3},90000,1996-06-21 00:00,EC1Y 0SU,F,N,L,HATFIELD HOUSE,FLAT 44,GOLDEN LANE ESTATE,LONDON,LONDON,ISLINGTON,GREATER LONDON,1200.0,1996.0,1996-06-21,F,L,90000.0,EC1Y 0SU,E09000001,{0E06A11E-75D6-4465-B261-4115D98301A3},18433993.0,75.0,4.0,11.0,66.0,74.0,England and Wales: 1930-1949,1200.0,4.0,75.0,66.0,England and Wales: 1930-1949,EC1Y
{87E1551E-6862-6405-E053-6C04A8C0B2EE},225000,1996-10-22 00:00,EC1Y 8RQ,F,N,L,3 - 4,FLAT 4,MALLOW STREET,,LONDON,ISLINGTON,GREATER LONDON,1442.30769230769,1996.0,1996-10-22,F,L,225000.0,EC1Y 8RQ,E09000019,{87E1551E-6862-6405-E053-6C04A8C0B2EE},20273967.0,156.0,2.0,11.0,42.0,61.0,England and Wales: 1930-1949,1442.30769230769,2.0,156.0,42.0,England and Wales: 1930-1949,EC1Y
{9F2B1ADE-52CB-452D-BD39-4B4D48DBAEBB},205000,1996-11-12 00:00,EC1Y 8JU,F,N,L,"BANNER BUILDINGS, 74 - 84",FLAT 12,BANNER STREET,,LONDON,ISLINGTON,GREATER LONDON,1703.36518487744,1996.0,1996-11-12,F,L,205000.0,EC1Y 8JU,E09000019,{9F2B1ADE-52CB-452D-BD39-4B4D48DBAEBB},20308318.0,120.35,4.0,11.0,71.0,80.0,England and Wales: 1991-1995,1703.36518487744,4.0,120.35,71.0,England and Wales: 1991-1995,EC1Y
{E3086ABF-F4D0-4B33-A6C9-5516BEB384CB},120000,1996-04-30 00:00,EC1Y 8JU,F,Y,L,"BANNER BUILDINGS, 74 - 84",FLAT 6,BANNER STREET,,LONDON,ISLINGTON,GREATER LONDON,1318.68131868132,1996.0,1996-04-30,F,L,120000.0,EC1Y 8JU,E09000019,{E3086ABF-F4D0-4B33-A6C9-5516BEB384CB},20303746.0,91.0,2.0,11.0,79.0,79.0,England and Wales: 1996-2002,1318.68131868132,2.0,91.0,79.0,England and Wales: 1996-2002,EC1Y
{7D570E6C-8E7C-4260-B022-6B1852FFB0B6},72500,1996-02-28 00:00,EC1Y 8TE,F,N,L,SHIRE HOUSE,FLAT 7,LAMBS PASSAGE,LONDON,LONDON,ISLINGTON,GREATER LONDON,1228.81355932203,1996.0,1996-02-28,F,L,72500.0,EC1Y 8TE,E09000019,{7D570E6C-8E7C-4260-B022-6B1852FFB0B6},20339160.0,59.0,4.0,11.0,63.0,75.0,England and Wales: 1950-1966,1228.81355932203,4.0,59.0,63.0,England and Wales: 1950-1966,EC1Y
{5ACD34BF-45EA-474F-AA58-10C0559F061B},115000,1996-07-08 00:00,EC1Y 2AA,F,N,L,12,FLAT 2,CITY ROAD,,LONDON,ISLINGTON,GREATER LONDON,2211.53846153846,1996.0,1996-07-08,F,L,115000.0,EC1Y 2AA,E09000019,{5ACD34BF-45EA-474F-AA58-10C0559F061B},20357988.0,52.0,2.0,11.0,71.0,76.0,England and Wales: 1900-1929,2211.53846153846,2.0,52.0,71.0,England and Wales: 1900-1929,EC1Y
{8C51A4D1-D5E4-4F55-BD46-3968AAC7BD78},300000,1996-08-06 00:00,EC1Y 8PD,S,N,F,18,FLAT 2,DUFFERIN STREET,LONDON,LONDON,ISLINGTON,GREATER LONDON,2529.51096121417,1996.0,1996-08-06,S,F,300000.0,EC1Y 8PD,E09000019,{8C51A4D1-D5E4-4F55-BD46-3968AAC7BD78},20336830.0,118.6,2.0,12.0,79.0,84.0,England and Wales: before 1900,2529.51096121417,2.0,118.6,79.0,England and Wales: before 1900,EC1Y
{E89CBBB0-0FE0-4E93-AEAB-522E91704654},92000,1996-03-22 00:00,EC1Y 8JU,F,N,L,"BANNER BUILDINGS, 74 - 84",FLAT 7,BANNER STREET,,LONDON,ISLINGTON,GREATER LONDON,1000.0,1996.0,1996-03-22,F,L,92000.0,EC1Y 8JU,E09000019,{E89CBBB0-0FE0-4E93-AEAB-522E91704654},20360606.0,92.0,3.0,11.0,80.0,84.0,England and Wales: 1900-1929,1000.0,3.0,92.0,80.0,England and Wales: 1900-1929,EC1Y
{6C10C516-49E1-4797-B398-C73D39A5F214},59500,1996-12-15 00:00,EC1Y 8JU,F,Y,L,"BANNER BUILDINGS, 74 - 84",FLAT 11,BANNER STREET,,LONDON,ISLINGTON,GREATER LONDON,1026.57004830918,1996.0,1996-12-15,F,L,59500.0,EC1Y 8JU,E09000019,{6C10C516-49E1-4797-B398-C73D39A5F214},20344510.0,57.96,2.0,11.0,72.0,75.0,England and Wales: 1991-1995,1026.57004830918,2.0,57.96,72.0,England and Wales: 1991-1995,EC1Y
{536E7267-7538-4C9E-BF7B-2A1644A21C03},225000,1996-10-30 00:00,EC1Y 8PQ,F,N,L,1,FLAT G,DUFFERIN AVENUE,,LONDON,ISLINGTON,GREATER LONDON,2647.05882352941,1996.0,1996-10-30,F,L,225000.0,EC1Y 8PQ,E09000019,{536E7267-7538-4C9E-BF7B-2A1644A21C03},20293370.0,85.0,3.0,12.0,65.0,67.0,England and Wales: before 1900,2647.05882352941,3.0,85.0,65.0,England and Wales: before 1900,EC1Y
