ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{21AEE22A-84E0-47E9-802D-18AD4C6D6F2F},118000,1997-03-14 00:00,EC3N 2AE,F,Y,L,39,FLAT 1,CRUTCHED FRIARS,,LONDON,CITY OF LONDON,GREATER LONDON,1092.59259259259,1997.0,1997-03-14,F,L,118000.0,EC3N 2AE,E09000001,{21AEE22A-84E0-47E9-802D-18AD4C6D6F2F},18436229.0,108.0,3.0,12.0,77.0,79.0,England and Wales: 1967-1975,1092.59259259259,3.0,108.0,77.0,England and Wales: 1967-1975,EC3N,1997
{6DEB056C-A722-48E4-9D45-AFB673851B66},335000,1998-08-27 00:00,EC3N 4AA,F,Y,L,15,FLAT 3,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3572.19023245895,1998.0,1998-08-27,F,L,335000.0,EC3N 4AA,E09000001,{6DEB056C-A722-48E4-9D45-AFB673851B66},18438597.0,93.78,3.0,12.0,70.0,75.0,England and Wales: before 1900,3572.19023245895,3.0,93.78,70.0,England and Wales: before 1900,EC3N,1998
{7FF04B27-FD69-48F9-9537-9F285AB5AA16},380000,1998-11-06 00:00,EC3N 4AA,F,Y,L,15,FLAT 8,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3584.90566037736,1998.0,1998-11-06,F,L,380000.0,EC3N 4AA,E09000001,{7FF04B27-FD69-48F9-9537-9F285AB5AA16},18437497.0,106.0,3.0,11.0,66.0,77.0,England and Wales: before 1900,3584.90566037736,3.0,106.0,66.0,England and Wales: before 1900,EC3N,1998
{768135A0-2B65-41D1-88E0-4C06D7211289},206000,1998-08-27 00:00,EC3N 4AA,F,Y,L,15,FLAT 1,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3678.57142857143,1998.0,1998-08-27,F,L,206000.0,EC3N 4AA,E09000001,{768135A0-2B65-41D1-88E0-4C06D7211289},18439269.0,56.0,2.0,11.0,70.0,79.0,England and Wales: before 1900,3678.57142857143,2.0,56.0,70.0,England and Wales: before 1900,EC3N,1998
{E8B71EEA-F4A5-4186-AB68-AC07FBAB06EE},265000,1998-10-20 00:00,EC3N 4AA,F,Y,L,15,FLAT 11,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3721.38744558349,1998.0,1998-10-20,F,L,265000.0,EC3N 4AA,E09000001,{E8B71EEA-F4A5-4186-AB68-AC07FBAB06EE},18438866.0,71.21,2.0,11.0,72.0,76.0,England and Wales: before 1900,3721.38744558349,2.0,71.21,72.0,England and Wales: before 1900,EC3N,1998
{45D2635E-2606-4838-9010-8B63BDC26524},210000,1998-12-22 00:00,EC3N 4AA,F,Y,L,15,FLAT 6,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2779.24827951297,1998.0,1998-12-22,F,L,210000.0,EC3N 4AA,E09000001,{45D2635E-2606-4838-9010-8B63BDC26524},18435748.0,75.56,3.0,12.0,65.0,71.0,England and Wales: before 1900,2779.24827951297,3.0,75.56,65.0,England and Wales: before 1900,EC3N,1998
{12B2A921-F675-414E-A311-E2F97B1CBAB6},215000,1998-12-11 00:00,EC3N 4AA,F,Y,L,15,FLAT 10,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2993.59509885826,1998.0,1998-12-11,F,L,215000.0,EC3N 4AA,E09000001,{12B2A921-F675-414E-A311-E2F97B1CBAB6},18438510.0,71.82,3.0,12.0,79.0,84.0,England and Wales: 1996-2002,2993.59509885826,3.0,71.82,79.0,England and Wales: 1996-2002,EC3N,1998
{4CEFA03D-3790-4EE9-B10E-DC1390D5B91A},348000,1998-10-26 00:00,EC3N 4AA,F,Y,L,15,FLAT 7,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3741.93548387097,1998.0,1998-10-26,F,L,348000.0,EC3N 4AA,E09000001,{4CEFA03D-3790-4EE9-B10E-DC1390D5B91A},18438656.0,93.0,3.0,12.0,73.0,80.0,England and Wales: before 1900,3741.93548387097,3.0,93.0,73.0,England and Wales: before 1900,EC3N,1998
{50EA1269-27E7-4986-AA06-6A069D7BF1D7},200400,1998-12-22 00:00,EC3N 4AA,F,N,L,15,FLAT 14,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,4287.54813863928,1998.0,1998-12-22,F,L,200400.0,EC3N 4AA,E09000001,{50EA1269-27E7-4986-AA06-6A069D7BF1D7},18435397.0,46.74,4.0,12.0,52.0,63.0,England and Wales: before 1900,4287.54813863928,4.0,46.74,52.0,England and Wales: before 1900,EC3N,1998
{B0F1344D-B1AF-4CCB-8AF0-AAC25BCE2A84},210000,1998-10-30 00:00,EC3N 4AA,F,N,L,15,FLAT 13,TRINITY SQUARE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3870.96774193548,1998.0,1998-10-30,F,L,210000.0,EC3N 4AA,E09000001,{B0F1344D-B1AF-4CCB-8AF0-AAC25BCE2A84},18437278.0,54.25,2.0,12.0,56.0,66.0,England and Wales: before 1900,3870.96774193548,2.0,54.25,56.0,England and Wales: before 1900,EC3N,1998
{92374958-7D10-4919-8C1C-294E905A4B84},290000,1999-01-13 00:00,EC3N 4AA,F,Y,L,15,FLAT 9,TRINITY SQUARE,,LONDON,CITY OF LONDON,GREATER LONDON,12608.6956521739,1999.0,1999-01-13,F,L,290000.0,EC3N 4AA,E09000001,{92374958-7D10-4919-8C1C-294E905A4B84},18437876.0,23.0,1.0,12.0,75.0,78.0,England and Wales: before 1900,12608.6956521739,1.0,23.0,75.0,England and Wales: before 1900,EC3N,1999
{747F9169-60FD-4CD6-9FF6-A5D8608FBB13},328054,1999-08-27 00:00,EC3N 4AL,F,Y,L,12,FLAT 8,TRINITY SQUARE,,LONDON,CITY OF LONDON,GREATER LONDON,3604.98901098901,1999.0,1999-08-27,F,L,328054.0,EC3N 4AL,E09000001,{747F9169-60FD-4CD6-9FF6-A5D8608FBB13},18435164.0,91.0,3.0,11.0,75.0,80.0,England and Wales: 1996-2002,3604.98901098901,3.0,91.0,75.0,England and Wales: 1996-2002,EC3N,1999
{6AB6CA41-AE16-405E-A9F6-B07822AE9A7D},181950,1999-02-23 00:00,EC3N 1DE,F,Y,L,27,FLAT 8,MINORIES,,LONDON,CITY OF LONDON,GREATER LONDON,3851.60880609653,1999.0,1999-02-23,F,L,181950.0,EC3N 1DE,E09000001,{6AB6CA41-AE16-405E-A9F6-B07822AE9A7D},18434950.0,47.24,2.0,12.0,29.0,56.0,England and Wales: before 1900,3851.60880609653,2.0,47.24,29.0,England and Wales: before 1900,EC3N,1999
{AB5D88B4-506C-4AA1-9C2C-A2533D194FAB},300000,1999-01-13 00:00,EC3N 4AA,F,Y,L,15,FLAT 15,TRINITY SQUARE,,LONDON,CITY OF LONDON,GREATER LONDON,3699.13686806412,1999.0,1999-01-13,F,L,300000.0,EC3N 4AA,E09000001,{AB5D88B4-506C-4AA1-9C2C-A2533D194FAB},18438763.0,81.1,4.0,11.0,69.0,76.0,England and Wales: 1996-2002,3699.13686806412,4.0,81.1,69.0,England and Wales: 1996-2002,EC3N,1999
{18A4BD22-0077-466C-8A45-ECD11A776CCA},105000,1999-08-31 00:00,EC3N 4AL,F,Y,L,12,FLAT 3,TRINITY SQUARE,,LONDON,CITY OF LONDON,GREATER LONDON,4375.0,1999.0,1999-08-31,F,L,105000.0,EC3N 4AL,E09000001,{18A4BD22-0077-466C-8A45-ECD11A776CCA},18433613.0,24.0,1.0,11.0,40.0,77.0,England and Wales: 1900-1929,4375.0,1.0,24.0,40.0,England and Wales: 1900-1929,EC3N,1999
{7CA3B3D1-EF02-499A-8E97-8CB9EC15262B},350000,1999-10-15 00:00,EC3N 4AL,F,Y,L,12,FLAT 5,TRINITY SQUARE,,LONDON,CITY OF LONDON,GREATER LONDON,4333.29206388511,1999.0,1999-10-15,F,L,350000.0,EC3N 4AL,E09000001,{7CA3B3D1-EF02-499A-8E97-8CB9EC15262B},18437413.0,80.77,3.0,12.0,26.0,27.0,England and Wales: 1930-1949,4333.29206388511,3.0,80.77,26.0,England and Wales: 1930-1949,EC3N,1999
{DFB6FAA6-8406-4238-8AD9-8267C0F5C18C},110000,1999-08-31 00:00,EC3N 4AL,F,Y,L,12,FLAT 6,TRINITY SQUARE,,LONDON,CITY OF LONDON,GREATER LONDON,5789.47368421053,1999.0,1999-08-31,F,L,110000.0,EC3N 4AL,E09000001,{DFB6FAA6-8406-4238-8AD9-8267C0F5C18C},18435448.0,19.0,1.0,11.0,77.0,82.0,England and Wales: 1996-2002,5789.47368421053,1.0,19.0,77.0,England and Wales: 1996-2002,EC3N,1999
{1CFB10FF-3130-4271-9113-B27A3B160ED9},181950,1999-02-23 00:00,EC3N 1DE,F,N,L,27,FLAT 4,MINORIES,,LONDON,CITY OF LONDON,GREATER LONDON,4108.1508241138,1999.0,1999-02-23,F,L,181950.0,EC3N 1DE,E09000001,{1CFB10FF-3130-4271-9113-B27A3B160ED9},18435168.0,44.29,2.0,11.0,25.0,52.0,England and Wales: before 1900,4108.1508241138,2.0,44.29,25.0,England and Wales: before 1900,EC3N,1999
{A89CABDC-133B-4F72-AA1E-68E0D72DD838},362500,1999-01-13 00:00,EC3N 4AA,F,Y,L,15,FLAT 4,TRINITY SQUARE,,LONDON,CITY OF LONDON,GREATER LONDON,7755.66966195978,1999.0,1999-01-13,F,L,362500.0,EC3N 4AA,E09000001,{A89CABDC-133B-4F72-AA1E-68E0D72DD838},18437412.0,46.74,4.0,11.0,53.0,62.0,England and Wales: before 1900,7755.66966195978,4.0,46.74,53.0,England and Wales: before 1900,EC3N,1999
