ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{2D1EB3B1-0D35-4CEB-86D4-D5F7B6B7D572},185000,1996-01-15 00:00,EC3V 3QQ,F,,L,"THE POWERHOUSE, 74",FLAT 2,CORNHILL,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3245.61403508772,2.0,57.0,50.0,1900.0,EC3V,1996,20391,1,Bank,0.243576,101800,7,6b,151.893285286076
{CD86299B-0C64-4BE9-B02B-470F81FD33EE},182500,1996-01-26 00:00,EC3V 3QQ,F,,L,"THE POWERHOUSE, 74",FLAT 3,CORNHILL,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,4562.5,2.0,40.0,38.0,1900.0,EC3V,1996,20391,1,Bank,0.243576,101800,7,6b,151.893285286076
{5F7C9662-A290-477D-B59A-CF0A6ADFDA76},175000,1996-02-02 00:00,EC3V 3QQ,F,,L,"THE POWERHOUSE, 74",FLAT 1,CORNHILL,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,5000.0,3.0,35.0,64.0,1900.0,EC3V,1996,20391,1,Bank,0.243576,101800,7,6b,151.893285286076
{FECFC9E9-C553-403A-B6FE-D911F38374EA},175000,1996-03-18 00:00,EC3V 3QQ,F,,L,"THE POWERHOUSE, 74",FLAT 5,CORNHILL,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3888.88888888889,3.0,45.0,25.0,1900.0,EC3V,1996,20391,1,Bank,0.243576,101800,7,6b,151.893285286076
{29125F47-ACD2-424A-B289-A659519DAEAE},158750,1996-11-08 00:00,EC3A 5AY,F,,L,4 - 8,FLAT 6,CREECHURCH LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3359.78835978836,2.0,47.25,76.0,1995.0,EC3A,1996,20391,1,Fenchurch Street,0.222769,101800,7,6b,130.519821449522
{F9A98435-4A63-448D-86BC-C6753A1EDC86},156750,1996-11-18 00:00,EC3A 5AY,F,,L,4 - 8,FLAT 3,CREECHURCH LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3046.05518849592,2.0,51.46,75.0,1995.0,EC3A,1996,20391,1,Fenchurch Street,0.222769,101800,7,6b,130.519821449522
{F1567FFA-704D-4904-8D68-A02A6BCC2043},156750,1996-11-18 00:00,EC3A 5AY,F,,L,4 - 8,FLAT 4,CREECHURCH LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3368.07047700902,2.0,46.54,76.0,1900.0,EC3A,1996,20391,1,Fenchurch Street,0.222769,101800,7,6b,130.519821449522
{C2F00608-4F76-4115-A652-909425B0A1C8},158750,1996-11-21 00:00,EC3A 5AY,F,,L,4 - 8,FLAT 8,CREECHURCH LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3400.08567144999,2.0,46.69,74.0,1995.0,EC3A,1996,20391,1,Fenchurch Street,0.222769,101800,7,6b,130.519821449522
{21AEE22A-84E0-47E9-802D-18AD4C6D6F2F},118000,1997-03-14 00:00,EC3N 2AE,F,,L,39,FLAT 1,CRUTCHED FRIARS,,LONDON,CITY OF LONDON,GREATER LONDON,1092.59259259259,3.0,108.0,77.0,1975.0,EC3N,1997,20391,1,Fenchurch Street,0.0325422,101800,7,6b,99.4944247898578
{F971F4A5-FB65-477D-B04D-8F628D4B24C7},130000,1997-03-27 00:00,EC3A 5AY,F,,L,4 - 8,FLAT 2,CREECHURCH LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2888.88888888889,2.0,45.0,66.0,1949.0,EC3A,1997,20391,1,Fenchurch Street,0.222769,101800,7,6b,130.519821449522
