ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{3130E0C7-1DA5-46E0-811A-2F263C2E9FF8},1055000,1995-05-03 00:00,EC4R 0EE,F,N,F,5,SHANNON HOUSE,LAURENCE POUNTNEY LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,6635.22012578616,1995.0,1995-05-03,F,F,1055000.0,EC4R 0EE,E09000001,{3130E0C7-1DA5-46E0-811A-2F263C2E9FF8},18436281.0,159.0,4.0,11.0,76.0,86.0,England and Wales: 2007 onwards,6635.22012578616,4.0,159.0,76.0,England and Wales: 2007 onwards,EC4R,1995
{91AEA643-1A89-479F-90C7-42EF6C716100},170000,2000-03-22 00:00,EC4R 0AW,F,Y,L,35,APARTMENT 5,BUSH LANE,,LONDON,CITY OF LONDON,GREATER LONDON,3926.09699769053,2000.0,2000-03-22,F,L,170000.0,EC4R 0AW,E09000001,{91AEA643-1A89-479F-90C7-42EF6C716100},18433657.0,43.3,2.0,12.0,77.0,82.0,England and Wales: 1900-1929,3926.09699769053,2.0,43.3,77.0,England and Wales: 1900-1929,EC4R,2000
{0D8C8884-A1C7-460F-BEFF-2803C6580DF3},165000,2000-02-24 00:00,EC4R 0AW,F,Y,L,35,APARTMENT 4,BUSH LANE,,LONDON,CITY OF LONDON,GREATER LONDON,3235.29411764706,2000.0,2000-02-24,F,L,165000.0,EC4R 0AW,E09000001,{0D8C8884-A1C7-460F-BEFF-2803C6580DF3},18438148.0,51.0,2.0,11.0,46.0,77.0,England and Wales: 1900-1929,3235.29411764706,2.0,51.0,46.0,England and Wales: 1900-1929,EC4R,2000
{C45BBE69-EE5F-46F6-9156-0D5C7A01FFA7},280000,2000-05-26 00:00,EC4R 0AW,F,Y,L,35,APARTMENT 7,BUSH LANE,,LONDON,CITY OF LONDON,GREATER LONDON,2718.44660194175,2000.0,2000-05-26,F,L,280000.0,EC4R 0AW,E09000001,{C45BBE69-EE5F-46F6-9156-0D5C7A01FFA7},18437246.0,103.0,3.0,11.0,53.0,71.0,England and Wales: before 1900,2718.44660194175,3.0,103.0,53.0,England and Wales: before 1900,EC4R,2000
{6CB05A37-173C-4F2D-B4B0-21A9CB268879},160000,2000-03-06 00:00,EC4R 0AW,F,Y,L,35,APARTMENT 1,BUSH LANE,,LONDON,CITY OF LONDON,GREATER LONDON,3649.63503649635,2000.0,2000-03-06,F,L,160000.0,EC4R 0AW,E09000001,{6CB05A37-173C-4F2D-B4B0-21A9CB268879},18435612.0,43.84,2.0,11.0,75.0,78.0,England and Wales: 1967-1975,3649.63503649635,2.0,43.84,75.0,England and Wales: 1967-1975,EC4R,2000
{87766CD7-3089-485E-AC3E-1302A35A8F22},165000,2000-02-25 00:00,EC4R 0AW,F,Y,L,35,APARTMENT 6,BUSH LANE,,LONDON,CITY OF LONDON,GREATER LONDON,3837.20930232558,2000.0,2000-02-25,F,L,165000.0,EC4R 0AW,E09000001,{87766CD7-3089-485E-AC3E-1302A35A8F22},18433778.0,43.0,2.0,11.0,81.0,83.0,England and Wales: before 1900,3837.20930232558,2.0,43.0,81.0,England and Wales: before 1900,EC4R,2000
{87D5DED2-B253-4A6D-A601-0C02B1D2B9C4},162500,2000-03-07 00:00,EC4R 0AW,F,N,L,35,APARTMENT 3,BUSH LANE,,LONDON,CITY OF LONDON,GREATER LONDON,3251.30052020808,2000.0,2000-03-07,F,L,162500.0,EC4R 0AW,E09000001,{87D5DED2-B253-4A6D-A601-0C02B1D2B9C4},18439420.0,49.98,2.0,12.0,75.0,79.0,England and Wales: before 1900,3251.30052020808,2.0,49.98,75.0,England and Wales: before 1900,EC4R,2000
{15BE4DBA-8A0F-4226-8E11-D499CA64C935},1125000,2001-03-15 00:00,EC4R 0EE,F,N,F,5,SHANNON HOUSE,LAURENCE POUNTNEY LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,7075.47169811321,2001.0,2001-03-15,F,F,1125000.0,EC4R 0EE,E09000001,{15BE4DBA-8A0F-4226-8E11-D499CA64C935},18436281.0,159.0,4.0,11.0,76.0,86.0,England and Wales: 2007 onwards,7075.47169811321,4.0,159.0,76.0,England and Wales: 2007 onwards,EC4R,2001
{833D73CA-B7C4-4BD6-B38C-0D81F6C00ED3},214000,2002-08-29 00:00,EC4R 0AW,F,N,L,35,APARTMENT 6,BUSH LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,4976.74418604651,2002.0,2002-08-29,F,L,214000.0,EC4R 0AW,E09000001,{833D73CA-B7C4-4BD6-B38C-0D81F6C00ED3},18433778.0,43.0,2.0,11.0,81.0,83.0,England and Wales: before 1900,4976.74418604651,2.0,43.0,81.0,England and Wales: before 1900,EC4R,2002
{57E66940-9DC9-4CBA-A77C-57429AF087E6},180000,2004-01-28 00:00,EC4R 1BR,F,N,L,30,FLAT 4,QUEEN STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3600.0,2004.0,2004-01-28,F,L,180000.0,EC4R 1BR,E09000001,{57E66940-9DC9-4CBA-A77C-57429AF087E6},18439579.0,50.0,2.0,11.0,62.0,73.0,England and Wales: 1983-1990,3600.0,2.0,50.0,62.0,England and Wales: 1983-1990,EC4R,2004
