ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{1DF5B388-6D4D-4FB6-892B-800E3E0CCD75},63000,1995-08-30 00:00,EC4V 3EJ,F,N,L,"QUEENS QUAY, 58",FLAT 210,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1346.15384615385,1995.0,1995-08-30,F,L,63000.0,EC4V 3EJ,E09000001,{1DF5B388-6D4D-4FB6-892B-800E3E0CCD75},18435789.0,46.8,2.0,11.0,74.0,84.0,England and Wales: 1976-1982,1346.15384615385,2.0,46.8,74.0,England and Wales: 1976-1982,EC4V,1995
{739073D8-282E-4CCD-B773-4A9FB993B69B},148000,1995-10-13 00:00,EC4V 3EH,F,N,L,"QUEENS QUAY, 58",FLAT 517,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1850.0,1995.0,1995-10-13,F,L,148000.0,EC4V 3EH,E09000001,{739073D8-282E-4CCD-B773-4A9FB993B69B},18433675.0,80.0,3.0,11.0,78.0,81.0,England and Wales: 1991-1995,1850.0,3.0,80.0,78.0,England and Wales: 1991-1995,EC4V,1995
{4817C9DA-9C50-4DD5-8AFC-12B7331CAC78},66000,1996-05-17 00:00,EC4V 3EH,F,N,L,"QUEENS QUAY, 58",FLAT 516,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1679.3893129771,1996.0,1996-05-17,F,L,66000.0,EC4V 3EH,E09000001,{4817C9DA-9C50-4DD5-8AFC-12B7331CAC78},18436192.0,39.3,2.0,12.0,55.0,79.0,England and Wales: 1983-1990,1679.3893129771,2.0,39.3,55.0,England and Wales: 1983-1990,EC4V,1996
{5D25AEB6-A126-4C33-878B-CEF32BDDB9BA},150000,1996-05-31 00:00,EC4V 3EH,F,N,L,"QUEENS QUAY, 58",FLAT 419,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1315.78947368421,1996.0,1996-05-31,F,L,150000.0,EC4V 3EH,E09000001,{5D25AEB6-A126-4C33-878B-CEF32BDDB9BA},18435495.0,114.0,3.0,11.0,64.0,81.0,England and Wales: 1967-1975,1315.78947368421,3.0,114.0,64.0,England and Wales: 1967-1975,EC4V,1996
{BDD1F5E3-95B8-4663-B1B5-3EB21CFDC6E8},81000,1996-12-13 00:00,EC4V 3EJ,F,N,L,"QUEENS QUAY, 58",FLAT 114,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1998.51961509993,1996.0,1996-12-13,F,L,81000.0,EC4V 3EJ,E09000001,{BDD1F5E3-95B8-4663-B1B5-3EB21CFDC6E8},18436984.0,40.53,2.0,11.0,70.0,83.0,England and Wales: 1983-1990,1998.51961509993,2.0,40.53,70.0,England and Wales: 1983-1990,EC4V,1996
{C02D1FD9-9F27-4C4F-977E-93E7BC38E58E},186000,1996-10-25 00:00,EC4V 5BY,F,Y,L,3 - 4,FLAT 1,ST ANDREWS HILL,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2906.25,1996.0,1996-10-25,F,L,186000.0,EC4V 5BY,E09000001,{C02D1FD9-9F27-4C4F-977E-93E7BC38E58E},18435668.0,64.0,3.0,11.0,72.0,77.0,England and Wales: before 1900,2906.25,3.0,64.0,72.0,England and Wales: before 1900,EC4V,1996
{54BE3D08-C7B6-47E0-A490-D7A72274283A},92000,1996-10-24 00:00,EC4V 3EH,F,N,L,"QUEENS QUAY, 58",FLAT 602,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2090.90909090909,1996.0,1996-10-24,F,L,92000.0,EC4V 3EH,E09000001,{54BE3D08-C7B6-47E0-A490-D7A72274283A},18437639.0,44.0,2.0,11.0,46.0,74.0,England and Wales: 1976-1982,2090.90909090909,2.0,44.0,46.0,England and Wales: 1976-1982,EC4V,1996
{EF6EFDCF-04FD-4547-89AD-CD1BBF87045B},103000,1996-07-19 00:00,EC4V 3EH,F,N,L,"QUEENS QUAY, 58",FLAT 513,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2215.05376344086,1996.0,1996-07-19,F,L,103000.0,EC4V 3EH,E09000001,{EF6EFDCF-04FD-4547-89AD-CD1BBF87045B},18433695.0,46.5,2.0,11.0,65.0,81.0,England and Wales: 1976-1982,2215.05376344086,2.0,46.5,65.0,England and Wales: 1976-1982,EC4V,1996
{FA9801E0-7954-4EB3-A1BB-1A652BA75EC5},138000,1996-12-19 00:00,EC4V 3QQ,F,Y,L,NORFOLK HOUSE,FLAT 5,TRIG LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2315.43624161074,1996.0,1996-12-19,F,L,138000.0,EC4V 3QQ,E09000001,{FA9801E0-7954-4EB3-A1BB-1A652BA75EC5},18436507.0,59.6,,12.0,77.0,83.0,England and Wales: 1983-1990,2315.43624161074,,59.6,77.0,England and Wales: 1983-1990,EC4V,1996
{EAECEE22-8C51-4329-A4BF-8A08D4ABC42F},84000,1997-12-15 00:00,EC4V 5EN,F,Y,L,2,FLAT 1,CARTER COURT,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,3206.10687022901,1997.0,1997-12-15,F,L,84000.0,EC4V 5EN,E09000001,{EAECEE22-8C51-4329-A4BF-8A08D4ABC42F},18435105.0,26.2,2.0,11.0,62.0,68.0,England and Wales: before 1900,3206.10687022901,2.0,26.2,62.0,England and Wales: before 1900,EC4V,1997
