ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{F4EBCA6E-1626-4660-B991-2AE1A260832C},86000,1995-03-31 00:00,EC4A 1BX,F,0,L,CLIFFORD'S INN,FLAT 85,FETTER LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1869.5652173913,2.0,46.0,43.0,1975,EC4A,1995
{3130E0C7-1DA5-46E0-811A-2F263C2E9FF8},1055000,1995-05-03 00:00,EC4R 0EE,F,0,F,5,SHANNON HOUSE,LAURENCE POUNTNEY LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,6635.22012578616,4.0,159.0,76.0,England and Wales: 2007 onwards,EC4R,1995
{228E2469-090E-461C-8219-C217ABF47131},115000,1995-06-07 00:00,EC4A 1BX,F,0,L,CLIFFORD'S INN,FLAT 74,FETTER LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2169.81132075472,3.0,53.0,61.0,1949,EC4A,1995
{1DF5B388-6D4D-4FB6-892B-800E3E0CCD75},63000,1995-08-30 00:00,EC4V 3EJ,F,0,L,"QUEENS QUAY, 58",FLAT 210,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1346.15384615385,2.0,46.8,74.0,1982,EC4V,1995
{5FFD93CB-8D30-4A06-905E-4E88BB31AA6D},56250,1995-09-22 00:00,EC4A 2EJ,F,0,L,4,FLAT 14,CRANE COURT,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1875.0,1.0,30.0,83.0,1982,EC4A,1995
{739073D8-282E-4CCD-B773-4A9FB993B69B},148000,1995-10-13 00:00,EC4V 3EH,F,0,L,"QUEENS QUAY, 58",FLAT 517,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1850.0,3.0,80.0,78.0,1995,EC4V,1995
{1C9FF6A1-13FF-44C7-8CD4-46EF89974C3B},62185,1995-11-23 00:00,EC4A 1BX,F,0,L,CLIFFORD'S INN,FLAT 75,FETTER LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2304.00148203038,1.0,26.99,44.0,1949,EC4A,1995
{4C493092-3FD0-460F-A8DC-E799815F330E},157000,1996-02-12 00:00,EC4A 1BY,F,0,L,CLIFFORD'S INN,FLAT 162,FETTER LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1297.52066115702,6.0,121.0,50.0,1900,EC4A,1996
{3D585E0B-29DA-42D4-A7D0-45E58551C12D},115000,1996-03-24 00:00,EC4A 1BX,F,0,L,CLIFFORD'S INN,FLAT 108,FETTER LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2090.90909090909,2.0,55.0,67.0,1900,EC4A,1996
{4817C9DA-9C50-4DD5-8AFC-12B7331CAC78},66000,1996-05-17 00:00,EC4V 3EH,F,0,L,"QUEENS QUAY, 58",FLAT 516,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1679.3893129771,2.0,39.3,55.0,1990,EC4V,1996
{5D25AEB6-A126-4C33-878B-CEF32BDDB9BA},150000,1996-05-31 00:00,EC4V 3EH,F,0,L,"QUEENS QUAY, 58",FLAT 419,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,1315.78947368421,3.0,114.0,64.0,1975,EC4V,1996
{2A289E9F-625A-CDC8-E050-A8C063054829},49000,1996-06-12 00:00,EC4A 1BX,F,0,L,CLIFFORD'S INN,FLAT 91,FETTER LANE,,LONDON,CITY OF LONDON,GREATER LONDON,2242.56292906178,1.0,21.85,73.0,1966,EC4A,1996
{EF6EFDCF-04FD-4547-89AD-CD1BBF87045B},103000,1996-07-19 00:00,EC4V 3EH,F,0,L,"QUEENS QUAY, 58",FLAT 513,UPPER THAMES STREET,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2215.05376344086,2.0,46.5,65.0,1982,EC4V,1996
{46E2619F-E309-4E6F-BFA6-16EC89DE2223},60000,1996-07-26 00:00,EC4A 1BY,F,0,L,CLIFFORD'S INN,FLAT 127,FETTER LANE,LONDON,LONDON,CITY OF LONDON,GREATER LONDON,2222.22222222222,2.0,27.0,47.0,1975,EC4A,1996
