ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{E5F8EE66-9134-4588-BA44-47A0CDF35198},94000,1995-01-05,EN2 7AJ,T,F,107,,WINDMILL HILL,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,967.974461950366,4.0,97.11,69.0,1975.0,EN2,1995,20983,5,Enfield Chase,0.406614,58600,7,3,14.4274215140239,0.0
{350D810C-D33E-4CB7-BD19-9AC0BCD499B3},136000,1995-01-05,EN2 7NS,S,F,25,,MERRYHILLS DRIVE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,1421.9991635299,4.0,95.64,42.0,1949.0,EN2,1995,27973,5,Oakwood,0.504703,66000,9,3,10.9114883785583,0.0
{4EE143C0-6BD7-4FC2-BA9C-34B705DF9A6E},70000,1995-01-06,EN2 0QP,F,L,34A,,GORDON HILL,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,833.333333333333,4.0,84.0,45.0,1900.0,EN2,1995,19677,5,Gordon Hill,0.43752,58800,6,3,11.2116094538921,0.0
{646C61A4-CF75-42D4-93DA-F51D598C2E64},59000,1995-01-09,EN2 7PR,F,L,INGLEBOROUGH,FLAT 49,CAVELL DRIVE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,1000.0,3.0,59.0,68.0,1990.0,EN2,1995,16683,5,Gordon Hill,0.651877,58600,6,1b,4.93958441166278,0.0
{D8480668-55BA-4455-83CA-107F4BE9D3BD},118000,1995-01-10,EN2 7LP,S,F,72,,LONSDALE DRIVE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,1134.61538461538,5.0,104.0,60.0,1949.0,EN2,1995,27973,5,Oakwood,0.549045,66000,9,2,9.29560077098304,0.0
{E9C26310-C11B-4565-85AC-BB4866751F81},72500,1995-01-10,EN2 8NZ,F,L,13A,,GLEBE AVENUE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,1132.8125,4.0,64.0,60.0,1900.0,EN2,1995,20983,5,Enfield Chase,0.445213,58600,7,3,12.2582890177198,0.0
{A4ADB025-58F2-4372-A4FE-8CA5F22A4B8D},62950,1995-01-12,EN2 0JA,T,F,30,,CHASE SIDE CRESCENT,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,1210.57692307692,3.0,52.0,68.0,1900.0,EN2,1995,24871,5,Gordon Hill,0.613343,58800,8,3,11.2930412889625,0.0
{48499E3B-924E-4DB4-A8E1-802341812A89},79000,1995-01-13,EN2 0HE,T,F,11,,CEDAR PARK ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,929.411764705882,5.0,85.0,55.0,1949.0,EN2,1995,27340,5,Gordon Hill,0.741396,55500,9,1b,3.58760380488923,0.0
{EB2A936E-F561-442E-8F02-F1D166BC3FF5},78000,1995-01-20,EN2 7HH,S,F,7,,CHILTERN DENE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,863.691728490754,4.0,90.31,54.0,1966.0,EN2,1995,17974,5,Grange Park,1.19011,66000,6,1b,2.79327845991284,0.0
{2A289E9F-2E0D-CDC8-E050-A8C063054829},47250,1995-01-20,EN2 8HG,F,L,58,,JOHN GOOCH DRIVE,,ENFIELD,ENFIELD,GREATER LONDON,1356.58914728682,2.0,34.83,64.0,1990.0,EN2,1995,16683,5,Gordon Hill,0.297032,58600,6,3,11.2115963753809,0.0
