ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{B4B0D641-5C2E-489C-A528-A1770DE2BF05},65000,1995-01-06 00:00,EN3 4AL,S,F,1,,LORAINE CLOSE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,467.625899280576,7.0,139.0,60.0,1949.0,EN3,1995
{2A289E9C-E07B-CDC8-E050-A8C063054829},39000,1995-01-06 00:00,EN3 5SY,F,L,4,,GROVE ROAD WEST,,ENFIELD,ENFIELD,GREATER LONDON,812.5,3.0,48.0,70.0,1966.0,EN3,1995
{2A289E9C-E06E-CDC8-E050-A8C063054829},48000,1995-01-06 00:00,EN3 4RN,T,F,72,,CLYDESDALE,,ENFIELD,ENFIELD,GREATER LONDON,811.084825954714,3.0,59.18,62.0,1949.0,EN3,1995
{B85F6E92-4D15-4231-A8BF-D3FCB88B3222},73000,1995-01-11 00:00,EN3 6SY,S,F,69,,CHESTNUT ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,924.050632911392,4.0,79.0,60.0,1949.0,EN3,1995
{2A289E9C-E161-CDC8-E050-A8C063054829},44500,1995-01-12 00:00,EN3 7DH,T,F,35,,COWLAND AVENUE,,ENFIELD,ENFIELD,GREATER LONDON,1141.02564102564,2.0,39.0,59.0,1990.0,EN3,1995
{5A8B46CE-A082-4B99-84EF-7059DE4447B6},75000,1995-01-16 00:00,EN3 5NX,T,F,102,,ALBANY PARK AVENUE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,961.538461538462,4.0,78.0,66.0,1949.0,EN3,1995
{7DE8AE29-D7A9-4364-BF8C-2F8541BC0110},72500,1995-01-20 00:00,EN3 5EB,S,F,224,,CARTERHATCH ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,786.334056399132,4.0,92.2,61.0,1949.0,EN3,1995
{5C766A7C-CE12-4556-9739-96D7644E14D9},75000,1995-01-20 00:00,EN3 6DJ,D,F,62,,FERNDALE ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,822.729267222466,4.0,91.16,52.0,1966.0,EN3,1995
{27292196-ED1F-444B-8E24-A174733A456F},51000,1995-01-23 00:00,EN3 7AZ,T,F,272,,DURANTS ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,660.279647850855,5.0,77.24,63.0,1929.0,EN3,1995
{3F598DE1-3950-4C4C-BB91-642BD9729EAF},65000,1995-01-26 00:00,EN3 5HP,S,F,1,,CASTLE ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,791.331872412954,5.0,82.14,76.0,1949.0,EN3,1995
{4BE5F7DC-6E17-4D5B-BB27-D620AE7A3941},64000,1995-01-26 00:00,EN3 5RX,S,F,19,,LONGFIELD AVENUE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,1352.03650498563,3.0,47.336,37.0,1949.0,EN3,1995
{2A289E9C-E216-CDC8-E050-A8C063054829},47000,1995-01-27 00:00,EN3 5JS,F,L,16,,STAINTON ROAD,,ENFIELD,ENFIELD,GREATER LONDON,1081.95211786372,3.0,43.44,46.0,1949.0,EN3,1995
{2A289E9C-E482-CDC8-E050-A8C063054829},45500,1995-01-27 00:00,EN3 7BA,T,F,191,,ALMA ROAD,,ENFIELD,ENFIELD,GREATER LONDON,631.944444444444,5.0,72.0,54.0,1929.0,EN3,1995
{92E7AA4B-4E0A-4289-8B54-9742F6BED6C9},72000,1995-01-27 00:00,EN3 7RS,S,F,328,,ALMA ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,699.029126213592,5.0,103.0,66.0,1966.0,EN3,1995
{2F9AB02E-816E-47C7-9F91-A25E385C3B4C},69000,1995-01-27 00:00,EN3 6QS,T,F,33,,HAWKSMEAD CLOSE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,784.090909090909,4.0,88.0,62.0,1975.0,EN3,1995
{890B129C-EEAD-44F4-9B32-BA328E4DC64D},60000,1995-01-30 00:00,EN3 6PN,T,F,16,,AYLANDS ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,763.358778625954,4.0,78.6,69.0,1949.0,EN3,1995
{2A289E9C-E488-CDC8-E050-A8C063054829},32995,1995-01-30 00:00,EN3 6LP,F,L,79C,,PARK ROAD,,ENFIELD,ENFIELD,GREATER LONDON,507.615384615385,3.0,65.0,69.0,1966.0,EN3,1995
{2A289E9C-E276-CDC8-E050-A8C063054829},48000,1995-01-30 00:00,EN3 7AE,T,F,249,,NAGS HEAD ROAD,,ENFIELD,ENFIELD,GREATER LONDON,488.301119023398,5.0,98.3,46.0,1929.0,EN3,1995
{0B9E04B5-D11D-457B-A1E9-40B303A10895},59500,1995-01-30 00:00,EN3 5UX,T,F,13,,EASTFIELD ROAD,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,963.406735751295,3.0,61.76,82.0,1929.0,EN3,1995
{C660D652-6BCB-41A3-B205-99D710D8D5E8},55500,1995-01-31 00:00,EN3 6DU,T,F,20,,RAMNEY DRIVE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,707.908163265306,4.0,78.4,73.0,1975.0,EN3,1995
{64A30647-3C1E-462A-9FCA-7FCE220287FF},93000,1995-01-31 00:00,EN3 5NU,T,F,91,,ALBANY PARK AVENUE,ENFIELD,ENFIELD,ENFIELD,GREATER LONDON,752.244600825043,6.0,123.63,40.0,1949.0,EN3,1995
