ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{66DA8269-54DA-44B3-82CE-8E7C7440A8A0},275000,1995-12-29 00:00,EN4 0JH,D,N,F,2,,ST RONANS CLOSE,BARNET,BARNET,ENFIELD,GREATER LONDON,1082.67716535433,1995.0,1995-12-29,D,F,275000.0,EN4 0JH,E09000010,{66DA8269-54DA-44B3-82CE-8E7C7440A8A0},19400998.0,254.0,6.0,12.0,70.0,82.0,England and Wales: 1967-1975,1082.67716535433,6.0,254.0,70.0,England and Wales: 1967-1975,EN4
{844F600B-861A-46AA-BEEF-923C74BB8924},210000,1995-11-29 00:00,EN4 0HH,D,N,F,423,,COCKFOSTERS ROAD,BARNET,BARNET,ENFIELD,GREATER LONDON,681.375730045425,1995.0,1995-11-29,D,F,210000.0,EN4 0HH,E09000010,{844F600B-861A-46AA-BEEF-923C74BB8924},19411908.0,308.2,11.0,11.0,42.0,44.0,England and Wales: 1950-1966,681.375730045425,11.0,308.2,42.0,England and Wales: 1950-1966,EN4
{D015C063-273C-4F4C-807A-3A85B46504E4},159000,1995-09-18 00:00,EN4 9QF,T,N,F,54,,PARK ROAD,NEW BARNET,BARNET,BARNET,GREATER LONDON,903.409090909091,1995.0,1995-09-18,T,F,159000.0,EN4 9QF,E09000003,{D015C063-273C-4F4C-807A-3A85B46504E4},18537636.0,176.0,7.0,11.0,40.0,71.0,England and Wales: 1930-1949,903.409090909091,7.0,176.0,40.0,England and Wales: 1930-1949,EN4
{4CA2F209-A36E-4900-BBE7-3E230BC84B27},460000,1995-03-31 00:00,EN4 0ND,D,Y,F,5,,OLD ORCHARD CLOSE,BARNET,BARNET,ENFIELD,GREATER LONDON,2119.81566820276,1995.0,1995-03-31,D,F,460000.0,EN4 0ND,E09000010,{4CA2F209-A36E-4900-BBE7-3E230BC84B27},19450020.0,217.0,10.0,11.0,64.0,80.0,England and Wales: 1991-1995,2119.81566820276,10.0,217.0,64.0,England and Wales: 1991-1995,EN4
{FC56194C-6463-4252-8E1D-925A4EFD23DA},675000,1995-12-21 00:00,EN4 0JB,D,Y,F,8,,GREENOAK PLACE,COCKFOSTERS,BARNET,ENFIELD,GREATER LONDON,1795.21276595745,1995.0,1995-12-21,D,F,675000.0,EN4 0JB,E09000010,{FC56194C-6463-4252-8E1D-925A4EFD23DA},19446331.0,376.0,20.0,11.0,59.0,59.0,England and Wales: 1983-1990,1795.21276595745,20.0,376.0,59.0,England and Wales: 1983-1990,EN4
{D1B41EB1-4B4E-44B3-9A33-3A9E56FB6A62},76800,1995-03-23 00:00,EN4 8TE,T,N,F,10,,MIDDLE ROAD,EAST BARNET,BARNET,BARNET,GREATER LONDON,908.983311634513,1995.0,1995-03-23,T,F,76800.0,EN4 8TE,E09000003,{D1B41EB1-4B4E-44B3-9A33-3A9E56FB6A62},18541280.0,84.49,,11.0,49.0,63.0,England and Wales: 1900-1929,908.983311634513,,84.49,49.0,England and Wales: 1900-1929,EN4
{015FC3F4-3A90-47BB-B30A-4DA744F4CFE2},60000,1995-12-18 00:00,EN4 9DQ,F,N,L,17,,CASTLEWOOD ROAD,COCKFOSTERS,BARNET,BARNET,GREATER LONDON,895.522388059701,1995.0,1995-12-18,F,L,60000.0,EN4 9DQ,E09000003,{015FC3F4-3A90-47BB-B30A-4DA744F4CFE2},18600288.0,67.0,4.0,11.0,68.0,77.0,England and Wales: 1967-1975,895.522388059701,4.0,67.0,68.0,England and Wales: 1967-1975,EN4
{8B098297-99F9-45B6-8A50-8EF04C5F7B3F},78000,1995-10-27 00:00,EN4 9DN,S,N,F,9,,NORTHFIELD ROAD,BARNET,BARNET,BARNET,GREATER LONDON,889.39566704675,1995.0,1995-10-27,S,F,78000.0,EN4 9DN,E09000003,{8B098297-99F9-45B6-8A50-8EF04C5F7B3F},18615640.0,87.7,8.0,12.0,64.0,74.0,England and Wales: 1930-1949,889.39566704675,8.0,87.7,64.0,England and Wales: 1930-1949,EN4
{FFA2A493-1DC5-446F-8A01-585FDF15AB63},107000,1995-12-11 00:00,EN4 8DY,S,N,F,3,,CEDAR AVENUE,BARNET,BARNET,BARNET,GREATER LONDON,1161.15029842648,1995.0,1995-12-11,S,F,107000.0,EN4 8DY,E09000003,{FFA2A493-1DC5-446F-8A01-585FDF15AB63},18559514.0,92.15,5.0,12.0,51.0,54.0,England and Wales: 1930-1949,1161.15029842648,5.0,92.15,51.0,England and Wales: 1930-1949,EN4
{77D562AD-C933-45CB-BB40-54F24076302A},85000,1995-08-23 00:00,EN4 8NN,S,N,F,14,,BURLINGTON RISE,EAST BARNET,BARNET,BARNET,GREATER LONDON,1103.8961038961,1995.0,1995-08-23,S,F,85000.0,EN4 8NN,E09000003,{77D562AD-C933-45CB-BB40-54F24076302A},18614062.0,77.0,5.0,11.0,54.0,87.0,England and Wales: 1930-1949,1103.8961038961,5.0,77.0,54.0,England and Wales: 1930-1949,EN4
{48FE04FF-5CFE-40D5-9CAA-7E5CDD6C8605},79500,1995-08-14 00:00,EN4 9DS,S,N,F,24,,LANGFORD ROAD,COCKFOSTERS,BARNET,BARNET,GREATER LONDON,872.188699945145,1995.0,1995-08-14,S,F,79500.0,EN4 9DS,E09000003,{48FE04FF-5CFE-40D5-9CAA-7E5CDD6C8605},18610929.0,91.15,6.0,11.0,69.0,69.0,England and Wales: 1983-1990,872.188699945145,6.0,91.15,69.0,England and Wales: 1983-1990,EN4
{8CA6EA89-2CD4-4111-9F00-551867EB6412},54000,1995-06-15 00:00,EN4 9DG,F,N,L,10,,CASTLEWOOD ROAD,COCKFOSTERS,BARNET,BARNET,GREATER LONDON,857.142857142857,1995.0,1995-06-15,F,L,54000.0,EN4 9DG,E09000003,{8CA6EA89-2CD4-4111-9F00-551867EB6412},18523761.0,63.0,3.0,12.0,68.0,79.0,England and Wales: 1930-1949,857.142857142857,3.0,63.0,68.0,England and Wales: 1930-1949,EN4
{958442FF-2BAC-4ABE-88FA-C7FF2746C8E0},325000,1995-05-04 00:00,EN4 9TT,D,Y,F,2,,GATCOMBE WAY,BARNET,BARNET,BARNET,GREATER LONDON,1616.91542288557,1995.0,1995-05-04,D,F,325000.0,EN4 9TT,E09000003,{958442FF-2BAC-4ABE-88FA-C7FF2746C8E0},18609635.0,201.0,10.0,11.0,53.0,65.0,England and Wales: 1991-1995,1616.91542288557,10.0,201.0,53.0,England and Wales: 1991-1995,EN4
{3F87C539-396A-44A0-9545-2E1509FB4B2B},102500,1995-07-31 00:00,EN4 9RQ,S,N,F,89,,CRESCENT ROAD,BARNET,BARNET,BARNET,GREATER LONDON,640.625,1995.0,1995-07-31,S,F,102500.0,EN4 9RQ,E09000003,{3F87C539-396A-44A0-9545-2E1509FB4B2B},18566517.0,160.0,8.0,11.0,63.0,79.0,England and Wales: 1930-1949,640.625,8.0,160.0,63.0,England and Wales: 1930-1949,EN4
{F9D18449-9388-499A-B3AE-2E48C3AF357D},62000,1995-04-04 00:00,EN4 8BG,F,Y,L,29,,HENRY ROAD,BARNET,BARNET,BARNET,GREATER LONDON,1016.39344262295,1995.0,1995-04-04,F,L,62000.0,EN4 8BG,E09000003,{F9D18449-9388-499A-B3AE-2E48C3AF357D},18638186.0,61.0,3.0,11.0,73.0,75.0,England and Wales: 1991-1995,1016.39344262295,3.0,61.0,73.0,England and Wales: 1991-1995,EN4
{8D32A114-7FB7-4393-A49E-BFD56FF32322},87500,1995-10-24 00:00,EN4 8ES,S,N,F,47,,GALLANTS FARM ROAD,EAST BARNET,BARNET,BARNET,GREATER LONDON,883.838383838384,1995.0,1995-10-24,S,F,87500.0,EN4 8ES,E09000003,{8D32A114-7FB7-4393-A49E-BFD56FF32322},18656275.0,99.0,6.0,11.0,54.0,79.0,England and Wales: 1930-1949,883.838383838384,6.0,99.0,54.0,England and Wales: 1930-1949,EN4
{7EC1B7FC-69FA-42CD-B5DE-C6F7EAF1685A},77500,1995-06-09 00:00,EN4 9AS,T,N,F,44,,WESTBROOK CRESCENT,COCKFOSTERS,BARNET,BARNET,GREATER LONDON,861.111111111111,1995.0,1995-06-09,T,F,77500.0,EN4 9AS,E09000003,{7EC1B7FC-69FA-42CD-B5DE-C6F7EAF1685A},18531978.0,90.0,6.0,11.0,69.0,85.0,England and Wales: 1950-1966,861.111111111111,6.0,90.0,69.0,England and Wales: 1950-1966,EN4
{FB823F81-8455-4F6F-B41F-D597083302DD},95000,1995-10-26 00:00,EN4 8TU,S,N,F,1,,ETON AVENUE,BARNET,BARNET,BARNET,GREATER LONDON,673.758865248227,1995.0,1995-10-26,S,F,95000.0,EN4 8TU,E09000003,{FB823F81-8455-4F6F-B41F-D597083302DD},18603224.0,141.0,7.0,11.0,53.0,77.0,England and Wales: 1900-1929,673.758865248227,7.0,141.0,53.0,England and Wales: 1900-1929,EN4
{0F446359-9877-4095-A597-D925E33A1D21},122500,1995-05-30 00:00,EN4 8HY,S,N,F,74,,CAT HILL,BARNET,BARNET,BARNET,GREATER LONDON,716.374269005848,1995.0,1995-05-30,S,F,122500.0,EN4 8HY,E09000003,{0F446359-9877-4095-A597-D925E33A1D21},18634740.0,171.0,8.0,11.0,71.0,83.0,England and Wales: 1930-1949,716.374269005848,8.0,171.0,71.0,England and Wales: 1930-1949,EN4
{5F535007-9C62-4E09-B664-323F9F4D18EE},117000,1995-09-19 00:00,EN4 8HU,S,N,F,144,,CAT HILL,BARNET,BARNET,BARNET,GREATER LONDON,1238.88182973316,1995.0,1995-09-19,S,F,117000.0,EN4 8HU,E09000003,{5F535007-9C62-4E09-B664-323F9F4D18EE},18616842.0,94.44,5.0,11.0,48.0,61.0,England and Wales: 1900-1929,1238.88182973316,5.0,94.44,48.0,England and Wales: 1900-1929,EN4
{7F16B7D6-18FD-40E7-8340-D94BAB984B2B},122500,1995-11-03 00:00,EN4 8NB,S,N,F,69,,AVONDALE AVENUE,BARNET,BARNET,BARNET,GREATER LONDON,1103.6036036036,1995.0,1995-11-03,S,F,122500.0,EN4 8NB,E09000003,{7F16B7D6-18FD-40E7-8340-D94BAB984B2B},18577364.0,111.0,5.0,11.0,53.0,75.0,England and Wales: 1930-1949,1103.6036036036,5.0,111.0,53.0,England and Wales: 1930-1949,EN4
{F72D79E4-92D1-4C1B-9B96-D3924AB18EC5},113000,1995-07-07 00:00,EN4 9TT,F,Y,L,"WESTFARM COURT, 12",4,GATCOMBE WAY,BARNET,BARNET,BARNET,GREATER LONDON,1269.66292134831,1995.0,1995-07-07,F,L,113000.0,EN4 9TT,E09000003,{F72D79E4-92D1-4C1B-9B96-D3924AB18EC5},18539349.0,89.0,3.0,12.0,70.0,80.0,England and Wales: 1900-1929,1269.66292134831,3.0,89.0,70.0,England and Wales: 1900-1929,EN4
{80F714D3-FF47-4067-BF0B-C91FAE000DAB},53500,1995-08-17 00:00,EN4 8RY,F,N,L,37,,WELBECK ROAD,BARNET,BARNET,BARNET,GREATER LONDON,694.805194805195,1995.0,1995-08-17,F,L,53500.0,EN4 8RY,E09000003,{80F714D3-FF47-4067-BF0B-C91FAE000DAB},18560276.0,77.0,4.0,11.0,60.0,78.0,England and Wales: 1900-1929,694.805194805195,4.0,77.0,60.0,England and Wales: 1900-1929,EN4
{B08FE361-CC5A-4E0F-A281-9DA3BEB7A524},51000,1995-06-28 00:00,EN4 9DG,S,N,L,8,,CASTLEWOOD ROAD,COCKFOSTERS,BARNET,BARNET,GREATER LONDON,793.897882938979,1995.0,1995-06-28,S,L,51000.0,EN4 9DG,E09000003,{B08FE361-CC5A-4E0F-A281-9DA3BEB7A524},18573863.0,64.24,4.0,11.0,63.0,64.0,England and Wales: 1930-1949,793.897882938979,4.0,64.24,63.0,England and Wales: 1930-1949,EN4
{F7C511E2-0852-4E8E-BF6F-A6025953418F},66000,1995-04-28 00:00,EN4 9TE,F,Y,L,GOLDEN COURT,FLAT 12,PARK ROAD,BARNET,BARNET,BARNET,GREATER LONDON,1100.0,1995.0,1995-04-28,F,L,66000.0,EN4 9TE,E09000003,{F7C511E2-0852-4E8E-BF6F-A6025953418F},18629410.0,60.0,3.0,11.0,67.0,74.0,England and Wales: 1996-2002,1100.0,3.0,60.0,67.0,England and Wales: 1996-2002,EN4
{F18E8D46-F06B-4495-96A6-A16BCDEFAB76},93000,1995-03-24 00:00,EN4 9HE,S,N,F,24,,HAMILTON ROAD,COCKFOSTERS,BARNET,BARNET,GREATER LONDON,781.512605042017,1995.0,1995-03-24,S,F,93000.0,EN4 9HE,E09000003,{F18E8D46-F06B-4495-96A6-A16BCDEFAB76},18574514.0,119.0,4.0,12.0,79.0,88.0,England and Wales: 2007 onwards,781.512605042017,4.0,119.0,79.0,England and Wales: 2007 onwards,EN4
{F0F0515F-020B-4605-BEA8-B470909910A7},137000,1995-07-29 00:00,EN4 8HS,S,N,F,177,,CAT HILL,BARNET,BARNET,ENFIELD,GREATER LONDON,951.388888888889,1995.0,1995-07-29,S,F,137000.0,EN4 8HS,E09000010,{F0F0515F-020B-4605-BEA8-B470909910A7},19374822.0,144.0,5.0,11.0,68.0,84.0,England and Wales: 1900-1929,951.388888888889,5.0,144.0,68.0,England and Wales: 1900-1929,EN4
{E86F04D0-E91C-459E-BDD1-446073077161},93000,1995-04-19 00:00,EN4 9AP,S,N,F,3,,WESTBROOK CRESCENT,COCKFOSTERS,BARNET,BARNET,GREATER LONDON,939.393939393939,1995.0,1995-04-19,S,F,93000.0,EN4 9AP,E09000003,{E86F04D0-E91C-459E-BDD1-446073077161},18567899.0,99.0,4.0,11.0,58.0,84.0,England and Wales: 1950-1966,939.393939393939,4.0,99.0,58.0,England and Wales: 1950-1966,EN4
{3AC938AE-2361-47F0-A743-53FB2480475D},115000,1995-08-25 00:00,EN4 9TT,F,Y,L,"WESTFARM COURT, 12",3,GATCOMBE WAY,BARNET,BARNET,BARNET,GREATER LONDON,1033.70786516854,1995.0,1995-08-25,F,L,115000.0,EN4 9TT,E09000003,{3AC938AE-2361-47F0-A743-53FB2480475D},18598341.0,111.25,3.0,12.0,72.0,80.0,England and Wales: before 1900,1033.70786516854,3.0,111.25,72.0,England and Wales: before 1900,EN4
{43C1E42E-580F-43C8-80A7-3D69BE44BF45},57000,1995-11-30 00:00,EN4 8QG,F,N,L,18,,VERNON CRESCENT,BARNET,BARNET,BARNET,GREATER LONDON,899.337330388135,1995.0,1995-11-30,F,L,57000.0,EN4 8QG,E09000003,{43C1E42E-580F-43C8-80A7-3D69BE44BF45},18543062.0,63.38,3.0,11.0,68.0,82.0,England and Wales: 1950-1966,899.337330388135,3.0,63.38,68.0,England and Wales: 1950-1966,EN4
{39CF8EB5-CE69-432C-AE00-50914C53465D},94000,1995-05-05 00:00,EN4 8NG,T,N,F,7,,CHETWYND AVENUE,EAST BARNET,BARNET,BARNET,GREATER LONDON,817.391304347826,1995.0,1995-05-05,T,F,94000.0,EN4 8NG,E09000003,{39CF8EB5-CE69-432C-AE00-50914C53465D},18567227.0,115.0,6.0,11.0,64.0,85.0,England and Wales: 1930-1949,817.391304347826,6.0,115.0,64.0,England and Wales: 1930-1949,EN4
