ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{7FCC0C6B-FD07-4D47-8D84-3B8081C3257E},57000,1995-01-02 00:00,EN5 2RL,S,F,52,,SELLWOOD DRIVE,BARNET,BARNET,BARNET,GREATER LONDON,1357.14285714286,2.0,42.0,53.0,1990.0,EN5,1995,18783,5,High Barnet,1.39871,54700,6,1b,3.79001790414661
{BB540EDA-2B55-46A8-84CC-692C42B3EE97},88000,1995-01-03 00:00,EN5 2HA,S,F,32,,WOODFALL AVENUE,BARNET,BARNET,BARNET,GREATER LONDON,1173.33333333333,4.0,75.0,40.0,1949.0,EN5,1995,27550,5,High Barnet,0.520814,64300,9,4,15.7107612814717
{2A289E9C-E2EC-CDC8-E050-A8C063054829},48500,1995-01-05 00:00,EN5 5JB,F,F,16,,BULWER ROAD,,BARNET,BARNET,GREATER LONDON,1053.20304017372,2.0,46.05,68.0,1990.0,EN5,1995,15365,5,New Barnet,0.505808,60900,5,3,12.454057645946
{6E4DAB20-BDA3-4F2D-B1E9-CB37CA71D710},66000,1995-01-05 00:00,EN5 1RW,F,L,BEAUFORT COURT,8,SOMERSET ROAD,NEW BARNET,BARNET,BARNET,GREATER LONDON,942.857142857143,3.0,70.0,59.0,1975.0,EN5,1995,18670,5,New Barnet,0.470539,61100,6,3,11.2998364636823
{2A289E9C-E08B-CDC8-E050-A8C063054829},34000,1995-01-09 00:00,EN5 5HW,F,L,"SHERIDAN LODGE, 38",FLAT 24,POTTERS ROAD,,BARNET,BARNET,GREATER LONDON,1133.33333333333,2.0,30.0,77.0,1990.0,EN5,1995,24330,5,New Barnet,0.674575,60900,8,3,11.1195424149739
{BD630966-3A12-44AA-8C4B-2E1CD8101EE3},198950,1995-01-11 00:00,EN5 3EZ,D,F,3,,FIELD END,BARNET,BARNET,BARNET,GREATER LONDON,1475.56181858637,4.0,134.83,65.0,1966.0,EN5,1995,25200,5,High Barnet,2.0382,59400,8,1a,2.01364218259357
{0850B8B4-EF47-4152-AD37-67799C2C4AC8},78000,1995-01-12 00:00,EN5 4PY,F,L,90C,,HADLEY HIGHSTONE,BARNET,BARNET,BARNET,GREATER LONDON,1267.46831329217,3.0,61.54,64.0,1949.0,EN5,1995,27346,6,Hadley Wood,1.52261,64300,9,0,0.0
{FD8CE0FC-B65E-419E-BAC5-E1FF23BE0FD5},53600,1995-01-20 00:00,EN5 4PA,D,F,WENTWORTH COURT,1,WENTWORTH ROAD,BARNET,BARNET,BARNET,GREATER LONDON,1118.53088480801,3.0,47.92,62.0,1949.0,EN5,1995,29613,5,High Barnet,1.11347,64300,10,2,8.88425966650652
{E78FDFBE-3EB4-46BB-90D3-307389715F7F},63000,1995-01-20 00:00,EN5 2JH,F,L,5A,,SUNBURY COURT,BARNET,BARNET,BARNET,GREATER LONDON,900.0,3.0,70.0,76.0,1990.0,EN5,1995,22974,5,High Barnet,0.678608,64300,7,3,13.8975959114467
{2A289E9C-E1E5-CDC8-E050-A8C063054829},38000,1995-01-23 00:00,EN5 2SB,F,L,7,,WEST END LANE,,BARNET,BARNET,GREATER LONDON,655.172413793103,3.0,58.0,59.0,1900.0,EN5,1995,21893,5,High Barnet,1.14612,54700,7,2,7.93917711383953
