ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{1F862529-273C-4C8A-8947-836E299FB23C},85000,1998-11-26 00:00,HA7 4BA,F,N,L,32,,BERNAYS CLOSE,STANMORE,STANMORE,HARROW,GREATER LONDON,1061.17353308365,1998.0,1998-11-26,F,L,85000.0,HA7 4BA,E09000015,{1F862529-273C-4C8A-8947-836E299FB23C},19920576.0,80.1,4.0,12.0,63.0,71.0,England and Wales: 1930-1949,1061.17353308365,4.0,80.1,63.0,England and Wales: 1930-1949,HA7
{6FEBC50C-C0D2-4C36-8760-8E4336A2F414},125000,1998-11-30 00:00,HA7 2DD,S,N,F,5,,BELLAMY DRIVE,STANMORE,STANMORE,HARROW,GREATER LONDON,822.368421052632,1998.0,1998-11-30,S,F,125000.0,HA7 2DD,E09000015,{6FEBC50C-C0D2-4C36-8760-8E4336A2F414},19945590.0,152.0,5.0,11.0,55.0,82.0,England and Wales: 1930-1949,822.368421052632,5.0,152.0,55.0,England and Wales: 1930-1949,HA7
{62D89CC8-A199-4879-9171-329B1140CC70},105000,1998-10-15 00:00,HA7 3LY,S,N,F,55,,MASEFIELD AVENUE,STANMORE,STANMORE,HARROW,GREATER LONDON,1235.29411764706,1998.0,1998-10-15,S,F,105000.0,HA7 3LY,E09000015,{62D89CC8-A199-4879-9171-329B1140CC70},19968170.0,85.0,3.0,11.0,64.0,84.0,England and Wales: 1930-1949,1235.29411764706,3.0,85.0,64.0,England and Wales: 1930-1949,HA7
{BD565C7E-B160-4845-B2FD-8E63482C701D},395000,1998-06-26 00:00,HA7 4YN,D,Y,F,10,,REES DRIVE,STANMORE,STANMORE,HARROW,GREATER LONDON,1917.47572815534,1998.0,1998-06-26,D,F,395000.0,HA7 4YN,E09000015,{BD565C7E-B160-4845-B2FD-8E63482C701D},19947092.0,206.0,7.0,11.0,64.0,74.0,England and Wales: 1996-2002,1917.47572815534,7.0,206.0,64.0,England and Wales: 1996-2002,HA7
{32D8C417-9F5E-4D18-A5EA-32B0B8DC9FCF},143000,1998-04-29 00:00,HA7 2BH,D,N,F,16,,FELBRIDGE AVENUE,STANMORE,STANMORE,HARROW,GREATER LONDON,1108.52713178295,1998.0,1998-04-29,D,F,143000.0,HA7 2BH,E09000015,{32D8C417-9F5E-4D18-A5EA-32B0B8DC9FCF},19949525.0,129.0,7.0,11.0,50.0,78.0,England and Wales: 1930-1949,1108.52713178295,7.0,129.0,50.0,England and Wales: 1930-1949,HA7
{FDD439CF-7D21-4DDA-8826-7BAF8D5C8224},165000,1998-02-27 00:00,HA7 3QG,F,N,L,14,,GLENEAGLES,STANMORE,STANMORE,HARROW,GREATER LONDON,1650.0,1998.0,1998-02-27,F,L,165000.0,HA7 3QG,E09000015,{FDD439CF-7D21-4DDA-8826-7BAF8D5C8224},19984982.0,100.0,3.0,11.0,74.0,82.0,England and Wales: 1950-1966,1650.0,3.0,100.0,74.0,England and Wales: 1950-1966,HA7
{A73D46B6-D248-4CAB-AC09-874216626111},150000,1998-03-18 00:00,HA7 4UQ,T,N,F,2,,TALMAN GROVE,STANMORE,STANMORE,HARROW,GREATER LONDON,1735.91019557922,1998.0,1998-03-18,T,F,150000.0,HA7 4UQ,E09000015,{A73D46B6-D248-4CAB-AC09-874216626111},19964183.0,86.41,4.0,12.0,62.0,71.0,England and Wales: 1991-1995,1735.91019557922,4.0,86.41,62.0,England and Wales: 1991-1995,HA7
{57B24BEF-67DA-4550-A059-748F044A05DD},250000,1998-07-08 00:00,HA7 3AG,D,N,F,7,,CULVERLANDS CLOSE,STANMORE,STANMORE,HARROW,GREATER LONDON,1096.49122807018,1998.0,1998-07-08,D,F,250000.0,HA7 3AG,E09000015,{57B24BEF-67DA-4550-A059-748F044A05DD},19960018.0,228.0,5.0,11.0,53.0,81.0,England and Wales: 1967-1975,1096.49122807018,5.0,228.0,53.0,England and Wales: 1967-1975,HA7
{CE6F4FB6-B476-4E98-8E94-2F524454E37C},147000,1998-07-10 00:00,HA7 2PL,S,N,F,15,,BELMONT LANE,STANMORE,STANMORE,HARROW,GREATER LONDON,1512.34567901235,1998.0,1998-07-10,S,F,147000.0,HA7 2PL,E09000015,{CE6F4FB6-B476-4E98-8E94-2F524454E37C},19931667.0,97.2,5.0,11.0,47.0,51.0,England and Wales: 1930-1949,1512.34567901235,5.0,97.2,47.0,England and Wales: 1930-1949,HA7
{F321DF16-2C6F-4A35-AE27-E8C46C417BCE},373000,1998-11-27 00:00,HA7 4YN,D,N,F,25,,REES DRIVE,STANMORE,STANMORE,HARROW,GREATER LONDON,1855.72139303483,1998.0,1998-11-27,D,F,373000.0,HA7 4YN,E09000015,{F321DF16-2C6F-4A35-AE27-E8C46C417BCE},19979689.0,201.0,8.0,11.0,70.0,81.0,England and Wales: 1996-2002,1855.72139303483,8.0,201.0,70.0,England and Wales: 1996-2002,HA7
{1AA4FA24-8CBB-4F8D-BE22-283DD47C1533},139000,1998-07-24 00:00,HA7 4AU,S,N,F,51,,ELM PARK,STANMORE,STANMORE,HARROW,GREATER LONDON,920.529801324503,1998.0,1998-07-24,S,F,139000.0,HA7 4AU,E09000015,{1AA4FA24-8CBB-4F8D-BE22-283DD47C1533},19942446.0,151.0,6.0,11.0,62.0,85.0,England and Wales: 1900-1929,920.529801324503,6.0,151.0,62.0,England and Wales: 1900-1929,HA7
{46121F35-ED39-4E8C-832B-8EACFB38034A},117000,1998-05-08 00:00,HA7 2PW,F,N,L,5,,QUADRANGLE MEWS,STANMORE,STANMORE,HARROW,GREATER LONDON,2340.0,1998.0,1998-05-08,F,L,117000.0,HA7 2PW,E09000015,{46121F35-ED39-4E8C-832B-8EACFB38034A},19986137.0,50.0,3.0,11.0,70.0,77.0,England and Wales: 1900-1929,2340.0,3.0,50.0,70.0,England and Wales: 1900-1929,HA7
{48A53615-FF38-49B7-817F-7F89E896C889},113000,1998-04-06 00:00,HA7 2DD,S,N,F,21,,BELLAMY DRIVE,STANMORE,STANMORE,HARROW,GREATER LONDON,1429.65587044534,1998.0,1998-04-06,S,F,113000.0,HA7 2DD,E09000015,{48A53615-FF38-49B7-817F-7F89E896C889},19970332.0,79.04,4.0,11.0,48.0,55.0,England and Wales: 1930-1949,1429.65587044534,4.0,79.04,48.0,England and Wales: 1930-1949,HA7
{8F958515-5BF7-4F61-9F97-9266D533F66E},165000,1998-07-31 00:00,HA7 3PE,T,N,F,100,,DRUMMOND DRIVE,STANMORE,STANMORE,HARROW,GREATER LONDON,1530.47027177442,1998.0,1998-07-31,T,F,165000.0,HA7 3PE,E09000015,{8F958515-5BF7-4F61-9F97-9266D533F66E},19914573.0,107.81,5.0,12.0,40.0,56.0,England and Wales: 1900-1929,1530.47027177442,5.0,107.81,40.0,England and Wales: 1900-1929,HA7
{97D88D01-00F8-486D-88EC-FAD2A99E002A},417500,1998-08-22 00:00,HA7 2RR,D,N,F,118,,OLD CHURCH LANE,STANMORE,STANMORE,HARROW,GREATER LONDON,2056.65024630542,1998.0,1998-08-22,D,F,417500.0,HA7 2RR,E09000015,{97D88D01-00F8-486D-88EC-FAD2A99E002A},19934453.0,203.0,5.0,11.0,49.0,79.0,England and Wales: 1930-1949,2056.65024630542,5.0,203.0,49.0,England and Wales: 1930-1949,HA7
{8B2D570F-17C3-47E4-8B44-AD3B42D96544},75000,1998-09-04 00:00,HA7 3HU,F,N,L,18,,ALPINE WALK,STANMORE,STANMORE,HARROW,GREATER LONDON,1351.35135135135,1998.0,1998-09-04,F,L,75000.0,HA7 3HU,E09000015,{8B2D570F-17C3-47E4-8B44-AD3B42D96544},19938515.0,55.5,3.0,12.0,67.0,75.0,England and Wales: 1950-1966,1351.35135135135,3.0,55.5,67.0,England and Wales: 1950-1966,HA7
{2A2AA93D-2ABA-48BF-90F1-B4501317600F},75000,1998-09-07 00:00,HA7 4BD,F,N,L,RIDGEWAY COURT,16,THE RIDGEWAY,STANMORE,STANMORE,HARROW,GREATER LONDON,1136.36363636364,1998.0,1998-09-07,F,L,75000.0,HA7 4BD,E09000015,{2A2AA93D-2ABA-48BF-90F1-B4501317600F},19956526.0,66.0,3.0,11.0,67.0,74.0,England and Wales: 1930-1949,1136.36363636364,3.0,66.0,67.0,England and Wales: 1930-1949,HA7
{75EB3868-7226-494F-A906-D0FB6F186BFF},65000,1998-04-24 00:00,HA7 1ER,F,N,L,33,,LOWTHER ROAD,STANMORE,STANMORE,HARROW,GREATER LONDON,1140.35087719298,1998.0,1998-04-24,F,L,65000.0,HA7 1ER,E09000015,{75EB3868-7226-494F-A906-D0FB6F186BFF},19919066.0,57.0,3.0,11.0,59.0,75.0,England and Wales: 1930-1949,1140.35087719298,3.0,57.0,59.0,England and Wales: 1930-1949,HA7
