ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2E831CE9-82FA-4F95-8B05-743B15A192FF},72500,1995-01-03 00:00,HA9 6BG,T,F,10,,WAVERLEY AVENUE,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,584.677419354839,5.0,124.0,68.0,1949.0,HA9,1995
{2A289E9C-E0FE-CDC8-E050-A8C063054829},34000,1995-01-06 00:00,HA9 9DB,F,L,65,,POPLAR GROVE,,WEMBLEY,BRENT,GREATER LONDON,566.666666666667,3.0,60.0,67.0,1975.0,HA9,1995
{76D912A8-D5BB-4E09-BBE2-E0CA780A551D},90000,1995-01-06 00:00,HA9 6JE,S,F,42,,MONKS PARK,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,494.505494505494,8.0,182.0,64.0,1949.0,HA9,1995
{1A8EAC28-AD16-47B8-AA56-5EBFED1DBCC6},96500,1995-01-09 00:00,HA9 7PA,S,F,40,,ROSSLYN CRESCENT,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,784.552845528455,6.0,123.0,54.0,1929.0,HA9,1995
{53B94EEC-23A6-4684-BC18-10C9F3EBC102},65300,1995-01-13 00:00,HA9 6SG,S,F,3,,TUDOR COURT NORTH,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,599.082568807339,7.0,109.0,53.0,1949.0,HA9,1995
{B1097D8B-D514-400B-9B1F-489B0DDEB0AB},90000,1995-01-15 00:00,HA9 7HG,T,F,166,,LONDON ROAD,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,1783.94449950446,3.0,50.45,48.0,1929.0,HA9,1995
{2A289E9C-E11A-CDC8-E050-A8C063054829},31500,1995-01-16 00:00,HA9 9BX,F,L,134A,,BARNHILL ROAD,,WEMBLEY,BRENT,GREATER LONDON,597.722960151803,3.0,52.7,68.0,1949.0,HA9,1995
{2CDE7A6A-12C3-4BCD-BE1E-359DE20B5AE3},84000,1995-01-19 00:00,HA9 8PR,S,F,11,,GLENDALE GARDENS,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,875.0,5.0,96.0,55.0,1949.0,HA9,1995
{35937922-3604-4929-91B2-6D6B4DFDC938},52000,1995-01-24 00:00,HA9 9DE,T,F,62,,BARNHILL ROAD,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,619.047619047619,5.0,84.0,67.0,1966.0,HA9,1995
{2A289E9C-E24A-CDC8-E050-A8C063054829},39000,1995-01-27 00:00,HA9 7JP,F,L,159A,,ST JOHNS ROAD,,WEMBLEY,BRENT,GREATER LONDON,910.576698575765,2.0,42.83,72.0,1949.0,HA9,1995
{2A289E9C-E4A0-CDC8-E050-A8C063054829},39000,1995-01-30 00:00,HA9 6BQ,S,F,45,,WAVERLEY AVENUE,,WEMBLEY,BRENT,GREATER LONDON,402.061855670103,5.0,97.0,60.0,1929.0,HA9,1995
{47BADD1C-AB60-46EA-A399-FCF4C4790CE3},52500,1995-01-30 00:00,HA9 8JH,F,L,1,,ELLIOTT CLOSE,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,656.25,4.0,80.0,68.0,1995.0,HA9,1995
{2A289E9C-E50A-CDC8-E050-A8C063054829},35000,1995-01-31 00:00,HA9 9ES,F,L,KINGS COURT,10,KINGS DRIVE,,WEMBLEY,BRENT,GREATER LONDON,500.0,3.0,70.0,56.0,1949.0,HA9,1995
{2A289E9F-9C81-CDC8-E050-A8C063054829},37500,1995-01-31 00:00,HA9 9JF,F,L,CARMEL COURT,49,KINGS DRIVE,,WEMBLEY,BRENT,GREATER LONDON,937.5,3.0,40.0,39.0,1949.0,HA9,1995
{1419AF5A-5FBE-4BC0-9C82-32A79502CC4F},92000,1995-01-31 00:00,HA9 7SD,T,F,145,,PARK LANE,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,910.891089108911,5.0,101.0,55.0,1966.0,HA9,1995
{2A289E9C-E50F-CDC8-E050-A8C063054829},21300,1995-01-31 00:00,HA9 9JE,F,L,CARMEL COURT,1,KINGS DRIVE,,WEMBLEY,BRENT,GREATER LONDON,423.459244532803,3.0,50.3,60.0,1966.0,HA9,1995
{6D67F2A8-E936-43CC-9470-C8456C83EFC7},62000,1995-01-31 00:00,HA9 6QL,S,F,240,,HARROW ROAD,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,548.672566371681,4.0,113.0,60.0,1966.0,HA9,1995
{2A289E9C-E50E-CDC8-E050-A8C063054829},26300,1995-01-31 00:00,HA9 9JF,F,L,CARMEL COURT,49,KINGS DRIVE,,WEMBLEY,BRENT,GREATER LONDON,657.5,3.0,40.0,39.0,1949.0,HA9,1995
{2A289E9D-E455-CDC8-E050-A8C063054829},32500,1995-01-31 00:00,HA9 9JE,F,L,CARMEL COURT,1,KINGS DRIVE,,WEMBLEY,BRENT,GREATER LONDON,646.123260437376,3.0,50.3,60.0,1966.0,HA9,1995
{314E8A5D-042C-4E33-AFB5-EF72527CE213},66000,1995-02-03 00:00,HA9 6ND,S,F,235,,OAKINGTON MANOR DRIVE,WEMBLEY,WEMBLEY,BRENT,GREATER LONDON,660.0,6.0,100.0,60.0,1929.0,HA9,1995
