ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{2A289E9C-E196-CDC8-E050-A8C063054829},29000,1995-01-11,IG11 7YH,T,,F,20,,ELDRED ROAD,,BARKING,BARKING AND DAGENHAM,GREATER LONDON,500.0,3.0,58.0,59.0,1949.0,IG11,1995,6549,4,Barking,0.849331,47800,2,2,8.73441878612489,0.0
{2A289E9D-9287-CDC8-E050-A8C063054829},27000,1995-01-11,IG11 7QN,T,,F,1A,,ESSEX ROAD,,BARKING,BARKING AND DAGENHAM,GREATER LONDON,306.818181818182,5.0,88.0,51.0,1929.0,IG11,1995,8825,4,Barking,0.592241,51300,3,6a,32.8574312609176,0.0
{2A289E9C-E291-CDC8-E050-A8C063054829},35000,1995-01-12,IG11 9NL,F,,L,GRAHAM MANSIONS,3,LANSBURY AVENUE,,BARKING,BARKING AND DAGENHAM,GREATER LONDON,471.63455059965,3.0,74.21,67.0,1949.0,IG11,1995,3842,4,Upney,0.380983,41600,2,3,10.4477335359526,0.0
{2A289E9C-E36A-CDC8-E050-A8C063054829},42000,1995-01-18,IG11 0PX,T,,F,9,,CHELMER CRESCENT,,BARKING,BARKING AND DAGENHAM,GREATER LONDON,512.820512820513,4.0,81.9,60.0,1966.0,IG11,1995,3669,4,Barking Riverside,0.983816,46100,2,1b,4.52742812191443,0.0
{B2AC70D8-4A81-4D9D-9D44-792A7B7444B2},60000,1995-01-18,IG11 8UB,F,,L,CROMWELL LODGE,FLAT 5,LONGBRIDGE ROAD,BARKING,BARKING,REDBRIDGE,GREATER LONDON,1428.57142857143,3.0,42.0,77.0,1990.0,IG11,1995,17671,4,Upney,1.03559,52600,6,2,8.30913015267264,0.0
{896617E2-94F2-4B64-93C9-414B265A4F46},59995,1995-01-24,IG11 7QT,T,,F,21,,SURREY ROAD,BARKING,BARKING,BARKING AND DAGENHAM,GREATER LONDON,560.700934579439,5.0,107.0,61.0,1949.0,IG11,1995,8825,4,Upney,0.734408,51300,3,1b,2.87083946714519,0.0
{2A289E9C-E1FB-CDC8-E050-A8C063054829},23000,1995-01-24,IG11 8QG,F,,L,83B,,GLENNY ROAD,,BARKING,BARKING AND DAGENHAM,GREATER LONDON,547.619047619048,2.0,42.0,62.0,1929.0,IG11,1995,7698,4,Barking,0.333213,51300,3,6a,38.4415829615075,0.0
{8BB62D42-A0EA-40FA-A5DE-8C718B5BC32D},53500,1995-01-27,IG11 7QP,T,,F,13,,SUFFOLK ROAD,BARKING,BARKING,BARKING AND DAGENHAM,GREATER LONDON,828.173374613003,3.0,64.6,47.0,1900.0,IG11,1995,8825,4,Barking,0.671212,51300,3,1b,3.06493000359555,0.0
{4B0EA2A4-43D2-4DD5-BA9E-1C110AA8276C},77000,1995-01-27,IG11 9TN,T,,F,83,,NETHERFIELD GARDENS,BARKING,BARKING,BARKING AND DAGENHAM,GREATER LONDON,905.882352941176,4.0,85.0,40.0,1949.0,IG11,1995,14486,4,Barking,0.563445,51300,5,5,24.7066124030252,0.0
{2A289E9C-E47B-CDC8-E050-A8C063054829},47000,1995-01-27,IG11 7TX,S,,F,20,,GREATFIELDS ROAD,,BARKING,BARKING AND DAGENHAM,GREATER LONDON,587.5,3.0,80.0,51.0,1949.0,IG11,1995,3928,4,Barking,1.10178,41300,2,2,8.24730972244266,0.0
