ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{F91993A8-3F78-497B-918F-A6591A93CD74},52000,1995-01-18,IG2 7NE,F,L,17,,ABBEY ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,831.600831600832,3.0,62.53,74.0,1975.0,IG2,1995,22934,4,Newbury Park,0.531811,60600,7,2,7.67207743195241,0.0
{07A6424C-74BB-40DA-B947-8AFDC3B99023},129000,1995-01-23,IG2 7AB,T,F,50,,CHARTER AVENUE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,816.455696202532,7.0,158.0,49.0,1949.0,IG2,1995,17117,4,Seven Kings,0.742867,58400,6,2,8.59016701705912,0.0
{2A289E9D-92DA-CDC8-E050-A8C063054829},34950,1995-01-24,IG2 6LR,F,L,379A,FLAT 2,EASTERN AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,613.157894736842,3.0,57.0,80.0,1949.0,IG2,1995,20532,4,Gants Hill,0.127359,57300,7,5,22.2614520271696,0.0
{9F830AEC-A118-4047-8A62-E11D0330095C},51950,1995-01-26,IG2 6LR,F,L,379A,FLAT 3,EASTERN AVENUE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,618.452380952381,3.0,84.0,69.0,1929.0,IG2,1995,20532,4,Gants Hill,0.127359,57300,7,5,22.2614520271696,0.0
{50DDE8A5-0C73-41CE-81E1-99C57C8A6FAF},63000,1995-01-27,IG2 7AZ,T,F,102,,WARDS ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,630.0,6.0,100.0,54.0,1929.0,IG2,1995,21046,4,Newbury Park,0.610721,53400,7,2,7.44768809585354,0.0
{2A289E9D-9313-CDC8-E050-A8C063054829},34950,1995-01-31,IG2 6LR,F,L,379A,FLAT 5,EASTERN AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,685.294117647059,3.0,51.0,50.0,1949.0,IG2,1995,20532,4,Gants Hill,0.127359,57300,7,5,22.2614520271696,0.0
{951FECA4-9277-4536-AECD-14D90AE7A52F},80000,1995-02-06,IG2 7SB,T,F,967,,EASTERN AVENUE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,823.97775260068,5.0,97.09,45.0,1949.0,IG2,1995,16305,4,Newbury Park,1.33313,54300,5,0,0.0,2800.179605972826
{EA6F6551-92A2-42AF-B55F-A221DD6EF47C},69500,1995-02-08,IG2 6TL,T,F,129,,ROLL GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,842.424242424242,5.0,82.5,65.0,1929.0,IG2,1995,19591,4,Gants Hill,0.317717,57300,6,3,13.0859336089132,2800.179605972826
{987C5A20-A0AB-4415-8C74-267C7957C6EA},54000,1995-02-10,IG2 7SZ,T,F,60,,SPEARPOINT GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,719.616204690832,4.0,75.04,70.0,1949.0,IG2,1995,16305,4,Barkingside,0.976673,54300,5,0,0.0,2800.179605972826
{2A289E9F-2B6A-CDC8-E050-A8C063054829},48000,1995-02-16,IG2 7LF,F,L,HASTINGWOOD COURT,FLAT 50,YOUNGS ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,971.070200283229,3.0,49.43,75.0,1990.0,IG2,1995,14895,4,Newbury Park,0.409267,60600,5,3,11.3534131572919,2800.179605972826
{EE3E4A26-FBB6-438A-8884-DAFB17E615E9},84000,1995-02-20,IG2 7QQ,T,F,24,,ROY GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,792.452830188679,5.0,106.0,53.0,1949.0,IG2,1995,19658,4,Newbury Park,0.842744,54300,6,1b,3.48385173927814,2800.179605972826
