ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{010F99C2-AC0D-4947-ACCA-936F7D0DBAA2},202000,2000-06-22 00:00,IG3 9NL,D,N,F,22,,BROWNLEA GARDENS,,ILFORD,REDBRIDGE,GREATER LONDON,1052.08333333333,2000.0,2000-06-22,D,F,202000.0,IG3 9NL,E09000026,{010F99C2-AC0D-4947-ACCA-936F7D0DBAA2},21029529.0,192.0,6.0,11.0,52.0,75.0,England and Wales: 1930-1949,1052.08333333333,6.0,192.0,52.0,England and Wales: 1930-1949,IG3
{D0108117-1EED-445E-8A48-0FE85BE5DE9D},119995,2000-06-30 00:00,IG3 8PR,T,N,F,52,,CHESTER ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1348.25842696629,2000.0,2000-06-30,T,F,119995.0,IG3 8PR,E09000026,{D0108117-1EED-445E-8A48-0FE85BE5DE9D},21068283.0,89.0,5.0,11.0,55.0,87.0,England and Wales: before 1900,1348.25842696629,5.0,89.0,55.0,England and Wales: before 1900,IG3
{B5E153EE-81D9-4AEC-AF1F-60A9115BDAC2},210000,2000-07-26 00:00,IG3 9QX,S,N,F,37,,ABBOTSFORD ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1141.30434782609,2000.0,2000-07-26,S,F,210000.0,IG3 9QX,E09000026,{B5E153EE-81D9-4AEC-AF1F-60A9115BDAC2},21036086.0,184.0,9.0,11.0,66.0,79.0,England and Wales: 1930-1949,1141.30434782609,9.0,184.0,66.0,England and Wales: 1930-1949,IG3
{A5DD2B34-A182-45DF-BE13-0C5867CC41F1},135500,2000-01-16 00:00,IG3 9EP,T,N,F,96,,ASHBURTON AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,874.193548387097,2000.0,2000-01-16,T,F,135500.0,IG3 9EP,E09000026,{A5DD2B34-A182-45DF-BE13-0C5867CC41F1},21068210.0,155.0,6.0,11.0,68.0,83.0,England and Wales: 1930-1949,874.193548387097,6.0,155.0,68.0,England and Wales: 1930-1949,IG3
{79318A7F-4028-49A1-8BFE-46483D8CA90B},125000,2000-11-10 00:00,IG3 8BD,T,N,F,21,,LAMBOURNE ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1712.32876712329,2000.0,2000-11-10,T,F,125000.0,IG3 8BD,E09000026,{79318A7F-4028-49A1-8BFE-46483D8CA90B},21046552.0,73.0,5.0,11.0,64.0,89.0,England and Wales: 1900-1929,1712.32876712329,5.0,73.0,64.0,England and Wales: 1900-1929,IG3
{BEECE7A5-79B7-4B63-A594-13ABE28033BE},153000,2000-06-30 00:00,IG3 9XJ,S,N,F,116,,FELBRIGGE ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1100.71942446043,2000.0,2000-06-30,S,F,153000.0,IG3 9XJ,E09000026,{BEECE7A5-79B7-4B63-A594-13ABE28033BE},21027332.0,139.0,7.0,11.0,62.0,79.0,England and Wales: 1900-1929,1100.71942446043,7.0,139.0,62.0,England and Wales: 1900-1929,IG3
{D0739733-6D42-4701-A4A9-1019B38700FD},110000,2000-01-18 00:00,IG3 8PF,T,N,F,119,,PEMBROKE ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1170.21276595745,2000.0,2000-01-18,T,F,110000.0,IG3 8PF,E09000026,{D0739733-6D42-4701-A4A9-1019B38700FD},21082339.0,94.0,4.0,12.0,49.0,78.0,England and Wales: 1930-1949,1170.21276595745,4.0,94.0,49.0,England and Wales: 1930-1949,IG3
{627FF0AB-C65E-40DD-BBF7-3F4431DD59B2},111000,2000-07-17 00:00,IG3 8XR,S,N,F,190,,BARLEY LANE,,ILFORD,REDBRIDGE,GREATER LONDON,1206.52173913043,2000.0,2000-07-17,S,F,111000.0,IG3 8XR,E09000026,{627FF0AB-C65E-40DD-BBF7-3F4431DD59B2},21034967.0,92.0,5.0,11.0,61.0,63.0,England and Wales: 1900-1929,1206.52173913043,5.0,92.0,61.0,England and Wales: 1900-1929,IG3
{164C2D0E-A19D-4146-A533-60F900CF13F2},55000,2000-04-04 00:00,IG3 9RD,F,N,L,227,,EXPRESS DRIVE,,ILFORD,REDBRIDGE,GREATER LONDON,1250.0,2000.0,2000-04-04,F,L,55000.0,IG3 9RD,E09000026,{164C2D0E-A19D-4146-A533-60F900CF13F2},21089541.0,44.0,2.0,12.0,60.0,80.0,England and Wales: 1976-1982,1250.0,2.0,44.0,60.0,England and Wales: 1976-1982,IG3
{4E41DD93-A4F5-4033-BCFD-3F5EAFF3DDBE},56995,2000-05-12 00:00,IG3 9RD,F,N,L,277,,EXPRESS DRIVE,,ILFORD,REDBRIDGE,GREATER LONDON,1117.54901960784,2000.0,2000-05-12,F,L,56995.0,IG3 9RD,E09000026,{4E41DD93-A4F5-4033-BCFD-3F5EAFF3DDBE},21080242.0,51.0,2.0,12.0,72.0,77.0,England and Wales: 1983-1990,1117.54901960784,2.0,51.0,72.0,England and Wales: 1983-1990,IG3
{10E404AA-5D4B-49E7-AD7E-681954246B42},72000,2000-07-31 00:00,IG3 8LU,F,N,L,9C,,CAMBRIDGE ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1142.85714285714,2000.0,2000-07-31,F,L,72000.0,IG3 8LU,E09000026,{10E404AA-5D4B-49E7-AD7E-681954246B42},21027225.0,63.0,4.0,11.0,72.0,78.0,England and Wales: 1930-1949,1142.85714285714,4.0,63.0,72.0,England and Wales: 1930-1949,IG3
{15FD0741-A987-4C72-8D99-42FC9A81657D},165000,2000-11-03 00:00,IG3 9XH,T,N,F,97,,FELBRIGGE ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1327.43362831858,2000.0,2000-11-03,T,F,165000.0,IG3 9XH,E09000026,{15FD0741-A987-4C72-8D99-42FC9A81657D},21082509.0,124.3,7.0,12.0,42.0,64.0,England and Wales: 1900-1929,1327.43362831858,7.0,124.3,42.0,England and Wales: 1900-1929,IG3
{73DB5FED-7C3F-4D4E-81B0-610DFAEA237C},121000,2000-07-21 00:00,IG3 8AD,T,N,F,17,,HIGHBURY GARDENS,,ILFORD,REDBRIDGE,GREATER LONDON,1052.17391304348,2000.0,2000-07-21,T,F,121000.0,IG3 8AD,E09000026,{73DB5FED-7C3F-4D4E-81B0-610DFAEA237C},21057312.0,115.0,8.0,11.0,48.0,85.0,England and Wales: 1900-1929,1052.17391304348,8.0,115.0,48.0,England and Wales: 1900-1929,IG3
{89974BF0-B5B9-4106-9B45-682C4CFE9BEB},124000,2000-01-14 00:00,IG3 8HE,T,N,F,168,,ALDBOROUGH ROAD SOUTH,,ILFORD,REDBRIDGE,GREATER LONDON,1158.8785046729,2000.0,2000-01-14,T,F,124000.0,IG3 8HE,E09000026,{89974BF0-B5B9-4106-9B45-682C4CFE9BEB},21034328.0,107.0,4.0,11.0,59.0,79.0,England and Wales: 1900-1929,1158.8785046729,4.0,107.0,59.0,England and Wales: 1900-1929,IG3
{D071A8E4-E796-4F20-BA36-68373C63E18D},72500,2000-06-15 00:00,IG3 8UD,F,N,L,86A,,KINGSWOOD ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1208.33333333333,2000.0,2000-06-15,F,L,72500.0,IG3 8UD,E09000026,{D071A8E4-E796-4F20-BA36-68373C63E18D},21058300.0,60.0,3.0,11.0,69.0,78.0,England and Wales: 1930-1949,1208.33333333333,3.0,60.0,69.0,England and Wales: 1930-1949,IG3
{9FC39AF8-7794-4091-8B8E-35817A2D3888},56000,2000-09-22 00:00,IG3 9RD,F,N,L,283,,EXPRESS DRIVE,,ILFORD,REDBRIDGE,GREATER LONDON,1280.29263831733,2000.0,2000-09-22,F,L,56000.0,IG3 9RD,E09000026,{9FC39AF8-7794-4091-8B8E-35817A2D3888},21085312.0,43.74,2.0,12.0,52.0,57.0,England and Wales: 1983-1990,1280.29263831733,2.0,43.74,52.0,England and Wales: 1983-1990,IG3
{6A8A8249-6298-426B-8D39-64A7A6B9F079},70000,2000-08-04 00:00,IG3 9TP,F,N,L,145,,FENMAN GARDENS,,ILFORD,REDBRIDGE,GREATER LONDON,1400.0,2000.0,2000-08-04,F,L,70000.0,IG3 9TP,E09000026,{6A8A8249-6298-426B-8D39-64A7A6B9F079},21083987.0,50.0,3.0,11.0,66.0,75.0,England and Wales: 1991-1995,1400.0,3.0,50.0,66.0,England and Wales: 1991-1995,IG3
{D2E4C93B-2C26-4849-A6B6-9B06EDA0A7C6},205000,2000-12-19 00:00,IG3 9EN,T,N,F,193,,ASHBURTON AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,1529.85074626866,2000.0,2000-12-19,T,F,205000.0,IG3 9EN,E09000026,{D2E4C93B-2C26-4849-A6B6-9B06EDA0A7C6},21020924.0,134.0,6.0,11.0,59.0,82.0,England and Wales: 1900-1929,1529.85074626866,6.0,134.0,59.0,England and Wales: 1900-1929,IG3
{9C026341-CCF6-43A5-B8CA-94160FC5622D},59995,2000-09-15 00:00,IG3 9SB,F,N,L,28,FLAT 1,ABERDOUR ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1304.23913043478,2000.0,2000-09-15,F,L,59995.0,IG3 9SB,E09000026,{9C026341-CCF6-43A5-B8CA-94160FC5622D},21021512.0,46.0,2.0,11.0,72.0,78.0,England and Wales: 1930-1949,1304.23913043478,2.0,46.0,72.0,England and Wales: 1930-1949,IG3
{B3D99976-AE67-41B3-BF58-686F789AD23D},133000,2000-04-07 00:00,IG3 9BL,T,N,F,99,,MEADWAY,,ILFORD,REDBRIDGE,GREATER LONDON,993.130227001195,2000.0,2000-04-07,T,F,133000.0,IG3 9BL,E09000026,{B3D99976-AE67-41B3-BF58-686F789AD23D},21013861.0,133.92,7.0,12.0,61.0,72.0,England and Wales: 1930-1949,993.130227001195,7.0,133.92,61.0,England and Wales: 1930-1949,IG3
{C94F0AF2-0BE6-42BD-9C6E-942CA6FC9EBB},126000,2000-11-24 00:00,IG3 9EW,T,N,F,136,,ASHBURTON AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,1115.04424778761,2000.0,2000-11-24,T,F,126000.0,IG3 9EW,E09000026,{C94F0AF2-0BE6-42BD-9C6E-942CA6FC9EBB},21062729.0,113.0,5.0,11.0,68.0,86.0,England and Wales: 1930-1949,1115.04424778761,5.0,113.0,68.0,England and Wales: 1930-1949,IG3
{6F340FB0-0DE1-4A35-B19C-7BC2A99D6DA6},59000,2000-07-26 00:00,IG3 8XE,F,N,L,"CORINTH HOUSE, 33",FLAT 10,BARLEY LANE,,ILFORD,REDBRIDGE,GREATER LONDON,1250.26488662852,2000.0,2000-07-26,F,L,59000.0,IG3 8XE,E09000026,{6F340FB0-0DE1-4A35-B19C-7BC2A99D6DA6},21022182.0,47.19,2.0,12.0,73.0,85.0,England and Wales: 1950-1966,1250.26488662852,2.0,47.19,73.0,England and Wales: 1950-1966,IG3
{DC567D44-1AE4-4AB8-81E2-6888B466F01E},53000,2000-07-13 00:00,IG3 9RE,F,N,L,321,,EXPRESS DRIVE,,ILFORD,REDBRIDGE,GREATER LONDON,1268.85324395499,2000.0,2000-07-13,F,L,53000.0,IG3 9RE,E09000026,{DC567D44-1AE4-4AB8-81E2-6888B466F01E},21015578.0,41.77,2.0,12.0,58.0,72.0,England and Wales: 1991-1995,1268.85324395499,2.0,41.77,58.0,England and Wales: 1991-1995,IG3
{EB90A5ED-4CAB-490F-901D-3236E5FCFA53},69995,2000-08-09 00:00,IG3 9QW,F,N,L,13A,,CASTLETON ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,1346.05769230769,2000.0,2000-08-09,F,L,69995.0,IG3 9QW,E09000026,{EB90A5ED-4CAB-490F-901D-3236E5FCFA53},21014070.0,52.0,3.0,11.0,66.0,77.0,England and Wales: 1930-1949,1346.05769230769,3.0,52.0,66.0,England and Wales: 1930-1949,IG3
