ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{6899DFEC-E0C1-4AC9-BF70-C83754809E51},158000,1999-01-14 00:00,KT2 5RY,T,N,F,69,,CARDINAL AVENUE,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,1893.57622243528,1999.0,1999-01-14,T,F,158000.0,KT2 5RY,E09000021,{6899DFEC-E0C1-4AC9-BF70-C83754809E51},20512917.0,83.44,5.0,11.0,43.0,63.0,England and Wales: 1900-1929,1893.57622243528,5.0,83.44,43.0,England and Wales: 1900-1929,KT2
{A0C74650-CBBB-463A-AD95-F25A37279F50},249950,1999-01-08 00:00,KT2 5UZ,F,Y,L,TYNE HOUSE,FLAT 4,SAMUEL GRAY GARDENS,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,2791.17811278615,1999.0,1999-01-08,F,L,249950.0,KT2 5UZ,E09000021,{A0C74650-CBBB-463A-AD95-F25A37279F50},20477651.0,89.55,4.0,12.0,80.0,84.0,England and Wales: 1996-2002,2791.17811278615,4.0,89.55,80.0,England and Wales: 1996-2002,KT2
{D53220E4-9286-42EE-B5E0-7382CD3C9A39},218000,1999-05-24 00:00,KT2 5HH,S,N,F,65,,ST ALBANS ROAD,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,1738.57564399075,1999.0,1999-05-24,S,F,218000.0,KT2 5HH,E09000021,{D53220E4-9286-42EE-B5E0-7382CD3C9A39},20494058.0,125.39,6.0,12.0,40.0,46.0,England and Wales: 1900-1929,1738.57564399075,6.0,125.39,40.0,England and Wales: 1900-1929,KT2
{4624A0CB-740D-4CBD-9940-7722DC133BEE},87000,1999-05-07 00:00,KT2 5LY,F,N,L,345,,PARK ROAD,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,1891.30434782609,1999.0,1999-05-07,F,L,87000.0,KT2 5LY,E09000021,{4624A0CB-740D-4CBD-9940-7722DC133BEE},20521169.0,46.0,3.0,11.0,66.0,77.0,England and Wales: 1930-1949,1891.30434782609,3.0,46.0,66.0,England and Wales: 1930-1949,KT2
{90D58653-6204-41A5-8D36-3739082D36EA},776316,1999-10-20 00:00,KT2 7PG,D,N,F,COOMBE EDGE,,BALLARD CLOSE,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,2649.54266211604,1999.0,1999-10-20,D,F,776316.0,KT2 7PG,E09000021,{90D58653-6204-41A5-8D36-3739082D36EA},20514985.0,293.0,9.0,11.0,72.0,78.0,England and Wales: 1996-2002,2649.54266211604,9.0,293.0,72.0,England and Wales: 1996-2002,KT2
{A671090E-65A9-43EA-AF4C-73A601B1247A},179950,1999-03-15 00:00,KT2 5PA,S,N,F,8,,GARTH CLOSE,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,1199.66666666667,1999.0,1999-03-15,S,F,179950.0,KT2 5PA,E09000021,{A671090E-65A9-43EA-AF4C-73A601B1247A},20509144.0,150.0,7.0,11.0,60.0,75.0,England and Wales: 1930-1949,1199.66666666667,7.0,150.0,60.0,England and Wales: 1930-1949,KT2
{AD7211F0-1732-4438-B9F7-DF28580C305C},82000,1999-05-21 00:00,KT2 7TU,F,N,L,53,,WINDMILL RISE,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,2316.38418079096,1999.0,1999-05-21,F,L,82000.0,KT2 7TU,E09000021,{AD7211F0-1732-4438-B9F7-DF28580C305C},20486597.0,35.4,2.0,11.0,53.0,56.0,England and Wales: 1967-1975,2316.38418079096,2.0,35.4,53.0,England and Wales: 1967-1975,KT2
{B30445AE-B762-42F8-A306-73AAB27521ED},225000,1999-10-28 00:00,KT2 5HS,D,N,F,52,,KINGS ROAD,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,1744.18604651163,1999.0,1999-10-28,D,F,225000.0,KT2 5HS,E09000021,{B30445AE-B762-42F8-A306-73AAB27521ED},20475024.0,129.0,5.0,11.0,41.0,43.0,England and Wales: before 1900,1744.18604651163,5.0,129.0,41.0,England and Wales: before 1900,KT2
{842D8A5B-E273-4876-BAF9-73AFEDA24F8E},85000,1999-01-07 00:00,KT2 6PP,F,N,L,"BOSWELL COURT, 25",FLAT 14,CLIFTON ROAD,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,1411.96013289037,1999.0,1999-01-07,F,L,85000.0,KT2 6PP,E09000021,{842D8A5B-E273-4876-BAF9-73AFEDA24F8E},20513836.0,60.2,3.0,12.0,80.0,83.0,England and Wales: 1983-1990,1411.96013289037,3.0,60.2,80.0,England and Wales: 1983-1990,KT2
{D3D5CB70-77C9-41A5-8594-2C7E0CF6FA3D},78950,1999-02-12 00:00,KT2 7QS,F,N,L,PARKHILL COURT,6,CRESCENT ROAD,,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,1740.52028218695,1999.0,1999-02-12,F,L,78950.0,KT2 7QS,E09000021,{D3D5CB70-77C9-41A5-8594-2C7E0CF6FA3D},20518602.0,45.36,2.0,11.0,57.0,68.0,England and Wales: 1967-1975,1740.52028218695,2.0,45.36,57.0,England and Wales: 1967-1975,KT2
