ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{CB0D73EE-E800-4EB6-B7FF-08A49C514FD3},161500,2000-06-23 00:00,N11 3GF,F,Y,L,"WHITBY COURT, 15",FLAT 18,PICKERING GARDENS,,LONDON,BARNET,GREATER LONDON,3166.66666666667,2000.0,2000-06-23,F,L,161500.0,N11 3GF,E09000003,{CB0D73EE-E800-4EB6-B7FF-08A49C514FD3},18569740.0,51.0,2.0,11.0,77.0,80.0,England and Wales: 1996-2002,3166.66666666667,2.0,51.0,77.0,England and Wales: 1996-2002,N11
{F62305FA-FFA0-4CEC-BF12-96D078C012CC},167500,2000-10-05 00:00,N11 3GJ,F,Y,L,"WINCANTON COURT, 17",FLAT 4,MARTOCK GARDENS,,LONDON,BARNET,GREATER LONDON,2374.8759393166,2000.0,2000-10-05,F,L,167500.0,N11 3GJ,E09000003,{F62305FA-FFA0-4CEC-BF12-96D078C012CC},18632101.0,70.53,3.0,12.0,82.0,86.0,England and Wales: 1996-2002,2374.8759393166,3.0,70.53,82.0,England and Wales: 1996-2002,N11
{B7E46A75-9253-44EE-B116-9DFDFDE42B06},244995,2000-07-31 00:00,N11 3HQ,T,Y,F,22,,HALTON CLOSE,,LONDON,BARNET,GREATER LONDON,2041.625,2000.0,2000-07-31,T,F,244995.0,N11 3HQ,E09000003,{B7E46A75-9253-44EE-B116-9DFDFDE42B06},18634851.0,120.0,5.0,11.0,72.0,75.0,England and Wales: 1996-2002,2041.625,5.0,120.0,72.0,England and Wales: 1996-2002,N11
{74AAA50D-DB3C-48C5-8208-051C47AFFDD0},97000,2000-03-24 00:00,N11 3NT,F,N,L,77,,GREENWAY CLOSE,,LONDON,BARNET,GREATER LONDON,1995.88477366255,2000.0,2000-03-24,F,L,97000.0,N11 3NT,E09000003,{74AAA50D-DB3C-48C5-8208-051C47AFFDD0},18520595.0,48.6,3.0,11.0,73.0,83.0,England and Wales: 1983-1990,1995.88477366255,3.0,48.6,73.0,England and Wales: 1983-1990,N11
{27FA28F6-9B5B-48A3-BA0A-3EF184EE42EA},83000,2000-01-24 00:00,N11 1LH,F,N,L,THE HOMESTEAD,FLAT 39,WATERFALL ROAD,,LONDON,BARNET,GREATER LONDON,1106.66666666667,2000.0,2000-01-24,F,L,83000.0,N11 1LH,E09000003,{27FA28F6-9B5B-48A3-BA0A-3EF184EE42EA},18587148.0,75.0,4.0,12.0,71.0,72.0,England and Wales: 1967-1975,1106.66666666667,4.0,75.0,71.0,England and Wales: 1967-1975,N11
{BD207CF6-71BA-4D0E-81C8-641A400253FD},170000,2000-05-31 00:00,N11 3GD,F,Y,L,"OTLEY COURT, 20",FLAT 3,CATTERICK CLOSE,,LONDON,BARNET,GREATER LONDON,2749.47436519489,2000.0,2000-05-31,F,L,170000.0,N11 3GD,E09000003,{BD207CF6-71BA-4D0E-81C8-641A400253FD},18619720.0,61.83,3.0,11.0,76.0,81.0,England and Wales: 1996-2002,2749.47436519489,3.0,61.83,76.0,England and Wales: 1996-2002,N11
{76D82D2A-113F-4B4B-8EC2-461E62473757},199995,2000-01-28 00:00,N11 3BJ,D,Y,F,131,,RIBBLESDALE AVENUE,,LONDON,BARNET,GREATER LONDON,2469.07407407407,2000.0,2000-01-28,D,F,199995.0,N11 3BJ,E09000003,{76D82D2A-113F-4B4B-8EC2-461E62473757},18648603.0,81.0,5.0,11.0,71.0,84.0,England and Wales: 1996-2002,2469.07407407407,5.0,81.0,71.0,England and Wales: 1996-2002,N11
{322FD644-9765-4879-93F3-462D4FCCACA5},140000,2000-05-02 00:00,N11 3NH,S,N,F,7,,POPLAR GROVE,,LONDON,BARNET,GREATER LONDON,1917.80821917808,2000.0,2000-05-02,S,F,140000.0,N11 3NH,E09000003,{322FD644-9765-4879-93F3-462D4FCCACA5},18568405.0,73.0,4.0,11.0,64.0,77.0,England and Wales: 1976-1982,1917.80821917808,4.0,73.0,64.0,England and Wales: 1976-1982,N11
{92B84EC5-E2D4-4A89-8336-A1B27185D871},162000,2000-04-28 00:00,N11 3GD,F,Y,L,"OTLEY COURT, 20",FLAT 11,CATTERICK CLOSE,,LONDON,BARNET,GREATER LONDON,2307.69230769231,2000.0,2000-04-28,F,L,162000.0,N11 3GD,E09000003,{92B84EC5-E2D4-4A89-8336-A1B27185D871},18604099.0,70.2,4.0,12.0,77.0,81.0,England and Wales: 1996-2002,2307.69230769231,4.0,70.2,77.0,England and Wales: 1996-2002,N11
{C1C98521-8877-493F-B559-46302EEF0B57},89000,2000-07-28 00:00,N11 3NX,F,N,L,188,,POPLAR GROVE,,LONDON,BARNET,GREATER LONDON,2170.73170731707,2000.0,2000-07-28,F,L,89000.0,N11 3NX,E09000003,{C1C98521-8877-493F-B559-46302EEF0B57},18604535.0,41.0,2.0,11.0,74.0,78.0,England and Wales: 1976-1982,2170.73170731707,2.0,41.0,74.0,England and Wales: 1976-1982,N11
