ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{885BD124-504B-4769-AF35-9AB1741C66E3},105250,1995-01-04,N5 1NE,F,,L,34C,,STAVORDALE ROAD,,LONDON,ISLINGTON,GREATER LONDON,1725.40983606557,3.0,61.0,56.0,1900.0,N5,1995,18128,2,Drayton Park,0.191218,82000,6,5,22.8546464748009,0.0
{33D41C74-295D-4036-99A2-2BE77C31CFC8},85000,1995-01-04,N5 2HG,F,,L,121,FLAT B,HIGHBURY NEW PARK,LONDON,LONDON,ISLINGTON,GREATER LONDON,1545.45454545455,2.0,55.0,67.0,1900.0,N5,1995,16228,2,Canonbury,0.688423,67900,5,4,18.2014839096823,0.0
{949619CF-A640-4EE2-A959-A0968A7ED21B},76000,1995-01-06,N5 2NH,F,,L,141D,,GROSVENOR AVENUE,LONDON,LONDON,ISLINGTON,GREATER LONDON,1047.55341144039,3.0,72.55,52.0,1900.0,N5,1995,12620,2,Canonbury,0.1687,67200,4,6a,34.4462729433102,0.0
{6B64AE29-1B87-4E89-A16E-493098C2D970},103000,1995-01-06,N5 1SX,F,,L,85B,,HIGHBURY HILL,LONDON,LONDON,ISLINGTON,GREATER LONDON,1537.31343283582,2.0,67.0,59.0,1929.0,N5,1995,18128,2,Drayton Park,0.281751,82000,6,5,24.4929463744014,0.0
{2A372540-A7F8-4260-94FC-2A3C17644B1B},80500,1995-01-11,N5 1HR,T,,L,71,,HIGHBURY GROVE,LONDON,LONDON,ISLINGTON,GREATER LONDON,929.132040627886,4.0,86.64,72.0,1982.0,N5,1995,10960,2,Canonbury,0.416473,67900,4,6a,32.9649895596648,0.0
{1BB766D8-603A-4EEF-8D73-B323FB2DDF06},95000,1995-01-13,N5 2PX,F,,L,22,FLAT D,HIGHBURY GRANGE,LONDON,LONDON,ISLINGTON,GREATER LONDON,959.59595959596,4.0,99.0,63.0,1900.0,N5,1995,16228,2,Canonbury,0.699589,67900,5,3,10.7432975164825,0.0
{D94ECFA4-9070-46FE-9317-BB965297BCD9},95000,1995-01-20,N5 2DJ,F,,L,74,FLAT 1,HIGHBURY NEW PARK,LONDON,LONDON,ISLINGTON,GREATER LONDON,1494.8859166011,3.0,63.55,74.0,1900.0,N5,1995,8526,2,Canonbury,0.330896,57700,3,4,17.7569939479145,0.0
{3DB4A769-B332-44FB-843D-893D2107A6C1},57000,1995-01-20,N5 1PN,F,,L,17B,,WITHERINGTON ROAD,LONDON,LONDON,ISLINGTON,GREATER LONDON,1093.00095877277,2.0,52.15,49.0,1900.0,N5,1995,16660,2,Drayton Park,0.206403,82000,6,6a,34.2339195369345,0.0
{33275584-DF91-413B-8FDF-D4AA308ACC6D},87000,1995-01-20,N5 1PN,F,,L,53C,,WITHERINGTON ROAD,LONDON,LONDON,ISLINGTON,GREATER LONDON,1792.33621755253,3.0,48.54,63.0,1900.0,N5,1995,16660,2,Drayton Park,0.206403,82000,6,6a,34.2339195369345,0.0
{9CDD46F0-ED03-4B7E-8C84-4BC1E9578B9C},103000,1995-01-23,N5 2JS,T,,F,22,,CANNING ROAD,LONDON,LONDON,ISLINGTON,GREATER LONDON,824.0,4.0,125.0,41.0,1900.0,N5,1995,18132,2,Arsenal,0.583482,80100,6,6a,33.8120371114458,0.0
