ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{7B290662-2DF5-4EFA-97B8-D140C01A4A72},105000,1995-01-05,NW1 6DT,F,,L,132,FLAT 4,GLOUCESTER PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1963.35078534031,3.0,53.48,50.0,1929.0,NW1,1995,22170,1,Marylebone,0.231427,68500,7,6b,68.9954951914934,0.0
{54AA4137-D712-45A5-8319-597588E9CED7},65000,1995-01-06,NW1 7QB,F,,L,52,,MORNINGTON STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1014.19878296146,4.0,64.09,44.0,1966.0,NW1,1995,8522,2,Mornington Crescent,0.269596,62700,3,6a,27.7434541371714,0.0
{88E72F5C-D3A0-4329-BFFC-D26CB7982855},1252500,1995-01-06,NW1 7SR,S,,L,7,,PRINCE ALBERT ROAD,LONDON,LONDON,CAMDEN,GREATER LONDON,2293.95604395604,12.0,546.0,50.0,1900.0,NW1,1995,23485,2,Camden Town,0.602743,65100,8,3,13.3400935937524,0.0
{CCD8663A-D216-4872-85AE-7C0A4248B855},60000,1995-01-06,NW1 3QJ,F,,L,PATTERDALE,FLAT 38,OSNABURGH STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,857.142857142857,4.0,70.0,75.0,1966.0,NW1,1995,6164,1,Warren Street,0.534412,46800,2,6a,30.8082897028445,0.0
{D35EEB8C-E663-4C67-854B-833BC2D9AC65},63000,1995-01-09,NW1 6NG,F,,L,"BRUNSWICK HOUSE, 94 - 96",FLAT 5,BALCOMBE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1188.67924528302,3.0,53.0,60.0,1929.0,NW1,1995,27574,1,Marylebone,0.272095,89100,9,6b,56.2841641223835,0.0
{7E897F65-9033-4DCC-A577-8CFD95437125},87750,1995-01-10,NW1 6ND,F,,L,48,FLAT 2,BALCOMBE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2302.54526371031,2.0,38.11,60.0,1900.0,NW1,1995,27574,1,Marylebone,0.115383,89100,9,6b,64.4109747830909,0.0
{D76989AE-9D43-4B4C-86BB-74673EF977E2},96000,1995-01-12,NW1 7AU,F,,L,9,FLAT 2,GLOUCESTER AVENUE,LONDON,LONDON,CAMDEN,GREATER LONDON,1432.83582089552,3.0,67.0,60.0,1929.0,NW1,1995,23485,2,Camden Town,0.483983,65100,8,3,11.2941976787471,0.0
{DCAE5C2F-7486-4B61-8B95-6A139F316EE9},119000,1995-01-12,NW1 0HX,F,,L,129B,,CAMDEN STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1072.07207207207,6.0,111.0,66.0,1900.0,NW1,1995,6470,2,Camden Town,0.192401,51300,2,6b,45.8910731933205,0.0
{174118A4-B436-449A-A9E4-3E0B3FB0FC8C},155000,1995-01-12,NW1 5AG,F,,L,DORSET HOUSE,FLAT 112,GLOUCESTER PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1743.53205849269,3.0,88.9,67.0,1949.0,NW1,1995,26318,1,Baker Street,0.191837,89100,9,6b,83.8402267208411,0.0
{17FF05EA-4660-45D7-8F8A-85401B85FE4B},82500,1995-01-13,NW1 9XL,T,,F,22,,ST PAULS CRESCENT,LONDON,LONDON,CAMDEN,GREATER LONDON,898.692810457516,3.0,91.8,50.0,1929.0,NW1,1995,4488,2,Camden Road,0.691275,58300,2,1b,4.96151864627729,0.0
