ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{2A289E9D-9277-CDC8-E050-A8C063054829},1500,1995-01-05,RM13 7TD,T,,F,22,,CASTLE AVENUE,,RAINHAM,HAVERING,GREATER LONDON,21.1267605633803,5.0,71.0,62.0,1949.0,RM13,1995,8523,5,Dagenham East,1.36064,46000,3,1b,2.56193086252085,0.0
{18A21900-45FC-4C3F-A684-C741AB2B4959},54000,1995-01-06,RM13 8NP,T,,F,59,,MANSER ROAD,RAINHAM,RAINHAM,HAVERING,GREATER LONDON,675.0,3.0,80.0,68.0,1949.0,RM13,1995,13245,6,Rainham,1.44668,46000,5,1b,3.77634365117071,0.0
{A9711C93-C12B-4869-AC7F-C7E9262DA174},57500,1995-01-09,RM13 7QT,S,,F,37,,RAINHAM ROAD,RAINHAM,RAINHAM,HAVERING,GREATER LONDON,479.166666666667,5.0,120.0,65.0,1949.0,RM13,1995,8228,6,Rainham,1.12179,46000,3,2,6.94498162690572,0.0
{672E1D0B-5275-46E3-80CB-10B13C1AFCB7},51500,1995-01-13,RM13 9PP,T,,F,4,,REDBURY CLOSE,RAINHAM,RAINHAM,HAVERING,GREATER LONDON,589.845494840284,6.0,87.311,67.0,1975.0,RM13,1995,14484,6,Rainham,0.865765,51000,5,1b,3.94671436494693,0.0
{2A289E9C-E18E-CDC8-E050-A8C063054829},39500,1995-01-20,RM13 9AS,F,,L,ASHWOOD COURT,FLAT 3,ASHWOOD AVENUE,,RAINHAM,HAVERING,GREATER LONDON,731.481481481482,2.0,54.0,59.0,1990.0,RM13,1995,14597,6,Rainham,0.58259,46700,5,2,7.24559367362995,0.0
{DFBA244D-DAE3-4BEF-9A57-489D177CCD7E},57500,1995-01-27,RM13 9PA,T,,F,19,,GRANGEWOOD AVENUE,RAINHAM,RAINHAM,NEWHAM,GREATER LONDON,684.360866460367,4.0,84.02,62.0,1929.0,RM13,1995,14597,6,Rainham,0.979971,46700,5,2,5.08737657515296,0.0
{3B131798-0F05-40A8-9BC4-CA11789142FC},56000,1995-01-27,RM13 9LD,S,,F,15,,PALMERSTON ROAD,RAINHAM,RAINHAM,HAVERING,GREATER LONDON,651.162790697674,5.0,86.0,68.0,1975.0,RM13,1995,20045,6,Rainham,1.53547,51000,7,1b,2.7741306961191,0.0
{36B089C3-BB0B-4036-9565-6398932395AC},63500,1995-01-27,RM13 7HL,S,,F,11,,BOUCHIER WALK,RAINHAM,RAINHAM,HAVERING,GREATER LONDON,738.372093023256,3.0,86.0,71.0,1966.0,RM13,1995,10117,6,Elm Park,0.912337,49400,4,1b,4.24107962369503,0.0
{DA89B251-4531-427B-B810-9F4964B2B93B},70000,1995-01-27,RM13 8LS,S,,F,16,,EDMUND ROAD,RAINHAM,RAINHAM,HAVERING,GREATER LONDON,1014.49275362319,3.0,69.0,35.0,1949.0,RM13,1995,13245,6,Rainham,1.03874,46000,5,2,6.62725314366196,0.0
{2A289E9C-E43E-CDC8-E050-A8C063054829},48750,1995-01-30,RM13 8PR,T,,F,120,,LOWER MARDYKE AVENUE,,RAINHAM,HAVERING,GREATER LONDON,473.806978326368,5.0,102.89,68.0,1975.0,RM13,1995,4538,5,Dagenham East,1.59188,46000,2,2,5.22192750998261,0.0
{2A289E9F-5C2B-CDC8-E050-A8C063054829},41500,1995-01-30,RM13 7RB,F,,F,145B,,RAINHAM ROAD,,RAINHAM,HAVERING,GREATER LONDON,680.327868852459,3.0,61.0,71.0,1982.0,RM13,1995,17717,6,Rainham,1.37402,46000,6,2,6.82690577868909,0.0
{906D086A-7BD7-4083-8AC6-D0140D153E30},71995,1995-01-30,RM13 9SW,S,,F,82,,LAKESIDE,RAINHAM,RAINHAM,HAVERING,GREATER LONDON,654.5,5.0,110.0,66.0,1966.0,RM13,1995,24372,6,Rainham,2.16391,51000,8,1b,3.27225623331374,0.0
{2A289E9D-9296-CDC8-E050-A8C063054829},40000,1995-01-31,RM13 7XP,T,,F,23,,SOUTH END ROAD,,RAINHAM,HAVERING,GREATER LONDON,555.555555555556,4.0,72.0,71.0,1949.0,RM13,1995,17267,6,Rainham,1.56217,49400,6,2,7.28577324819008,0.0
{1C1C48C8-3339-40E4-A782-CA2CE6BA7E38},93000,1995-02-08,RM13 9PY,S,,F,20,,KENWAY,RAINHAM,RAINHAM,HAVERING,GREATER LONDON,920.792079207921,6.0,101.0,73.0,1966.0,RM13,1995,20839,6,Rainham,1.5455,51000,7,1b,4.09275210709197,4291.420114735158
