ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{C36ADDF6-3EB5-4CF7-AD84-8363BEA1B70E},91500,1998-04-17 00:00,SE21 8HS,F,N,L,OAK LODGE,FLAT 1,CARSON ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,1550.84745762712,1998.0,1998-04-17,F,L,91500.0,SE21 8HS,E09000022,{C36ADDF6-3EB5-4CF7-AD84-8363BEA1B70E},20614312.0,59.0,3.0,12.0,56.0,73.0,England and Wales: 1950-1966,1550.84745762712,3.0,59.0,56.0,England and Wales: 1950-1966,SE21
{7D5EB585-5B84-486E-B374-74429D8CEA3F},126000,1998-07-06 00:00,SE21 8NH,T,N,F,28,,PYMERS MEAD,LONDON,LONDON,LAMBETH,GREATER LONDON,1155.96330275229,1998.0,1998-07-06,T,F,126000.0,SE21 8NH,E09000022,{7D5EB585-5B84-486E-B374-74429D8CEA3F},20590854.0,109.0,5.0,11.0,55.0,84.0,England and Wales: 1950-1966,1155.96330275229,5.0,109.0,55.0,England and Wales: 1950-1966,SE21
{5CE4E60A-FD71-4751-B580-870F18098057},182500,1998-10-30 00:00,SE21 8JU,T,N,F,18,,BIRKBECK PLACE,LONDON,LONDON,LAMBETH,GREATER LONDON,1511.26200728718,1998.0,1998-10-30,T,F,182500.0,SE21 8JU,E09000022,{5CE4E60A-FD71-4751-B580-870F18098057},20560558.0,120.76,5.0,11.0,53.0,59.0,England and Wales: before 1900,1511.26200728718,5.0,120.76,53.0,England and Wales: before 1900,SE21
{E3387911-85AB-4F13-A856-ED66635AD2C9},90000,1998-07-27 00:00,SE21 8DP,F,N,L,64B,,ROSENDALE ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,1530.09180550833,1998.0,1998-07-27,F,L,90000.0,SE21 8DP,E09000022,{E3387911-85AB-4F13-A856-ED66635AD2C9},20573475.0,58.82,3.0,11.0,50.0,55.0,England and Wales: 1900-1929,1530.09180550833,3.0,58.82,50.0,England and Wales: 1900-1929,SE21
{3A5DC8DB-AF13-4ED3-B051-E1742FC8FD19},101000,1998-11-09 00:00,SE21 8NR,F,N,L,114D,,CROXTED ROAD,LONDON,LONDON,SOUTHWARK,GREATER LONDON,1216.86746987952,1998.0,1998-11-09,F,L,101000.0,SE21 8NR,E09000028,{3A5DC8DB-AF13-4ED3-B051-E1742FC8FD19},21246000.0,83.0,4.0,11.0,66.0,81.0,England and Wales: 1900-1929,1216.86746987952,4.0,83.0,66.0,England and Wales: 1900-1929,SE21
{052E9E1A-103B-469E-B6A8-87498E4122CE},145000,1998-06-26 00:00,SE21 8EX,F,N,L,41,,PARK HALL ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,3191.02112676056,1998.0,1998-06-26,F,L,145000.0,SE21 8EX,E09000022,{052E9E1A-103B-469E-B6A8-87498E4122CE},20628262.0,45.44,4.0,11.0,61.0,64.0,England and Wales: before 1900,3191.02112676056,4.0,45.44,61.0,England and Wales: before 1900,SE21
{EE24BFEE-B83E-48D2-A35C-875ACE5B8811},200000,1998-12-11 00:00,SE21 8SL,D,Y,F,80,,ALLEYN PARK,LONDON,LONDON,SOUTHWARK,GREATER LONDON,1408.45070422535,1998.0,1998-12-11,D,F,200000.0,SE21 8SL,E09000028,{EE24BFEE-B83E-48D2-A35C-875ACE5B8811},21194726.0,142.0,6.0,11.0,67.0,79.0,England and Wales: 1983-1990,1408.45070422535,6.0,142.0,67.0,England and Wales: 1983-1990,SE21
{E5771F4F-FEC8-4356-B2C0-2BA8A733042D},54000,1998-09-25 00:00,SE21 8JB,F,N,L,4,FLAT 1B,THURLOW PARK ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,1299.0137118114,1998.0,1998-09-25,F,L,54000.0,SE21 8JB,E09000022,{E5771F4F-FEC8-4356-B2C0-2BA8A733042D},20661082.0,41.57,2.0,11.0,66.0,70.0,England and Wales: before 1900,1299.0137118114,2.0,41.57,66.0,England and Wales: before 1900,SE21
{9DE7DBF4-D8D2-40D3-BB88-78531C53402D},250000,1998-08-07 00:00,SE21 8HA,T,N,F,9,,EASTMEARN ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,1693.30804659984,1998.0,1998-08-07,T,F,250000.0,SE21 8HA,E09000022,{9DE7DBF4-D8D2-40D3-BB88-78531C53402D},20579174.0,147.64,9.0,11.0,42.0,49.0,England and Wales: 1900-1929,1693.30804659984,9.0,147.64,42.0,England and Wales: 1900-1929,SE21
{A4D45023-3359-4ED6-8637-8EC0AB230D3A},235000,1998-07-21 00:00,SE21 8AZ,S,N,F,13,,SOUTH CROXTED ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,1073.05936073059,1998.0,1998-07-21,S,F,235000.0,SE21 8AZ,E09000022,{A4D45023-3359-4ED6-8637-8EC0AB230D3A},20601876.0,219.0,9.0,11.0,53.0,75.0,England and Wales: 1900-1929,1073.05936073059,9.0,219.0,53.0,England and Wales: 1900-1929,SE21
