ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{382793D0-9A59-4805-B000-19F8C89480F1},260000,1995-01-06 00:00,SE21 7EG,D,N,F,20,,EASTLANDS CRESCENT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,1494.25287356322,1995.0,1995-01-06,D,F,260000.0,SE21 7EG,E09000028,{382793D0-9A59-4805-B000-19F8C89480F1},21256571.0,174.0,7.0,11.0,50.0,79.0,England and Wales: 1930-1949,1494.25287356322,7.0,174.0,50.0,England and Wales: 1930-1949,SE21,1995
{2A289E9C-E0D4-CDC8-E050-A8C063054829},34000,1995-01-06 00:00,SE21 8RH,F,N,L,PETREL COURT,FLAT 9,CROXTED ROAD,,LONDON,LAMBETH,GREATER LONDON,426.599749058971,1995.0,1995-01-06,F,L,34000.0,SE21 8RH,E09000022,{2A289E9C-E0D4-CDC8-E050-A8C063054829},20549099.0,79.7,3.0,11.0,71.0,81.0,England and Wales: 1976-1982,426.599749058971,3.0,79.7,71.0,England and Wales: 1976-1982,SE21,1995
{E112C0DE-8D0C-4CF0-84FC-47E99C37F2EA},159950,1995-01-06 00:00,SE21 8BA,S,N,F,97,,SOUTH CROXTED ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,992.245657568238,1995.0,1995-01-06,S,F,159950.0,SE21 8BA,E09000022,{E112C0DE-8D0C-4CF0-84FC-47E99C37F2EA},20580215.0,161.2,8.0,11.0,64.0,67.0,England and Wales: before 1900,992.245657568238,8.0,161.2,64.0,England and Wales: before 1900,SE21,1995
{FF153BBC-D5CB-47D3-AD3A-6B389662E54E},65000,1995-01-06 00:00,SE21 8BS,S,N,F,186,,CLIVE ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,411.392405063291,1995.0,1995-01-06,S,F,65000.0,SE21 8BS,E09000022,{FF153BBC-D5CB-47D3-AD3A-6B389662E54E},20558472.0,158.0,7.0,11.0,45.0,72.0,England and Wales: 1900-1929,411.392405063291,7.0,158.0,45.0,England and Wales: 1900-1929,SE21,1995
{2A289E9C-E320-CDC8-E050-A8C063054829},47000,1995-01-13 00:00,SE21 8HY,F,N,L,94,FLAT 2,THURLOW PARK ROAD,,LONDON,LAMBETH,GREATER LONDON,943.58562537643,1995.0,1995-01-13,F,L,47000.0,SE21 8HY,E09000022,{2A289E9C-E320-CDC8-E050-A8C063054829},20586499.0,49.81,3.0,12.0,47.0,60.0,England and Wales: before 1900,943.58562537643,3.0,49.81,47.0,England and Wales: before 1900,SE21,1995
{2A289E9C-E197-CDC8-E050-A8C063054829},32500,1995-01-13 00:00,SE21 8JP,F,N,L,77A,,THURLOW PARK ROAD,,LONDON,LAMBETH,GREATER LONDON,765.606595995289,1995.0,1995-01-13,F,L,32500.0,SE21 8JP,E09000022,{2A289E9C-E197-CDC8-E050-A8C063054829},20643217.0,42.45,2.0,12.0,57.0,67.0,England and Wales: 1900-1929,765.606595995289,2.0,42.45,57.0,England and Wales: 1900-1929,SE21,1995
{2655F5D6-9385-4E53-B9EE-C310C8C9D844},146000,1995-01-17 00:00,SE21 8AX,S,N,F,147,,SOUTH CROXTED ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,951.760104302477,1995.0,1995-01-17,S,F,146000.0,SE21 8AX,E09000022,{2655F5D6-9385-4E53-B9EE-C310C8C9D844},20542985.0,153.4,8.0,11.0,42.0,56.0,England and Wales: 1900-1929,951.760104302477,8.0,153.4,42.0,England and Wales: 1900-1929,SE21,1995
{E67D19C8-F7A8-4BE8-A9E6-B9BC8F563E99},155000,1995-01-25 00:00,SE21 8LT,T,N,F,43,,DALKEITH ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,1346.07034303083,1995.0,1995-01-25,T,F,155000.0,SE21 8LT,E09000022,{E67D19C8-F7A8-4BE8-A9E6-B9BC8F563E99},20537325.0,115.15,7.0,12.0,65.0,68.0,England and Wales: before 1900,1346.07034303083,7.0,115.15,65.0,England and Wales: before 1900,SE21,1995
{2A289E9E-9FC9-CDC8-E050-A8C063054829},45000,1995-02-01 00:00,SE21 8EG,F,N,L,4,FLAT A,CHANCELLOR GROVE,,LONDON,LAMBETH,GREATER LONDON,856.001521780483,1995.0,1995-02-01,F,L,45000.0,SE21 8EG,E09000022,{2A289E9E-9FC9-CDC8-E050-A8C063054829},20594491.0,52.57,3.0,12.0,46.0,50.0,England and Wales: before 1900,856.001521780483,3.0,52.57,46.0,England and Wales: before 1900,SE21,1995
{A5DDCEA6-DFEE-405F-A7BB-F39D31F5610A},64700,1995-02-10 00:00,SE21 8LT,F,N,L,39,,DALKEITH ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,771.156138259833,1995.0,1995-02-10,F,L,64700.0,SE21 8LT,E09000022,{A5DDCEA6-DFEE-405F-A7BB-F39D31F5610A},20582126.0,83.9,4.0,11.0,53.0,64.0,England and Wales: 1900-1929,771.156138259833,4.0,83.9,53.0,England and Wales: 1900-1929,SE21,1995
