ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2A289E9C-E0A8-CDC8-E050-A8C063054829},26000,1995-01-12 00:00,SE23 2BL,F,,L,WOODFIELD HOUSE,FLAT 14,DACRES ESTATE,,LONDON,LEWISHAM,GREATER LONDON,362.369337979094,4.0,71.75,64.0,1966,SE23,1995
{FBF2A7AB-84E5-42C2-B6D6-62A054B61C10},71000,1995-01-12 00:00,SE23 2RR,T,,F,9,,LESCOMBE CLOSE,LONDON,LONDON,LEWISHAM,GREATER LONDON,763.440860215054,4.0,93.0,67.0,1929,SE23,1995
{2A289E9C-E26C-CDC8-E050-A8C063054829},46000,1995-01-13 00:00,SE23 2AY,T,,F,9,,FIFIELD PATH,,LONDON,LEWISHAM,GREATER LONDON,554.21686746988,4.0,83.0,65.0,1966,SE23,1995
{AC62F8D9-20BE-45D0-911F-AD2352C10426},56000,1995-01-17 00:00,SE23 2XE,T,,F,7,,SHIFFORD PATH,LONDON,LONDON,LEWISHAM,GREATER LONDON,777.777777777778,4.0,72.0,65.0,1966,SE23,1995
{2A289E9C-E33B-CDC8-E050-A8C063054829},48000,1995-01-18 00:00,SE23 2ET,F,,L,5,,LOXTON ROAD,FOREST HILL,LONDON,LEWISHAM,GREATER LONDON,727.272727272727,4.0,66.0,58.0,1929,SE23,1995
{15619464-ECF4-4BE0-B899-D34CA381A00F},170000,1995-01-20 00:00,SE23 3RA,T,,F,34,,HONOR OAK RISE,LONDON,LONDON,SOUTHWARK,GREATER LONDON,1172.41379310345,6.0,145.0,53.0,1966,SE23,1995
{2A289E9E-9FA7-CDC8-E050-A8C063054829},34000,1995-01-24 00:00,SE23 2PS,F,,L,33A,,SUNDERLAND ROAD,,LONDON,LEWISHAM,GREATER LONDON,680.0,2.0,50.0,43.0,1900,SE23,1995
{760151CB-C8D8-44A4-9293-5F36DAF41FA5},85000,1995-01-26 00:00,SE23 2SS,T,,F,9,,KILMORIE ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,603.607442124698,6.0,140.82,52.0,1900,SE23,1995
{A650E815-5442-4A9A-97DE-5DA70E8BA945},164000,1995-01-27 00:00,SE23 3AP,S,,F,16,,CANONBIE ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,592.057761732852,7.0,277.0,57.0,1929,SE23,1995
{F8C39400-8803-4EF7-8DA8-A4A05CFF262C},57900,1995-01-27 00:00,SE23 2AQ,F,,L,71B,,HURSTBOURNE ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,816.758358019467,3.0,70.89,61.0,1929,SE23,1995
{1674FD3C-6754-445F-B5C0-0BD516CDDDF4},128000,1995-01-27 00:00,SE23 3AQ,D,,F,79,,CANONBIE ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,831.168831168831,7.0,154.0,34.0,1949,SE23,1995
{2A289E9E-A024-CDC8-E050-A8C063054829},47000,1995-01-27 00:00,SE23 2AQ,F,,L,71C,,HURSTBOURNE ROAD,,LONDON,LEWISHAM,GREATER LONDON,723.076923076923,3.0,65.0,68.0,1929,SE23,1995
{467B52E2-0898-4779-9532-AF4EB9C77538},55000,1995-01-30 00:00,SE23 2JB,F,,L,129,FLAT 7,PERRY VALE,LONDON,LONDON,LEWISHAM,GREATER LONDON,1199.04076738609,3.0,45.87,70.0,1900,SE23,1995
{2A289E9C-E4BF-CDC8-E050-A8C063054829},40000,1995-01-31 00:00,SE23 1DE,F,,L,282A,,STANSTEAD ROAD,FOREST HILL,LONDON,LEWISHAM,GREATER LONDON,833.333333333333,2.0,48.0,65.0,1929,SE23,1995
{2A289E9C-EC93-CDC8-E050-A8C063054829},45500,1995-02-01 00:00,SE23 1RX,F,,L,54,TOP FLOOR,ST GERMAN'S ROAD,,LONDON,LEWISHAM,GREATER LONDON,612.21743810549,4.0,74.32,57.0,1929,SE23,1995
{08158E1C-47DE-43B2-B6F2-5B30BF0C6CB9},78000,1995-02-06 00:00,SE23 1JX,S,,F,35,,TATNELL ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,885.357548240636,5.0,88.1,62.0,1949,SE23,1995
{69133D27-1C1D-4F1F-9636-0A078E00DED1},64000,1995-02-06 00:00,SE23 3TY,F,,L,"SUMMERHILL, 41",FLAT 4,LONDON ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,1095.8904109589,3.0,58.4,67.0,1929,SE23,1995
{9243ABE8-E6E4-42FA-92C5-D7BCD4086D18},54000,1995-02-06 00:00,SE23 2PS,F,,L,39,FLAT 2,SUNDERLAND ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,1115.01135659715,3.0,48.43,52.0,1900,SE23,1995
{2A289E9E-B5B8-CDC8-E050-A8C063054829},22000,1995-02-14 00:00,SE23 3XU,F,,L,26,FLAT 11,DARTMOUTH ROAD,,LONDON,LEWISHAM,GREATER LONDON,318.840579710145,3.0,69.0,69.0,1966,SE23,1995
{91520668-4D3E-425D-A1C1-57545587D30A},94500,1995-02-14 00:00,SE23 3QG,S,,F,29,,WESTWOOD PARK,LONDON,LONDON,LEWISHAM,GREATER LONDON,925.019577133908,7.0,102.16,45.0,1949,SE23,1995
{2A289E9F-5EC5-CDC8-E050-A8C063054829},41500,1995-02-23 00:00,SE23 2HB,T,,F,20,,CRANSTON ROAD,FOREST HILL,LONDON,LEWISHAM,GREATER LONDON,357.758620689655,6.0,116.0,44.0,1900,SE23,1995
{A8433EED-B76E-4528-9187-477CCB5C8D83},64000,1995-02-24 00:00,SE23 1QY,F,,L,13,,DUNCOMBE HILL,LONDON,LONDON,LEWISHAM,GREATER LONDON,653.061224489796,5.0,98.0,46.0,1929,SE23,1995
{DFE98A66-E8E7-4ED9-B767-5B678A62A1B1},64000,1995-02-28 00:00,SE23 2JN,T,,F,149,,COMO ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,457.142857142857,7.0,140.0,67.0,1949,SE23,1995
{2A289E9F-C373-CDC8-E050-A8C063054829},49000,1995-02-28 00:00,SE23 1RH,F,,L,21A,,ST GERMAN'S ROAD,,LONDON,LEWISHAM,GREATER LONDON,671.232876712329,3.0,73.0,69.0,1929,SE23,1995
{8891A108-50CB-41DB-AD28-ED4245EF21E0},54500,1995-03-01 00:00,SE23 3AJ,F,,L,13,,SYDMONS COURT,LONDON,LONDON,LEWISHAM,GREATER LONDON,717.105263157895,4.0,76.0,57.0,1966,SE23,1995
{D503F79D-71ED-46CD-92F3-D0EF49D5175C},65000,1995-03-01 00:00,SE23 3UQ,F,,L,33,,FORESTHOLME CLOSE,LONDON,LONDON,LEWISHAM,GREATER LONDON,620.347394540943,4.0,104.78,64.0,1975,SE23,1995
{2A289E9E-D463-CDC8-E050-A8C063054829},32000,1995-03-02 00:00,SE23 2PL,F,,L,CHENEY COURT,FLAT 7,WALDRAM PARK ROAD,,LONDON,LEWISHAM,GREATER LONDON,727.272727272727,2.0,44.0,55.0,1966,SE23,1995
{5E1D67CD-B9FE-42FD-B374-927B4BEBE1E2},93000,1995-03-02 00:00,SE23 3NN,T,,F,24,,BOVENEY ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,928.14371257485,5.0,100.2,32.0,1949,SE23,1995
{2A289E9F-A97C-CDC8-E050-A8C063054829},43500,1995-03-02 00:00,SE23 3AA,F,,L,9,FLAT 4,TYSON ROAD,,LONDON,LEWISHAM,GREATER LONDON,713.114754098361,3.0,61.0,31.0,1900,SE23,1995
{60972C28-9280-4172-88FF-D9F5A9093D06},75000,1995-03-03 00:00,SE23 2EB,T,,F,5,,TREVISO ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,967.99173980382,3.0,77.48,73.0,1929,SE23,1995
{2A289E9D-FBE5-CDC8-E050-A8C063054829},48950,1995-03-06 00:00,SE23 3NB,F,,L,159,,DEVONSHIRE ROAD,,LONDON,LEWISHAM,GREATER LONDON,1012.61894911047,4.0,48.34,35.0,1900,SE23,1995
{2A289E9D-3B04-CDC8-E050-A8C063054829},40000,1995-03-06 00:00,SE23 1PH,T,,F,37,,HOLMESLEY ROAD,,LONDON,LEWISHAM,GREATER LONDON,317.460317460317,6.0,126.0,65.0,1949,SE23,1995
{0500FEFC-98F6-458D-977A-3EFD52F5A7A9},52000,1995-03-06 00:00,SE23 1SW,F,,L,LYNNE COURT,FLAT 13,BROCKLEY VIEW,LONDON,LONDON,LEWISHAM,GREATER LONDON,1021.61100196464,3.0,50.9,59.0,1966,SE23,1995
{2A289E9D-5480-CDC8-E050-A8C063054829},34000,1995-03-08 00:00,SE23 3RF,F,,L,117,,BRENCHLEY GARDENS,,LONDON,SOUTHWARK,GREATER LONDON,504.002371775867,3.0,67.46,65.0,1966,SE23,1995
{49D06B73-0038-4691-A2CC-AA033891AA61},94000,1995-03-08 00:00,SE23 3QH,S,,F,54,,WESTWOOD PARK,LONDON,LONDON,LEWISHAM,GREATER LONDON,916.179337231969,5.0,102.6,46.0,1929,SE23,1995
{2A289E9E-864D-CDC8-E050-A8C063054829},46000,1995-03-09 00:00,SE23 2PL,F,,L,CHENEY COURT,FLAT 9,WALDRAM PARK ROAD,,LONDON,LEWISHAM,GREATER LONDON,901.960784313726,3.0,51.0,72.0,1975,SE23,1995
{0BB90D77-07B5-4D7C-92AD-DABBBC61AD1B},80000,1995-03-10 00:00,SE23 2EZ,T,,F,159,,CRANSTON ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,733.94495412844,5.0,109.0,55.0,1949,SE23,1995
{2A289E9F-AF89-CDC8-E050-A8C063054829},17000,1995-03-10 00:00,SE23 3SY,F,,L,"BELLE VUE COURT, 122D",FLAT 7A,DEVONSHIRE ROAD,,LONDON,LEWISHAM,GREATER LONDON,548.387096774194,2.0,31.0,65.0,1900,SE23,1995
{9CD3A2FA-0276-4B1A-A442-B17FCFE5C5DB},95000,1995-03-10 00:00,SE23 3QR,D,,F,172,,FOREST HILL ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,625.0,7.0,152.0,39.0,1900,SE23,1995
{23714061-D711-4F6B-96A6-2302CFE05F52},60000,1995-03-13 00:00,SE23 3LB,D,,F,107C,,HONOR OAK PARK,LONDON,LONDON,LEWISHAM,GREATER LONDON,659.340659340659,3.0,91.0,64.0,1900,SE23,1995
{DBAB34FD-FD83-41B2-9F12-F06C9560FD06},75000,1995-03-13 00:00,SE23 3EN,T,,F,39,,DEVONSHIRE ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,974.025974025974,3.0,77.0,65.0,1929,SE23,1995
{2A289E9F-8838-CDC8-E050-A8C063054829},500,1995-03-14 00:00,SE23 1DR,S,,F,38B,,BALLINA STREET,,LONDON,LEWISHAM,GREATER LONDON,10.2040816326531,2.0,49.0,69.0,1900,SE23,1995
{372EB261-616A-4E36-9953-6F2D0E3A6E8A},111000,1995-03-14 00:00,SE23 2AJ,T,,F,74,,VANCOUVER ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,624.29696287964,8.0,177.8,66.0,1949,SE23,1995
{2A289E9D-E7C2-CDC8-E050-A8C063054829},500,1995-03-16 00:00,SE23 1SJ,S,,F,60,,MONTEM ROAD,,LONDON,LEWISHAM,GREATER LONDON,5.20833333333333,5.0,96.0,67.0,1900,SE23,1995
{2A289E9F-A229-CDC8-E050-A8C063054829},38500,1995-03-17 00:00,SE23 3YP,F,,L,MACKLIN HOUSE,FLAT 10,SHACKLETON CLOSE,,LONDON,LEWISHAM,GREATER LONDON,531.034482758621,5.0,72.5,78.0,1929,SE23,1995
{C36685E4-3814-457A-9C0E-78D35151B89B},110000,1995-03-17 00:00,SE23 3QF,S,,F,30,,WESTWOOD PARK,LONDON,LONDON,LEWISHAM,GREATER LONDON,808.823529411765,7.0,136.0,63.0,1949,SE23,1995
{2A289E9E-A0A8-CDC8-E050-A8C063054829},38000,1995-03-17 00:00,SE23 3BH,F,,L,4B,,EWELME ROAD,,LONDON,LEWISHAM,GREATER LONDON,760.0,3.0,50.0,67.0,1900,SE23,1995
{577EEF77-8830-4939-92BB-EDA732A76E6A},88000,1995-03-17 00:00,SE23 2JH,T,,F,53,,SIDDONS ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,785.714285714286,5.0,112.0,60.0,1900,SE23,1995
{2A289E9D-B75E-CDC8-E050-A8C063054829},18000,1995-03-20 00:00,SE23 3SB,S,,F,32,,HONOR OAK ROAD,,LONDON,LEWISHAM,GREATER LONDON,193.548387096774,5.0,93.0,30.0,1949,SE23,1995
{2A289E9F-C980-CDC8-E050-A8C063054829},37000,1995-03-21 00:00,SE23 1BS,T,,F,70,,STANSTEAD ROAD,FOREST HILL,LONDON,LEWISHAM,GREATER LONDON,459.627329192547,3.0,80.5,64.0,1929,SE23,1995
{BB108646-8549-49C0-BDAF-DDEEE42334CF},104000,1995-03-24 00:00,SE23 2AQ,S,,F,79,,HURSTBOURNE ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,550.26455026455,8.0,189.0,70.0,1900,SE23,1995
{BE962C85-4970-4EE0-A8A0-1616D0A3298B},85000,1995-03-24 00:00,SE23 2SW,S,,F,66,,WOOLSTONE ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,674.603174603175,8.0,126.0,56.0,1949,SE23,1995
{5D3B411C-271D-4D65-9AFC-B257DF79F1F7},55000,1995-03-24 00:00,SE23 2JB,F,,L,129,FLAT 6,PERRY VALE,LONDON,LONDON,LEWISHAM,GREATER LONDON,924.525130273996,3.0,59.49,44.0,1949,SE23,1995
