ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2A289E9C-E492-CDC8-E050-A8C063054829},48000,1995-01-03 00:00,SM3 9DF,F,N,L,"GLYN COURT, 647",FLAT 31,LONDON ROAD,,SUTTON,SUTTON,GREATER LONDON,1021.27659574468,1995.0,1995-01-03,F,L,48000.0,SM3 9DF,E09000029,{2A289E9C-E492-CDC8-E050-A8C063054829},21356451.0,47.0,3.0,11.0,66.0,78.0,England and Wales: 1930-1949,1021.27659574468,3.0,47.0,66.0,England and Wales: 1930-1949,SM3,1995
{2A289E9E-B1C0-CDC8-E050-A8C063054829},31450,1995-01-06 00:00,SM3 9NA,F,N,L,2B,,BEECHES ROAD,,SUTTON,SUTTON,GREATER LONDON,786.25,1995.0,1995-01-06,F,L,31450.0,SM3 9NA,E09000029,{2A289E9E-B1C0-CDC8-E050-A8C063054829},21383026.0,40.0,2.0,11.0,63.0,74.0,England and Wales: 1900-1929,786.25,2.0,40.0,63.0,England and Wales: 1900-1929,SM3,1995
{3252223C-E104-4E79-A767-FBB5425DBCE7},83000,1995-01-10 00:00,SM3 9RF,T,N,F,444,,GANDER GREEN LANE,SUTTON,SUTTON,SUTTON,GREATER LONDON,1121.62162162162,1995.0,1995-01-10,T,F,83000.0,SM3 9RF,E09000029,{3252223C-E104-4E79-A767-FBB5425DBCE7},21346464.0,74.0,4.0,12.0,59.0,66.0,England and Wales: 1930-1949,1121.62162162162,4.0,74.0,59.0,England and Wales: 1930-1949,SM3,1995
{F2B9B161-8374-471C-A16A-5D0B8272F0C2},80000,1995-01-12 00:00,SM3 8LP,T,N,F,35,,PRIORY ROAD,SUTTON,SUTTON,SUTTON,GREATER LONDON,645.161290322581,1995.0,1995-01-12,T,F,80000.0,SM3 8LP,E09000029,{F2B9B161-8374-471C-A16A-5D0B8272F0C2},21387176.0,124.0,6.0,11.0,67.0,80.0,England and Wales: 1930-1949,645.161290322581,6.0,124.0,67.0,England and Wales: 1930-1949,SM3,1995
{97ABC32E-1787-4333-926C-4C1F2D6DFB22},87000,1995-01-16 00:00,SM3 8LE,S,N,F,8,,SENHOUSE ROAD,SUTTON,SUTTON,SUTTON,GREATER LONDON,790.909090909091,1995.0,1995-01-16,S,F,87000.0,SM3 8LE,E09000029,{97ABC32E-1787-4333-926C-4C1F2D6DFB22},21335028.0,110.0,5.0,11.0,53.0,85.0,England and Wales: 1930-1949,790.909090909091,5.0,110.0,53.0,England and Wales: 1930-1949,SM3,1995
{0A6949F9-B24F-4120-98A3-88D9AE5D8F05},90000,1995-01-16 00:00,SM3 8LP,T,N,F,43,,PRIORY ROAD,SUTTON,SUTTON,SUTTON,GREATER LONDON,909.090909090909,1995.0,1995-01-16,T,F,90000.0,SM3 8LP,E09000029,{0A6949F9-B24F-4120-98A3-88D9AE5D8F05},21354784.0,99.0,5.0,11.0,53.0,76.0,England and Wales: 1900-1929,909.090909090909,5.0,99.0,53.0,England and Wales: 1900-1929,SM3,1995
{FD401911-ACA7-43E2-8C14-B929ECBB6BC4},83000,1995-01-18 00:00,SM3 8AD,T,N,F,5,,ROBERTS CLOSE,SUTTON,SUTTON,SUTTON,GREATER LONDON,943.181818181818,1995.0,1995-01-18,T,F,83000.0,SM3 8AD,E09000029,{FD401911-ACA7-43E2-8C14-B929ECBB6BC4},21345385.0,88.0,4.0,11.0,70.0,89.0,England and Wales: 1983-1990,943.181818181818,4.0,88.0,70.0,England and Wales: 1983-1990,SM3,1995
{2548DC6C-E831-4ED1-B1A9-578311B3EB74},65000,1995-01-23 00:00,SM3 9BH,T,N,L,16,,CAMBERLEY CLOSE,SUTTON,SUTTON,SUTTON,GREATER LONDON,1065.5737704918,1995.0,1995-01-23,T,L,65000.0,SM3 9BH,E09000029,{2548DC6C-E831-4ED1-B1A9-578311B3EB74},21343868.0,61.0,3.0,11.0,68.0,88.0,England and Wales: 1983-1990,1065.5737704918,3.0,61.0,68.0,England and Wales: 1983-1990,SM3,1995
{2A289E9C-E4D9-CDC8-E050-A8C063054829},10700,1995-01-24 00:00,SM3 9NN,T,N,F,7,,GLENTHORNE CLOSE,,SUTTON,SUTTON,GREATER LONDON,120.224719101124,1995.0,1995-01-24,T,F,10700.0,SM3 9NN,E09000029,{2A289E9C-E4D9-CDC8-E050-A8C063054829},21343261.0,89.0,5.0,11.0,45.0,83.0,England and Wales: 1930-1949,120.224719101124,5.0,89.0,45.0,England and Wales: 1930-1949,SM3,1995
{7AEB8053-4617-4E20-A26B-BD6B0DD92041},60000,1995-01-27 00:00,SM3 9DF,F,N,L,"GLYN COURT, 623A",FLAT 8,LONDON ROAD,CHEAM,SUTTON,SUTTON,GREATER LONDON,1259.1815320042,1995.0,1995-01-27,F,L,60000.0,SM3 9DF,E09000029,{7AEB8053-4617-4E20-A26B-BD6B0DD92041},21318738.0,47.65,3.0,11.0,54.0,63.0,England and Wales: 1930-1949,1259.1815320042,3.0,47.65,54.0,England and Wales: 1930-1949,SM3,1995
