ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{B07FDFED-3E8D-4BAF-A933-8739608D7590},60000,1995-12-18 00:00,SM5 3DY,S,N,F,21,,PARK LANE,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,535.714285714286,1995.0,1995-12-18,S,F,60000.0,SM5 3DY,E09000029,{B07FDFED-3E8D-4BAF-A933-8739608D7590},21359773.0,112.0,7.0,11.0,44.0,79.0,England and Wales: 1900-1929,535.714285714286,7.0,112.0,44.0,England and Wales: 1900-1929,SM5
{F8283D05-2FB6-4AE7-B33D-48AB5C7E4B13},60000,1995-08-14 00:00,SM5 3HA,F,N,L,17,,SALISBURY ROAD,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,740.740740740741,1995.0,1995-08-14,F,L,60000.0,SM5 3HA,E09000029,{F8283D05-2FB6-4AE7-B33D-48AB5C7E4B13},21345608.0,81.0,3.0,12.0,55.0,74.0,England and Wales: 1900-1929,740.740740740741,3.0,81.0,55.0,England and Wales: 1900-1929,SM5
{BED65500-A181-4E08-9B77-54A590099872},125000,1995-05-25 00:00,SM5 3JP,D,N,F,208,,STANLEY PARK ROAD,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,838.926174496644,1995.0,1995-05-25,D,F,125000.0,SM5 3JP,E09000029,{BED65500-A181-4E08-9B77-54A590099872},21353817.0,149.0,7.0,11.0,63.0,84.0,England and Wales: 1930-1949,838.926174496644,7.0,149.0,63.0,England and Wales: 1930-1949,SM5
{84EF96D8-5BEE-48B6-99B3-9249F1229CC6},88500,1995-01-31 00:00,SM5 3EZ,T,N,F,4,,BLAKEHALL ROAD,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,750.0,1995.0,1995-01-31,T,F,88500.0,SM5 3EZ,E09000029,{84EF96D8-5BEE-48B6-99B3-9249F1229CC6},21314225.0,118.0,6.0,11.0,67.0,83.0,England and Wales: 1930-1949,750.0,6.0,118.0,67.0,England and Wales: 1930-1949,SM5
{1CE55343-5EC0-46F9-91E4-7A8097B09845},86000,1995-05-31 00:00,SM5 3EZ,T,N,F,29,,BLAKEHALL ROAD,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,914.893617021277,1995.0,1995-05-31,T,F,86000.0,SM5 3EZ,E09000029,{1CE55343-5EC0-46F9-91E4-7A8097B09845},21357013.0,94.0,5.0,11.0,58.0,84.0,England and Wales: 1930-1949,914.893617021277,5.0,94.0,58.0,England and Wales: 1930-1949,SM5
{E28FB550-3414-41DD-BC60-7A96BEFEA678},87000,1995-06-30 00:00,SM5 2RB,T,Y,F,26,,WILLIAM STREET,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,1581.81818181818,1995.0,1995-06-30,T,F,87000.0,SM5 2RB,E09000029,{E28FB550-3414-41DD-BC60-7A96BEFEA678},21368103.0,55.0,3.0,11.0,61.0,86.0,England and Wales: 1991-1995,1581.81818181818,3.0,55.0,61.0,England and Wales: 1991-1995,SM5
{2EFC481E-221D-4893-B85D-5BD845A44DB6},57100,1995-08-31 00:00,SM5 1PF,S,N,F,106,,BUCKHURST AVENUE,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,951.666666666667,1995.0,1995-08-31,S,F,57100.0,SM5 1PF,E09000029,{2EFC481E-221D-4893-B85D-5BD845A44DB6},21324805.0,60.0,5.0,11.0,57.0,73.0,England and Wales: 1930-1949,951.666666666667,5.0,60.0,57.0,England and Wales: 1930-1949,SM5
{9814B1EB-4C74-4645-9374-3E4E16BEF48E},61950,1995-06-30 00:00,SM5 1RU,T,N,F,HORNBEAM TERRACE,11,WINCHCOMBE ROAD,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,1278.90173410405,1995.0,1995-06-30,T,F,61950.0,SM5 1RU,E09000029,{9814B1EB-4C74-4645-9374-3E4E16BEF48E},21373740.0,48.44,3.0,12.0,75.0,80.0,England and Wales: 1983-1990,1278.90173410405,3.0,48.44,75.0,England and Wales: 1983-1990,SM5
{DEC6F160-FC63-41A9-98C8-7384EE76903E},53500,1995-09-01 00:00,SM5 2SX,T,N,F,23,,FELLOWES ROAD,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,754.583921015515,1995.0,1995-09-01,T,F,53500.0,SM5 2SX,E09000029,{DEC6F160-FC63-41A9-98C8-7384EE76903E},21332551.0,70.9,5.0,12.0,62.0,77.0,England and Wales: 1930-1949,754.583921015515,5.0,70.9,62.0,England and Wales: 1930-1949,SM5
{2D74E53C-F3A8-4D02-8356-4900CB2BDC6F},55000,1995-01-27 00:00,SM5 1TW,T,N,F,355,,GREEN WRYTHE LANE,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,808.823529411765,1995.0,1995-01-27,T,F,55000.0,SM5 1TW,E09000029,{2D74E53C-F3A8-4D02-8356-4900CB2BDC6F},21359309.0,68.0,4.0,11.0,57.0,83.0,England and Wales: 1950-1966,808.823529411765,4.0,68.0,57.0,England and Wales: 1950-1966,SM5
{85F011BF-5FF4-415B-BE44-5BF1AA023FBE},167000,1995-11-01 00:00,SM5 3SF,D,N,F,165,,CARSHALTON PARK ROAD,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,1050.31446540881,1995.0,1995-11-01,D,F,167000.0,SM5 3SF,E09000029,{85F011BF-5FF4-415B-BE44-5BF1AA023FBE},21314838.0,159.0,7.0,11.0,55.0,77.0,England and Wales: 1900-1929,1050.31446540881,7.0,159.0,55.0,England and Wales: 1900-1929,SM5
{AB6EDFD7-1FA1-40E3-B212-8EFA34E5D06F},84950,1995-12-15 00:00,SM5 3QJ,T,N,F,8,,ALPINE VIEW,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,1370.16129032258,1995.0,1995-12-15,T,F,84950.0,SM5 3QJ,E09000029,{AB6EDFD7-1FA1-40E3-B212-8EFA34E5D06F},21346100.0,62.0,3.0,11.0,70.0,91.0,England and Wales: 1991-1995,1370.16129032258,3.0,62.0,70.0,England and Wales: 1991-1995,SM5
{B081A1A0-43E5-4B4B-ACC9-87DAFA3082D1},71250,1995-09-28 00:00,SM5 4LX,T,N,F,59,,STANLEY SQUARE,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,614.224137931035,1995.0,1995-09-28,T,F,71250.0,SM5 4LX,E09000029,{B081A1A0-43E5-4B4B-ACC9-87DAFA3082D1},21332421.0,116.0,6.0,11.0,63.0,79.0,England and Wales: 1930-1949,614.224137931035,6.0,116.0,63.0,England and Wales: 1930-1949,SM5
{A536508A-B6CD-40C3-B3C8-9647BBDA825A},62500,1995-10-24 00:00,SM5 1LE,T,N,F,7,,SELBY ROAD,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,811.688311688312,1995.0,1995-10-24,T,F,62500.0,SM5 1LE,E09000029,{A536508A-B6CD-40C3-B3C8-9647BBDA825A},21378787.0,77.0,5.0,11.0,66.0,81.0,England and Wales: 1930-1949,811.688311688312,5.0,77.0,66.0,England and Wales: 1930-1949,SM5
{5A82B4DC-8623-4C87-A76F-4DDC0AEC8451},125000,1995-03-31 00:00,SM5 3LN,S,N,F,1,,BARROW HEDGES CLOSE,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,976.5625,1995.0,1995-03-31,S,F,125000.0,SM5 3LN,E09000029,{5A82B4DC-8623-4C87-A76F-4DDC0AEC8451},21371630.0,128.0,7.0,11.0,61.0,78.0,England and Wales: 1900-1929,976.5625,7.0,128.0,61.0,England and Wales: 1900-1929,SM5
{7EBE4A7C-DB27-4A3E-B20F-3E87D56CB0B4},198000,1995-06-21 00:00,SM5 4JT,D,N,F,24,,BEECHES WALK,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,880.273862979594,1995.0,1995-06-21,D,F,198000.0,SM5 4JT,E09000029,{7EBE4A7C-DB27-4A3E-B20F-3E87D56CB0B4},21350577.0,224.93,7.0,12.0,53.0,58.0,England and Wales: 1900-1929,880.273862979594,7.0,224.93,53.0,England and Wales: 1900-1929,SM5
{1678F4DE-73F2-4FB3-A736-9659DF7C7FA0},84000,1995-11-30 00:00,SM5 2RR,S,N,F,83,,WRYTHE LANE,CARSHALTON,CARSHALTON,SUTTON,GREATER LONDON,903.225806451613,1995.0,1995-11-30,S,F,84000.0,SM5 2RR,E09000029,{1678F4DE-73F2-4FB3-A736-9659DF7C7FA0},21374953.0,93.0,5.0,11.0,40.0,82.0,England and Wales: 1930-1949,903.225806451613,5.0,93.0,40.0,England and Wales: 1930-1949,SM5
