ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{77645D1F-58F3-4BE7-A5A7-91760F2CC68F},102000,1995-01-05 00:00,SM6 7LG,S,,F,18,,THE HOLT,WALLINGTON,WALLINGTON,SUTTON,GREATER LONDON,1457.14285714286,5.0,70.0,65.0,1949.0,SM6,1995,20426,5,Wallington,0.990037,57300,7,2,7.32144817795583
{2A289E9D-E650-CDC8-E050-A8C063054829},25000,1995-01-05 00:00,SM6 0QD,T,,F,145,,WOODCOTE ROAD,,WALLINGTON,SUTTON,GREATER LONDON,324.675324675325,3.0,77.0,60.0,1929.0,SM6,1995,17510,5,Wallington,1.34874,53900,6,1b,4.63786494152693
{2A289E9C-E2B8-CDC8-E050-A8C063054829},44000,1995-01-05 00:00,SM6 7PB,F,,L,HARCOURT LODGE,FLAT 15,CROYDON ROAD,,WALLINGTON,SUTTON,GREATER LONDON,698.412698412698,3.0,63.0,46.0,1949.0,SM6,1995,13642,5,Wallington,0.780343,57300,5,2,8.57455976037549
{9EF865D7-5871-495E-84C9-3A46ED1BC19A},70250,1995-01-06 00:00,SM6 8LE,T,,F,82,,THARP ROAD,WALLINGTON,WALLINGTON,SUTTON,GREATER LONDON,889.240506329114,4.0,79.0,59.0,1929.0,SM6,1995,21699,5,Wallington,0.89967,58700,7,1b,4.12068172351628
{90676D34-D577-40EA-8C8D-E834E1BF66A1},89000,1995-01-06 00:00,SM6 9RL,T,,F,76,,COWPER GARDENS,WALLINGTON,WALLINGTON,SUTTON,GREATER LONDON,956.989247311828,7.0,93.0,68.0,1949.0,SM6,1995,28027,5,Wallington,0.618797,59800,9,3,10.8815788258233
{42FD528E-DEAF-4C91-BA12-440125E63A99},96000,1995-01-12 00:00,SM6 0TW,S,,L,16,,WRIGHTS ROW,WALLINGTON,WALLINGTON,SUTTON,GREATER LONDON,1246.75324675325,4.0,77.0,56.0,1900.0,SM6,1995,13642,5,Wallington,0.700073,57300,5,3,11.6047167755025
{2A289E9C-E3CA-CDC8-E050-A8C063054829},50000,1995-01-12 00:00,SM6 8PP,T,,F,58,,DEMESNE ROAD,,WALLINGTON,SUTTON,GREATER LONDON,862.068965517241,3.0,58.0,66.0,1929.0,SM6,1995,10724,5,Wallington,0.762851,45600,4,2,7.56320086811367
{46BAC8DC-6C9A-4456-A330-7C1DB960C506},135950,1995-01-13 00:00,SM6 9DN,S,,F,6,,WATERER RISE,,WALLINGTON,SUTTON,GREATER LONDON,992.335766423358,7.0,137.0,62.0,1949.0,SM6,1995,29772,5,Wallington,1.08547,59800,10,2,5.56181121176982
{8B0C4421-C1E2-4A9A-B4A4-27310D136598},72500,1995-01-19 00:00,SM6 8JY,S,,F,19,,UPPER ROAD,WALLINGTON,WALLINGTON,SUTTON,GREATER LONDON,916.793120890238,4.0,79.08,54.0,1900.0,SM6,1995,21699,5,Wallington,1.18855,58700,7,1b,4.81241944016629
{2B1B10E9-F446-404A-97E2-160C707A9A07},93750,1995-01-25 00:00,SM6 7JF,S,,F,18,,LEECHCROFT ROAD,WALLINGTON,WALLINGTON,SUTTON,GREATER LONDON,946.969696969697,5.0,99.0,55.0,1949.0,SM6,1995,29030,5,Carshalton,0.684918,57300,9,2,6.78227472200319
