ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{3B480295-0E43-41C6-A85D-3C51FAC826F9},77005,1995-01-03 00:00,SW14 8PX,F,0,L,80,,ASHLEIGH ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1475.19157088123,3.0,52.2,64.0,1929,SW14,1995
{61C5AE27-F1AF-4D16-BAC3-B3676DE911F9},205000,1995-01-05 00:00,SW14 7QB,T,0,F,49,,OBSERVATORY ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1339.86928104575,6.0,153.0,56.0,1929,SW14,1995
{9B265BE1-0F49-4361-83CE-5DDE31F30C18},110000,1995-01-05 00:00,SW14 8QD,F,0,L,17,,COWLEY ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1743.54097321287,4.0,63.09,64.0,1900,SW14,1995
{91DA22B4-1C95-436F-9957-D3F98673C31C},65000,1995-01-06 00:00,SW14 7LR,F,0,L,HUNTINGDON COURT,FLAT 16,LITTLE ST LEONARDS,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,971.744655404395,4.0,66.89,51.0,1949,SW14,1995
{B703FFB7-0317-44C5-BE35-B5779B215AA0},110000,1995-01-11 00:00,SW14 7PU,T,0,F,479A,,UPPER RICHMOND ROAD WEST,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1474.5308310992,4.0,74.6,50.0,1900,SW14,1995
{B634D54B-0B75-4CC7-AD8C-4DD47687B382},131500,1995-01-12 00:00,SW14 8QB,F,0,L,80,,COWLEY ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1852.11267605634,3.0,71.0,57.0,1900,SW14,1995
{A64CB787-B659-4505-820E-AF17A55BF18D},92000,1995-01-12 00:00,SW14 8QE,F,0,L,60,,SECOND AVENUE,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1735.84905660377,3.0,53.0,63.0,1949,SW14,1995
{591695F0-3B14-4BF0-95DD-05811FCAC0D7},190500,1995-01-16 00:00,SW14 7QG,S,0,F,68,,TEMPLE SHEEN ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1261.58940397351,8.0,151.0,47.0,1929,SW14,1995
{A5039061-2D4B-46E2-9F4A-83C24674557A},200000,1995-01-17 00:00,SW14 8PY,S,0,F,95,,ASHLEIGH ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1814.88203266788,6.0,110.2,51.0,1929,SW14,1995
{AE7C590C-A57B-4995-B374-5881E11ECEC7},79400,1995-01-24 00:00,SW14 7HN,T,0,F,81,,KINGSWAY,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,882.320257806423,3.0,89.99,61.0,1929,SW14,1995
{1862C29D-39F8-4947-9941-2466700C2D06},86000,1995-01-26 00:00,SW14 8QT,T,0,F,197,,UPPER RICHMOND ROAD WEST,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1211.2676056338,3.0,71.0,68.0,1949,SW14,1995
{20747E95-B104-4018-9925-642CCBE21E0F},87500,1995-01-27 00:00,SW14 8PU,F,0,L,15,,AVONDALE ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1388.88888888889,,63.0,65.0,1929,SW14,1995
{5E991746-994D-48BE-8365-F9016B512043},205000,1995-01-27 00:00,SW14 8SZ,T,0,F,22,,FITZGERALD AVENUE,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1576.92307692308,5.0,130.0,57.0,1929,SW14,1995
{87EE8C63-FD6B-4C0E-B253-5CB4E6902192},95000,1995-01-31 00:00,SW14 8HY,T,0,L,13,FLAT F,SHEEN LANE,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1553.30281229562,3.0,61.16,74.0,1990,SW14,1995
{5EED6ED4-4283-4827-AB4D-BB0BE1E06AE4},150000,1995-02-01 00:00,SW14 7EB,T,0,F,71,,STANLEY ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1798.12994485735,5.0,83.42,63.0,1900,SW14,1995
{08156890-A322-44BF-8E24-55662BC87DB1},225000,1995-02-03 00:00,SW14 7QE,S,0,F,13,,PERCIVAL ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,2266.08923355826,5.0,99.29,58.0,1949,SW14,1995
{066F9069-6A6A-4390-8BA7-51DAB247A483},175000,1995-02-03 00:00,SW14 7QG,S,0,F,42,,TEMPLE SHEEN ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1628.20989951619,6.0,107.48,42.0,1966,SW14,1995
{CB10F928-9267-4BA2-87A8-4E6AC6B50A53},218000,1995-02-10 00:00,SW14 7QB,T,0,F,7,,OBSERVATORY ROAD,LONDON,LONDON,RICHMOND UPON THAMES,GREATER LONDON,1568.34532374101,6.0,139.0,52.0,1949,SW14,1995
