ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{CBC9567F-6085-4E8B-9ACF-9634F2E8A218},185000,1997-06-02 00:00,SW1A 2EL,F,N,L,3,FLAT 64,WHITEHALL COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2602.33506822338,1997.0,1997-06-02,F,L,185000.0,SW1A 2EL,E09000033,{CBC9567F-6085-4E8B-9ACF-9634F2E8A218},21855966.0,71.09,2.0,11.0,69.0,71.0,England and Wales: before 1900,2602.33506822338,2.0,71.09,69.0,England and Wales: before 1900,SW1A
{D9372EE3-FD96-408B-94BB-B1B51CDC7B55},430000,1997-04-01 00:00,SW1A 1NR,F,Y,L,30,FLAT 5,ST JAMES'S PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4257.42574257426,1997.0,1997-04-01,F,L,430000.0,SW1A 1NR,E09000033,{D9372EE3-FD96-408B-94BB-B1B51CDC7B55},21847447.0,101.0,4.0,11.0,49.0,69.0,England and Wales: 1930-1949,4257.42574257426,4.0,101.0,49.0,England and Wales: 1930-1949,SW1A
{23CAAD6C-A193-4F24-8733-8176F9AB90CA},325000,1997-01-07 00:00,SW1A 1NR,F,Y,L,30,FLAT 4,ST JAMES'S PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4119.1381495564,1997.0,1997-01-07,F,L,325000.0,SW1A 1NR,E09000033,{23CAAD6C-A193-4F24-8733-8176F9AB90CA},21844716.0,78.9,4.0,11.0,68.0,77.0,England and Wales: 1900-1929,4119.1381495564,4.0,78.9,68.0,England and Wales: 1900-1929,SW1A
{47127EB6-6B7E-4558-A694-7DADC02CDC46},1125000,1997-03-24 00:00,SW1A 1DH,T,N,F,10,,CLEVELAND ROW,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,6843.06569343066,1997.0,1997-03-24,T,F,1125000.0,SW1A 1DH,E09000033,{47127EB6-6B7E-4558-A694-7DADC02CDC46},21880644.0,164.4,8.0,11.0,15.0,16.0,England and Wales: before 1900,6843.06569343066,8.0,164.4,15.0,England and Wales: before 1900,SW1A
{8767E350-24FA-4197-8738-43A5933CF808},92500,1997-04-30 00:00,SW1A 1PH,F,N,L,73,FLAT 19,ST JAMES'S STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2010.86956521739,1997.0,1997-04-30,F,L,92500.0,SW1A 1PH,E09000033,{8767E350-24FA-4197-8738-43A5933CF808},21892897.0,46.0,2.0,11.0,49.0,81.0,England and Wales: before 1900,2010.86956521739,2.0,46.0,49.0,England and Wales: before 1900,SW1A
{DC37C06E-0564-43EE-BCC0-CF3D51E24FB4},561500,1997-09-03 00:00,SW1A 2EL,F,N,L,3,FLAT 84,WHITEHALL COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3119.44444444444,1997.0,1997-09-03,F,L,561500.0,SW1A 2EL,E09000033,{DC37C06E-0564-43EE-BCC0-CF3D51E24FB4},21918785.0,180.0,5.0,12.0,72.0,73.0,England and Wales: before 1900,3119.44444444444,5.0,180.0,72.0,England and Wales: before 1900,SW1A
{9A5231C6-5155-4011-A810-B8B0FD61D73C},230000,1997-06-03 00:00,SW1A 2EP,F,N,L,4,FLAT 146,WHITEHALL COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2017.54385964912,1997.0,1997-06-03,F,L,230000.0,SW1A 2EP,E09000033,{9A5231C6-5155-4011-A810-B8B0FD61D73C},21856500.0,114.0,3.0,11.0,69.0,83.0,England and Wales: before 1900,2017.54385964912,3.0,114.0,69.0,England and Wales: before 1900,SW1A
{3C29ED8D-86C8-4222-A0E6-2B7FB18F8BFA},149950,1997-09-04 00:00,SW1A 1PH,F,N,L,73,FLAT 17,ST JAMES'S STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3748.75,1997.0,1997-09-04,F,L,149950.0,SW1A 1PH,E09000033,{3C29ED8D-86C8-4222-A0E6-2B7FB18F8BFA},21826660.0,40.0,2.0,11.0,72.0,74.0,England and Wales: before 1900,3748.75,2.0,40.0,72.0,England and Wales: before 1900,SW1A
{13A440D8-0B53-4EE8-8971-2F483429A8D7},850000,1997-02-28 00:00,SW1A 1PH,F,N,L,73,FLAT 31,ST JAMES'S STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3890.16018306636,1997.0,1997-02-28,F,L,850000.0,SW1A 1PH,E09000033,{13A440D8-0B53-4EE8-8971-2F483429A8D7},21820179.0,218.5,6.0,12.0,11.0,20.0,England and Wales: before 1900,3890.16018306636,6.0,218.5,11.0,England and Wales: before 1900,SW1A
{E8AE26CD-2ACB-45D8-9D90-A68840F1358E},450000,1997-06-23 00:00,SW1A 1RL,F,N,L,ARLINGTON HOUSE,FLAT 60,ARLINGTON STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2694.61077844311,1997.0,1997-06-23,F,L,450000.0,SW1A 1RL,E09000033,{E8AE26CD-2ACB-45D8-9D90-A68840F1358E},21911005.0,167.0,4.0,11.0,74.0,76.0,England and Wales: 1930-1949,2694.61077844311,4.0,167.0,74.0,England and Wales: 1930-1949,SW1A
