ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2294668D-2911-4BE2-B8FD-4C8236D99D36},200000,1995-06-13 00:00,SW1A 2EL,F,N,L,3,FLAT 74,WHITEHALL COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1801.8018018018,1995.0,1995-06-13,F,L,200000.0,SW1A 2EL,E09000033,{2294668D-2911-4BE2-B8FD-4C8236D99D36},21809031.0,111.0,3.0,11.0,74.0,80.0,England and Wales: before 1900,1801.8018018018,3.0,111.0,74.0,England and Wales: before 1900,SW1A,1995
{2F892E32-74F6-416A-AEC3-82AA5F7BDBCF},92500,1995-07-21 00:00,SW1A 1PH,F,N,L,73,FLAT 19,ST JAMES'S STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2010.86956521739,1995.0,1995-07-21,F,L,92500.0,SW1A 1PH,E09000033,{2F892E32-74F6-416A-AEC3-82AA5F7BDBCF},21892897.0,46.0,2.0,11.0,49.0,81.0,England and Wales: before 1900,2010.86956521739,2.0,46.0,49.0,England and Wales: before 1900,SW1A,1995
{873AF67C-EB13-41C6-A3DD-9E11B902B291},312000,1995-07-28 00:00,SW1A 2EL,F,N,L,3,FLAT 71A,WHITEHALL COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2600.43340556759,1995.0,1995-07-28,F,L,312000.0,SW1A 2EL,E09000033,{873AF67C-EB13-41C6-A3DD-9E11B902B291},21812308.0,119.98,3.0,12.0,73.0,75.0,England and Wales: before 1900,2600.43340556759,3.0,119.98,73.0,England and Wales: before 1900,SW1A,1995
{6CF7F43F-8531-4D27-84D3-56D8A9001928},372000,1995-07-28 00:00,SW1A 2EL,F,N,L,3,FLAT 84,WHITEHALL COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2066.66666666667,1995.0,1995-07-28,F,L,372000.0,SW1A 2EL,E09000033,{6CF7F43F-8531-4D27-84D3-56D8A9001928},21918785.0,180.0,5.0,12.0,72.0,73.0,England and Wales: before 1900,2066.66666666667,5.0,180.0,72.0,England and Wales: before 1900,SW1A,1995
{7E8186D2-0FD6-4924-BC1D-74C020FC488D},128000,1995-09-11 00:00,SW1A 1PH,F,N,L,73,FLAT 25,ST JAMES'S STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2782.60869565217,1995.0,1995-09-11,F,L,128000.0,SW1A 1PH,E09000033,{7E8186D2-0FD6-4924-BC1D-74C020FC488D},21922491.0,46.0,2.0,11.0,68.0,81.0,England and Wales: 1900-1929,2782.60869565217,2.0,46.0,68.0,England and Wales: 1900-1929,SW1A,1995
{454256E0-5101-4F0B-9FEB-882DDAF15545},195000,1996-05-28 00:00,SW1A 2BA,F,Y,L,35,FLAT 3,SPRING GARDENS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2257.2056951036,1996.0,1996-05-28,F,L,195000.0,SW1A 2BA,E09000033,{454256E0-5101-4F0B-9FEB-882DDAF15545},21873101.0,86.39,3.0,12.0,43.0,76.0,England and Wales: before 1900,2257.2056951036,3.0,86.39,43.0,England and Wales: before 1900,SW1A,1996
{35FBFAC9-22A4-43C8-AF37-58DB46F5E6F6},242000,1996-08-09 00:00,SW1A 2EL,F,N,L,3,FLAT 96,WHITEHALL COURT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3127.42310674593,1996.0,1996-08-09,F,L,242000.0,SW1A 2EL,E09000033,{35FBFAC9-22A4-43C8-AF37-58DB46F5E6F6},21925059.0,77.38,2.0,12.0,54.0,56.0,England and Wales: before 1900,3127.42310674593,2.0,77.38,54.0,England and Wales: before 1900,SW1A,1996
{291A58E5-C249-411E-96B0-4002F0067196},340000,1996-09-06 00:00,SW1A 1NR,F,Y,L,30,FLAT 1,ST JAMES'S PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3475.23892267593,1996.0,1996-09-06,F,L,340000.0,SW1A 1NR,E09000033,{291A58E5-C249-411E-96B0-4002F0067196},21889793.0,97.835,4.0,12.0,55.0,69.0,England and Wales: 1900-1929,3475.23892267593,4.0,97.835,55.0,England and Wales: 1900-1929,SW1A,1996
{23CAAD6C-A193-4F24-8733-8176F9AB90CA},325000,1997-01-07 00:00,SW1A 1NR,F,Y,L,30,FLAT 4,ST JAMES'S PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4119.1381495564,1997.0,1997-01-07,F,L,325000.0,SW1A 1NR,E09000033,{23CAAD6C-A193-4F24-8733-8176F9AB90CA},21844716.0,78.9,4.0,11.0,68.0,77.0,England and Wales: 1900-1929,4119.1381495564,4.0,78.9,68.0,England and Wales: 1900-1929,SW1A,1997
{E1D998F4-9222-4463-ACF0-325DF7128F0F},280000,1997-02-13 00:00,SW1A 1NR,F,Y,L,30,FLAT 2,ST JAMES'S PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3872.75242047026,1997.0,1997-02-13,F,L,280000.0,SW1A 1NR,E09000033,{E1D998F4-9222-4463-ACF0-325DF7128F0F},21904911.0,72.3,3.0,11.0,74.0,76.0,England and Wales: 1900-1929,3872.75242047026,3.0,72.3,74.0,England and Wales: 1900-1929,SW1A,1997
