ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{1B02C825-BD1A-4760-9DD3-536FE7E5C63D},110000,1997-04-17 00:00,SW1E 6PE,F,N,L,"BUCKINGHAM COURT, 78",FLAT 55,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2244.89795918367,1997.0,1997-04-17,F,L,110000.0,SW1E 6PE,E09000033,{1B02C825-BD1A-4760-9DD3-536FE7E5C63D},21813745.0,49.0,2.0,11.0,73.0,79.0,England and Wales: 1900-1929,2244.89795918367,2.0,49.0,73.0,England and Wales: 1900-1929,SW1E
{B0E5476C-DA1C-4D82-9332-65A452E20C5A},121000,1997-04-17 00:00,SW1E 6PE,F,N,L,"BUCKINGHAM COURT, 78",FLAT 51,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2016.66666666667,1997.0,1997-04-17,F,L,121000.0,SW1E 6PE,E09000033,{B0E5476C-DA1C-4D82-9332-65A452E20C5A},21905424.0,60.0,2.0,12.0,72.0,80.0,England and Wales: 1900-1929,2016.66666666667,2.0,60.0,72.0,England and Wales: 1900-1929,SW1E
{5311C4ED-D376-44EE-B640-457991372719},105000,1997-03-12 00:00,SW1E 6PA,F,N,L,35,FLAT 21,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2100.0,1997.0,1997-03-12,F,L,105000.0,SW1E 6PA,E09000033,{5311C4ED-D376-44EE-B640-457991372719},21833983.0,50.0,2.0,11.0,63.0,78.0,England and Wales: 1950-1966,2100.0,2.0,50.0,63.0,England and Wales: 1950-1966,SW1E
{13E35778-854A-4FFA-8DC4-66344CF22E11},128000,1997-04-08 00:00,SW1E 6PB,F,N,L,36,FLAT 22,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1812.26107886167,1997.0,1997-04-08,F,L,128000.0,SW1E 6PB,E09000033,{13E35778-854A-4FFA-8DC4-66344CF22E11},21814585.0,70.63,2.0,11.0,57.0,58.0,England and Wales: 1930-1949,1812.26107886167,2.0,70.63,57.0,England and Wales: 1930-1949,SW1E
{1165E79F-A986-424E-8DA6-6B508F313796},136000,1997-09-05 00:00,SW1E 6PA,T,N,L,35,FLAT 8,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2893.6170212766,1997.0,1997-09-05,T,L,136000.0,SW1E 6PA,E09000033,{1165E79F-A986-424E-8DA6-6B508F313796},21937865.0,47.0,2.0,11.0,45.0,77.0,England and Wales: 1950-1966,2893.6170212766,2.0,47.0,45.0,England and Wales: 1950-1966,SW1E
{C93B7166-CD9F-46A0-87BF-5D67B7A329BD},108000,1997-01-08 00:00,SW1E 6PE,F,N,L,"BUCKINGHAM COURT, 78",FLAT 44,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2037.7358490566,1997.0,1997-01-08,F,L,108000.0,SW1E 6PE,E09000033,{C93B7166-CD9F-46A0-87BF-5D67B7A329BD},21869546.0,53.0,3.0,12.0,69.0,81.0,England and Wales: 1900-1929,2037.7358490566,3.0,53.0,69.0,England and Wales: 1900-1929,SW1E
{61EE3045-C3F0-4667-905B-E2429658CE53},185000,1997-04-18 00:00,SW1E 6PE,F,N,L,"BUCKINGHAM COURT, 78",FLAT 61,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3303.57142857143,1997.0,1997-04-18,F,L,185000.0,SW1E 6PE,E09000033,{61EE3045-C3F0-4667-905B-E2429658CE53},21885176.0,56.0,2.0,11.0,53.0,60.0,England and Wales: 1900-1929,3303.57142857143,2.0,56.0,53.0,England and Wales: 1900-1929,SW1E
{E6165EEF-E3A7-4B28-BC93-64C84BFAB7D4},125000,1997-12-12 00:00,SW1E 6BS,F,N,L,40,FLAT 3,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1899.11880887268,1997.0,1997-12-12,F,L,125000.0,SW1E 6BS,E09000033,{E6165EEF-E3A7-4B28-BC93-64C84BFAB7D4},21820147.0,65.82,2.0,12.0,54.0,61.0,England and Wales: 1900-1929,1899.11880887268,2.0,65.82,54.0,England and Wales: 1900-1929,SW1E
{8BCE0B5B-7C7D-41E6-95AE-88E97A69A7B0},180000,1997-05-09 00:00,SW1E 6PB,F,N,L,36,FLAT 12A,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2142.85714285714,1997.0,1997-05-09,F,L,180000.0,SW1E 6PB,E09000033,{8BCE0B5B-7C7D-41E6-95AE-88E97A69A7B0},21825770.0,84.0,3.0,11.0,75.0,80.0,England and Wales: before 1900,2142.85714285714,3.0,84.0,75.0,England and Wales: before 1900,SW1E
{BFE90110-8144-4809-8689-E422235788A2},142500,1997-09-16 00:00,SW1E 6PA,F,N,L,35,FLAT 21,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2850.0,1997.0,1997-09-16,F,L,142500.0,SW1E 6PA,E09000033,{BFE90110-8144-4809-8689-E422235788A2},21833983.0,50.0,2.0,11.0,63.0,78.0,England and Wales: 1950-1966,2850.0,2.0,50.0,63.0,England and Wales: 1950-1966,SW1E
