ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{01D6C24F-F88E-48F6-9A05-AD3B7E041305},100000,1995-12-18 00:00,SW1E 6NL,F,N,L,STAFFORD MANSIONS,FLAT 14,STAFFORD PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2240.14336917563,1995.0,1995-12-18,F,L,100000.0,SW1E 6NL,E09000033,{01D6C24F-F88E-48F6-9A05-AD3B7E041305},21835607.0,44.64,2.0,12.0,59.0,60.0,England and Wales: 1900-1929,2240.14336917563,2.0,44.64,59.0,England and Wales: 1900-1929,SW1E,1995
{34FA5B1F-AD2F-434E-B1A1-B47D4FF282AD},300000,1995-05-15 00:00,SW1E 6PB,F,N,L,36,FLAT 21,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2044.01444436874,1995.0,1995-05-15,F,L,300000.0,SW1E 6PB,E09000033,{34FA5B1F-AD2F-434E-B1A1-B47D4FF282AD},21857212.0,146.77,5.0,12.0,55.0,70.0,England and Wales: before 1900,2044.01444436874,5.0,146.77,55.0,England and Wales: before 1900,SW1E,1995
{DC91908B-3E45-492B-9006-4D24A8A50257},85000,1995-06-30 00:00,SW1E 6PB,F,N,L,36,FLAT 8A,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3035.71428571429,1995.0,1995-06-30,F,L,85000.0,SW1E 6PB,E09000033,{DC91908B-3E45-492B-9006-4D24A8A50257},21824829.0,28.0,2.0,11.0,70.0,79.0,England and Wales: 1900-1929,3035.71428571429,2.0,28.0,70.0,England and Wales: 1900-1929,SW1E,1995
{E7046217-2B8E-498C-B341-E2A8A45ED1E8},210000,1995-03-24 00:00,SW1E 6PB,F,N,L,36,FLAT 10,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1779.66101694915,1995.0,1995-03-24,F,L,210000.0,SW1E 6PB,E09000033,{E7046217-2B8E-498C-B341-E2A8A45ED1E8},21919073.0,118.0,5.0,11.0,62.0,81.0,England and Wales: 1900-1929,1779.66101694915,5.0,118.0,62.0,England and Wales: 1900-1929,SW1E,1995
{F55109C9-572C-43C5-975A-8005944E88AD},110000,1995-01-27 00:00,SW1E 6BS,F,Y,L,40,FLAT 4,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1804.46194225722,1995.0,1995-01-27,F,L,110000.0,SW1E 6BS,E09000033,{F55109C9-572C-43C5-975A-8005944E88AD},21858306.0,60.96,3.0,12.0,64.0,72.0,England and Wales: before 1900,1804.46194225722,3.0,60.96,64.0,England and Wales: before 1900,SW1E,1995
{B4B80AD0-7FA3-4D5C-A5B3-06852EE1C942},85500,1995-09-06 00:00,SW1E 6NL,F,N,L,STAFFORD MANSIONS,FLAT 4,STAFFORD PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1776.80798004988,1995.0,1995-09-06,F,L,85500.0,SW1E 6NL,E09000033,{B4B80AD0-7FA3-4D5C-A5B3-06852EE1C942},21914991.0,48.12,3.0,12.0,79.0,81.0,England and Wales: before 1900,1776.80798004988,3.0,48.12,79.0,England and Wales: before 1900,SW1E,1995
{62C39280-8810-48D6-AD34-B42349385160},108500,1996-04-19 00:00,SW1E 6PA,F,N,L,35,FLAT 10,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1939.92490613267,1996.0,1996-04-19,F,L,108500.0,SW1E 6PA,E09000033,{62C39280-8810-48D6-AD34-B42349385160},21860537.0,55.93,3.0,12.0,54.0,82.0,England and Wales: 1950-1966,1939.92490613267,3.0,55.93,54.0,England and Wales: 1950-1966,SW1E,1996
{2A289E9D-0DCC-CDC8-E050-A8C063054829},38500,1996-08-30 00:00,SW1E 6PA,F,N,L,35,FLAT 35,BUCKINGHAM GATE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2447.55244755245,1996.0,1996-08-30,F,L,38500.0,SW1E 6PA,E09000033,{2A289E9D-0DCC-CDC8-E050-A8C063054829},21813200.0,15.73,1.0,12.0,56.0,79.0,England and Wales: 1950-1966,2447.55244755245,1.0,15.73,56.0,England and Wales: 1950-1966,SW1E,1996
{327AD082-BCE8-440A-9E51-76DB8A98D44C},100000,1996-03-07 00:00,SW1E 6PE,F,N,L,"BUCKINGHAM COURT, 78",FLAT 33,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1587.55357993332,1996.0,1996-03-07,F,L,100000.0,SW1E 6PE,E09000033,{327AD082-BCE8-440A-9E51-76DB8A98D44C},21854699.0,62.99,3.0,12.0,64.0,65.0,England and Wales: before 1900,1587.55357993332,3.0,62.99,64.0,England and Wales: before 1900,SW1E,1996
{54724E9D-3C38-4F9F-90AB-598D9280128B},109950,1996-04-16 00:00,SW1E 6PL,F,N,L,10,FLAT 1,WILFRED STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1745.2380952381,1996.0,1996-04-16,F,L,109950.0,SW1E 6PL,E09000033,{54724E9D-3C38-4F9F-90AB-598D9280128B},21915289.0,63.0,2.0,11.0,55.0,80.0,England and Wales: before 1900,1745.2380952381,2.0,63.0,55.0,England and Wales: before 1900,SW1E,1996
{79B6E8F1-C0B9-42E4-BD7F-4BF458BD1691},105000,1996-04-04 00:00,SW1E 6PE,F,N,L,"BUCKINGHAM COURT, 78",FLAT 43,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1458.33333333333,1996.0,1996-04-04,F,L,105000.0,SW1E 6PE,E09000033,{79B6E8F1-C0B9-42E4-BD7F-4BF458BD1691},21822395.0,72.0,2.0,11.0,74.0,82.0,England and Wales: 1900-1929,1458.33333333333,2.0,72.0,74.0,England and Wales: 1900-1929,SW1E,1996
{836B27BC-3F5D-4BF6-94C5-37A14C939F01},85000,1996-08-14 00:00,SW1E 6PA,F,N,L,35,FLAT 11,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1553.36257309942,1996.0,1996-08-14,F,L,85000.0,SW1E 6PA,E09000033,{836B27BC-3F5D-4BF6-94C5-37A14C939F01},21839929.0,54.72,2.0,12.0,52.0,62.0,England and Wales: 1930-1949,1553.36257309942,2.0,54.72,52.0,England and Wales: 1930-1949,SW1E,1996
{405180B6-04F5-46F0-AF7C-0CB7BD1ADBD0},110000,1996-06-26 00:00,SW1E 6HL,F,N,L,48,FLAT 1,CATHERINE PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2820.51282051282,1996.0,1996-06-26,F,L,110000.0,SW1E 6HL,E09000033,{405180B6-04F5-46F0-AF7C-0CB7BD1ADBD0},21931825.0,39.0,2.0,11.0,67.0,75.0,England and Wales: before 1900,2820.51282051282,2.0,39.0,67.0,England and Wales: before 1900,SW1E,1996
{A73158E4-0BC6-4988-8889-B4711143A858},175000,1996-01-11 00:00,SW1E 6PE,F,N,L,"BUCKINGHAM COURT, 78",FLAT 45,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2615.84454409566,1996.0,1996-01-11,F,L,175000.0,SW1E 6PE,E09000033,{A73158E4-0BC6-4988-8889-B4711143A858},21924045.0,66.9,3.0,12.0,67.0,69.0,England and Wales: 1900-1929,2615.84454409566,3.0,66.9,67.0,England and Wales: 1900-1929,SW1E,1996
{9F918224-EB1B-4E73-AC45-E6A25D185B4D},735000,1996-11-06 00:00,SW1E 6NP,T,N,F,16,,STAFFORD PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2987.80487804878,1996.0,1996-11-06,T,F,735000.0,SW1E 6NP,E09000033,{9F918224-EB1B-4E73-AC45-E6A25D185B4D},21871119.0,246.0,8.0,11.0,58.0,77.0,England and Wales: before 1900,2987.80487804878,8.0,246.0,58.0,England and Wales: before 1900,SW1E,1996
{AACAA838-09C9-495F-AC03-1A87344A867F},128800,1996-07-12 00:00,SW1E 6BS,F,N,L,40,FLAT 4,BUCKINGHAM GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2112.86089238845,1996.0,1996-07-12,F,L,128800.0,SW1E 6BS,E09000033,{AACAA838-09C9-495F-AC03-1A87344A867F},21858306.0,60.96,3.0,12.0,64.0,72.0,England and Wales: before 1900,2112.86089238845,3.0,60.96,64.0,England and Wales: before 1900,SW1E,1996
