ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{7D998AEC-2C84-4C7B-AC71-2EEF19736C26},490000,2000-03-15 00:00,SW1H 0HZ,F,N,L,ARTILLERY MANSIONS,FLAT 10,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3878.42330220041,2000.0,2000-03-15,F,L,490000.0,SW1H 0HZ,E09000033,{7D998AEC-2C84-4C7B-AC71-2EEF19736C26},21881913.0,126.34,4.0,11.0,71.0,73.0,England and Wales: before 1900,3878.42330220041,4.0,126.34,71.0,England and Wales: before 1900,SW1H
{AC53C25B-B851-48F6-BB55-285B9AD4A7F4},165000,2000-01-28 00:00,SW1H 0HZ,F,Y,L,ARTILLERY MANSIONS,FLAT 26,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4019.48842874543,2000.0,2000-01-28,F,L,165000.0,SW1H 0HZ,E09000033,{AC53C25B-B851-48F6-BB55-285B9AD4A7F4},21898469.0,41.05,1.0,12.0,81.0,83.0,England and Wales: before 1900,4019.48842874543,1.0,41.05,81.0,England and Wales: before 1900,SW1H
{7DD76F1C-25B8-4A4C-AF0F-272D4A5F91A9},107500,2000-08-08 00:00,SW1H 9HE,F,N,L,"VANDON COURT, 64",FLAT 28,PETTY FRANCE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3706.89655172414,2000.0,2000-08-08,F,L,107500.0,SW1H 9HE,E09000033,{7DD76F1C-25B8-4A4C-AF0F-272D4A5F91A9},21823003.0,29.0,1.0,11.0,70.0,76.0,England and Wales: 1930-1949,3706.89655172414,1.0,29.0,70.0,England and Wales: 1930-1949,SW1H
{0B88634E-F1C3-4631-8D24-24DFDC2B873E},340000,2000-03-29 00:00,SW1H 0HZ,F,N,L,ARTILLERY MANSIONS,FLAT 18,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,6731.34032864779,2000.0,2000-03-29,F,L,340000.0,SW1H 0HZ,E09000033,{0B88634E-F1C3-4631-8D24-24DFDC2B873E},21876428.0,50.51,2.0,11.0,64.0,66.0,England and Wales: before 1900,6731.34032864779,2.0,50.51,64.0,England and Wales: before 1900,SW1H
{6C325D8F-DE17-420E-B788-561042BE53A2},147500,2000-05-19 00:00,SW1H 9HE,F,N,L,"VANDON COURT, 64",FLAT 36,PETTY FRANCE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2973.79032258064,2000.0,2000-05-19,F,L,147500.0,SW1H 9HE,E09000033,{6C325D8F-DE17-420E-B788-561042BE53A2},21853196.0,49.6,2.0,11.0,80.0,82.0,England and Wales: 1930-1949,2973.79032258064,2.0,49.6,80.0,England and Wales: 1930-1949,SW1H
{DF20752C-540F-42C5-BE0C-2C88B20EC8B9},550000,2000-04-28 00:00,SW1H 0HZ,F,Y,L,ARTILLERY MANSIONS,FLAT 13,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4166.66666666667,2000.0,2000-04-28,F,L,550000.0,SW1H 0HZ,E09000033,{DF20752C-540F-42C5-BE0C-2C88B20EC8B9},21925116.0,132.0,4.0,11.0,83.0,83.0,England and Wales: 1930-1949,4166.66666666667,4.0,132.0,83.0,England and Wales: 1930-1949,SW1H
{CFB524F7-FB15-445B-91FB-B27F7374EFCD},400000,2000-02-25 00:00,SW1H 0HZ,F,Y,L,ARTILLERY MANSIONS,FLAT 31,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2597.4025974026,2000.0,2000-02-25,F,L,400000.0,SW1H 0HZ,E09000033,{CFB524F7-FB15-445B-91FB-B27F7374EFCD},21897538.0,154.0,5.0,11.0,68.0,70.0,England and Wales: 1900-1929,2597.4025974026,5.0,154.0,68.0,England and Wales: 1900-1929,SW1H
{FDF5E30F-B8AF-4E5B-B187-06C808D4D49D},175000,2000-10-16 00:00,SW1H 0AA,F,N,L,ALBANY COURT,FLAT 10,PALMER STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3125.0,2000.0,2000-10-16,F,L,175000.0,SW1H 0AA,E09000033,{FDF5E30F-B8AF-4E5B-B187-06C808D4D49D},21914905.0,56.0,2.0,11.0,44.0,50.0,England and Wales: 1950-1966,3125.0,2.0,56.0,44.0,England and Wales: 1950-1966,SW1H
{6690B3E5-CAD6-4FE6-81EB-1187144C91F2},760000,2000-08-25 00:00,SW1H 0HZ,F,Y,L,ARTILLERY MANSIONS,FLAT 47,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5100.6711409396,2000.0,2000-08-25,F,L,760000.0,SW1H 0HZ,E09000033,{6690B3E5-CAD6-4FE6-81EB-1187144C91F2},21868854.0,149.0,3.0,11.0,59.0,82.0,England and Wales: 1930-1949,5100.6711409396,3.0,149.0,59.0,England and Wales: 1930-1949,SW1H
{6332DB27-53B2-4E40-8065-0A67D76DB5A3},450000,2000-03-01 00:00,SW1H 0HZ,F,Y,L,ARTILLERY MANSIONS,FLAT 35,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4925.03009740615,2000.0,2000-03-01,F,L,450000.0,SW1H 0HZ,E09000033,{6332DB27-53B2-4E40-8065-0A67D76DB5A3},21817736.0,91.37,3.0,11.0,67.0,71.0,England and Wales: before 1900,4925.03009740615,3.0,91.37,67.0,England and Wales: before 1900,SW1H
{6BD0B352-7525-42DC-9D0C-AAE125E0EE7F},435000,2000-02-18 00:00,SW1H 0HZ,F,N,L,ARTILLERY MANSIONS,FLAT 11,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3883.92857142857,2000.0,2000-02-18,F,L,435000.0,SW1H 0HZ,E09000033,{6BD0B352-7525-42DC-9D0C-AAE125E0EE7F},21910291.0,112.0,3.0,11.0,78.0,82.0,England and Wales: 1996-2002,3883.92857142857,3.0,112.0,78.0,England and Wales: 1996-2002,SW1H
{69C3C8D3-981A-4F69-A64E-B728A34757C5},98000,2000-06-30 00:00,SW1H 9HF,F,N,L,"VANDON COURT, 64",FLAT 66,PETTY FRANCE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3163.33118140736,2000.0,2000-06-30,F,L,98000.0,SW1H 9HF,E09000033,{69C3C8D3-981A-4F69-A64E-B728A34757C5},21829881.0,30.98,1.0,12.0,57.0,58.0,England and Wales: 1930-1949,3163.33118140736,1.0,30.98,57.0,England and Wales: 1930-1949,SW1H
{F88D75F4-07BA-4AB7-83A1-3CD7804C5847},520000,2000-04-26 00:00,SW1H 0HZ,F,Y,L,ARTILLERY MANSIONS,FLAT 40,VICTORIA STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4094.48818897638,2000.0,2000-04-26,F,L,520000.0,SW1H 0HZ,E09000033,{F88D75F4-07BA-4AB7-83A1-3CD7804C5847},21817253.0,127.0,5.0,11.0,70.0,73.0,England and Wales: before 1900,4094.48818897638,5.0,127.0,70.0,England and Wales: before 1900,SW1H
