ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{A7718B76-E186-4C7B-AEF4-5595931A54AB},73500,1995-02-21 00:00,SW1H 0PX,F,N,L,CHRISTCHURCH HOUSE,FLAT 1,CAXTON STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1458.04403888117,1995.0,1995-02-21,F,L,73500.0,SW1H 0PX,E09000033,{A7718B76-E186-4C7B-AEF4-5595931A54AB},21899362.0,50.41,2.0,12.0,67.0,68.0,England and Wales: 1950-1966,1458.04403888117,2.0,50.41,67.0,England and Wales: 1950-1966,SW1H,1995
{8AB5BCF0-DC26-46F9-BD29-8ED1AB953488},55000,1995-03-31 00:00,SW1H 9HG,F,N,L,"VANDON COURT, 64",FLAT 79,PETTY FRANCE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2083.33333333333,1995.0,1995-03-31,F,L,55000.0,SW1H 9HG,E09000033,{8AB5BCF0-DC26-46F9-BD29-8ED1AB953488},21809569.0,26.4,1.0,12.0,81.0,82.0,England and Wales: 1930-1949,2083.33333333333,1.0,26.4,81.0,England and Wales: 1930-1949,SW1H,1995
{869991C5-1247-4324-A4C0-9677B086AFB6},60000,1995-06-30 00:00,SW1H 9HE,F,Y,L,"VANDON COURT, 64",FLAT 39,PETTY FRANCE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1764.70588235294,1995.0,1995-06-30,F,L,60000.0,SW1H 9HE,E09000033,{869991C5-1247-4324-A4C0-9677B086AFB6},21921844.0,34.0,2.0,11.0,73.0,81.0,England and Wales: 1900-1929,1764.70588235294,2.0,34.0,73.0,England and Wales: 1900-1929,SW1H,1995
{2A750B1B-3D6D-4D4F-85A6-6ED868D8AFD1},112500,1995-06-30 00:00,SW1H 0PX,F,N,L,CHRISTCHURCH HOUSE,FLAT 10,CAXTON STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1838.23529411765,1995.0,1995-06-30,F,L,112500.0,SW1H 0PX,E09000033,{2A750B1B-3D6D-4D4F-85A6-6ED868D8AFD1},21895988.0,61.2,2.0,12.0,58.0,73.0,England and Wales: 1950-1966,1838.23529411765,2.0,61.2,58.0,England and Wales: 1950-1966,SW1H,1995
{2A289E9E-BB98-CDC8-E050-A8C063054829},50000,1995-08-25 00:00,SW1H 9HE,F,N,L,"VANDON COURT, 64",FLAT 9,PETTY FRANCE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1612.90322580645,1995.0,1995-08-25,F,L,50000.0,SW1H 9HE,E09000033,{2A289E9E-BB98-CDC8-E050-A8C063054829},21863582.0,31.0,1.0,11.0,62.0,77.0,England and Wales: 1900-1929,1612.90322580645,1.0,31.0,62.0,England and Wales: 1900-1929,SW1H,1995
{F8238152-BDF4-4B47-A654-89289DDC9756},66250,1995-09-04 00:00,SW1H 9HE,F,N,L,"VANDON COURT, 64",FLAT 7,PETTY FRANCE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1424.7311827957,1995.0,1995-09-04,F,L,66250.0,SW1H 9HE,E09000033,{F8238152-BDF4-4B47-A654-89289DDC9756},21889166.0,46.5,2.0,12.0,63.0,65.0,England and Wales: 1900-1929,1424.7311827957,2.0,46.5,63.0,England and Wales: 1900-1929,SW1H,1995
{F801108E-A0C7-442B-8FCD-277479AC3419},70000,1995-11-17 00:00,SW1H 9HE,F,N,L,"VANDON COURT, 64",FLAT 2,PETTY FRANCE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2000.0,1995.0,1995-11-17,F,L,70000.0,SW1H 9HE,E09000033,{F801108E-A0C7-442B-8FCD-277479AC3419},21929822.0,35.0,2.0,11.0,69.0,76.0,England and Wales: 1930-1949,2000.0,2.0,35.0,69.0,England and Wales: 1930-1949,SW1H,1995
{843F5B3B-8ECE-4E28-8AE3-2331184B305E},110000,1996-03-20 00:00,SW1H 0PX,F,N,L,CHRISTCHURCH HOUSE,FLAT 17,CAXTON STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2244.89795918367,1996.0,1996-03-20,F,L,110000.0,SW1H 0PX,E09000033,{843F5B3B-8ECE-4E28-8AE3-2331184B305E},21873756.0,49.0,2.0,11.0,78.0,79.0,England and Wales: 1991-1995,2244.89795918367,2.0,49.0,78.0,England and Wales: 1991-1995,SW1H,1996
{A7CAF70E-B493-4BF1-A2F3-4CAF691811F5},57500,1996-06-10 00:00,SW1H 9HF,F,N,L,"VANDON COURT, 64",FLAT 69,PETTY FRANCE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2129.62962962963,1996.0,1996-06-10,F,L,57500.0,SW1H 9HF,E09000033,{A7CAF70E-B493-4BF1-A2F3-4CAF691811F5},21854304.0,27.0,1.0,11.0,76.0,81.0,England and Wales: 1930-1949,2129.62962962963,1.0,27.0,76.0,England and Wales: 1930-1949,SW1H,1996
{AC415DF3-9071-4520-93C9-F6118A118E20},55000,1996-09-12 00:00,SW1H 9HE,F,N,L,"VANDON COURT, 64",FLAT 38,PETTY FRANCE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1774.1935483871,1996.0,1996-09-12,F,L,55000.0,SW1H 9HE,E09000033,{AC415DF3-9071-4520-93C9-F6118A118E20},21822259.0,31.0,1.0,11.0,69.0,80.0,England and Wales: 1900-1929,1774.1935483871,1.0,31.0,69.0,England and Wales: 1900-1929,SW1H,1996
