ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{C8DB5A45-A5CE-45E8-B560-87475D501A30},252950,1995-11-06 00:00,SW1P 2TB,F,Y,L,ORMOND HOUSE,FLAT 50,MEDWAY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3581.3393742036,1995.0,1995-11-06,F,L,252950.0,SW1P 2TB,E09000033,{C8DB5A45-A5CE-45E8-B560-87475D501A30},21860879.0,70.63,3.0,12.0,83.0,83.0,England and Wales: 1991-1995,3581.3393742036,3.0,70.63,83.0,England and Wales: 1991-1995,SW1P,1995
{2A461BD4-AF66-463B-A032-4BCFAC1D07CF},257500,1995-12-12 00:00,SW1P 1NP,F,N,L,3D,,CARLISLE PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1713.46819270695,1995.0,1995-12-12,F,L,257500.0,SW1P 1NP,E09000033,{2A461BD4-AF66-463B-A032-4BCFAC1D07CF},21844175.0,150.28,5.0,11.0,64.0,72.0,England and Wales: before 1900,1713.46819270695,5.0,150.28,64.0,England and Wales: before 1900,SW1P,1995
{D9D5B4FF-A419-4FA9-9DB3-56882BACC1CC},130000,1995-07-14 00:00,SW1P 4RL,F,N,L,48,FLAT 7,MILLBANK,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2280.70175438596,1995.0,1995-07-14,F,L,130000.0,SW1P 4RL,E09000033,{D9D5B4FF-A419-4FA9-9DB3-56882BACC1CC},21805586.0,57.0,2.0,12.0,41.0,83.0,England and Wales: before 1900,2280.70175438596,2.0,57.0,41.0,England and Wales: before 1900,SW1P,1995
{ECFCF569-FECA-4D7D-BF6C-50D012196A2E},229950,1995-02-23 00:00,SW1P 2TA,F,Y,L,OCTAVIA HOUSE,FLAT 18,MEDWAY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3055.81395348837,1995.0,1995-02-23,F,L,229950.0,SW1P 2TA,E09000033,{ECFCF569-FECA-4D7D-BF6C-50D012196A2E},21902675.0,75.25,3.0,12.0,65.0,69.0,England and Wales: 1991-1995,3055.81395348837,3.0,75.25,65.0,England and Wales: 1991-1995,SW1P,1995
{40303302-8ACD-416D-AF22-45280EB8F113},247950,1995-10-26 00:00,SW1P 2TB,F,Y,L,ORMOND HOUSE,FLAT 48,MEDWAY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4025.16233766234,1995.0,1995-10-26,F,L,247950.0,SW1P 2TB,E09000033,{40303302-8ACD-416D-AF22-45280EB8F113},21878294.0,61.6,2.0,12.0,75.0,77.0,England and Wales: 1983-1990,4025.16233766234,2.0,61.6,75.0,England and Wales: 1983-1990,SW1P,1995
{E99F4D23-4196-4431-903C-50EE68C222B2},143000,1995-10-18 00:00,SW1P 2TB,F,Y,L,ORMOND HOUSE,FLAT 27,MEDWAY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3545.74758244483,1995.0,1995-10-18,F,L,143000.0,SW1P 2TB,E09000033,{E99F4D23-4196-4431-903C-50EE68C222B2},21806674.0,40.33,2.0,12.0,68.0,69.0,England and Wales: 1983-1990,3545.74758244483,2.0,40.33,68.0,England and Wales: 1983-1990,SW1P,1995
{5A130C95-C8A4-4B35-8A9A-772BE66492E9},229950,1995-10-18 00:00,SW1P 2TB,F,Y,L,ORMOND HOUSE,FLAT 23,MEDWAY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3322.97687861272,1995.0,1995-10-18,F,L,229950.0,SW1P 2TB,E09000033,{5A130C95-C8A4-4B35-8A9A-772BE66492E9},21837840.0,69.2,3.0,11.0,82.0,83.0,England and Wales: 1991-1995,3322.97687861272,3.0,69.2,82.0,England and Wales: 1991-1995,SW1P,1995
{0243BD4B-6308-4C1C-9ED5-99F95024E912},55000,1995-02-17 00:00,SW1P 4BQ,F,N,L,PROBYN HOUSE,FLAT 56,PAGE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1833.33333333333,1995.0,1995-02-17,F,L,55000.0,SW1P 4BQ,E09000033,{0243BD4B-6308-4C1C-9ED5-99F95024E912},21809461.0,30.0,1.0,11.0,69.0,75.0,England and Wales: 1900-1929,1833.33333333333,1.0,30.0,69.0,England and Wales: 1900-1929,SW1P,1995
{EF0D4C06-CF35-457F-847F-A1292467590B},160000,1995-09-27 00:00,SW1P 4RL,F,N,L,48,FLAT 3,MILLBANK,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2318.84057971014,1995.0,1995-09-27,F,L,160000.0,SW1P 4RL,E09000033,{EF0D4C06-CF35-457F-847F-A1292467590B},21865732.0,69.0,3.0,11.0,43.0,82.0,England and Wales: 1900-1929,2318.84057971014,3.0,69.0,43.0,England and Wales: 1900-1929,SW1P,1995
{42FC4BAD-0BF6-4C1C-BBC8-77743D02BC6A},75000,1995-08-04 00:00,SW1P 4JZ,F,N,L,MARSHAM COURT,FLAT 39,MARSHAM STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1785.71428571429,1995.0,1995-08-04,F,L,75000.0,SW1P 4JZ,E09000033,{42FC4BAD-0BF6-4C1C-BBC8-77743D02BC6A},21903057.0,42.0,1.0,11.0,79.0,82.0,England and Wales: 1930-1949,1785.71428571429,1.0,42.0,79.0,England and Wales: 1930-1949,SW1P,1995
