ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{073F529A-43B6-4C8E-A8CC-6B2DAB3A7E28},247000,2000-10-20 00:00,SW1V 2HP,F,N,L,18A,,ST GEORGES SQUARE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3087.5,2000.0,2000-10-20,F,L,247000.0,SW1V 2HP,E09000033,{073F529A-43B6-4C8E-A8CC-6B2DAB3A7E28},21863176.0,80.0,3.0,12.0,78.0,80.0,England and Wales: before 1900,3087.5,3.0,80.0,78.0,England and Wales: before 1900,SW1V
{C259FA8B-187C-42AD-B357-6B390B750B65},330000,2000-12-01 00:00,SW1V 2QT,F,N,L,"PRIORY HOUSE, 12",FLAT 1,RAMPAYNE STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4098.36065573771,2000.0,2000-12-01,F,L,330000.0,SW1V 2QT,E09000033,{C259FA8B-187C-42AD-B357-6B390B750B65},21897589.0,80.52,4.0,12.0,71.0,77.0,England and Wales: 1967-1975,4098.36065573771,4.0,80.52,71.0,England and Wales: 1967-1975,SW1V
{17A1AD15-7E6C-4FBD-AB52-9E0BE0805713},118000,2000-05-12 00:00,SW1V 1BP,F,N,L,CATHEDRAL MANSIONS,FLAT 7,VAUXHALL BRIDGE ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3933.33333333333,2000.0,2000-05-12,F,L,118000.0,SW1V 1BP,E09000033,{17A1AD15-7E6C-4FBD-AB52-9E0BE0805713},21880876.0,30.0,2.0,11.0,75.0,80.0,England and Wales: before 1900,3933.33333333333,2.0,30.0,75.0,England and Wales: before 1900,SW1V
{2D9AA024-B9CF-49E8-ACA9-9E22479E79BE},774947,2000-09-14 00:00,SW1V 3JY,F,N,L,"RIVER LODGE, 128",FLAT 2,GROSVENOR ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,6199.576,2000.0,2000-09-14,F,L,774947.0,SW1V 3JY,E09000033,{2D9AA024-B9CF-49E8-ACA9-9E22479E79BE},21830741.0,125.0,3.0,11.0,79.0,81.0,England and Wales: 1983-1990,6199.576,3.0,125.0,79.0,England and Wales: 1983-1990,SW1V
{BE251446-FBE3-4582-AF20-0FF1FDE5CAB6},220000,2000-05-15 00:00,SW1V 2DN,F,N,L,"WEBSTER HOUSE, 26",FLAT 1,GLOUCESTER STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3740.86039789151,2000.0,2000-05-15,F,L,220000.0,SW1V 2DN,E09000033,{BE251446-FBE3-4582-AF20-0FF1FDE5CAB6},21827116.0,58.81,3.0,12.0,43.0,66.0,England and Wales: before 1900,3740.86039789151,3.0,58.81,43.0,England and Wales: before 1900,SW1V
{882EE5F6-5E41-4D11-9D91-6451E143BA9E},127000,2000-07-28 00:00,SW1V 3DS,F,N,L,BRAMWELL HOUSE,FLAT 26,CHURCHILL GARDENS,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1867.64705882353,2000.0,2000-07-28,F,L,127000.0,SW1V 3DS,E09000033,{882EE5F6-5E41-4D11-9D91-6451E143BA9E},21918946.0,68.0,3.0,11.0,78.0,78.0,England and Wales: 1950-1966,1867.64705882353,3.0,68.0,78.0,England and Wales: 1950-1966,SW1V
{3FA9A01A-2F53-49AF-8387-A2271B1BFEAB},370000,2000-10-31 00:00,SW1V 2NY,F,N,L,41 - 43,FLAT 1,MORETON STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4512.19512195122,2000.0,2000-10-31,F,L,370000.0,SW1V 2NY,E09000033,{3FA9A01A-2F53-49AF-8387-A2271B1BFEAB},21915744.0,82.0,3.0,11.0,64.0,79.0,England and Wales: before 1900,4512.19512195122,3.0,82.0,64.0,England and Wales: before 1900,SW1V
{D7EEF93F-B4EB-4D9A-9128-4A4706B9E8E1},126000,2000-02-25 00:00,SW1V 2TQ,F,N,L,"LONGLEAT HOUSE, 18",FLAT 103,RAMPAYNE STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3073.17073170732,2000.0,2000-02-25,F,L,126000.0,SW1V 2TQ,E09000033,{D7EEF93F-B4EB-4D9A-9128-4A4706B9E8E1},21864818.0,41.0,1.0,12.0,60.0,71.0,England and Wales: 1976-1982,3073.17073170732,1.0,41.0,60.0,England and Wales: 1976-1982,SW1V
{92147995-B691-43AD-9C85-9B186CE4A80C},210000,2000-05-12 00:00,SW1V 4DB,F,Y,L,73,FLAT 2,ST GEORGES DRIVE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4772.72727272727,2000.0,2000-05-12,F,L,210000.0,SW1V 4DB,E09000033,{92147995-B691-43AD-9C85-9B186CE4A80C},21845168.0,44.0,2.0,11.0,72.0,79.0,England and Wales: before 1900,4772.72727272727,2.0,44.0,72.0,England and Wales: before 1900,SW1V
{614CC8A3-2B51-472A-8110-9EAFA5951401},774947,2000-09-14 00:00,SW1V 3JY,F,N,L,"RIVER LODGE, 128",FLAT 4,GROSVENOR ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,6199.576,2000.0,2000-09-14,F,L,774947.0,SW1V 3JY,E09000033,{614CC8A3-2B51-472A-8110-9EAFA5951401},21890914.0,125.0,4.0,11.0,77.0,84.0,England and Wales: 1976-1982,6199.576,4.0,125.0,77.0,England and Wales: 1976-1982,SW1V
