ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{80F2F6A6-816D-451D-9DC5-4D2B1B4EAC92},52000,1995-06-16 00:00,SW1W 9QJ,F,N,L,SEMLEY HOUSE,FLAT 37,SEMLEY PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,712.328767123288,1995.0,1995-06-16,F,L,52000.0,SW1W 9QJ,E09000033,{80F2F6A6-816D-451D-9DC5-4D2B1B4EAC92},21837434.0,73.0,3.0,11.0,75.0,76.0,England and Wales: 1967-1975,712.328767123288,3.0,73.0,75.0,England and Wales: 1967-1975,SW1W,1995
{8FB680E7-0442-4952-8DFD-3DF8D16F29DB},705000,1995-12-22 00:00,SW1W 9EP,T,Y,L,4A,,BURTON MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3884.51154333572,1995.0,1995-12-22,T,L,705000.0,SW1W 9EP,E09000033,{8FB680E7-0442-4952-8DFD-3DF8D16F29DB},21891384.0,181.49,6.0,11.0,43.0,50.0,England and Wales: 1900-1929,3884.51154333572,6.0,181.49,43.0,England and Wales: 1900-1929,SW1W,1995
{191F5A7E-C0C5-490C-AB06-7AE31B0708F8},300000,1995-03-14 00:00,SW1W 0LN,T,N,L,30,,LOWER BELGRAVE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,864.553314121037,1995.0,1995-03-14,T,L,300000.0,SW1W 0LN,E09000033,{191F5A7E-C0C5-490C-AB06-7AE31B0708F8},21836505.0,347.0,13.0,11.0,69.0,79.0,England and Wales: before 1900,864.553314121037,13.0,347.0,69.0,England and Wales: before 1900,SW1W,1995
{6AAFEB4B-1D87-4DCF-9ECD-551EB12C8E5F},52500,1995-03-22 00:00,SW1W 8SL,F,N,L,BRIDGE HOUSE,FLAT 14,EBURY BRIDGE ROAD,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1009.61538461538,1995.0,1995-03-22,F,L,52500.0,SW1W 8SL,E09000033,{6AAFEB4B-1D87-4DCF-9ECD-551EB12C8E5F},21852425.0,52.0,3.0,11.0,51.0,64.0,England and Wales: 1900-1929,1009.61538461538,3.0,52.0,51.0,England and Wales: 1900-1929,SW1W,1995
{D13A6753-0D8B-445A-938F-C0F3926B511F},282500,1995-06-08 00:00,SW1W 8EU,T,N,L,10,,EATON TERRACE MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5515.42366263178,1995.0,1995-06-08,T,L,282500.0,SW1W 8EU,E09000033,{D13A6753-0D8B-445A-938F-C0F3926B511F},21900230.0,51.22,2.0,12.0,38.0,52.0,England and Wales: before 1900,5515.42366263178,2.0,51.22,38.0,England and Wales: before 1900,SW1W,1995
{65F3EFEB-7175-4AF4-BC1A-CE8274C74991},375000,1995-12-14 00:00,SW1W 8HF,T,N,L,89,,BOURNE STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,4359.45129039758,1995.0,1995-12-14,T,L,375000.0,SW1W 8HF,E09000020,{65F3EFEB-7175-4AF4-BC1A-CE8274C74991},20379684.0,86.02,3.0,11.0,64.0,68.0,England and Wales: 1900-1929,4359.45129039758,3.0,86.02,64.0,England and Wales: 1900-1929,SW1W,1995
{39C4D96F-9EAB-4E7F-A7C5-CC4E88657CDE},375000,1995-09-15 00:00,SW1W 8JD,T,N,L,59,,BOURNE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3504.67289719626,1995.0,1995-09-15,T,L,375000.0,SW1W 8JD,E09000033,{39C4D96F-9EAB-4E7F-A7C5-CC4E88657CDE},21826964.0,107.0,5.0,11.0,63.0,88.0,England and Wales: before 1900,3504.67289719626,5.0,107.0,63.0,England and Wales: before 1900,SW1W,1995
{991E754D-3B44-4B48-9375-D93D0AF10BF2},227500,1995-03-14 00:00,SW1W 8PZ,T,Y,L,28,,EBURY BRIDGE ROAD,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2165.84158415842,1995.0,1995-03-14,T,L,227500.0,SW1W 8PZ,E09000033,{991E754D-3B44-4B48-9375-D93D0AF10BF2},21862056.0,105.04,5.0,12.0,53.0,61.0,England and Wales: before 1900,2165.84158415842,5.0,105.04,53.0,England and Wales: before 1900,SW1W,1995
{9966F67F-BCA6-43A7-B7DD-4FE9F2BA7184},350000,1995-02-10 00:00,SW1W 9DH,F,N,L,33,FLAT H,EATON SQUARE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4794.52054794521,1995.0,1995-02-10,F,L,350000.0,SW1W 9DH,E09000033,{9966F67F-BCA6-43A7-B7DD-4FE9F2BA7184},21859186.0,73.0,2.0,11.0,55.0,74.0,England and Wales: before 1900,4794.52054794521,2.0,73.0,55.0,England and Wales: before 1900,SW1W,1995
{448C4FD6-10B3-434B-B2EE-A66E1E1A8627},181500,1995-10-25 00:00,SW1W 8BZ,F,N,L,"WEDDERBURN HOUSE, 95",FLAT 4,LOWER SLOANE STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,1983.60655737705,1995.0,1995-10-25,F,L,181500.0,SW1W 8BZ,E09000020,{448C4FD6-10B3-434B-B2EE-A66E1E1A8627},20429104.0,91.5,3.0,12.0,68.0,70.0,England and Wales: 1950-1966,1983.60655737705,3.0,91.5,68.0,England and Wales: 1950-1966,SW1W,1995
{686E6ACE-0F5D-4988-BBD6-D8758BF32A47},74000,1995-04-13 00:00,SW1W 8QY,F,N,L,CHEYLESMORE HOUSE,FLAT 16,EBURY BRIDGE ROAD,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,891.566265060241,1995.0,1995-04-13,F,L,74000.0,SW1W 8QY,E09000033,{686E6ACE-0F5D-4988-BBD6-D8758BF32A47},21831353.0,83.0,3.0,11.0,70.0,84.0,England and Wales: 1900-1929,891.566265060241,3.0,83.0,70.0,England and Wales: 1900-1929,SW1W,1995
{A07D3532-7C9C-4C99-9389-0CD559E72830},80000,1995-09-20 00:00,SW1W 8HD,F,N,L,20,FLAT 2,CLIVEDEN PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2002.002002002,1995.0,1995-09-20,F,L,80000.0,SW1W 8HD,E09000020,{A07D3532-7C9C-4C99-9389-0CD559E72830},20438000.0,39.96,2.0,12.0,27.0,27.0,England and Wales: before 1900,2002.002002002,2.0,39.96,27.0,England and Wales: before 1900,SW1W,1995
{1CF2E540-61B4-4BAC-BB8A-05C013D0EBBC},120000,1995-01-20 00:00,SW1W 9DF,F,N,L,24A,,EATON SQUARE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,348.837209302326,1995.0,1995-01-20,F,L,120000.0,SW1W 9DF,E09000033,{1CF2E540-61B4-4BAC-BB8A-05C013D0EBBC},21824177.0,344.0,6.0,11.0,45.0,72.0,England and Wales: before 1900,348.837209302326,6.0,344.0,45.0,England and Wales: before 1900,SW1W,1995
{A85B8FEF-775D-498E-8602-DB7D1AF649F1},58000,1995-05-18 00:00,SW1W 8DD,F,N,L,"BRISTOL HOUSE, 67",FLAT 17,LOWER SLOANE STREET,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2636.36363636364,1995.0,1995-05-18,F,L,58000.0,SW1W 8DD,E09000020,{A85B8FEF-775D-498E-8602-DB7D1AF649F1},20463716.0,22.0,1.0,11.0,63.0,71.0,England and Wales: 1976-1982,2636.36363636364,1.0,22.0,63.0,England and Wales: 1976-1982,SW1W,1995
{819860EB-D991-4336-9180-0CE8596A2D31},205000,1995-12-04 00:00,SW1W 8HD,F,N,L,20,FLAT 3,CLIVEDEN PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,4361.70212765957,1995.0,1995-12-04,F,L,205000.0,SW1W 8HD,E09000020,{819860EB-D991-4336-9180-0CE8596A2D31},20419547.0,47.0,4.0,12.0,52.0,59.0,England and Wales: before 1900,4361.70212765957,4.0,47.0,52.0,England and Wales: before 1900,SW1W,1995
{8F370607-E924-4241-A5CD-0CE981A12337},61000,1995-07-28 00:00,SW1W 8DD,F,N,L,"BRISTOL HOUSE, 67",FLAT 21,LOWER SLOANE STREET,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,1718.30985915493,1995.0,1995-07-28,F,L,61000.0,SW1W 8DD,E09000020,{8F370607-E924-4241-A5CD-0CE981A12337},20402419.0,35.5,1.0,12.0,61.0,71.0,England and Wales: 1950-1966,1718.30985915493,1.0,35.5,61.0,England and Wales: 1950-1966,SW1W,1995
