ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{7BB87919-7D21-4097-9726-418847077704},570000,1995-12-11 00:00,SW1X 0HU,F,N,L,23C,,CADOGAN SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2850.0,1995.0,1995-12-11,F,L,570000.0,SW1X 0HU,E09000020,{7BB87919-7D21-4097-9726-418847077704},20410461.0,200.0,6.0,11.0,60.0,76.0,England and Wales: before 1900,2850.0,6.0,200.0,60.0,England and Wales: before 1900,SW1X,1995
{B1E45359-74CA-4844-9B99-87740858BB55},212500,1995-01-06 00:00,SW1X 8DW,F,N,L,4,FLAT 8,LYALL STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1180.55555555556,1995.0,1995-01-06,F,L,212500.0,SW1X 8DW,E09000033,{B1E45359-74CA-4844-9B99-87740858BB55},21835231.0,180.0,4.0,12.0,80.0,83.0,England and Wales: 2007 onwards,1180.55555555556,4.0,180.0,80.0,England and Wales: 2007 onwards,SW1X,1995
{77B174DC-B7D7-49A1-878C-7A72730E9A30},875000,1995-01-13 00:00,SW1X 0LJ,T,N,F,10,FLAT 6,HANS CRESCENT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,9178.64260988146,1995.0,1995-01-13,T,F,875000.0,SW1X 0LJ,E09000020,{77B174DC-B7D7-49A1-878C-7A72730E9A30},20389986.0,95.33,4.0,11.0,80.0,82.0,England and Wales: 1996-2002,9178.64260988146,4.0,95.33,80.0,England and Wales: 1996-2002,SW1X,1995
{5A616A34-4723-493E-B911-9250D563EBED},650000,1995-06-05 00:00,SW1X 7DE,T,N,F,3,,HEADFORT PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4011.3552209331,1995.0,1995-06-05,T,F,650000.0,SW1X 7DE,E09000033,{5A616A34-4723-493E-B911-9250D563EBED},21871317.0,162.04,5.0,11.0,38.0,52.0,England and Wales: before 1900,4011.3552209331,5.0,162.04,38.0,England and Wales: before 1900,SW1X,1995
{ED397269-4A8D-4927-8C4A-4DD8BD8BC209},1550000,1995-10-13 00:00,SW1X 9HA,F,N,L,10,FLAT 15,LOWNDES SQUARE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5183.94648829431,1995.0,1995-10-13,F,L,1550000.0,SW1X 9HA,E09000033,{ED397269-4A8D-4927-8C4A-4DD8BD8BC209},21938949.0,299.0,9.0,11.0,87.0,88.0,England and Wales: 1930-1949,5183.94648829431,9.0,299.0,87.0,England and Wales: 1930-1949,SW1X,1995
{684F2E9D-1F0F-4647-BEE4-99EB7399E648},317500,1995-06-02 00:00,SW1X 9DX,T,N,L,12,,CADOGAN LANE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,3877.62579384465,1995.0,1995-06-02,T,L,317500.0,SW1X 9DX,E09000020,{684F2E9D-1F0F-4647-BEE4-99EB7399E648},20415142.0,81.88,3.0,12.0,58.0,60.0,England and Wales: 1900-1929,3877.62579384465,3.0,81.88,58.0,England and Wales: 1900-1929,SW1X,1995
{58B6A761-F7BB-431C-9F6C-C81A03F6180E},550000,1995-02-20 00:00,SW1X 8AS,T,N,L,43,,EATON MEWS NORTH,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2272.72727272727,1995.0,1995-02-20,T,L,550000.0,SW1X 8AS,E09000033,{58B6A761-F7BB-431C-9F6C-C81A03F6180E},21861537.0,242.0,6.0,12.0,34.0,63.0,England and Wales: before 1900,2272.72727272727,6.0,242.0,34.0,England and Wales: before 1900,SW1X,1995
{85E9AB5D-6669-412D-BEB7-31CD8C545F39},398299,1995-01-24 00:00,SW1X 8DE,F,N,L,45,FLAT 3,EATON PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3444.30127983397,1995.0,1995-01-24,F,L,398299.0,SW1X 8DE,E09000033,{85E9AB5D-6669-412D-BEB7-31CD8C545F39},21841551.0,115.64,4.0,12.0,68.0,72.0,England and Wales: before 1900,3444.30127983397,4.0,115.64,68.0,England and Wales: before 1900,SW1X,1995
{686E0DED-05D0-4EBB-AD4E-D574BFA8630C},164850,1995-04-13 00:00,SW1X 0AD,F,N,L,46,FLAT 5,PONT STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,1938.04373383494,1995.0,1995-04-13,F,L,164850.0,SW1X 0AD,E09000020,{686E0DED-05D0-4EBB-AD4E-D574BFA8630C},20389364.0,85.06,3.0,12.0,51.0,54.0,England and Wales: 1900-1929,1938.04373383494,3.0,85.06,51.0,England and Wales: 1900-1929,SW1X,1995
{DD4DECB7-8E75-49CE-A2FF-C141FFEFE3AE},185000,1995-01-27 00:00,SW1X 0EP,F,N,L,18,FLAT 3,HANS PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,1691.97000182916,1995.0,1995-01-27,F,L,185000.0,SW1X 0EP,E09000020,{DD4DECB7-8E75-49CE-A2FF-C141FFEFE3AE},20402447.0,109.34,3.0,12.0,65.0,74.0,England and Wales: before 1900,1691.97000182916,3.0,109.34,65.0,England and Wales: before 1900,SW1X,1995
