ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{2A289E9E-EA61-CDC8-E050-A8C063054829},30500,1996-10-17 00:00,SW2 3UD,F,N,L,CHRISTCHURCH HOUSE,FLAT 93,CHRISTCHURCH ROAD,,LONDON,LAMBETH,GREATER LONDON,554.545454545455,1996.0,1996-10-17,F,L,30500.0,SW2 3UD,E09000022,{2A289E9E-EA61-CDC8-E050-A8C063054829},20677098.0,55.0,3.0,11.0,70.0,78.0,England and Wales: 1930-1949,554.545454545455,3.0,55.0,70.0,England and Wales: 1930-1949,SW2
{2A289E9E-98F2-CDC8-E050-A8C063054829},15000,1996-04-19 00:00,SW2 4SU,F,N,L,PULLMAN COURT,FLAT 115,STREATHAM HILL,,LONDON,LAMBETH,GREATER LONDON,348.837209302326,1996.0,1996-04-19,F,L,15000.0,SW2 4SU,E09000022,{2A289E9E-98F2-CDC8-E050-A8C063054829},20567089.0,43.0,3.0,11.0,69.0,84.0,England and Wales: 1930-1949,348.837209302326,3.0,43.0,69.0,England and Wales: 1930-1949,SW2
{2A289E9E-A49C-CDC8-E050-A8C063054829},30000,1996-07-16 00:00,SW2 1HF,F,Y,L,244,FLAT 2,BRIXTON HILL,,LONDON,LAMBETH,GREATER LONDON,379.746835443038,1996.0,1996-07-16,F,L,30000.0,SW2 1HF,E09000022,{2A289E9E-A49C-CDC8-E050-A8C063054829},20595322.0,79.0,4.0,11.0,66.0,73.0,England and Wales: 1900-1929,379.746835443038,4.0,79.0,66.0,England and Wales: 1900-1929,SW2
{2A289E9E-B2FF-CDC8-E050-A8C063054829},18000,1996-09-06 00:00,SW2 5DE,F,N,L,53,,GLANVILLE ROAD,,LONDON,LAMBETH,GREATER LONDON,400.0,1996.0,1996-09-06,F,L,18000.0,SW2 5DE,E09000022,{2A289E9E-B2FF-CDC8-E050-A8C063054829},20553602.0,45.0,2.0,12.0,74.0,78.0,England and Wales: 1950-1966,400.0,2.0,45.0,74.0,England and Wales: 1950-1966,SW2
{2A289E9F-197B-CDC8-E050-A8C063054829},26250,1996-05-07 00:00,SW2 4LY,F,N,L,TILSON HOUSE,FLAT 36,TILSON GARDENS,,LONDON,LAMBETH,GREATER LONDON,267.857142857143,1996.0,1996-05-07,F,L,26250.0,SW2 4LY,E09000022,{2A289E9F-197B-CDC8-E050-A8C063054829},20536950.0,98.0,4.0,11.0,74.0,78.0,England and Wales: 1930-1949,267.857142857143,4.0,98.0,74.0,England and Wales: 1930-1949,SW2
{AE2A3CFB-2FF7-46F7-8066-89BB6179ADA3},132100,1996-08-05 00:00,SW2 5JA,T,N,F,126,,BRANKSOME ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,1065.32258064516,1996.0,1996-08-05,T,F,132100.0,SW2 5JA,E09000022,{AE2A3CFB-2FF7-46F7-8066-89BB6179ADA3},20541378.0,124.0,7.0,11.0,50.0,78.0,England and Wales: before 1900,1065.32258064516,7.0,124.0,50.0,England and Wales: before 1900,SW2
{2A289E9E-8B0B-CDC8-E050-A8C063054829},26000,1996-05-14 00:00,SW2 1QZ,F,N,L,BRIXTON HILL COURT,FLAT 109,BRIXTON HILL,,LONDON,LAMBETH,GREATER LONDON,520.0,1996.0,1996-05-14,F,L,26000.0,SW2 1QZ,E09000022,{2A289E9E-8B0B-CDC8-E050-A8C063054829},20575717.0,50.0,3.0,11.0,72.0,77.0,England and Wales: 1930-1949,520.0,3.0,50.0,72.0,England and Wales: 1930-1949,SW2
{2A289E9E-A4A9-CDC8-E050-A8C063054829},46000,1996-04-30 00:00,SW2 4JJ,F,Y,L,86A,,KINGSWOOD ROAD,,LONDON,LAMBETH,GREATER LONDON,807.017543859649,1996.0,1996-04-30,F,L,46000.0,SW2 4JJ,E09000022,{2A289E9E-A4A9-CDC8-E050-A8C063054829},20540814.0,57.0,3.0,11.0,67.0,78.0,England and Wales: 1900-1929,807.017543859649,3.0,57.0,67.0,England and Wales: 1900-1929,SW2
{2A289E9E-A4B5-CDC8-E050-A8C063054829},35000,1996-06-10 00:00,SW2 4NT,F,Y,L,68,FLAT D,KILLIESER AVENUE,,LONDON,LAMBETH,GREATER LONDON,801.282051282051,1996.0,1996-06-10,F,L,35000.0,SW2 4NT,E09000022,{2A289E9E-A4B5-CDC8-E050-A8C063054829},20622354.0,43.68,2.0,11.0,61.0,69.0,England and Wales: before 1900,801.282051282051,2.0,43.68,61.0,England and Wales: before 1900,SW2
{FC73A8CD-B3C0-4D2B-AFD9-B3640A635112},192000,1996-01-29 00:00,SW2 5HD,D,N,F,18,,ST SAVIOURS ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,671.328671328671,1996.0,1996-01-29,D,F,192000.0,SW2 5HD,E09000022,{FC73A8CD-B3C0-4D2B-AFD9-B3640A635112},20615268.0,286.0,10.0,11.0,40.0,71.0,England and Wales: 1900-1929,671.328671328671,10.0,286.0,40.0,England and Wales: 1900-1929,SW2
{DA9026B4-8CED-450D-887F-B01A48C130F6},122250,1996-11-29 00:00,SW2 5RB,T,N,F,71,,CORRANCE ROAD,LONDON,LONDON,LAMBETH,GREATER LONDON,885.869565217391,1996.0,1996-11-29,T,F,122250.0,SW2 5RB,E09000022,{DA9026B4-8CED-450D-887F-B01A48C130F6},20543973.0,138.0,7.0,11.0,56.0,57.0,England and Wales: 1900-1929,885.869565217391,7.0,138.0,56.0,England and Wales: 1900-1929,SW2
{2A289E9F-5688-CDC8-E050-A8C063054829},37950,1996-03-29 00:00,SW2 2QG,F,N,L,35,,HARDEL WALK,,LONDON,LAMBETH,GREATER LONDON,790.625,1996.0,1996-03-29,F,L,37950.0,SW2 2QG,E09000022,{2A289E9F-5688-CDC8-E050-A8C063054829},20577127.0,48.0,3.0,11.0,60.0,81.0,England and Wales: 1967-1975,790.625,3.0,48.0,60.0,England and Wales: 1967-1975,SW2
