ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{A81C9205-9B37-4EC0-8062-49098E7FAFEB},180000,1995-01-03,SW3 4JS,F,,L,"OSCAR COURT, 17 - 19",FLAT D,TITE STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2600.40450736781,2.0,69.22,56.0,1900.0,SW3,1995,17464,1,Sloane Square,0.744718,70000,6,5,22.8665366846944,4027.442502894398
{DBCD5B52-4776-4EE8-A62E-90EDF290B5D3},95000,1995-01-03,SW3 3BG,F,,L,NELL GWYNN HOUSE,FLAT 737,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2800.70754716981,2.0,33.92,81.0,1929.0,SW3,1995,11753,1,Sloane Square,0.584078,58800,4,6a,30.2750622339181,4027.442502894398
{4BE83694-4592-4D74-94E2-606C84A16F71},143000,1995-01-04,SW3 4DR,F,,L,"TEDWORTH COURT, 15 - 17",FLAT 2,TEDWORTH SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2423.72881355932,3.0,59.0,69.0,1966.0,SW3,1995,17464,1,Sloane Square,0.708406,70000,6,5,22.8665366846944,4027.442502894398
{7288D2C1-D59A-40BD-B74C-8E9A7200E21A},75000,1995-01-04,SW3 3AX,F,,L,NELL GWYNN HOUSE,FLAT 139,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2854.96764370004,1.0,26.27,81.0,1949.0,SW3,1995,11753,1,Sloane Square,0.584078,58800,4,6a,30.2750622339181,4027.442502894398
{F1A2381C-6D97-496B-8749-B8888D863FFB},285000,1995-01-06,SW3 2DG,F,,L,16,FLAT 6,EGERTON GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,4071.42857142857,3.0,70.0,59.0,1900.0,SW3,1995,23418,1,South Kensington,0.4191,58800,8,6a,30.0339704903788,4027.442502894398
{8C76F763-69EB-48E5-B876-3B45BE79B1BD},76000,1995-01-06,SW3 3UB,F,,L,BRITTEN HOUSE,FLAT 8,BRITTEN STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,974.358974358974,3.0,78.0,40.0,1949.0,SW3,1995,25957,1,South Kensington,0.684652,73900,8,6a,35.5850617206435,4027.442502894398
{97F5F504-98A1-486D-89F8-3EA5D20C5C82},125000,1995-01-06,SW3 2PT,F,,L,35 - 36,FLAT 5,HALSEY STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2118.64406779661,4.0,59.0,69.0,1900.0,SW3,1995,22839,1,Sloane Square,0.48615,85700,7,6a,26.6068998958262,4027.442502894398
{2A289E9E-3770-CDC8-E050-A8C063054829},32250,1995-01-06,SW3 1AX,F,,L,"JEFFERSON HOUSE, 11",FLAT 22,BASIL STREET,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2150.0,1.0,15.0,72.0,1900.0,SW3,1995,21429,1,Knightsbridge,0.17137,85700,7,6a,29.517325710171,4027.442502894398
{BFACD23D-347C-4CA3-9C83-AE0C6806B12C},1750000,1995-01-06,SW3 6EB,T,,L,155,,OLD CHURCH STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,5177.51479289941,12.0,338.0,62.0,1900.0,SW3,1995,17632,1,South Kensington,0.682146,73900,6,6a,35.9415189650456,4027.442502894398
{A2BEE8F3-CFE8-4EEB-8078-28C2607C0A47},230000,1995-01-06,SW3 4SY,F,,L,BURTON COURT,FLAT 61,FRANKLINS ROW,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,3285.71428571429,3.0,70.0,77.0,1929.0,SW3,1995,23591,1,Sloane Square,0.355018,70000,8,6a,29.2284018122998,4027.442502894398
{0B7F4E1F-6A92-44F3-97B4-075950892C96},118000,1995-01-06,SW3 6PP,F,,L,10,SECOND FLOOR FLAT,SYDNEY STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2398.37398373984,2.0,49.2,51.0,1900.0,SW3,1995,25957,1,South Kensington,0.361648,73900,8,6b,45.0430131805989,4027.442502894398
{F409006A-F058-4E36-B0B1-272E7D981A29},228000,1995-01-09,SW3 6QB,T,,F,30,,BURY WALK,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,2213.67820109519,5.0,102.996,69.0,0.0,SW3,1995,25957,1,South Kensington,0.398315,73900,8,6b,44.4617619947077,4027.442502894398
{D5D3F5C6-D189-45AC-A5C0-EF1263DA5402},117500,1995-01-10,SW3 5RX,F,,L,SWAN COURT,FLAT 9,CHELSEA MANOR STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,1871.01910828025,2.0,62.8,54.0,1949.0,SW3,1995,13213,1,South Kensington,0.896684,70000,5,4,16.3096250792488,4027.442502894398
{1DA20316-31F9-4C51-AAE0-2A0FD4ED9155},485000,1995-01-10,SW3 2HT,T,,F,59,,WALTON STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,3699.46605644546,5.0,131.1,52.0,1900.0,SW3,1995,22839,1,South Kensington,0.503278,85700,7,6a,27.9374986020774,4027.442502894398
