ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{05553B94-4667-4355-90F3-772CEE764E60},125000,1999-09-02 00:00,TN16 3DD,S,N,F,28,,ARTHUR ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1689.18918918919,1999.0,1999-09-02,S,F,125000.0,TN16 3DD,E09000006,{05553B94-4667-4355-90F3-772CEE764E60},18942728.0,74.0,2.0,11.0,36.0,85.0,England and Wales: 1950-1966,1689.18918918919,2.0,74.0,36.0,England and Wales: 1950-1966,TN16
{CA82A0F4-E7DC-4BE1-8772-F28601613DBF},59000,1999-09-08 00:00,TN16 3JW,F,N,L,9,,MAPLE LEAF CLOSE,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1475.0,1999.0,1999-09-08,F,L,59000.0,TN16 3JW,E09000006,{CA82A0F4-E7DC-4BE1-8772-F28601613DBF},18945169.0,40.0,2.0,11.0,78.0,81.0,England and Wales: 1996-2002,1475.0,2.0,40.0,78.0,England and Wales: 1996-2002,TN16
{47AEBCCC-8B7D-4CEA-AF9D-7B0CC9754E47},107500,1999-10-21 00:00,TN16 3HR,D,N,F,FERNLEA,,ST WINIFREDS ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,716.666666666667,1999.0,1999-10-21,D,F,107500.0,TN16 3HR,E09000006,{47AEBCCC-8B7D-4CEA-AF9D-7B0CC9754E47},18960597.0,150.0,7.0,12.0,70.0,81.0,England and Wales: 1996-2002,716.666666666667,7.0,150.0,70.0,England and Wales: 1996-2002,TN16
{C6118D37-05FA-49D0-9B76-FD75C1172218},108000,1999-06-04 00:00,TN16 2NP,T,N,F,49,,LUSTED HALL LANE,TATSFIELD,WESTERHAM,BROMLEY,GREATER LONDON,1301.20481927711,1999.0,1999-06-04,T,F,108000.0,TN16 2NP,E09000006,{C6118D37-05FA-49D0-9B76-FD75C1172218},18893746.0,83.0,3.0,11.0,65.0,88.0,England and Wales: 1967-1975,1301.20481927711,3.0,83.0,65.0,England and Wales: 1967-1975,TN16
{C1E20A63-7921-4FAF-9F99-709F076B0A7D},75000,1999-09-21 00:00,TN16 3JY,F,N,L,225,FLAT 3,MAIN ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1283.58719835701,1999.0,1999-09-21,F,L,75000.0,TN16 3JY,E09000006,{C1E20A63-7921-4FAF-9F99-709F076B0A7D},18872501.0,58.43,3.0,11.0,72.0,79.0,England and Wales: 1983-1990,1283.58719835701,3.0,58.43,72.0,England and Wales: 1983-1990,TN16
{B2DD7BEC-86A9-42FF-B140-EA47B3424912},59000,1999-05-06 00:00,TN16 3JW,F,N,L,10,,MAPLE LEAF CLOSE,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1493.67088607595,1999.0,1999-05-06,F,L,59000.0,TN16 3JW,E09000006,{B2DD7BEC-86A9-42FF-B140-EA47B3424912},18915590.0,39.5,2.0,12.0,84.0,86.0,England and Wales: 1983-1990,1493.67088607595,2.0,39.5,84.0,England and Wales: 1983-1990,TN16
{30C0EDEE-C06F-4BB9-B90E-77C82C28E767},78500,1999-10-04 00:00,TN16 3SP,F,N,L,25,,ACER ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1207.69230769231,1999.0,1999-10-04,F,L,78500.0,TN16 3SP,E09000006,{30C0EDEE-C06F-4BB9-B90E-77C82C28E767},18884799.0,65.0,3.0,11.0,74.0,84.0,England and Wales: 1967-1975,1207.69230769231,3.0,65.0,74.0,England and Wales: 1967-1975,TN16
{A6A23EDC-C422-4533-A77A-37D2EAA883E1},78000,1999-05-19 00:00,TN16 3JY,F,N,L,225,FLAT 1,MAIN ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1222.57053291536,1999.0,1999-05-19,F,L,78000.0,TN16 3JY,E09000006,{A6A23EDC-C422-4533-A77A-37D2EAA883E1},18892543.0,63.8,3.0,12.0,74.0,78.0,England and Wales: 1983-1990,1222.57053291536,3.0,63.8,74.0,England and Wales: 1983-1990,TN16
{E7BD2E44-3C3B-4F02-B56A-EA5E26EDC7D0},60000,1999-07-09 00:00,TN16 3JW,F,N,L,6,,MAPLE LEAF CLOSE,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1538.46153846154,1999.0,1999-07-09,F,L,60000.0,TN16 3JW,E09000006,{E7BD2E44-3C3B-4F02-B56A-EA5E26EDC7D0},18942462.0,39.0,2.0,11.0,72.0,77.0,England and Wales: 1983-1990,1538.46153846154,2.0,39.0,72.0,England and Wales: 1983-1990,TN16
{5C452025-8CDE-40EB-B662-F6BDA5671578},73000,1999-01-29 00:00,TN16 3DX,F,N,L,BRAMIS HOUSE,FLAT 9,MAIN ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1073.52941176471,1999.0,1999-01-29,F,L,73000.0,TN16 3DX,E09000006,{5C452025-8CDE-40EB-B662-F6BDA5671578},18976638.0,68.0,3.0,11.0,76.0,80.0,England and Wales: 1967-1975,1073.52941176471,3.0,68.0,76.0,England and Wales: 1967-1975,TN16
{0851D792-7895-4165-B451-2D3455CED5DE},66700,1999-05-28 00:00,TN16 3JW,F,N,L,5,,MAPLE LEAF CLOSE,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1191.07142857143,1999.0,1999-05-28,F,L,66700.0,TN16 3JW,E09000006,{0851D792-7895-4165-B451-2D3455CED5DE},18908269.0,56.0,2.0,11.0,73.0,77.0,England and Wales: 1996-2002,1191.07142857143,2.0,56.0,73.0,England and Wales: 1996-2002,TN16
{DF873225-8A78-4F10-ACCA-7F3F40CF02E7},115000,1999-06-16 00:00,TN16 3UU,D,N,F,36,,HIGHFIELD ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,833.333333333333,1999.0,1999-06-16,D,F,115000.0,TN16 3UU,E09000006,{DF873225-8A78-4F10-ACCA-7F3F40CF02E7},18866388.0,138.0,5.0,11.0,68.0,79.0,England and Wales: 1950-1966,833.333333333333,5.0,138.0,68.0,England and Wales: 1950-1966,TN16
{A24BDA78-535B-4437-BB53-0ECA50EB77FD},220000,1999-11-11 00:00,TN16 3TB,D,N,F,46,,THE GROVE,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1447.36842105263,1999.0,1999-11-11,D,F,220000.0,TN16 3TB,E09000006,{A24BDA78-535B-4437-BB53-0ECA50EB77FD},18893822.0,152.0,6.0,11.0,64.0,79.0,England and Wales: 1976-1982,1447.36842105263,6.0,152.0,64.0,England and Wales: 1976-1982,TN16
{E5D1C060-6350-43BA-8217-04249B120DE9},113500,1999-11-11 00:00,TN16 3QJ,S,N,F,17,,VALLEY VIEW,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,958.452964026347,1999.0,1999-11-11,S,F,113500.0,TN16 3QJ,E09000006,{E5D1C060-6350-43BA-8217-04249B120DE9},18906326.0,118.42,6.0,12.0,56.0,66.0,England and Wales: 1976-1982,958.452964026347,6.0,118.42,56.0,England and Wales: 1976-1982,TN16
{AB799C3C-0546-4763-9245-732421C9380D},109000,1999-08-06 00:00,TN16 3QX,T,N,F,100,,SWIEVELANDS ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1283.10771041789,1999.0,1999-08-06,T,F,109000.0,TN16 3QX,E09000006,{AB799C3C-0546-4763-9245-732421C9380D},18948679.0,84.95,5.0,11.0,72.0,78.0,England and Wales: 1967-1975,1283.10771041789,5.0,84.95,72.0,England and Wales: 1967-1975,TN16
{154EADEA-4813-4A2E-AECF-029AA412C29A},99000,1999-07-08 00:00,TN16 3XY,T,N,F,68,,KINGS ROAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,876.106194690266,1999.0,1999-07-08,T,F,99000.0,TN16 3XY,E09000006,{154EADEA-4813-4A2E-AECF-029AA412C29A},18862218.0,113.0,4.0,11.0,64.0,87.0,England and Wales: 1976-1982,876.106194690266,4.0,113.0,64.0,England and Wales: 1976-1982,TN16
{93EC393D-74D8-423A-A4D2-76C2AC46D643},91500,1999-08-31 00:00,TN16 3EL,T,N,F,30,,VINCENT SQUARE,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1253.42465753425,1999.0,1999-08-31,T,F,91500.0,TN16 3EL,E09000006,{93EC393D-74D8-423A-A4D2-76C2AC46D643},18900687.0,73.0,3.0,11.0,64.0,84.0,England and Wales: 1900-1929,1253.42465753425,3.0,73.0,64.0,England and Wales: 1900-1929,TN16
{4E6F94BF-A83A-40EC-A601-9284696B75A9},90000,1999-06-18 00:00,TN16 3RR,T,N,F,6,,WAKELY CLOSE,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1500.0,1999.0,1999-06-18,T,F,90000.0,TN16 3RR,E09000006,{4E6F94BF-A83A-40EC-A601-9284696B75A9},18893400.0,60.0,3.0,11.0,56.0,88.0,England and Wales: 1967-1975,1500.0,3.0,60.0,56.0,England and Wales: 1967-1975,TN16
{CBA8C774-C772-4470-8CE5-8EF6CA182911},106000,1999-08-06 00:00,TN16 3UE,S,N,F,68,,KINGSMEAD,BIGGIN HILL,WESTERHAM,BROMLEY,GREATER LONDON,1682.53968253968,1999.0,1999-08-06,S,F,106000.0,TN16 3UE,E09000006,{CBA8C774-C772-4470-8CE5-8EF6CA182911},18916037.0,63.0,3.0,11.0,63.0,86.0,England and Wales: 1996-2002,1682.53968253968,3.0,63.0,63.0,England and Wales: 1996-2002,TN16
{EFD637C6-F97F-4456-8186-0B748947C6D8},410000,1999-10-04 00:00,TN16 2HS,D,N,F,SILVER BEECH FARM,,BUCKHURST ROAD,,WESTERHAM,BROMLEY,GREATER LONDON,997.566909975669,1999.0,1999-10-04,D,F,410000.0,TN16 2HS,E09000006,{EFD637C6-F97F-4456-8186-0B748947C6D8},18921640.0,411.0,8.0,11.0,20.0,63.0,England and Wales: 1930-1949,997.566909975669,8.0,411.0,20.0,England and Wales: 1930-1949,TN16
