ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{BC2C49F8-0283-4C60-B907-814041296158},122000,1995-01-05 00:00,TW11 9AB,T,,F,9,,CHRISTCHURCH AVENUE,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1033.89830508475,7.0,118.0,62.0,1929.0,TW11,1995,30928,6,Teddington,0.248272,68600,10,3,13.6445872105975
{72F8D31D-DE5D-4516-95B2-1F057C69D3C9},167500,1995-01-05 00:00,TW11 8AW,S,,F,50,,TWICKENHAM ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1918.67124856816,5.0,87.3,41.0,1949.0,TW11,1995,32410,6,Teddington,0.92612,77300,10,1b,4.90253910532375
{951A4B67-73AE-4D46-BECB-331752995E08},85000,1995-01-06 00:00,TW11 9RJ,F,,L,8,,BROOM CLOSE,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1024.09638554217,3.0,83.0,56.0,1966.0,TW11,1995,27266,6,Hampton Wick,0.649716,71200,9,0,0.0
{10336725-917A-4D9D-80AF-BED62C61EC3B},151000,1995-01-06 00:00,TW11 0RL,S,,F,41,,PRINCES ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1143.93939393939,6.0,132.0,59.0,1929.0,TW11,1995,27315,6,Fulwell,0.363942,77300,9,3,11.6336184533362
{2A289E9E-9F7E-CDC8-E050-A8C063054829},46500,1995-01-09 00:00,TW11 9EW,F,,L,10,,KINGSTON CLOSE,,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,922.619047619048,3.0,50.4,62.0,1966.0,TW11,1995,21069,6,Teddington,0.636029,71200,7,2,9.11366711458223
{B576046B-F0D2-4EA8-9C41-AD23CB222618},231500,1995-01-16 00:00,TW11 9HW,S,,F,28,,KINGSTON LANE,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1106.22640607827,8.0,209.27,42.0,1929.0,TW11,1995,21069,6,Teddington,0.46671,71200,7,2,9.83537950375828
{2A289E9E-9F82-CDC8-E050-A8C063054829},14400,1995-01-23 00:00,TW11 9PB,F,,L,ATBARA COURT,7,ATBARA ROAD,,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,360.0,2.0,40.0,56.0,1966.0,TW11,1995,21069,6,Teddington,0.843019,71200,7,2,6.34659679838197
{D05746A4-1793-4C0B-8FC3-2D982D12FBF0},71500,1995-01-27 00:00,TW11 0JW,F,,L,12D,,HAMPTON ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1340.96024006001,3.0,53.32,53.0,1900.0,TW11,1995,25837,6,Teddington,0.67524,67800,8,3,14.1133153911355
{56AC78C1-3E4B-4E04-91FB-361E7DC7F624},212000,1995-02-01 00:00,TW11 9JU,S,,F,7,,MARSTON ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1432.43243243243,7.0,148.0,58.0,1929.0,TW11,1995,21069,6,Teddington,0.717874,71200,7,2,7.7673450131044
{0DE474E2-3B64-4793-ADCE-C7E6A82B1B2D},107000,1995-02-03 00:00,TW11 8BL,F,,L,STONEYDEEP,32,TWICKENHAM ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1582.13810439154,3.0,67.63,77.0,1982.0,TW11,1995,32410,6,Teddington,0.954626,77300,10,1b,4.90253910532375
{E169C453-2F79-4DAD-B812-27A55B9E5BFD},230000,1995-02-03 00:00,TW11 9LL,S,,F,16,,MUNSTER ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1017.69911504425,10.0,226.0,56.0,1949.0,TW11,1995,31040,6,Hampton Wick,0.942375,71200,10,1b,4.95702345519792
{F21A5138-499C-4BCB-AB25-15F0B2B20EF3},140000,1995-02-03 00:00,TW11 8RY,T,,F,73,,SOMERSET ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1891.89189189189,5.0,74.0,32.0,1929.0,TW11,1995,30014,6,Teddington,0.76805,77300,10,3,10.6230800500607
{87FFB846-0173-4F2B-A671-4981D35440FC},110000,1995-02-08 00:00,TW11 8BL,F,,L,STONEYDEEP,47,TWICKENHAM ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1466.66666666667,3.0,75.0,60.0,1975.0,TW11,1995,32410,6,Teddington,0.954626,77300,10,1b,4.90253910532375
{DF87D99E-6D2A-4E55-BC63-CB0F7394B896},107500,1995-02-09 00:00,TW11 8PB,S,,F,50,,CHURCH ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,778.985507246377,6.0,138.0,57.0,1929.0,TW11,1995,31939,6,Teddington,0.39839,68600,10,3,12.5421839768557
{EDBB52AA-3F4A-4B7F-A356-62826C9971DE},60000,1995-02-09 00:00,TW11 0NS,F,,L,11,FLAT 7,GLOUCESTER ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,930.232558139535,3.0,64.5,65.0,1929.0,TW11,1995,25837,6,Fulwell,0.684113,67800,8,2,7.51495300538754
{4E2B82D6-7FB9-4CF4-BD62-CDDE1A41273B},75000,1995-02-10 00:00,TW11 9DR,S,,F,2,,LINDUM ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1079.75813417794,5.0,69.46,49.0,1929.0,TW11,1995,20899,6,Hampton Wick,0.545992,71200,7,2,9.68739267678632
{B66AC669-1243-4194-81BE-08C8B5B33B42},58000,1995-02-12 00:00,TW11 8QD,F,,L,8,,RICHMOND MEWS,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,564.20233463035,5.0,102.8,32.0,1982.0,TW11,1995,31939,6,Teddington,0.351557,68600,10,3,14.4250737257605
{D0737D6B-6E77-43C3-97AD-59BA7AEC53DC},150000,1995-02-13 00:00,TW11 8PU,T,,F,16,,LUTHER ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1875.0,4.0,80.0,63.0,1990.0,TW11,1995,31939,6,Teddington,0.512632,68600,10,3,11.091676734803
{49AD0C50-B29E-42D9-83C6-7150E7D11A69},170000,1995-02-13 00:00,TW11 8AG,S,,F,24,,TWICKENHAM ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,688.259109311741,12.0,247.0,56.0,1900.0,TW11,1995,32410,6,Teddington,0.728741,77300,10,2,5.31074625106503
{31C8F09C-0F02-4A96-99C2-C94197189CC2},105500,1995-02-17 00:00,TW11 0RP,T,,F,13,,SUNNYSIDE ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1674.60317460317,4.0,63.0,58.0,1929.0,TW11,1995,27315,6,Fulwell,0.282114,77300,9,3,11.6336184533362
{E81CD584-7E80-49DB-82AB-F1308E782A00},70000,1995-02-22 00:00,TW11 0DN,F,,L,148,,HARROWDENE GARDENS,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,853.658536585366,4.0,82.0,63.0,1966.0,TW11,1995,30675,6,Teddington,0.824356,68600,10,1a,1.73605750323158
{082BBF6F-8F59-4A54-8AFF-10EE92454BCE},158500,1995-02-23 00:00,TW11 9PQ,T,,F,190,,BROOM ROAD,TEDDINGTON,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,1078.23129251701,6.0,147.0,67.0,1975.0,TW11,1995,27266,6,Hampton Wick,0.925172,71200,9,1b,3.72016490621819
