ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{EA98858E-8F26-41C6-A6CA-2C5A21151033},77500,1995-01-06 00:00,TW1 2JF,F,,L,"PARKVIEW COURT, 19",1,CAMBRIDGE PARK,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1607.88381742739,2.0,48.2,26.0,1975.0,TW1,1995
{2A289E9C-E0BA-CDC8-E050-A8C063054829},50000,1995-01-10 00:00,TW1 1BU,F,,L,MILTON LODGE,FLAT 6,WHITTON ROAD,,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1322.75132275132,2.0,37.8,68.0,1929.0,TW1,1995
{1D1B0982-D3C5-4EC2-8F1D-69A3FA84B80E},215000,1995-01-16 00:00,TW1 1LY,T,,F,22,,ORCHARD ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1829.78723404255,6.0,117.5,55.0,1929.0,TW1,1995
{A1A975F1-4966-45D0-954D-B7ECF5171582},265000,1995-01-16 00:00,TW1 2PQ,T,,F,26,,BEAUFORT ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,2067.2439347843,6.0,128.19,66.0,0.0,TW1,1995
{4FB9AC35-ABB8-4A83-9263-4C2E70C742E6},66950,1995-01-18 00:00,TW1 1AJ,F,,L,102,,VARSITY DRIVE,TWICKENHAM,TWICKENHAM,HOUNSLOW,GREATER LONDON,1342.49047523561,3.0,49.87,71.0,1995.0,TW1,1995
{F0B6D78B-5B99-4058-8506-ABF56F6BC97C},90000,1995-01-20 00:00,TW1 2QB,F,,L,11,,OLD HOUSE GARDENS,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1525.42372881356,3.0,59.0,53.0,1949.0,TW1,1995
{606E54FE-2C90-48B6-AFF6-51878F43FA53},59950,1995-01-20 00:00,TW1 1AH,F,,L,73,,VARSITY DRIVE,TWICKENHAM,TWICKENHAM,HOUNSLOW,GREATER LONDON,1362.5,2.0,44.0,61.0,1990.0,TW1,1995
{26626765-D50B-45F1-8B0A-90FDDAB083C5},175000,1995-01-20 00:00,TW1 3NG,S,,F,59,,ARRAGON ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1346.15384615385,5.0,130.0,41.0,1900.0,TW1,1995
{C0BE5606-800A-4699-9559-B93AAECE19C8},50400,1995-01-20 00:00,TW1 1BA,F,,L,"PERRYN COURT, 40A",FLAT 3,GRIMWOOD ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1200.0,2.0,42.0,73.0,0.0,TW1,1995
{6D841FDE-85D1-44FD-B34C-0B4B38F751AD},200000,1995-01-27 00:00,TW1 2BT,F,,L,5,FLAT 4,RIVERDALE ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1010.10101010101,7.0,198.0,63.0,1900.0,TW1,1995
{0CDAC228-8095-4A5B-BF54-D3483F7AB4B5},252500,1995-01-27 00:00,TW1 2PQ,T,,F,16,,BEAUFORT ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,2167.75412087912,6.0,116.48,64.0,1990.0,TW1,1995
{2F6C3342-D08F-4496-AD93-A66CA7C7A4E0},155000,1995-01-27 00:00,TW1 4NG,D,,F,39,,UPPER GROTTO ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,906.432748538012,7.0,171.0,31.0,1900.0,TW1,1995
{EB27E1D2-0325-4BDE-AE13-D4FED577639C},146500,1995-01-27 00:00,TW1 4HX,S,,F,27,,GROVE AVENUE,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1273.91304347826,5.0,115.0,55.0,1900.0,TW1,1995
{AC8E887B-9726-42B1-8CE6-7090EAE7AD15},54000,1995-01-27 00:00,TW1 4AX,F,,L,POPESGROVE MANSIONS,33A,HEATH ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,832.819247378162,3.0,64.84,79.0,1949.0,TW1,1995
{0F15FA91-2293-4FA6-AC77-4517FFB2890F},100500,1995-01-30 00:00,TW1 4JA,T,,F,14,,LAUREL AVENUE,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1246.12523248605,5.0,80.65,60.0,1929.0,TW1,1995
{EBEFA4D0-1C5A-4E62-B08D-632668E3860A},97000,1995-01-31 00:00,TW1 1JR,F,,L,26A,,SIDNEY ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1385.71428571429,5.0,70.0,62.0,1929.0,TW1,1995
{AB1E7D8F-77C5-41D9-BE62-E3CC59724B1E},194000,1995-01-31 00:00,TW1 2BX,S,,F,33,,RIVERDALE GARDENS,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1442.80827011751,5.0,134.46,61.0,1949.0,TW1,1995
{876FACE7-9231-4B60-9299-F56D4E1FCFE6},79950,1995-01-31 00:00,TW1 2LL,F,,L,55A,,ST MARGARETS ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1453.63636363636,2.0,55.0,67.0,1900.0,TW1,1995
{C0006B4D-30E7-4FFE-B7F1-46F19271AE41},60000,1995-01-31 00:00,TW1 1JT,F,,L,65,,KENLEY ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1003.34448160535,4.0,59.8,53.0,1929.0,TW1,1995
{E68302AF-C472-460D-A3FA-8E6FCD3E771C},75000,1995-01-31 00:00,TW1 3ND,F,,L,"SANDRINGHAM COURT, 26",15,ARRAGON ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1315.78947368421,3.0,57.0,68.0,1975.0,TW1,1995
{A70D2283-6C6E-4677-9293-6217C2ABB8EE},130000,1995-01-31 00:00,TW1 1JF,T,,F,81,,ST MARGARETS GROVE,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1628.66449511401,4.0,79.82,56.0,1929.0,TW1,1995
{68AF76C2-FAAE-47C6-AAD0-DE069D20D081},135000,1995-01-31 00:00,TW1 2AR,F,,L,"ARLINGTON HOUSE, 3",FLAT 3A,ROSSLYN ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1250.0,3.0,108.0,46.0,1900.0,TW1,1995
{959EF519-869A-4E32-B12B-D4A97D4E5805},143500,1995-02-01 00:00,TW1 1LG,S,,F,37,,SOUTH WESTERN ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1681.50925708929,4.0,85.34,64.0,1929.0,TW1,1995
{30CCF618-BD72-4F4F-A0D8-73241A23BD7A},188000,1995-02-02 00:00,TW1 3HX,S,,F,51,,BEACONSFIELD ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1100.70257611241,6.0,170.8,34.0,1929.0,TW1,1995
{31D2F982-8A66-4FEF-B068-3D45EB0B6471},84500,1995-02-03 00:00,TW1 1LU,F,,L,221,FLAT 2,ST MARGARETS ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1321.75817300172,3.0,63.93,53.0,1900.0,TW1,1995
{04253ADC-6517-4FF7-907D-0F41A896EDCE},135000,1995-02-03 00:00,TW1 4BQ,S,,F,34,,SAVILLE ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1344.88942020323,6.0,100.38,37.0,1929.0,TW1,1995
{AD9C2A52-CE02-420D-967E-EA91EBC9E4EB},57500,1995-02-03 00:00,TW1 2BD,F,,L,HOWMIC COURT,5,ARLINGTON ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1188.01652892562,2.0,48.4,67.0,1966.0,TW1,1995
{AD03EF58-1C64-4259-85CF-60E1C164A46F},64000,1995-02-03 00:00,TW1 1RB,F,,L,50,,THE GROVE,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1032.25806451613,3.0,62.0,67.0,1949.0,TW1,1995
{E992039F-1F77-4228-9BA7-B2CD6229A204},113000,1995-02-10 00:00,TW1 2HQ,F,,L,32,FLAT 4,DENTON ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1591.54929577465,3.0,71.0,47.0,1929.0,TW1,1995
{A26C4FFC-2499-49FB-BC57-83B96F0EE8A0},88500,1995-02-10 00:00,TW1 1JT,F,,L,91,,KENLEY ROAD,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1294.80614484272,4.0,68.35,65.0,1929.0,TW1,1995
{96B9A308-9FFD-4772-AB13-A47999CE1683},137500,1995-02-13 00:00,TW1 1RP,T,,F,5,,NICOL CLOSE,TWICKENHAM,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,1175.21367521368,6.0,117.0,70.0,1975.0,TW1,1995
