ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2A289E9F-F544-CDC8-E050-A8C063054829},29000,1995-01-06 00:00,UB3 5LA,F,,L,3,,HEATH CLOSE,HARLINGTON,HAYES,HILLINGDON,GREATER LONDON,486.577181208054,3.0,59.6,31.0,1966.0,UB3,1995
{BCCD88ED-9C65-422D-9382-AF7BC343E358},65000,1995-01-06 00:00,UB3 5LY,S,,F,116,,WEST END LANE,HARLINGTON,HAYES,HILLINGDON,GREATER LONDON,764.705882352941,4.0,85.0,55.0,1929.0,UB3,1995
{4524A35F-1A1E-47F1-87B8-76DEE43E73FC},62000,1995-01-06 00:00,UB3 1RG,S,,F,12,,STORMOUNT DRIVE,HAYES,HAYES,HILLINGDON,GREATER LONDON,652.631578947368,6.0,95.0,48.0,1929.0,UB3,1995
{FFD79B69-3EAB-4E06-80EC-2BCBEAC0E9B3},70000,1995-01-09 00:00,UB3 3JJ,S,,F,1,,EAST WALK,HAYES,HAYES,HILLINGDON,GREATER LONDON,693.069306930693,5.0,101.0,59.0,1949.0,UB3,1995
{3EAD330E-39AD-4D05-B6B1-AA589E2783A1},58000,1995-01-12 00:00,UB3 4NR,S,,F,127,,NORTH HYDE ROAD,HAYES,HAYES,HILLINGDON,GREATER LONDON,881.45896656535,5.0,65.8,56.0,1949.0,UB3,1995
{2A289E9C-E0E4-CDC8-E050-A8C063054829},48000,1995-01-12 00:00,UB3 5LU,F,,L,92A,,WEST END LANE,HARLINGTON,HAYES,HILLINGDON,GREATER LONDON,967.741935483871,3.0,49.6,60.0,1929.0,UB3,1995
{23D2EF1F-9507-4627-86A0-ABA199C2EF9B},55000,1995-01-13 00:00,UB3 4JZ,S,,F,85,,LABURNUM ROAD,HAYES,HAYES,HILLINGDON,GREATER LONDON,1110.66235864297,4.0,49.52,61.0,1949.0,UB3,1995
{CB1A191F-0A8F-42CF-AE37-C044F9CA2406},60000,1995-01-13 00:00,UB3 1JN,S,,F,35,,BEECHWOOD AVENUE,HAYES,HAYES,HILLINGDON,GREATER LONDON,857.142857142857,5.0,70.0,42.0,1949.0,UB3,1995
{E2EA844B-E6EB-4B53-BA2A-CC307199FBCD},57000,1995-01-16 00:00,UB3 2AF,F,,L,100,,BOTWELL LANE,HAYES,HAYES,HILLINGDON,GREATER LONDON,863.636363636364,3.0,66.0,60.0,1966.0,UB3,1995
{4D3D6A5E-8B1E-44F7-A7F0-E473F24C7B9C},65000,1995-01-20 00:00,UB3 2AE,T,,F,58,,BOTWELL LANE,HAYES,HAYES,HILLINGDON,GREATER LONDON,1000.0,4.0,65.0,62.0,1949.0,UB3,1995
{F37269E0-6AA5-4868-8798-CF5C21260993},67000,1995-01-20 00:00,UB3 2JH,S,,F,34,,HEMMEN LANE,HAYES,HAYES,HILLINGDON,GREATER LONDON,1037.79429987608,3.0,64.56,40.0,1929.0,UB3,1995
{A5E6D869-E0BB-4424-97A5-6030EC8D3C6F},72000,1995-01-20 00:00,UB3 3JX,S,,F,3,,SHOWERS WAY,HAYES,HAYES,HILLINGDON,GREATER LONDON,888.888888888889,5.0,81.0,60.0,1949.0,UB3,1995
{2A289E9C-E377-CDC8-E050-A8C063054829},49000,1995-01-24 00:00,UB3 5DX,T,,F,48,,BRICKFIELD LANE,HARLINGTON,HAYES,HILLINGDON,GREATER LONDON,787.781350482315,3.0,62.2,59.0,1966.0,UB3,1995
{735B45B0-F9A4-49A7-9C8D-FBC47969F66F},57000,1995-01-25 00:00,UB3 5HX,T,,F,24,,OXFORD AVENUE,HAYES,HAYES,HILLINGDON,GREATER LONDON,619.565217391304,5.0,92.0,53.0,1949.0,UB3,1995
{D036C358-8B5A-4FF7-A07D-C5CAAF6D6B22},54000,1995-01-26 00:00,UB3 4LB,T,,F,69,,CRANFORD DRIVE,HAYES,HAYES,HILLINGDON,GREATER LONDON,689.655172413793,4.0,78.3,73.0,1990.0,UB3,1995
{1501E35E-68E1-4453-8FE5-60310B672719},80000,1995-01-31 00:00,UB3 2UX,S,,F,96,,WILLENHALL DRIVE,HAYES,HAYES,HILLINGDON,GREATER LONDON,1270.2445220705,4.0,62.98,72.0,1990.0,UB3,1995
{22CA4CBA-907E-483F-8528-380CE72F9F88},63000,1995-01-31 00:00,UB3 2QG,S,,F,116,,TUDOR ROAD,HAYES,HAYES,HILLINGDON,GREATER LONDON,724.137931034483,5.0,87.0,60.0,1966.0,UB3,1995
{2A289E9C-E4AD-CDC8-E050-A8C063054829},36250,1995-02-02 00:00,UB3 5DW,F,,L,122A,,HIGH STREET,HARLINGTON,HAYES,HILLINGDON,GREATER LONDON,725.0,2.0,50.0,70.0,1975.0,UB3,1995
{2A289E9C-FAAA-CDC8-E050-A8C063054829},29000,1995-02-03 00:00,UB3 1LQ,F,,L,10,,BADGERS CLOSE,,HAYES,HILLINGDON,GREATER LONDON,1160.0,1.0,25.0,59.0,1990.0,UB3,1995
{3A0A4A60-57BE-40AF-948B-09277F5A6702},59950,1995-02-10 00:00,UB3 4JJ,S,,F,76,,MONMOUTH ROAD,HAYES,HAYES,HILLINGDON,GREATER LONDON,908.333333333333,5.0,66.0,61.0,1949.0,UB3,1995
{B69AFE94-EC1B-4289-874F-9ED165796E41},72000,1995-02-16 00:00,UB3 1JB,T,,F,44,,BOTWELL COMMON ROAD,HAYES,HAYES,HILLINGDON,GREATER LONDON,571.473926502103,5.0,125.99,60.0,1949.0,UB3,1995
{2A289E9D-D61D-CDC8-E050-A8C063054829},48000,1995-02-16 00:00,UB3 5LT,F,,L,16,,WEST END LANE,HARLINGTON,HAYES,HILLINGDON,GREATER LONDON,881.866617674077,3.0,54.43,74.0,1966.0,UB3,1995
{2A289E9D-BA99-CDC8-E050-A8C063054829},43000,1995-02-16 00:00,UB3 1LQ,F,,F,29,,BADGERS CLOSE,,HAYES,HILLINGDON,GREATER LONDON,905.263157894737,2.0,47.5,61.0,1990.0,UB3,1995
{D4E233BD-DF6F-4A68-8214-A318FF230DCC},57500,1995-02-17 00:00,UB3 2AQ,T,,F,163,,BOTWELL LANE,HAYES,HAYES,HILLINGDON,GREATER LONDON,646.067415730337,4.0,89.0,50.0,1949.0,UB3,1995
{B7377598-7456-4A28-87D9-FE660041064B},63500,1995-02-17 00:00,UB3 4LF,S,,F,125,,CRANFORD DRIVE,HAYES,HAYES,HILLINGDON,GREATER LONDON,661.458333333333,5.0,96.0,51.0,1966.0,UB3,1995
{489622B3-062B-45CC-9E11-00E2773B53DF},64000,1995-02-17 00:00,UB3 4LW,T,,F,3,,FULLER WAY,HAYES,HAYES,HILLINGDON,GREATER LONDON,598.130841121495,4.0,107.0,69.0,1975.0,UB3,1995
